id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
81125,Aanislag,1337,ALB,174,PH,city,,,13.07480000,123.70300000,Make,4061,Asia/Manila,"{""br"":""Aanislag"",""ko"":""아니슬라그"",""pt-BR"":""Aanislag"",""pt"":""Aanislag"",""nl"":""Aanislag"",""hr"":""Aanislag"",""fa"":""آنیسلاگ"",""de"":""Aanislag"",""es"":""Aanislag"",""fr"":""Aanislag"",""ja"":""アニスラグ"",""it"":""Aanislag"",""zh-CN"":""阿尼斯拉格"",""tr"":""Aanislag"",""ru"":""Аанислаг"",""uk"":""Ааніслаг"",""pl"":""Aanislag"",""hi"":""आनिस्लैग"",""ar"":""أنيسلاغ""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31460799
81126,Abaca,1344,BAN,174,PH,city,,,9.92040000,124.50510000,Abaca,2139,Asia/Manila,"{""br"":""Abaca"",""ko"":""아바카"",""pt-BR"":""Abacá"",""pt"":""Abacá"",""nl"":""Abaca"",""hr"":""Abaka"",""fa"":""آباکا"",""de"":""Abaca"",""es"":""Abacá"",""fr"":""Abaca"",""ja"":""アバカ"",""it"":""Abaca"",""zh-CN"":""蕉麻"",""tr"":""Abaka"",""ru"":""Абака"",""uk"":""Абака"",""pl"":""Manila"",""hi"":""अबाका"",""ar"":""أباكا""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31460863
81127,Abaca,1336,ANT,174,PH,city,,,11.13420000,122.71560000,Abaca,2139,Asia/Manila,"{""br"":""Abaca"",""ko"":""아바카"",""pt-BR"":""Abacá"",""pt"":""Abacá"",""nl"":""Abaca"",""hr"":""Abaka"",""fa"":""آباکا"",""de"":""Abaca"",""es"":""Abacá"",""fr"":""Abaca"",""ja"":""アバカ"",""it"":""Abaca"",""zh-CN"":""蕉麻"",""tr"":""Abaka"",""ru"":""Абака"",""uk"":""Абака"",""pl"":""Manila"",""hi"":""अबाका"",""ar"":""أباكا""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31460873
81128,Abangay,1336,ANT,174,PH,city,,,10.96667000,122.65000000,Resent,2207,Asia/Manila,"{""br"":""Abangay"",""ko"":""아방가이"",""pt-BR"":""Abangay"",""pt"":""Abangay"",""nl"":""Abangay"",""hr"":""Abangay"",""fa"":""آبانگای"",""de"":""Abangay"",""es"":""Abangay"",""fr"":""Abangay"",""ja"":""アバンガイ"",""it"":""Abangay"",""zh-CN"":""阿班盖"",""tr"":""Abangay"",""ru"":""Абангей"",""uk"":""Абангай"",""pl"":""Abangay"",""hi"":""अबंगाय"",""ar"":""أبانغاي""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31460921
81129,Abiera,1336,ANT,174,PH,city,,,11.57490000,122.09000000,Abiera,2394,Asia/Manila,"{""br"":""Abiera"",""ko"":""아비에라"",""pt-BR"":""Abiera"",""pt"":""Abiera"",""nl"":""Abiera"",""hr"":""Abiera"",""fa"":""آبیرا"",""de"":""Abiera"",""es"":""Abiera"",""fr"":""Abiera"",""ja"":""アビエラ"",""it"":""Abiera"",""zh-CN"":""阿比埃拉"",""tr"":""Abiera"",""ru"":""Абиера"",""uk"":""Абієра"",""pl"":""Abiera"",""hi"":""अबिएरा"",""ar"":""أبييرا""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31461056
81130,Abilay,1336,ANT,174,PH,city,,,10.73333000,122.50000000,Abilay,2195,Asia/Manila,"{""br"":""Abilay"",""ko"":""아빌레이"",""pt-BR"":""Abilay"",""pt"":""Abilay"",""nl"":""Abilay"",""hr"":""Abilay"",""fa"":""ابیلای"",""de"":""Abilay"",""es"":""Abilay"",""fr"":""Abilay"",""ja"":""アビレイ"",""it"":""Abilay"",""zh-CN"":""阿比莱"",""tr"":""Abilay"",""ru"":""Абылай"",""uk"":""Абілай"",""pl"":""Abilay"",""hi"":""अबिले"",""ar"":""أبيلاي""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31461068
81131,Abis,1344,BAN,174,PH,city,,,9.71730000,122.94380000,Abis,2603,Asia/Manila,"{""br"":""Abis"",""ko"":""아비스"",""pt-BR"":""Abis"",""pt"":""Abis"",""nl"":""Abis"",""hr"":""Abis"",""fa"":""ابیس"",""de"":""Abis"",""es"":""Abis"",""fr"":""Abis"",""ja"":""アビス"",""it"":""Abis"",""zh-CN"":""阿比斯"",""tr"":""Abis"",""ru"":""Абис"",""uk"":""Абіс"",""pl"":""Abis"",""hi"":""कपड़े"",""ar"":""أبيس""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31461082
81132,Aborlan,1361,PLW,174,PH,city,,,9.50252080,118.28831960,Aborlan,39972,Asia/Manila,"{""br"":""Aborlan"",""ko"":""아보를란"",""pt-BR"":""Aborlan"",""pt"":""Aborlan"",""nl"":""Aborlan"",""hr"":""Aborlan"",""fa"":""ابورلان"",""de"":""Aborlan"",""es"":""Aborlan"",""fr"":""Aborlan"",""ja"":""アボルラン"",""it"":""Aborlan"",""zh-CN"":""阿博兰"",""tr"":""Aborlan"",""ru"":""Аборлан"",""uk"":""Аборлан"",""pl"":""Aborlan"",""hi"":""अबोरलान"",""ar"":""أبورلان""}",2025-03-26T03:15:37,2025-12-02T16:59:27,1,Q111338
81133,Abra de Ilog,1354,MDR,174,PH,adm3,,,13.44370000,120.72910000,ILOG,2971,Asia/Manila,"{""br"":""Abra de Ilog"",""ko"":""아브라 데 일로그"",""pt-BR"":""Abra de Ilog"",""pt"":""Abra de Ilog"",""nl"":""Abra de Ilog"",""hr"":""Abra de Ilog"",""fa"":""ابرا د ایلوگ"",""de"":""Abra de Ilog"",""es"":""Abra de Ilog"",""fr"":""Abra de Ilog"",""ja"":""アブラ・デ・イログ"",""it"":""Abra de Ilog"",""zh-CN"":""阿布拉·德·伊洛格"",""tr"":""Ilog Abrası"",""ru"":""Абра де Илог"",""uk"":""Абра де Ілог"",""pl"":""Abra de Ilog"",""hi"":""अब्रा डे इलोग"",""ar"":""أبرا دي إيلوج""}",2019-10-06T10:12:25,2025-12-02T14:39:31,1,Q107454
81134,Abucay,1337,ALB,174,PH,city,,,12.98200000,123.64920000,Abucay,2863,Asia/Manila,"{""br"":""Abucay"",""ko"":""아부카이"",""pt-BR"":""Abucay"",""pt"":""Abucay"",""nl"":""Abucay"",""hr"":""Abucay"",""fa"":""ابوکای"",""de"":""Abucay"",""es"":""Abucay"",""fr"":""Abucay"",""ja"":""アブカイ"",""it"":""Abucay"",""zh-CN"":""阿布卡伊"",""tr"":""Abucay"",""ru"":""Абукай"",""uk"":""Абукай"",""pl"":""Abucay"",""hi"":""अबुके"",""ar"":""أبوكاي""}",2019-10-06T10:12:25,2025-12-02T14:39:31,1,Q107454
81135,Abucay,1345,03,174,PH,adm3,,,14.73347000,120.53358000,Abucay,35508,Asia/Manila,"{""br"":""Abucay"",""ko"":""아부카이"",""pt-BR"":""Abucay"",""pt"":""Abucay"",""nl"":""Abucay"",""hr"":""Abucay"",""fa"":""ابوکای"",""de"":""Abucay"",""es"":""Abucay"",""fr"":""Abucay"",""ja"":""アブカイ"",""it"":""Abucay"",""zh-CN"":""阿布卡伊"",""tr"":""Abucay"",""ru"":""Абукай"",""uk"":""Абукай"",""pl"":""Abucay"",""hi"":""अबुके"",""ar"":""أبوكاي""}",2019-10-06T10:12:25,2025-12-02T14:39:31,1,Q54455
81136,Abucayan,1344,BAN,174,PH,city,,,9.92900000,123.91460000,Abucayan,2204,Asia/Manila,"{""br"":""Abugayan"",""ko"":""아부카얀"",""pt-BR"":""Abucayan"",""pt"":""Abucayan"",""nl"":""Abucayan"",""hr"":""Abucayan"",""fa"":""ابوکایان"",""de"":""Abucayan"",""es"":""Abucayán"",""fr"":""Abucayan"",""ja"":""アブカヤン"",""it"":""Abucayan"",""zh-CN"":""阿布卡扬"",""tr"":""Abucayan"",""ru"":""Абукайян"",""uk"":""Абукаян"",""pl"":""Abucayan"",""hi"":""अबुकायन"",""ar"":""أبوكايان""}",2019-10-06T10:12:25,2025-12-02T14:38:56,1,Q31461262
