id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
85329,Abbottabad,3171,KP,167,PK,adm2,,,34.14630000,73.21168000,ایبٹ آباد,275890,Asia/Karachi,"{""ar"":""أبوت آباد"",""br"":""Abbottabad"",""de"":""Abbottabad"",""es"":""Abbottabad"",""fa"":""ایبت‌آباد"",""fr"":""Abbottabad"",""hi"":""Abbottabad"",""hr"":""Abbottabad"",""it"":""Abbottabad"",""ja"":""アボッタバード"",""ko"":""아보타바드"",""nl"":""Abbottabad"",""pl"":""Abbottabad"",""pt"":""Abbottabad"",""pt-BR"":""Abbottabad"",""ru"":""Абботтабад"",""tr"":""Abbottabad"",""uk"":""Абботтабад"",""zh-CN"":""阿伯塔巴德""}",2019-10-05T23:13:31,2025-12-02T14:39:31,1,Q170315
85330,Adilpur,3175,SD,167,PK,city,,,27.93677000,69.31941000,عادل پور,8247,Asia/Karachi,"{""ar"":""أديلبور"",""br"":""Adilpur"",""de"":""Adilpur"",""es"":""Adilpur"",""fa"":""عادل پور"",""fr"":""Adilpur"",""hi"":""आदिलपुर"",""hr"":""Adilpur"",""it"":""Adilpur"",""ja"":""アディルプル"",""ko"":""아딜푸르"",""nl"":""Adilpur"",""pl"":""Adilpur"",""pt"":""Adilpur"",""pt-BR"":""Adilpur"",""ru"":""Адилпур"",""tr"":""Adilpur"",""uk"":""Аділпур"",""zh-CN"":""阿迪尔普尔""}",2019-10-05T23:13:31,2025-12-02T14:38:56,1,Q170315
85331,Ahmedpur East,3176,PB,167,PK,city,,,29.14269000,71.25771000,احمد پور ایسٹ,128112,Asia/Karachi,"{""ar"":""أحمدبور الشرقية"",""br"":""Ahmedpur Reter"",""de"":""Ahmedpur Ost"",""es"":""Ahmedpur Este"",""fa"":""احمدپور شرقی"",""fr"":""Ahmedpur Est"",""hi"":""अहमदपुर पूर्व"",""hr"":""Istočni Ahmedpur"",""it"":""Ahmedpur Est"",""ja"":""アフメドプル東"",""ko"":""아메드푸르 동쪽"",""nl"":""Ahmedpur Oost"",""pl"":""Ahmedpur Wschodni"",""pt"":""Ahmedpur Leste"",""pt-BR"":""Ahmedpur Leste"",""ru"":""Ахмедпур Восток"",""tr"":""Ahmedpur Doğu"",""uk"":""Ахмедпур-Іст"",""zh-CN"":""艾哈迈德布尔东""}",2019-10-05T23:13:31,2025-12-02T14:38:56,1,Q1250201
85332,Ahmadpur Sial,3176,PB,167,PK,city,,,30.67791000,71.74344000,احمد پور سیال,24889,Asia/Karachi,"{""ar"":""أحمدبور سيال"",""br"":""Ahmadpur Sial"",""de"":""Ahmadpur Sial"",""es"":""Ahmadpur Sial"",""fa"":""احمدپور سیال"",""fr"":""Ahmadpur Sial"",""hi"":""अहमदपुर सियाल"",""hr"":""Ahmadpur Sial"",""it"":""Ahmadpur Sial"",""ja"":""アフマドプル・シアル"",""ko"":""아마드푸르 시알"",""nl"":""Ahmadpur Sial"",""pl"":""Ahmadpur Sial"",""pt"":""Ahmadpur Sial"",""pt-BR"":""Ahmadpur Sial"",""ru"":""Ахмадпур Сиал"",""tr"":""Ahmedpur Sial"",""uk"":""Ахмадпур Сіал"",""zh-CN"":""艾哈迈德普尔·西亚尔""}",2019-10-05T23:13:31,2025-12-02T14:39:31,1,Q1250201
85333,Akora,3171,KP,167,PK,city,,,34.00337000,72.12561000,اکوڑہ,29750,Asia/Karachi,"{""ar"":""أكورا"",""br"":""Akora"",""de"":""Akora"",""es"":""Akora"",""fa"":""آکورا"",""fr"":""Akora"",""hi"":""अकोरा"",""hr"":""Akora"",""it"":""Akora"",""ja"":""アコラ"",""ko"":""아코라"",""nl"":""Akora"",""pl"":""Akora"",""pt"":""Akora"",""pt-BR"":""Akora"",""ru"":""Акора"",""tr"":""Akora"",""uk"":""Акора"",""zh-CN"":""阿科拉""}",2019-10-05T23:13:31,2025-12-02T14:39:31,1,Q2475251
85334,Alik Ghund,3174,BA,167,PK,city,,,30.48976000,67.52177000,علیک غنڈ,7630,Asia/Karachi,"{""ar"":""أليك غوند"",""br"":""Alik Ghund"",""de"":""Alik Ghund"",""es"":""Alik Ghund"",""fa"":""علیک غوند"",""fr"":""Alik Ghund"",""hi"":""अलिक घुंड"",""hr"":""Alik Ghund"",""it"":""Alik Ghund"",""ja"":""アリク・グンド"",""ko"":""알릭 귄드"",""nl"":""Alik Ghund"",""pl"":""Alik Ghund"",""pt"":""Alik Ghund"",""pt-BR"":""Alik Ghund"",""ru"":""Алик Гунд"",""tr"":""Alik Ghund"",""uk"":""Алік Гунд"",""zh-CN"":""阿利克·贡德""}",2019-10-05T23:13:31,2025-12-02T14:39:31,1,Q2475251
85335,Alipur Chatha,3176,PB,167,PK,city,,,29.38242000,70.91106000,علی پور چٹھہ,33601,Asia/Karachi,"{""ar"":""أليبور تشاثا"",""br"":""Alipur Chatha"",""de"":""Alipur Chatha"",""es"":""Alipur Chatha"",""fa"":""علیپور چتا"",""fr"":""Alipur Chatha"",""hi"":""अलीपुर छठा"",""hr"":""Alipur Chatha"",""it"":""Alipur Chatha"",""ja"":""アリプル・チャタ"",""ko"":""알리푸르 차타"",""nl"":""Alipur Chatha"",""pl"":""Alipur Chatha"",""pt"":""Alipur Chatha"",""pt-BR"":""Alipur Chatha"",""ru"":""Алипур Чатха"",""tr"":""Alipur Chatha"",""uk"":""Аліпур Чата"",""zh-CN"":""阿里普尔·查塔""}",2019-10-05T23:13:31,2025-12-02T14:39:31,1,Q2475251
85336,Alizai,3171,KP,167,PK,city,,,33.53613000,70.34607000,علیزئی,3334,Asia/Karachi,"{""ar"":""اليزاي"",""br"":""Alizai"",""de"":""Alizai"",""es"":""alizai"",""fa"":""علیزایی"",""fr"":""Alizaï"",""hi"":""अलीज़ाई"",""hr"":""Alizai"",""it"":""Alizai"",""ja"":""アリザイ"",""ko"":""알리자이"",""nl"":""Alizai"",""pl"":""Alizai"",""pt"":""Alizai"",""pt-BR"":""Alizai"",""ru"":""Ализай"",""tr"":""Alizai"",""uk"":""Алізай"",""zh-CN"":""阿里扎伊""}",2019-10-05T23:13:31,2025-12-02T14:38:56,1,Q2475251
85337,Aman Garh,3171,KP,167,PK,city,,,34.00584000,71.92971000,امان گڑھ,42123,Asia/Karachi,"{""ar"":""أمان جاره"",""br"":""Aman Garh"",""de"":""Aman Garh"",""es"":""Aman Garh"",""fa"":""امان گره"",""fr"":""Aman Garh"",""hi"":""अमन गढ़"",""hr"":""Aman Garh"",""it"":""Aman Garh"",""ja"":""アマン・ガー"",""ko"":""아만 가르"",""nl"":""Aman Garh"",""pl"":""Aman Garh"",""pt"":""Aman Garh"",""pt-BR"":""Aman Garh"",""ru"":""Аман Гарх"",""tr"":""Aman Garh"",""uk"":""Аман Гарх"",""zh-CN"":""阿曼加尔""}",2019-10-05T23:13:31,2025-12-02T14:39:31,1,Q2475251
85338,Amirabad,3171,KP,167,PK,city,,,34.18729000,73.09078000,امیرآباد,3000,Asia/Karachi,"{""ar"":""أميراباد"",""br"":""Amirabad"",""de"":""Amirabad"",""es"":""Amirabad"",""fa"":""امیرآباد"",""fr"":""Amirabad"",""hi"":""अमीराबाद"",""hr"":""Amirabad"",""it"":""Amirabad"",""ja"":""アミラバード"",""ko"":""아미라바드"",""nl"":""Amirabad"",""pl"":""Amirabad"",""pt"":""Amirabad"",""pt-BR"":""Amirabad"",""ru"":""Амирабад"",""tr"":""Amirabad"",""uk"":""Амірабад"",""zh-CN"":""阿米拉巴德""}",2019-10-05T23:13:31,2025-12-02T14:38:56,1,Q2475251
