id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
85775,Abramów,1638,06,176,PL,adm3,,,51.45647000,22.31521000,Abramów,595,Europe/Warsaw,"{""br"":""Abramów"",""ko"":""아브라모프"",""pt-BR"":""Abramów"",""pt"":""Abramów"",""nl"":""Abramów"",""hr"":""Abramów"",""fa"":""آبراموف"",""de"":""Abramów"",""es"":""Abramów"",""fr"":""Abramów"",""ja"":""アブラモフ"",""it"":""Abramo"",""zh-CN"":""阿布拉莫夫"",""tr"":""Abramov"",""ru"":""Абрамов"",""uk"":""Абрамув"",""pl"":""Abramów"",""hi"":""अब्रामो"",""ar"":""أبراموف""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q2277800
85776,Adamów,1638,06,176,PL,city,,,51.74335000,22.26414000,Adamów,2100,Europe/Warsaw,"{""br"":""Adamów"",""ko"":""아다모프"",""pt-BR"":""Adamów"",""pt"":""Adamów"",""nl"":""Adamów"",""hr"":""Adamów"",""fa"":""آدامو"",""de"":""Adamów"",""es"":""Adán"",""fr"":""Adamów"",""ja"":""アダモフ"",""it"":""Adamów"",""zh-CN"":""阿达莫夫"",""tr"":""Adamów"",""ru"":""Адамов"",""uk"":""Адамів"",""pl"":""Adamów"",""hi"":""एडमोव"",""ar"":""أداموف""}",2019-10-06T10:13:35,2025-12-02T14:39:31,1,Q2035593
85777,Adamówka,1626,18,176,PL,adm3,,,50.25857000,22.69595000,Adamówka,1175,Europe/Warsaw,"{""br"":""Adamówka"",""ko"":""아다모프카"",""pt-BR"":""Adamówka"",""pt"":""Adamówka"",""nl"":""Adamówka"",""hr"":""Adamówka"",""fa"":""آداموکا"",""de"":""Adamówka"",""es"":""Adamówka"",""fr"":""Adamówka"",""ja"":""アダモフカ"",""it"":""Adamówka"",""zh-CN"":""阿达玛乌卡"",""tr"":""Adamówka"",""ru"":""Адамовка"",""uk"":""Адамівка"",""pl"":""Adamówka"",""hi"":""एडमोव्का"",""ar"":""أداموفكا""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q2332206
85778,Albigowa,1626,18,176,PL,city,,,50.01425000,22.22414000,Albigowa,3008,Europe/Warsaw,"{""br"":""Albigowa"",""ko"":""알비고와"",""pt-BR"":""Albigowa"",""pt"":""Albigowa"",""nl"":""Albigowa"",""hr"":""Albigowa"",""fa"":""آلبیگووا"",""de"":""Albigowa"",""es"":""Albigowa"",""fr"":""Albigowa"",""ja"":""アルビゴワ"",""it"":""Albigowa"",""zh-CN"":""阿尔比戈瓦"",""tr"":""Albigowa"",""ru"":""Альбигова"",""uk"":""Альбігова"",""pl"":""Albigowa"",""hi"":""अल्बिगोवा"",""ar"":""ألبيجوا""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q4712370
85779,Aleksandrów,1638,06,176,PL,adm3,,,50.46630000,22.89225000,Aleksandrów,3135,Europe/Warsaw,"{""br"":""Aleksandrów"",""ko"":""알렉산드루프"",""pt-BR"":""Alexandre"",""pt"":""Alexandre"",""nl"":""Aleksandrów"",""hr"":""Aleksandrów"",""fa"":""الکساندروف"",""de"":""Aleksandrów"",""es"":""Aleksandrów"",""fr"":""Alexandrow"",""ja"":""アレクサンドロフ"",""it"":""Alessandro"",""zh-CN"":""亚历山德鲁夫"",""tr"":""Aleksandrów"",""ru"":""Александров"",""uk"":""Александрув"",""pl"":""Aleksandrów"",""hi"":""अलेक्जेंड्रोव"",""ar"":""ألكسندروف""}",2019-10-06T10:13:35,2025-12-02T14:39:31,1,Q2606206
85780,Aleksandrów,1636,10,176,PL,adm3,,,51.27126000,19.99005000,Aleksandrów,200,Europe/Warsaw,"{""br"":""Aleksandrów"",""ko"":""알렉산드루프"",""pt-BR"":""Alexandre"",""pt"":""Alexandre"",""nl"":""Aleksandrów"",""hr"":""Aleksandrów"",""fa"":""الکساندروف"",""de"":""Aleksandrów"",""es"":""Aleksandrów"",""fr"":""Alexandrow"",""ja"":""アレクサンドロフ"",""it"":""Alessandro"",""zh-CN"":""亚历山德鲁夫"",""tr"":""Aleksandrów"",""ru"":""Александров"",""uk"":""Александрув"",""pl"":""Aleksandrów"",""hi"":""अलेक्जेंड्रोव"",""ar"":""ألكسندروف""}",2019-10-06T10:13:35,2025-12-02T14:39:31,1,Q2466714
85781,Aleksandrów Kujawski,1625,04,176,PL,city,,,52.87659000,18.69345000,Aleksandrów Kujawski,11910,Europe/Warsaw,"{""br"":""Aleksandrów Kujawski"",""ko"":""알렉산드루프 쿠야프스키"",""pt-BR"":""Aleksandrów Kujawski"",""pt"":""Aleksandrów Kujawski"",""nl"":""Aleksandrów Kujawski"",""hr"":""Aleksandrów Kujawski"",""fa"":""الکساندروف کویاوسکی"",""de"":""Aleksandrów Kujawski"",""es"":""Aleksandrów Kujawski"",""fr"":""Alexandre Kujawski"",""ja"":""アレクサンドロフ・クヤフスキ"",""it"":""Aleksandrów Kujawski"",""zh-CN"":""亚历山德罗夫·库亚夫斯基"",""tr"":""Aleksandrów Kujawski"",""ru"":""Александров Куявский"",""uk"":""Александрув Куявський"",""pl"":""Aleksandrów Kujawski"",""hi"":""अलेक्सांद्रोव कुजाव्स्की"",""ar"":""ألكسندرو كوجافسكي""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q325124
85782,Aleksandrów Łódzki,1636,10,176,PL,adm3,,,51.81965000,19.30384000,Aleksandrów Łódzki,21789,Europe/Warsaw,"{""br"":""Aleksandrów Łódzki"",""ko"":""알렉산드루프 우츠키"",""pt-BR"":""Aleksandrów Łódzki"",""pt"":""Aleksandrów Łódzki"",""nl"":""Aleksandrów Łódzki"",""hr"":""Aleksandrów Łódzki"",""fa"":""الکساندروف وودزکی"",""de"":""Aleksandrów Łódzki"",""es"":""Aleksandrów Łódzki"",""fr"":""Aleksandrów Łódzki"",""ja"":""アレクサンドロフ・ウツキ"",""it"":""Aleksandrów Łódzki"",""zh-CN"":""亚历山德罗夫·罗兹基"",""tr"":""Aleksandrów Łódzki"",""ru"":""Александрув Лодзинский"",""uk"":""Александрув Лодзький"",""pl"":""Aleksandrów Łódzki"",""hi"":""अलेक्सांद्रोव लॉड्ज़की"",""ar"":""ألكساندر لودزكي""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q664371
85783,Alwernia,1635,12,176,PL,adm3,,,50.06056000,19.53953000,Alwernia,3306,Europe/Warsaw,"{""br"":""Alwernia"",""ko"":""알베르니아"",""pt-BR"":""Alwernia"",""pt"":""Alwernia"",""nl"":""Alwernia"",""hr"":""Alwernia"",""fa"":""آلورنيا"",""de"":""Alwernia"",""es"":""Alwernia"",""fr"":""Alwernia"",""ja"":""アルウェルニア"",""it"":""Alwernia"",""zh-CN"":""阿尔韦尼亚"",""tr"":""Alwernia"",""ru"":""Альверния"",""uk"":""Альвернія"",""pl"":""Alwernia"",""hi"":""अल्वर्निया"",""ar"":""ألويرنيا""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q983896
85784,Andrespol,1636,10,176,PL,adm3,,,51.72783000,19.64175000,Druga odpowiedź,3281,Europe/Warsaw,"{""br"":""Andrespol"",""ko"":""안드레스폴"",""pt-BR"":""Andrespol"",""pt"":""Andrespol"",""nl"":""Andrespol"",""hr"":""Andrespol"",""fa"":""آندرپول"",""de"":""Andrespol"",""es"":""Andrespol"",""fr"":""Andréspol"",""ja"":""アンドレスポリ"",""it"":""Andrespol"",""zh-CN"":""安德烈斯波尔"",""tr"":""Andrespol"",""ru"":""Андресполь"",""uk"":""Андресполь"",""pl"":""Andrespol"",""hi"":""एंड्रेसपोल"",""ar"":""أندريسبول""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q503371
85785,Andrychów,1635,12,176,PL,adm3,,,49.85497000,19.33834000,Andrychów,18655,Europe/Warsaw,"{""br"":""Andrychów"",""ko"":""안드리호프"",""pt-BR"":""Andrychów"",""pt"":""Andrychów"",""nl"":""Andrychów"",""hr"":""Andrychów"",""fa"":""آندریچوف"",""de"":""Andrychów"",""es"":""Andrychów"",""fr"":""Andrychów"",""ja"":""アンドリフフ"",""it"":""Andrychów"",""zh-CN"":""安德烈胡夫"",""tr"":""Andrychów"",""ru"":""Андрыхув"",""uk"":""Андрихув"",""pl"":""Andrychów"",""hi"":""एंड्रीचोव"",""ar"":""أندريشوف""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q984857
85786,Annopol,1638,06,176,PL,adm3,,,50.88551000,21.85678000,Annopol,2335,Europe/Warsaw,"{""br"":""Annopol"",""ko"":""안노폴"",""pt-BR"":""Annopol"",""pt"":""Annopol"",""nl"":""Annopol"",""hr"":""Annopol"",""fa"":""آنوپول"",""de"":""Annopol"",""es"":""Annopol"",""fr"":""Annopol"",""ja"":""アノポル"",""it"":""Annopol"",""zh-CN"":""安诺波尔"",""tr"":""Annopol"",""ru"":""Аннопол"",""uk"":""Аннополь"",""pl"":""Annopol"",""hi"":""अन्नोपोल"",""ar"":""أنوبول""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q567332
85787,Augustów,1632,20,176,PL,adm3,,,53.84321000,22.97979000,Augustaw,29752,Europe/Warsaw,"{""br"":""Augustów"",""ko"":""아우구스토프"",""pt-BR"":""Augustów"",""pt"":""Augustów"",""nl"":""Augustów"",""hr"":""Augustów"",""fa"":""آگوستوف"",""de"":""Augustów"",""es"":""Augustów"",""fr"":""Augustow"",""ja"":""アウグストゥフ"",""it"":""Augustów"",""zh-CN"":""奥古斯图夫"",""tr"":""Augustow"",""ru"":""Августов"",""uk"":""Августів"",""pl"":""Augustów"",""hi"":""ऑगस्टोव"",""ar"":""أوغوستو""}",2019-10-06T10:13:35,2025-12-02T14:39:31,1,Q567332
85788,Babiak,1634,30,176,PL,adm3,,,52.34530000,18.66663000,Babie,1500,Europe/Warsaw,"{""br"":""Babiak"",""ko"":""바비악"",""pt-BR"":""Babiak"",""pt"":""Babiak"",""nl"":""Babiak"",""hr"":""Babiak"",""fa"":""بابیاک"",""de"":""Babiak"",""es"":""Babiak"",""fr"":""Babiak"",""ja"":""バビアク"",""it"":""Babiak"",""zh-CN"":""巴比亚克"",""tr"":""Babiak"",""ru"":""Бабяк"",""uk"":""Баб'як"",""pl"":""Babiak"",""hi"":""बाबियाक"",""ar"":""بابياك""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q554897
85789,Babica,1626,18,176,PL,city,,,49.93476000,21.87035000,Babcia,1271,Europe/Warsaw,"{""br"":""Babica"",""ko"":""바비카"",""pt-BR"":""Babica"",""pt"":""Babica"",""nl"":""Babica"",""hr"":""Babica"",""fa"":""بابیکا"",""de"":""Babica"",""es"":""Babica"",""fr"":""Babica"",""ja"":""バビカ"",""it"":""Babica"",""zh-CN"":""巴比卡"",""tr"":""Babica"",""ru"":""Бабица"",""uk"":""Бабіца"",""pl"":""Babica"",""hi"":""बाबिका"",""ar"":""بابيكا""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q4837848
85790,Babice,1635,12,176,PL,city,,,50.05565000,19.19955000,Babic,1582,Europe/Warsaw,"{""br"":""Babice"",""ko"":""바비스"",""pt-BR"":""Babice"",""pt"":""Babice"",""nl"":""Babice"",""hr"":""Babice"",""fa"":""بابیس"",""de"":""Babice"",""es"":""Babice"",""fr"":""Bébé"",""ja"":""バビツェ"",""it"":""Bambino"",""zh-CN"":""巴比斯"",""tr"":""Babice"",""ru"":""Бабице"",""uk"":""Бабіце"",""pl"":""Babice"",""hi"":""बेबीस"",""ar"":""بابيس""}",2019-10-06T10:13:35,2025-12-02T14:39:31,1,Q4837852
85791,Babimost,1631,08,176,PL,adm3,,,52.16488000,15.82769000,BABIMOST,3865,Europe/Warsaw,"{""br"":""Babimost"",""ko"":""바비모스트"",""pt-BR"":""Babimost"",""pt"":""Babimost"",""nl"":""Babimost"",""hr"":""Babimost"",""fa"":""بابیموس"",""de"":""Babimost"",""es"":""Babimost"",""fr"":""Babimost"",""ja"":""バビモスト"",""it"":""Babimost"",""zh-CN"":""巴比莫斯特"",""tr"":""Babimost"",""ru"":""Бабимост"",""uk"":""Бабімост"",""pl"":""Babimost"",""hi"":""बेबीमोस्ट"",""ar"":""بابيموست""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q797713
85792,Baborów,1622,16,176,PL,adm3,,,50.15760000,17.98513000,Baborów,2870,Europe/Warsaw,"{""br"":""Baborów"",""ko"":""바보로프"",""pt-BR"":""Baborów"",""pt"":""Baborów"",""nl"":""Baborów"",""hr"":""Baborów"",""fa"":""بابوروف"",""de"":""Baborów"",""es"":""Baborów"",""fr"":""Baborów"",""ja"":""バボロウ"",""it"":""Baborów"",""zh-CN"":""巴博罗夫"",""tr"":""Baborów"",""ru"":""Баборов"",""uk"":""Баборів"",""pl"":""Baborów"",""hi"":""बाबोरोव"",""ar"":""بابورو""}",2019-10-06T10:13:35,2025-12-02T14:38:56,1,Q592262
