id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
153549,Adjuntas,5134,001,178,PR,adm1,,,18.16348480,-66.72315800,Adjuntas,5080,America/Puerto_Rico,"{""br"":""Adjunted"",""ko"":""보조원"",""pt-BR"":""Adjuntas"",""pt"":""Adjuntas"",""nl"":""Adjunta's"",""hr"":""Adjuntas"",""fa"":""دستیاران"",""de"":""Adjuntas"",""es"":""Adjuntas"",""fr"":""Adjuntas"",""ja"":""補佐官"",""it"":""Addetti"",""zh-CN"":""阿洪塔斯"",""tr"":""Yardımcılar"",""ru"":""Адъюнтас"",""uk"":""Ад'ютанс"",""pl"":""Dodatki"",""hi"":""एडजुंटास"",""ar"":""أدجونتاس""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q1864884
153550,Aguada,5135,003,178,PR,adm1,,,18.38015790,-67.18870400,Aguada,4040,America/Puerto_Rico,"{""br"":""Aguada"",""ko"":""아과다"",""pt-BR"":""Aguada"",""pt"":""Aguada"",""nl"":""Aguada"",""hr"":""Aguada"",""fa"":""آگوادا"",""de"":""Aguada"",""es"":""Aguada"",""fr"":""Aguada"",""ja"":""アグアダ"",""it"":""Aguada"",""zh-CN"":""阿瓜达"",""tr"":""Aguada"",""ru"":""Агуада"",""uk"":""Агуада"",""pl"":""Aguada"",""hi"":""अगुआडा"",""ar"":""أغوادا""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q365641
153551,Aguadilla,5136,005,178,PR,adm1,,,18.42744540,-67.15406980,Aguadilla,16073,America/Puerto_Rico,"{""br"":""Aguadilla"",""ko"":""아과딜라"",""pt-BR"":""Aguadilla"",""pt"":""Aguadilla"",""nl"":""Aguadilla"",""hr"":""Aguadilla"",""fa"":""آگوادیلا"",""de"":""Aguadilla"",""es"":""Aguadilla"",""fr"":""Aguadilla"",""ja"":""アグアディヤ"",""it"":""Aguadilla"",""zh-CN"":""阿瓜迪亚"",""tr"":""Aguadilla"",""ru"":""Агуадилья"",""uk"":""Агуаділья"",""pl"":""Aguadilla"",""hi"":""Aguadilla"",""ar"":""أغواديلا""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q397826
153552,Aguas Buenas,5137,007,178,PR,adm1,,,18.25689890,-66.10294420,Aguas Buenas,4576,America/Puerto_Rico,"{""br"":""Aguas Buenas"",""ko"":""아과스 부에나스"",""pt-BR"":""Águas Buenas"",""pt"":""Águas Buenas"",""nl"":""Goed water"",""hr"":""Águas Buenas"",""fa"":""آگواس بوئناس"",""de"":""Aguas Buenas"",""es"":""Aguas Buenas"",""fr"":""Aguas Buenas"",""ja"":""アグアス・ブエナス"",""it"":""Aguas Buenas"",""zh-CN"":""阿瓜斯布埃纳斯"",""tr"":""Aguas Buenas"",""ru"":""Агуас Буэнас"",""uk"":""Агуас-Буенас"",""pl"":""Aguas Buenas"",""hi"":""अगुआस बुएनास"",""ar"":""أغواس بويناس""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q2361568
153553,Aibonito,5138,009,178,PR,adm1,,,18.13995940,-66.26600160,Aibonito,8947,America/Puerto_Rico,"{""br"":""Aibonito"",""ko"":""아이보니토"",""pt-BR"":""Aibonito"",""pt"":""Aibonito"",""nl"":""Aibonito"",""hr"":""Aibonito"",""fa"":""آیبونیتو"",""de"":""Aibonito"",""es"":""Aibonito"",""fr"":""Aibonito"",""ja"":""アイボニート"",""it"":""Aibonito"",""zh-CN"":""艾博尼托"",""tr"":""Aibonito"",""ru"":""Айбонито"",""uk"":""Айбоніто"",""pl"":""Aibonito"",""hi"":""ऐबोनिटो"",""ar"":""أيبونيتو""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q2485628
153554,Añasco,5139,011,178,PR,adm1,,,18.28544760,-67.14029350,Añasco,6136,America/Puerto_Rico,"{""br"":""Añasco"",""ko"":""아냐스코"",""pt-BR"":""Añasco"",""pt"":""Añasco"",""nl"":""Añasco"",""hr"":""Añasco"",""fa"":""آناسکو"",""de"":""Añasco"",""es"":""Añasco"",""fr"":""Añasco"",""ja"":""アニャスコ"",""it"":""Añasco"",""zh-CN"":""阿尼亚斯科"",""tr"":""Anasco"",""ru"":""Аньяско"",""uk"":""Аньяско"",""pl"":""Añasco"",""hi"":""एनास्को"",""ar"":""أنياسكو""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q2390910
153555,Arecibo,5081,AR,178,PR,adm1,,,18.47051370,-66.72184720,Arecibo,,America/Puerto_Rico,"{""br"":""Arecibo"",""ko"":""아레시보"",""pt-BR"":""Arecibo"",""pt"":""Arecibo"",""nl"":""Arecibo"",""hr"":""Arecibo"",""fa"":""آرسیبو"",""de"":""Arecibo"",""es"":""Arecibo"",""fr"":""Arecibo"",""ja"":""アレシボ"",""it"":""Arecibo"",""zh-CN"":""阿雷西博"",""tr"":""Arecibo"",""ru"":""Аресибо"",""uk"":""Аресібо"",""pl"":""Arecibo"",""hi"":""अरेसीबो"",""ar"":""أريسيبو""}",2023-07-29T04:08:22,2025-12-02T17:11:50,1,Q640728
153556,Arroyo,5141,015,178,PR,city,,,17.99642200,-66.09248790,Cauce seco de un río,,America/Puerto_Rico,"{""br"":""Arroyo"",""ko"":""아로요"",""pt-BR"":""Arroio"",""pt"":""Arroio"",""nl"":""Arroyo"",""hr"":""Arroyo"",""fa"":""آرویو"",""de"":""Arroyo"",""es"":""Cauce seco de un río"",""fr"":""Arroyo"",""ja"":""アロヨ"",""it"":""Arroyo"",""zh-CN"":""阿罗约"",""tr"":""Arroyo"",""ru"":""Арройо"",""uk"":""Арройо"",""pl"":""Arroyo"",""hi"":""अरोयो"",""ar"":""أرويو""}",2023-07-29T04:08:22,2025-12-02T17:11:50,1,Q344528
153557,Barceloneta,5142,017,178,PR,city,,,41.38010610,2.18969570,Barceloneta,,America/Puerto_Rico,"{""br"":""Barceloneta"",""ko"":""바르셀로네타"",""pt-BR"":""Barceloneta"",""pt"":""Barceloneta"",""nl"":""Barceloneta"",""hr"":""Barceloneta"",""fa"":""بارسلونتا"",""de"":""Barceloneta"",""es"":""Barceloneta"",""fr"":""Barceloneta"",""ja"":""バルセロネータ"",""it"":""Barceloneta"",""zh-CN"":""巴塞罗内塔"",""tr"":""Barselona"",""ru"":""Барселонета"",""uk"":""Барселонета"",""pl"":""Barceloneta"",""hi"":""Barceloneta"",""ar"":""برشلونيتا""}",2023-07-29T04:08:22,2025-12-02T16:59:27,1,Q526438
153558,Barranquitas,5143,019,178,PR,adm1,,,18.18662420,-66.30628020,Barranquita,3021,America/Puerto_Rico,"{""br"":""Barranquitas"",""ko"":""바랑키타스"",""pt-BR"":""Barranquitas"",""pt"":""Barranquitas"",""nl"":""Barranquitas"",""hr"":""Barranquitas"",""fa"":""بارانکیتاس"",""de"":""Barranquitas"",""es"":""Barranquitas"",""fr"":""Barranquitas"",""ja"":""バランキータス"",""it"":""Barranquitas"",""zh-CN"":""巴兰基塔斯"",""tr"":""Barranquitas"",""ru"":""Барранкитас"",""uk"":""Барранкітас"",""pl"":""Barranquitas"",""hi"":""बैरेंक्विटास"",""ar"":""بارانكيتاس""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q2485615
153559,Bayamón,5076,BY,178,PR,adm1,,,18.38939600,-66.16532240,Bayamón,,America/Puerto_Rico,"{""br"":""Bayamón"",""ko"":""바야몬"",""pt-BR"":""Bayamón"",""pt"":""Bayamón"",""nl"":""Bayamón"",""hr"":""Bayamón"",""fa"":""بایامون"",""de"":""Bayamón"",""es"":""Bayamón"",""fr"":""Bayamón"",""ja"":""バヤモン"",""it"":""Bayamón"",""zh-CN"":""巴亚蒙"",""tr"":""Bayamon"",""ru"":""Баямон"",""uk"":""Баямон"",""pl"":""Bayamón"",""hi"":""बयामोन"",""ar"":""بايامون""}",2023-07-29T04:08:22,2025-12-02T17:11:50,1,Q739675
153560,Cabo Rojo,5145,023,178,PR,adm1,,,18.08662650,-67.14573470,Cabo Rojo,10839,America/Puerto_Rico,"{""br"":""Cabo Rojo"",""ko"":""카보 로호"",""pt-BR"":""Cabo Rojo"",""pt"":""Cabo Rojo"",""nl"":""Kaap Rood"",""hr"":""Cabo Rojo"",""fa"":""کابو روخو"",""de"":""Cabo Rojo"",""es"":""Cabo Rojo"",""fr"":""Cap Rojo"",""ja"":""カボ・ロホ"",""it"":""Capo Rosso"",""zh-CN"":""卡沃罗霍"",""tr"":""Cabo Rojo"",""ru"":""Кабо Рохо"",""uk"":""Кабо-Рохо"",""pl"":""Cabo Rojo"",""hi"":""काबो रोजो"",""ar"":""كابو روجو""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q396221
153561,Caguas,5079,CG,178,PR,adm1,,,18.23879950,-66.03524900,Caguas,,America/Puerto_Rico,"{""br"":""Caguas"",""ko"":""카과스"",""pt-BR"":""Caguas"",""pt"":""Caguas"",""nl"":""Caguas"",""hr"":""Caguas"",""fa"":""کاگواس"",""de"":""Caguas"",""es"":""Caguas"",""fr"":""Caguas"",""ja"":""カグアス"",""it"":""Caguas"",""zh-CN"":""卡瓜斯"",""tr"":""Caguas"",""ru"":""Кагуас"",""uk"":""Кагуас"",""pl"":""Caguas"",""hi"":""कैगुआस"",""ar"":""كاغواس""}",2023-07-29T04:08:22,2025-12-02T17:11:50,1,Q527268
153562,Camuy,5147,027,178,PR,adm1,,,18.48383300,-66.84489940,Camuleta,4240,America/Puerto_Rico,"{""br"":""Camuy"",""ko"":""카무이"",""pt-BR"":""Camuy"",""pt"":""Camuy"",""nl"":""Camuy"",""hr"":""Camuy"",""fa"":""کاموی"",""de"":""Camuy"",""es"":""Camuy"",""fr"":""Camuy"",""ja"":""カムイ"",""it"":""Camuy"",""zh-CN"":""卡穆伊"",""tr"":""Camuy"",""ru"":""Камуй"",""uk"":""Камуй"",""pl"":""Camuy"",""hi"":""कामुय"",""ar"":""كاموي""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q2380860
153563,Canóvanas,5148,029,178,PR,adm1,,,18.37487480,-65.89975330,Canóvanas,8437,America/Puerto_Rico,"{""br"":""Kanóvanoù"",""ko"":""카노바나스"",""pt-BR"":""Canóvanas"",""pt"":""Canóvanas"",""nl"":""Canóvanas"",""hr"":""Canóvanas"",""fa"":""کانواناس"",""de"":""Canóvanas"",""es"":""Canóvanas"",""fr"":""Canóvanas"",""ja"":""カノバナス"",""it"":""Canóvanas"",""zh-CN"":""卡诺瓦纳斯"",""tr"":""Canóvanas"",""ru"":""Канованас"",""uk"":""Канованас"",""pl"":""Canóvanas"",""hi"":""CANOVANAS"",""ar"":""كانوفاناس""}",2023-07-29T04:08:22,2025-12-02T14:39:31,1,Q2361552
153564,Carolina,5077,CL,178,PR,adm1,,,18.36808770,-66.04247340,Carolina,,America/Puerto_Rico,"{""br"":""Carolina"",""ko"":""캐롤라이나"",""pt-BR"":""Carolina"",""pt"":""Carolina"",""nl"":""Carolina"",""hr"":""Karolina"",""fa"":""کارولینا"",""de"":""Carolina"",""es"":""Carolina"",""fr"":""Caroline"",""ja"":""カロライナ"",""it"":""Carolina"",""zh-CN"":""卡罗莱纳"",""tr"":""Karolina"",""ru"":""Каролина"",""uk"":""Кароліна"",""pl"":""Karolina"",""hi"":""कैरोलिना"",""ar"":""كارولينا""}",2023-07-29T04:08:22,2025-12-02T17:11:50,1,Q729639
153565,Cataño,5150,033,178,PR,adm1,,,18.44653550,-66.13557750,Cataño,,America/Puerto_Rico,"{""br"":""Katano"",""ko"":""카타뇨"",""pt-BR"":""Cataño"",""pt"":""Cataño"",""nl"":""Cataño"",""hr"":""Cataño"",""fa"":""کاتانو"",""de"":""Cataño"",""es"":""Cataño"",""fr"":""Cataño"",""ja"":""カタニョ"",""it"":""Cataño"",""zh-CN"":""卡塔尼奥"",""tr"":""Cataño"",""ru"":""Катаньо"",""uk"":""Катаньо"",""pl"":""Cataño"",""hi"":""Catano"",""ar"":""كاتانو""}",2023-07-29T04:08:22,2025-12-02T17:11:50,1,Q768483
