id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
153950,Battir,5118,BTH,169,PS,settlement,,,31.72821540,35.11743230,بتير,56746,Asia/Hebron,"{""br"":""Battir"",""ko"":""바티르"",""pt-BR"":""Battir"",""pt"":""Battir"",""nl"":""Battir"",""hr"":""Battir"",""fa"":""باتیر"",""de"":""Battir"",""es"":""Battir"",""fr"":""Battir"",""ja"":""バティール"",""it"":""Battir"",""zh-CN"":""巴蒂尔"",""tr"":""Battir"",""ru"":""Баттир"",""uk"":""Баттір"",""pl"":""Battir"",""hi"":""बत्तिर"",""ar"":""بتير""}",2024-10-11T05:46:59,2025-12-02T14:39:55,1,Q2915285
153951,Beit Fajjar,5118,BTH,169,PS,city,,,31.62166990,35.13430330,بيت فجار,,Asia/Gaza,"{""br"":""Beit Fajjar"",""ko"":""베이트 파자르"",""pt-BR"":""Beit Fajjar"",""pt"":""Beit Fajjar"",""nl"":""Beit Fajjar"",""hr"":""Beit Fajjar"",""fa"":""بیت فجار"",""de"":""Beit Fajjar"",""es"":""Beit Fajjar"",""fr"":""Beit Fajjar"",""ja"":""ベイト・ファジャール"",""it"":""Beit Fajjar"",""zh-CN"":""贝特法杰尔"",""tr"":""Beit Fajar"",""ru"":""Бейт Фаджар"",""uk"":""Бейт-Фаджар"",""pl"":""Beit Fajjar"",""hi"":""बेत फज्जर"",""ar"":""بيت فجار""}",2024-10-11T05:46:59,2025-12-02T17:11:50,1,Q4881435
153952,Beit Jala,5118,BTH,169,PS,city,,,31.71603340,35.16654930,بيت جالا,9003,Asia/Hebron,"{""br"":""Beit Jala"",""ko"":""베이트 잘라"",""pt-BR"":""Beit Jala"",""pt"":""Beit Jala"",""nl"":""Beit Jala"",""hr"":""Bejt Džala"",""fa"":""بیت جلا"",""de"":""Beit Jala"",""es"":""Beit Jala"",""fr"":""Beit Jala"",""ja"":""ベイト・ジャラ"",""it"":""Beit Jala"",""zh-CN"":""贝特贾拉"",""tr"":""Beyt Cela"",""ru"":""Бейт-Джала"",""uk"":""Бейт-Джала"",""pl"":""Beit Jala"",""hi"":""बेत जाला"",""ar"":""بيت جالا""}",2024-10-11T05:46:59,2025-12-02T14:39:55,1,Q803984
153953,Beit Sahour,5118,BTH,169,PS,city,,,31.69787040,35.20793030,بيت ساحور,,Asia/Gaza,"{""br"":""Beit Sahour"",""ko"":""베이트 사후르"",""pt-BR"":""Beit Sahour"",""pt"":""Beit Sahour"",""nl"":""Beit Sahour"",""hr"":""Beit Sahour"",""fa"":""بیت ساحور"",""de"":""Beit Sahour"",""es"":""Beit Sahour"",""fr"":""Beit Sahour"",""ja"":""ベイト・サフール"",""it"":""Beit Sahour"",""zh-CN"":""贝特萨胡尔"",""tr"":""Beit Sahur"",""ru"":""Бейт Сахур"",""uk"":""Бейт-Сахур"",""pl"":""Beit Sahour"",""hi"":""बेत सहौर"",""ar"":""بيت ساحور""}",2024-10-11T05:46:59,2025-12-02T17:11:50,1,Q803990
153954,Bethlehem,5118,BTH,169,PS,city,,,31.70541650,35.18184280,بيت لحم,,Asia/Gaza,"{""br"":""Betlehem"",""ko"":""베들레헴"",""pt-BR"":""Belém"",""pt"":""Belém"",""nl"":""Bethlehem"",""hr"":""Betlehem"",""fa"":""بیت‌لحم"",""de"":""Bethlehem"",""es"":""Belén"",""fr"":""Bethléem"",""ja"":""ベツレヘム"",""it"":""Betlemme"",""zh-CN"":""伯利恒"",""tr"":""Beytüllahim"",""ru"":""Вифлеем"",""uk"":""Віфлеєм"",""pl"":""Betlejem"",""hi"":""बेतलेहेम"",""ar"":""بيت لحم""}",2024-10-11T05:46:59,2025-12-02T17:11:50,1,Q5776
153955,Al-Dawha,5118,BTH,169,PS,city,,,31.69773990,35.14595450,الدوحة,,Asia/Gaza,"{""br"":""Al-Dawha"",""ko"":""알-다와"",""pt-BR"":""Al-Dawha"",""pt"":""Al-Dawha"",""nl"":""Al-Dawha"",""hr"":""Al-Dawha"",""fa"":""الدوحه"",""de"":""Al-Dawha"",""es"":""Al-Dawha"",""fr"":""Al-Dawha"",""ja"":""アル・ダウハ"",""it"":""Al-Dawha"",""zh-CN"":""达瓦"",""tr"":""El-Davha"",""ru"":""Аль-Дауха"",""uk"":""Аль-Дауха"",""pl"":""Al-Dawha"",""hi"":""अल-दावा"",""ar"":""الدوحة""}",2024-10-11T05:46:59,2025-12-02T17:11:50,1,Q4702335
153956,Husan,5118,BTH,169,PS,city,,,31.70846040,35.11282530,حوسان,,Asia/Gaza,"{""br"":""Husan"",""ko"":""후산"",""pt-BR"":""Husan"",""pt"":""Husan"",""nl"":""Husan"",""hr"":""Husan"",""fa"":""حسین"",""de"":""Husan"",""es"":""Husan"",""fr"":""Husan"",""ja"":""フサン"",""it"":""Husan"",""zh-CN"":""胡桑"",""tr"":""Hüseyin"",""ru"":""Хусан"",""uk"":""Хусан"",""pl"":""Husan"",""hi"":""हुस्न"",""ar"":""حوسان""}",2024-10-11T05:46:59,2025-12-02T17:11:50,1,Q5948939
153957,al-Khader,5118,BTH,169,PS,settlement,,,31.69484540,35.15014530,الخضر,10088,Asia/Hebron,"{""br"":""al-Khader"",""ko"":""알-카데르"",""pt-BR"":""al-Khader"",""pt"":""al-Khader"",""nl"":""al-Khader"",""hr"":""al-Khader"",""fa"":""الخادر"",""de"":""al-Khader"",""es"":""Al-Khader"",""fr"":""al-Khader"",""ja"":""アル・カデル"",""it"":""al-Khader"",""zh-CN"":""阿尔·卡德尔"",""tr"":""el-Hadir"",""ru"":""аль-Хадер"",""uk"":""аль-Хадер"",""pl"":""Al-Khader"",""hi"":""अल खादर"",""ar"":""الخضر""}",2024-10-11T05:46:59,2025-12-02T14:39:55,1,Q1996562
153958,Nahalin,5118,BTH,169,PS,settlement,,,31.68564240,35.09976230,نحالين,1021,Asia/Hebron,"{""br"":""Nahalin"",""ko"":""나할린"",""pt-BR"":""Nahalin"",""pt"":""Nahalin"",""nl"":""Nahalin"",""hr"":""Nahalin"",""fa"":""نهالین"",""de"":""Nahalin"",""es"":""Nahalin"",""fr"":""Nahalin"",""ja"":""ナハリン"",""it"":""Nahalin"",""zh-CN"":""纳哈林"",""tr"":""Nahalin"",""ru"":""Нахалин"",""uk"":""Нахалін"",""pl"":""Nahalin"",""hi"":""नाहलिन"",""ar"":""نحالين""}",2024-10-11T05:46:59,2025-12-02T14:39:55,1,Q2898800
153959,Tuqu',5118,BTH,169,PS,city,,,31.63912740,35.19189030,توكو,1397,Asia/Hebron,"{""br"":""Tuqu'"",""ko"":""투쿠"",""pt-BR"":""Tuqu'"",""pt"":""Tuqu'"",""nl"":""Tuqu'"",""hr"":""Tuqu'"",""fa"":""توقو"",""de"":""Tuqu'"",""es"":""Tuqu'"",""fr"":""Tuqu'"",""ja"":""トゥク"",""it"":""Tuqu'"",""zh-CN"":""土曲"",""tr"":""Tuqu'"",""ru"":""Туку"",""uk"":""Туку"",""pl"":""Tuqu'"",""hi"":""तुकू'"",""ar"":""توكو""}",2024-10-11T05:46:59,2025-12-02T14:39:55,1,Q2448610
