id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
88904,A dos Cunhados,2228,11,177,PT,city,,,39.15237000,-9.29720000,A dos Cunhados,6594,Europe/Lisbon,"{""br"":""A dos Cunhados"",""ko"":""아 도스 쿠냐두스"",""pt-BR"":""A dos Cunhados"",""pt"":""A dos Cunhados"",""nl"":""A dos Cunhados"",""hr"":""A dos Cunhados"",""fa"":""آ دوس کونهادوس"",""de"":""A dos Cunhados"",""es"":""A dos Cunhados"",""fr"":""À dos Cunhados"",""ja"":""ア・ドス・クニャドス"",""it"":""A dos Cunhados"",""zh-CN"":""阿多斯库尼亚多斯"",""tr"":""A dos Cunhados"",""ru"":""A dos Cunhados"",""uk"":""А-дус-Кунхадос"",""pl"":""A dos Cunhados"",""hi"":""A dos Cunhados"",""ar"":""A dos Cunhados""}",2019-10-06T10:14:32,2025-12-02T14:39:31,1,Q300626
88905,A dos Francos,2240,10,177,PT,city,,,39.32272000,-9.04743000,A dos Francos,1797,Europe/Lisbon,"{""br"":""A dos Francos"",""ko"":""아 도스 프랑코스"",""pt-BR"":""A dos Francos"",""pt"":""A dos Francos"",""nl"":""A dos Francos"",""hr"":""A dos Francos"",""fa"":""آ دوس فرانکوس"",""de"":""A dos Francos"",""es"":""A dos Francos"",""fr"":""À dos Francos"",""ja"":""ア・ドス・フランコス"",""it"":""A dos Francos"",""zh-CN"":""弗朗科斯"",""tr"":""A dos Francos"",""ru"":""A dos Francos"",""uk"":""А-дус-Франкос"",""pl"":""A dos Francos"",""hi"":""ए डॉस फ्रैंकोस"",""ar"":""A dos Francos""}",2019-10-06T10:14:32,2025-12-02T14:38:56,1,Q300627
88906,Abrantes,2238,14,177,PT,adm2,,,39.46667000,-8.20000000,Abrantes,13646,Europe/Lisbon,"{""br"":""Abrantes"",""ko"":""아브란테스"",""pt-BR"":""Abrantes"",""pt"":""Abrantes"",""nl"":""Abrantes"",""hr"":""Abrantes"",""fa"":""آبرانتس"",""de"":""Abrantes"",""es"":""Abrantes"",""fr"":""Abrantes"",""ja"":""アブランテス"",""it"":""Abrantes"",""zh-CN"":""阿布兰特什"",""tr"":""Abartılılar"",""ru"":""Абрантеш"",""uk"":""Абрантес"",""pl"":""Abrantes"",""hi"":""एबरेन्तीज़"",""ar"":""أبرانتيس""}",2019-10-06T10:14:32,2025-12-02T14:39:31,1,Q331191
88907,Abraveses,2237,18,177,PT,city,,,40.68137000,-7.92102000,Você se abraçou,9319,Europe/Lisbon,"{""br"":""Abraveses"",""ko"":""아브라베세스"",""pt-BR"":""Abraveses"",""pt"":""Abraveses"",""nl"":""Abraveses"",""hr"":""Abraveses"",""fa"":""آبراوز"",""de"":""Abraveses"",""es"":""Abraveses"",""fr"":""Abraveses"",""ja"":""アブラベセス"",""it"":""Abraveses"",""zh-CN"":""阿布拉韦塞斯"",""tr"":""Aşındırıcılar"",""ru"":""Абравесы"",""uk"":""Абравезес"",""pl"":""Abraveses"",""hi"":""अब्रावेसेस"",""ar"":""أبرافسيس""}",2019-10-06T10:14:32,2025-12-02T14:38:56,1,Q168332
88908,Abrigada,2228,11,177,PT,city,,,39.14416000,-9.01853000,Abrigada,3416,Europe/Lisbon,"{""br"":""Abrigada"",""ko"":""아브리가다"",""pt-BR"":""Abrigada"",""pt"":""Abrigada"",""nl"":""Abrigada"",""hr"":""Abrigada"",""fa"":""آبیرگادا"",""de"":""Abrigada"",""es"":""Abrigada"",""fr"":""Abritée"",""ja"":""アブリガダ"",""it"":""Abrigada"",""zh-CN"":""阿布里加达"",""tr"":""Abrigada"",""ru"":""Абригада"",""uk"":""Абригада"",""pl"":""Abrigada"",""hi"":""अब्रीगाडा"",""ar"":""أبريغادا""}",2019-10-06T10:14:32,2025-12-02T14:38:56,1,Q331438
88909,Adaúfe,2244,03,177,PT,city,,,41.58732000,-8.39817000,Aduairfe,3850,Europe/Lisbon,"{""br"":""Adaúfe"",""ko"":""아다우페"",""pt-BR"":""Adaúfe"",""pt"":""Adaúfe"",""nl"":""Adaúfe"",""hr"":""Adaúfe"",""fa"":""آداوفه"",""de"":""Adaúfe"",""es"":""Adaúfe"",""fr"":""Adaúfe"",""ja"":""アダウフェ"",""it"":""Adaúfe"",""zh-CN"":""阿达乌费"",""tr"":""Adaúfe"",""ru"":""Адауфе"",""uk"":""Адауфе"",""pl"":""Adaúfe"",""hi"":""अडाउफ़े"",""ar"":""أداوفي""}",2019-10-06T10:14:32,2025-12-02T14:38:56,1,Q49343987
88910,Aguada de Cima,2235,01,177,PT,city,,,40.52291000,-8.42700000,Cima Aguada,4013,Europe/Lisbon,"{""br"":""Aguada de Cima"",""ko"":""아과다 데 시마"",""pt-BR"":""Aguada de Cima"",""pt"":""Aguada de Cima"",""nl"":""Water van Cima"",""hr"":""Aguada de Cima"",""fa"":""آگوادا د سیما"",""de"":""Aguada de Cima"",""es"":""Aguada de Cima"",""fr"":""Aguada de Cima"",""ja"":""アグアダ・デ・シマ"",""it"":""Aguada de Cima"",""zh-CN"":""西马阿瓜达"",""tr"":""Aguada de Cima"",""ru"":""Агуада де Сима"",""uk"":""Агуада-де-Сіма"",""pl"":""Aguada de Cima"",""hi"":""अगुआडा डे सीमा"",""ar"":""أغوادا دي سيما""}",2019-10-06T10:14:32,2025-12-02T14:38:56,1,Q338043
88911,Aguçadoura,2243,13,177,PT,city,,,41.43116000,-8.77844000,Aguçadoura,4521,Europe/Lisbon,"{""br"":""Aguçadoura"",""ko"":""아구사도우라"",""pt-BR"":""Aguçadoura"",""pt"":""Aguçadoura"",""nl"":""Aguçadoura"",""hr"":""Aguçadoura"",""fa"":""آگوچادورا"",""de"":""Aguçadoura"",""es"":""Aguçadoura"",""fr"":""Aguçadoura"",""ja"":""アグサドゥラ"",""it"":""Aguçadoura"",""zh-CN"":""阿古萨多拉"",""tr"":""Aguçadoura"",""ru"":""Агусадура"",""uk"":""Агусадура"",""pl"":""Aguçadoura"",""hi"":""अगुसाडौरा"",""ar"":""أغوسادورا""}",2019-10-06T10:14:32,2025-12-02T14:39:31,1,Q49344006
88912,Alandroal,2236,07,177,PT,city,,,38.62924000,-7.36599000,ALANDROAL,5843,Europe/Lisbon,"{""br"":""Alandroal"",""ko"":""알란드로알"",""pt-BR"":""Alandroal"",""pt"":""Alandroal"",""nl"":""Alandroal"",""hr"":""Alandroal"",""fa"":""آلاندروال"",""de"":""Alandroal"",""es"":""Alandroal"",""fr"":""Alandroal"",""ja"":""アランドロアル"",""it"":""Alandroal"",""zh-CN"":""阿兰德罗尔"",""tr"":""Alandroal"",""ru"":""Аландроал"",""uk"":""Аландроал"",""pl"":""Alandroal"",""hi"":""एलैंड्रोअल"",""ar"":""ألاندروال""}",2019-10-06T10:14:32,2025-12-02T16:59:27,1,Q726910
88913,Albergaria-a-Velha,2235,01,177,PT,city,,,40.68706000,-8.50399000,Albergaria-a-Velha,7974,Europe/Lisbon,"{""br"":""Albergaria-a-Velha"",""ko"":""알베르가리아-아-벨라"",""pt-BR"":""Albergaria-a-Velha"",""pt"":""Albergaria-a-Velha"",""nl"":""Albergaria-a-Velha"",""hr"":""Albergaria-a-Velha"",""fa"":""آلبرگاریا-آ-ولها"",""de"":""Albergaria-a-Velha"",""es"":""Albergaria-a-Velha"",""fr"":""Albergaria-a-Velha"",""ja"":""アルベルガリア・ア・ヴェーリャ"",""it"":""Albergaria-a-Velha"",""zh-CN"":""旧阿尔贝加里亚"",""tr"":""Albergaria-a-Velha"",""ru"":""Albergaria-a-Velha"",""uk"":""Альбергарія-а-Велья"",""pl"":""Albergaria-a-Velha"",""hi"":""अल्बर्गारिया-ए-वेल्हा"",""ar"":""ألبيرغاريا-أ-فيلها""}",2019-10-06T10:14:32,2025-12-02T17:11:50,1,Q1870321
