id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
89700,Angaur State,4538,010,168,PW,adm1,,,6.90601000,134.12997000,Angaur State,188,Pacific/Palau,"{""br"":""Angaur"",""ko"":""앙가우르 주"",""pt-BR"":""Angaur"",""pt"":""Angaur"",""nl"":""Angaur-staat"",""hr"":""Angaur"",""fa"":""ایالت آنگائور"",""de"":""Bundesstaat Angaur"",""es"":""Angaur"",""fr"":""Angaur"",""ja"":""アンガウル州"",""it"":""Angaur"",""zh-CN"":""安加尔州"",""tr"":""Angaur Eyaleti"",""ru"":""Ангаур"",""uk"":""Ангаур"",""pl"":""Angaur"",""hi"":""अंगौर राज्य"",""ar"":""ولاية أنجور""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q275862
89701,Imeong Hamlet,4541,227,168,PW,adm1,,,7.53134000,134.52713000,Imeong Hamlet,132,Pacific/Palau,"{""br"":""Imeong Hamlet"",""ko"":""이멍 햄릿"",""pt-BR"":""Aldeia de Imeong"",""pt"":""Aldeia de Imeong"",""nl"":""Imeong Hamlet"",""hr"":""Imeong Hamlet"",""fa"":""ایمئونگ هملت"",""de"":""Imeong Hamlet"",""es"":""Imeong Hamlet"",""fr"":""Hameau d'Imeong"",""ja"":""イメオン村"",""it"":""Imeong Hamlet"",""zh-CN"":""伊明村"",""tr"":""Imeong Köyü"",""ru"":""Имеонг Гамлет"",""uk"":""Гамлет Імеонг"",""pl"":""Hamlet Imeong"",""hi"":""इमेओंग हैमलेट"",""ar"":""إيميونغ هاملت""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q2640394
89702,Kayangel,4539,100,168,PW,adm1,,,8.08228000,134.71725000,Kayael,188,Pacific/Palau,"{""br"":""Kayangel"",""ko"":""카얀젤"",""pt-BR"":""Kayangel"",""pt"":""Kayangel"",""nl"":""Kayangel"",""hr"":""Kayangel"",""fa"":""کایانجل"",""de"":""Kayangel"",""es"":""Kayangel"",""fr"":""Kayangel"",""ja"":""カヤンゲル"",""it"":""Kayangel"",""zh-CN"":""凯安吉尔"",""tr"":""Kayangel"",""ru"":""Каянгел"",""uk"":""Каянгел"",""pl"":""Kayangel"",""hi"":""कायंगल"",""ar"":""كايانجيل""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q2640394
89703,Kloulklubed,4526,350,168,PW,adm1,,,7.04192000,134.25561000,Kloulklubed,702,Pacific/Palau,"{""br"":""Kloulklubed"",""ko"":""클루클루베드"",""pt-BR"":""Kloulklubed"",""pt"":""Kloulklubed"",""nl"":""Kloulklubed"",""hr"":""Kloulklubed"",""fa"":""کلولکلوبد"",""de"":""Kloulklubed"",""es"":""Lubricado con kloulk"",""fr"":""Kloulklubed"",""ja"":""クロウルクルベド"",""it"":""Kloulklubed"",""zh-CN"":""克鲁克俱乐部"",""tr"":""Kloulklubed"",""ru"":""Клоулклубед"",""uk"":""Клоулклубед"",""pl"":""Kloulklubed"",""hi"":""क्लौल्कलुबेड"",""ar"":""كلولكلوبيد""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q2560228
89704,Koror,4532,150,168,PW,adm1,,,7.33978000,134.47326000,Increase,14000,Pacific/Palau,"{""br"":""Koror"",""ko"":""코로르"",""pt-BR"":""Koror"",""pt"":""Koror"",""nl"":""Koror"",""hr"":""Koror"",""fa"":""کورور"",""de"":""Koror"",""es"":""Koror"",""fr"":""Koror"",""ja"":""コロール"",""it"":""Koror"",""zh-CN"":""科罗尔"",""tr"":""Koror"",""ru"":""Корор"",""uk"":""Корор"",""pl"":""Koror"",""hi"":""कोरोर"",""ar"":""كورور""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q527748
89706,Melekeok Village,4530,212,168,PW,adm1,,,7.49567000,134.63671000,Melekeok Village,271,Pacific/Palau,"{""br"":""Kêriadenn Melekeok"",""ko"":""멜레케오크 마을"",""pt-BR"":""Vila Melekeok"",""pt"":""Vila Melekeok"",""nl"":""Melekeok Dorp"",""hr"":""Selo Melekeok"",""fa"":""روستای ملکوک"",""de"":""Melekeok-Dorf"",""es"":""Pueblo de Melekeok"",""fr"":""Village de Melekeok"",""ja"":""メレケオク村"",""it"":""Villaggio di Melekeok"",""zh-CN"":""梅莱凯奥克村"",""tr"":""Melekeok Köyü"",""ru"":""Деревня Мелекеок"",""uk"":""Село Мелекеок"",""pl"":""Wioska Melekeok"",""hi"":""मेलेकेओक गाँव"",""ar"":""قرية ميليكيوك""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q154002
89707,Mengellang,4533,218,168,PW,adm1,,,7.69570000,134.63054000,Crowd,488,Pacific/Palau,"{""br"":""Mengellang"",""ko"":""멩겔랑"",""pt-BR"":""Mengellang"",""pt"":""Mengellang"",""nl"":""Mengellang"",""hr"":""Mengellang"",""fa"":""منگلانگ"",""de"":""Mengellang"",""es"":""Mengellang"",""fr"":""Mengellang"",""ja"":""メンゲラン"",""it"":""Mengellang"",""zh-CN"":""门格朗"",""tr"":""Mengellang"",""ru"":""Менгелланг"",""uk"":""Менгелланг"",""pl"":""Mengellang"",""hi"":""मेंगेलांग"",""ar"":""منجيلانج""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q3001462
89708,Ngardmau,4527,222,168,PW,adm1,,,7.60986000,134.57440000,Kerdown,221,Pacific/Palau,"{""br"":""Ngardmau"",""ko"":""가르드마우"",""pt-BR"":""Ngardmau"",""pt"":""Ngardmau"",""nl"":""Ngardmau"",""hr"":""Ngardmau"",""fa"":""نگاردمائو"",""de"":""Ngardmau"",""es"":""Ngardmau"",""fr"":""Ngardmau"",""ja"":""ンガルドマウ"",""it"":""Ngardmau"",""zh-CN"":""恩加德毛"",""tr"":""Ngardmau"",""ru"":""Нгардмау"",""uk"":""Нгардмау"",""pl"":""Ngardmau"",""hi"":""न्गार्डमाउ"",""ar"":""نغاردماو""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q3001462
89709,Ngchemiangel,4540,002,168,PW,adm1,,,7.44613000,134.47678000,Nzchemiaangel,270,Pacific/Palau,"{""br"":""Ngchemiangel"",""ko"":""응케미안젤"",""pt-BR"":""Ngchemiangel"",""pt"":""Ngchemiangel"",""nl"":""Ngchemiangel"",""hr"":""Ngchemiangel"",""fa"":""نگکمیآنجل"",""de"":""Ngchemiangel"",""es"":""Ngchemiangel"",""fr"":""Ngchemiangel"",""ja"":""ングケミアンジェル"",""it"":""Ngchemiangel"",""zh-CN"":""恩格切米安格尔"",""tr"":""Ngchemiangel"",""ru"":""Нгчемиангел"",""uk"":""Нгчем'янгел"",""pl"":""Ngchemiangel"",""hi"":""न्गकेमियांगेल"",""ar"":""نغشيميانجيل""}",2019-10-06T10:14:37,2025-12-02T14:39:31,1,Q3001462
89710,Ngchesar Hamlet,4536,226,168,PW,adm1,,,7.46932000,134.60991000,Ngchesa Hamlet,300,Pacific/Palau,"{""br"":""Ngchesar Hamlet"",""ko"":""응체사르 햄릿"",""pt-BR"":""Aldeia de Ngchesar"",""pt"":""Aldeia de Ngchesar"",""nl"":""Ngchesar Hamlet"",""hr"":""Ngchesar Hamlet"",""fa"":""نگچسار هملت"",""de"":""Weiler Ngchesar"",""es"":""Aldea de Ngchesar"",""fr"":""Hameau de Ngchesar"",""ja"":""ンチェサール村"",""it"":""Ngchesar Hamlet"",""zh-CN"":""恩格切萨尔村"",""tr"":""Ngchesar Mezrası"",""ru"":""Нгчесар Гамлет"",""uk"":""Гамлет Нгчесар"",""pl"":""Hamlet Ngchesar"",""hi"":""न्गचेसर हैमलेट"",""ar"":""نغتشيسار هاملت""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q3001462
