id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
89716,Abaí,2775,6,172,PY,city,,,-26.03333000,-55.93333000,Abaí,32538,America/Asuncion,"{""br"":""Abaí"",""ko"":""아바이"",""pt-BR"":""Abaí"",""pt"":""Abaí"",""nl"":""Abaí"",""hr"":""Abaí"",""fa"":""آبای"",""de"":""Abaí"",""es"":""Abaí"",""fr"":""Abaí"",""ja"":""アバイ"",""it"":""Abaí"",""zh-CN"":""阿巴伊"",""tr"":""Abaí"",""ru"":""Абай"",""uk"":""Абаї"",""pl"":""Abaí"",""hi"":""Abai"",""ar"":""أباي""}",2019-10-06T10:14:37,2025-12-02T17:11:50,1,Q3481073
89717,Acahay,2774,9,172,PY,adm1,,,-25.91667000,-57.15000000,Acahay,3205,America/Asuncion,"{""br"":""Acahay"",""ko"":""아카하이"",""pt-BR"":""Acahay"",""pt"":""Acahay"",""nl"":""Acahay"",""hr"":""Acahay"",""fa"":""آکاهای"",""de"":""Acahay"",""es"":""Acahay"",""fr"":""Acahay"",""ja"":""アカハイ"",""it"":""Acahay"",""zh-CN"":""阿卡海"",""tr"":""Acahay"",""ru"":""Акахай"",""uk"":""Акахай"",""pl"":""Acahay"",""hi"":""अचाहाय"",""ar"":""أكاهاي""}",2019-10-06T10:14:37,2025-12-02T17:11:50,1,Q926511
89718,Altos,2783,3,172,PY,city,,,-25.26263000,-57.25443000,Altos,4763,America/Asuncion,"{""br"":""Altos"",""ko"":""알토스"",""pt-BR"":""Contraltos"",""pt"":""Contraltos"",""nl"":""Alten"",""hr"":""Altosi"",""fa"":""آلتوس"",""de"":""Altos"",""es"":""Altos"",""fr"":""Altos"",""ja"":""アルトス"",""it"":""Altos"",""zh-CN"":""阿尔托斯"",""tr"":""Altos"",""ru"":""Альтос"",""uk"":""Альтос"",""pl"":""Altos"",""hi"":""अल्टोस"",""ar"":""ألتوس""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q926511
89719,Antequera,2776,2,172,PY,city,,,-24.08526000,-57.20221000,Antequera,2701,America/Asuncion,"{""br"":""Antequera"",""ko"":""안테케라"",""pt-BR"":""Antequera"",""pt"":""Antequera"",""nl"":""Antequera"",""hr"":""Antequera"",""fa"":""آنتکوئرا"",""de"":""Antequera"",""es"":""Antequera"",""fr"":""Antequera"",""ja"":""アンテケラ"",""it"":""Antequera"",""zh-CN"":""安特克拉"",""tr"":""Antequera"",""ru"":""Антекера"",""uk"":""Антекера"",""pl"":""Antequera"",""hi"":""Antequera"",""ar"":""أنتقيرة""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q31884178
89720,Areguá,2777,11,172,PY,adm1,,,-25.31250000,-57.38472000,Areguá,11222,America/Asuncion,"{""br"":""Areguá"",""ko"":""아레구아"",""pt-BR"":""Areguá"",""pt"":""Areguá"",""nl"":""Areguá"",""hr"":""Areguá"",""fa"":""آرگوا"",""de"":""Areguá"",""es"":""Areguá"",""fr"":""Aregua"",""ja"":""アレグア"",""it"":""Areguá"",""zh-CN"":""阿雷瓜"",""tr"":""Areguá"",""ru"":""Арегуа"",""uk"":""Арегуа"",""pl"":""Areguá"",""hi"":""अरेगुआ"",""ar"":""أريغوا""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q31884178
89721,Arquitecto Tomás Romero Pereira,2778,7,172,PY,city,,,-26.48333000,-55.25000000,Arquitecto Tomás Romero Pereira,,America/Asuncion,"{""br"":""Arkitektour Tomás Romero Pereira"",""ko"":""아키텍토 토마스 로메로 페레이라"",""pt-BR"":""Arquiteto Tomás Romero Pereira"",""pt"":""Arquiteto Tomás Romero Pereira"",""nl"":""Arquitecto Tomás Romero Pereira"",""hr"":""Arhitekt Tomás Romero Pereira"",""fa"":""Arquitecto Tomás Romero Pereira"",""de"":""Architekt Tomás Romero Pereira"",""es"":""Arquitecto Tomás Romero Pereira"",""fr"":""Architecte Tomás Romero Pereira"",""ja"":""アーキテクト トマス ロメロ ペレイラ"",""it"":""Architetto Tomás Romero Pereira"",""zh-CN"":""托马斯·罗梅罗·佩雷拉建筑师事务所"",""tr"":""Mimar Tomás Romero Pereira"",""ru"":""Архитектор Томас Ромеро Перейра"",""uk"":""Архітектор Томас Ромеро Перейра"",""pl"":""Arquitecto Tomás Romero Pereira"",""hi"":""आर्किटेक्टो टॉमस रोमेरो परेरा"",""ar"":""Arquitecto توماس روميرو بيريرا""}",2019-10-06T10:14:37,2025-12-02T17:11:50,1,Q31884178
89722,Arroyos y Esteros,2783,3,172,PY,city,,,-25.05478000,-57.09873000,Arroyos y Esteros,2455,America/Asuncion,"{""br"":""Arroyos y Esteros"",""ko"":""아로요스와 에스테로스"",""pt-BR"":""Arroios e Esteros"",""pt"":""Arroios e Esteros"",""nl"":""Arroyos y Esteros"",""hr"":""Arroyos i Esteros"",""fa"":""آرویوس و استروس"",""de"":""Arroyos y Esteros"",""es"":""Arroyos y Esteros"",""fr"":""Arroyos y Esteros"",""ja"":""アロヨス・イ・エステロス"",""it"":""Arroyos y Esteros"",""zh-CN"":""阿罗约斯和埃斯特罗斯"",""tr"":""Arroyos ve Esteros"",""ru"":""Арройос и Эстерос"",""uk"":""Арройос-і-Естерос"",""pl"":""Arroyos y Esteros"",""hi"":""अरोयोस वाई एस्टेरोस"",""ar"":""أرويوس وإستيروس""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q2639218
89723,Atyrá,2783,3,172,PY,city,,,-25.27876000,-57.17192000,Atirá,4768,America/Asuncion,"{""br"":""Atyrá"",""ko"":""아티라"",""pt-BR"":""Atyrá"",""pt"":""Atyrá"",""nl"":""Atyrá"",""hr"":""Atyrá"",""fa"":""آتیرا"",""de"":""Atyrá"",""es"":""Atyrá"",""fr"":""Atyra"",""ja"":""アティラ"",""it"":""Atyrá"",""zh-CN"":""阿提拉"",""tr"":""Atyrá"",""ru"":""Атыра"",""uk"":""Атира"",""pl"":""Atyra"",""hi"":""अतिरा"",""ar"":""أتيرا""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q2639218
89724,Bella Vista,2778,7,172,PY,city,,,-27.05000000,-55.55000000,Hermosa vista,5653,America/Asuncion,"{""br"":""Bella Vista"",""ko"":""벨라 비스타"",""pt-BR"":""Bella Vista"",""pt"":""Bella Vista"",""nl"":""Prachtig uitzicht"",""hr"":""Bella Vista"",""fa"":""بلا ویستا"",""de"":""Bella Vista"",""es"":""Bella Vista"",""fr"":""Bella Vista"",""ja"":""ベラビスタ"",""it"":""Bella Vista"",""zh-CN"":""贝拉维斯塔"",""tr"":""Bella Vista"",""ru"":""Белла Виста"",""uk"":""Белла Віста"",""pl"":""Bella Vista"",""hi"":""बेला विस्टा"",""ar"":""بيلا فيستا""}",2019-10-06T10:14:37,2025-12-02T17:11:50,1,Q2639218
89725,Bella Vista,2782,13,172,PY,city,,,-22.13333000,-56.51667000,Hermosa vista,5653,America/Asuncion,"{""br"":""Bella Vista"",""ko"":""벨라 비스타"",""pt-BR"":""Bella Vista"",""pt"":""Bella Vista"",""nl"":""Prachtig uitzicht"",""hr"":""Bella Vista"",""fa"":""بلا ویستا"",""de"":""Bella Vista"",""es"":""Bella Vista"",""fr"":""Bella Vista"",""ja"":""ベラビスタ"",""it"":""Bella Vista"",""zh-CN"":""贝拉维斯塔"",""tr"":""Bella Vista"",""ru"":""Белла Виста"",""uk"":""Белла Віста"",""pl"":""Bella Vista"",""hi"":""बेला विस्टा"",""ar"":""بيلا فيستا""}",2019-10-06T10:14:37,2025-12-02T14:38:56,1,Q31913669
