id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
89856,Al Ghuwayrīyah,3183,KH,179,QA,city,,,25.82882000,51.24567000,الغويرية,2332,Asia/Qatar,"{""br"":""Al Ghuwayrīyah"",""ko"":""알 구와이리야"",""pt-BR"":""Al Ghuwayrīyah"",""pt"":""Al Ghuwayrīyah"",""nl"":""Al Ghuwayrīyah"",""hr"":""Al Ghuwayrīyah"",""fa"":""الغویریه"",""de"":""Al Ghuwayrīyah"",""es"":""Al Ghuwayrīyah"",""fr"":""Al Ghuwayrīyah"",""ja"":""アル・グワイリーヤ"",""it"":""Al Ghuwayrīyah"",""zh-CN"":""古韦里亚"",""tr"":""Al Guveyriye"",""ru"":""Аль-Гувайрия"",""uk"":""Аль-Гувайрія"",""pl"":""Al Ghuwayrīyah"",""hi"":""अल ग़ुवेरिया"",""ar"":""الغويرية""}",2019-10-06T10:14:38,2025-12-02T14:39:31,1,Q2475423
89857,Al Jumaylīyah,3178,SH,179,QA,city,,,25.61068000,51.09108000,الجميلية,1788,Asia/Qatar,"{""br"":""Al Jumaylīyah"",""ko"":""알 주마일리야"",""pt-BR"":""Al Jumaylīyah"",""pt"":""Al Jumaylīyah"",""nl"":""Al Jumaylīyah"",""hr"":""Al Džumajlija"",""fa"":""الجمیلیه"",""de"":""Al Jumaylīyah"",""es"":""Al Jumaylīyah"",""fr"":""Al Jumaylīyah"",""ja"":""アル・ジュマイリヤ"",""it"":""Al Jumaylīyah"",""zh-CN"":""朱迈利耶"",""tr"":""Al Jumaylīyah"",""ru"":""Аль-Джумалия"",""uk"":""Аль-Джумайлія"",""pl"":""Al Jumaylīyah"",""hi"":""अल जुमायलिया"",""ar"":""الجميلية""}",2019-10-06T10:14:38,2025-12-02T14:39:31,1,Q1147593
89858,Al Khawr,3183,KH,179,QA,adm1,,,25.68389000,51.50583000,الخور,18923,Asia/Qatar,"{""br"":""Al Khawr"",""ko"":""알 카우르"",""pt-BR"":""Al Khawr"",""pt"":""Al Khawr"",""nl"":""Al Khawr"",""hr"":""Al Khawr"",""fa"":""الخوار"",""de"":""Al Khawr"",""es"":""Al Khawr"",""fr"":""Al Khawr"",""ja"":""アル・カウル"",""it"":""Al Khawr"",""zh-CN"":""阿尔·哈乌尔"",""tr"":""El Havr"",""ru"":""Аль-Хавр"",""uk"":""Аль-Хаур"",""pl"":""Al Khawr"",""hi"":""अल ख़ौर"",""ar"":""الخور""}",2019-10-06T10:14:38,2025-12-02T14:39:31,1,Q1156471
89859,Al Wakrah,3179,WA,179,QA,adm1,,,25.17151000,51.60337000,الوكرة,26436,Asia/Qatar,"{""br"":""Al Wakrah"",""ko"":""알 와크라"",""pt-BR"":""Al Wakrah"",""pt"":""Al Wakrah"",""nl"":""Al Wakrah"",""hr"":""Al-Wakrah"",""fa"":""الوکره"",""de"":""Al-Wakrah"",""es"":""Al Wakrah"",""fr"":""Al Wakrah"",""ja"":""アル・ワクラ"",""it"":""Al Wakrah"",""zh-CN"":""沃克拉"",""tr"":""El Vakrah"",""ru"":""Аль-Вакра"",""uk"":""Аль-Вакра"",""pl"":""Al Wakrah"",""hi"":""अल वकराह"",""ar"":""الوكرة""}",2019-10-06T10:14:38,2025-12-02T14:39:31,1,Q1156471
89860,Al Wukayr,3179,WA,179,QA,city,,,25.15107000,51.53718000,الوكير,5146,Asia/Qatar,"{""br"":""Al Wukayr"",""ko"":""알 우카이르"",""pt-BR"":""Al Wukayr"",""pt"":""Al Wukayr"",""nl"":""Al Wukayr"",""hr"":""Al Wukayr"",""fa"":""الوکیر"",""de"":""Al Wukayr"",""es"":""Al Wukayr"",""fr"":""Al Wukayr"",""ja"":""アル・ウカイール"",""it"":""Al Wukayr"",""zh-CN"":""阿尔·伍卡尔"",""tr"":""El Vukayr"",""ru"":""Аль Вукайр"",""uk"":""Аль-Вукайр"",""pl"":""Al Wukayr"",""hi"":""अल वुकैर"",""ar"":""الوكير""}",2019-10-06T10:14:38,2025-12-02T14:38:56,1,Q31876054
89861,Ar Rayyān,3177,RA,179,QA,adm1,,,25.29194000,51.42444000,الريان,272465,Asia/Qatar,"{""br"":""Ar Rayyān"",""ko"":""아르 레이얀"",""pt-BR"":""Ar Rayyan"",""pt"":""Ar Rayyan"",""nl"":""Ar Rayyan"",""hr"":""Ar Rayyan"",""fa"":""آر ریان"",""de"":""Ar-Rayyan"",""es"":""Ar Rayyan"",""fr"":""Ar Rayyan"",""ja"":""アル・ラヤン"",""it"":""Ar Rayyān"",""zh-CN"":""艾尔·赖扬"",""tr"":""Ar Rayyan"",""ru"":""Ар Райян"",""uk"":""Ар-Райян"",""pl"":""Ar Rayyān"",""hi"":""अर रय्यान"",""ar"":""الريان""}",2019-10-06T10:14:38,2025-12-02T14:38:56,1,Q31876054
89862,Ar Ruways,3180,MS,179,QA,city,,,26.13978000,51.21493000,الرويس,3334,Asia/Qatar,"{""br"":""Ar Ruways"",""ko"":""아르 루웨이스"",""pt-BR"":""Ar Ruways"",""pt"":""Ar Ruways"",""nl"":""Ar Ruways"",""hr"":""Ar Ruways"",""fa"":""آر رویس"",""de"":""Ar Ruways"",""es"":""Ar Ruways"",""fr"":""Ar Ruways"",""ja"":""アル・ルウェイズ"",""it"":""Ar Ruways"",""zh-CN"":""阿尔·鲁韦斯"",""tr"":""Ar Ruways"",""ru"":""Ар Рувайс"",""uk"":""Ар Рувейс"",""pl"":""Ar Ruways"",""hi"":""आर रुवेज़"",""ar"":""الرويس""}",2019-10-06T10:14:38,2025-12-02T14:39:31,1,Q3298589
89863,Ash Shīḩānīyah,3178,SH,179,QA,adm1,,,25.37088000,51.22264000,آش شيحانية,8380,Asia/Qatar,"{""br"":""Ash Shīḩānīyah"",""ko"":""아쉬 쉬다니야"",""pt-BR"":""Ash Shīḩānīyah"",""pt"":""Ash Shīḩānīyah"",""nl"":""Ash Shīḩānīyah"",""hr"":""Ash Shīhaniyah"",""fa"":""اش شیحانیه"",""de"":""Ash Shīḩānīyah"",""es"":""Ash Shīḩānīyah"",""fr"":""Ash Shīḩānīyah"",""ja"":""アッシュ・シーハニーヤ"",""it"":""Ash Shīḩānīyah"",""zh-CN"":""阿什·什尼耶"",""tr"":""Ash Shīḩānīyah"",""ru"":""Эш Шиханийя"",""uk"":""Аш-Шіханія"",""pl"":""Ash Shīḩānīyah"",""hi"":""अश शिहानियाह"",""ar"":""آش شيحانية""}",2019-10-06T10:14:38,2025-12-02T14:39:31,1,Q3298589
89864,Doha,3181,DA,179,QA,capital,,,25.28545000,51.53096000,الدوحة,344939,Asia/Qatar,"{""br"":""Doha"",""ko"":""도하"",""pt-BR"":""Doha"",""pt"":""Doha"",""nl"":""Doha"",""hr"":""Doha"",""fa"":""دوحه"",""de"":""Doha"",""es"":""Doha"",""fr"":""Doha"",""ja"":""ドーハ"",""it"":""Doha"",""zh-CN"":""多哈"",""tr"":""Doha"",""ru"":""Доха"",""uk"":""Доха"",""pl"":""Doha"",""hi"":""दोहा"",""ar"":""الدوحة""}",2019-10-06T10:14:38,2025-12-02T14:39:31,1,Q3861
89865,Dukhān,3178,SH,179,QA,city,,,25.42485000,50.78227000,دخان,7250,Asia/Qatar,"{""br"":""Dukhān"",""ko"":""두칸"",""pt-BR"":""Dukhan"",""pt"":""Dukhan"",""nl"":""Dukhān"",""hr"":""Dukhān"",""fa"":""دخان"",""de"":""Dukhān"",""es"":""Dukhān"",""fr"":""Dukhan"",""ja"":""ドゥカン"",""it"":""Dukhān"",""zh-CN"":""杜坎"",""tr"":""Dukhan"",""ru"":""Духан"",""uk"":""Духан"",""pl"":""Duchan"",""hi"":""दुखान"",""ar"":""دخان""}",2019-10-06T10:14:38,2025-12-02T14:38:56,1,Q3296633
