id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
155014,Bras-Panon,5436,01,180,RE,city,,,-21.03158160,55.54416340,Bras-Panon,,Indian/Reunion,"{""br"":""Bras-Panon"",""ko"":""브라스-파농"",""pt-BR"":""Bras-Panon"",""pt"":""Bras-Panon"",""nl"":""Bras-Panon"",""hr"":""Bras-Panon"",""fa"":""براس-پانون"",""de"":""Bras-Panon"",""es"":""Bras-Panon"",""fr"":""Bras-Panon"",""ja"":""ブラス・パノン"",""it"":""Bras-Panon"",""zh-CN"":""布拉斯-帕农"",""tr"":""Sütyen-Panon"",""ru"":""Бра-Панон"",""uk"":""Брас-Панон"",""pl"":""Bras-Panon"",""hi"":""ब्रा-Panon"",""ar"":""براس بانون""}",2025-03-30T06:01:01,2025-12-02T17:11:50,1,Q1568055
155015,La Plaine-des-Palmistes,5436,01,180,RE,city,,,-21.15295070,55.56180140,La Plaine-des-Palmistes,,Indian/Reunion,"{""br"":""Plaenenn-ar-Palmisted"",""ko"":""라 플레인 데 팔미스트"",""pt-BR"":""A Plaine-des-Palmistes"",""pt"":""A Plaine-des-Palmistes"",""nl"":""La Plaine-des-Palmistes"",""hr"":""La Plaine-des-Palmistes"",""fa"":""دشت نخل‌ها"",""de"":""La Plaine-des-Palmistes"",""es"":""La llanura de Palmistes"",""fr"":""La Plaine-des-Palmistes"",""ja"":""ラ・プレンヌ・デ・パルミスト"",""it"":""La Plaine-des-Palmistes"",""zh-CN"":""帕尔米斯特平原"",""tr"":""La Plaine-des-Palmistes"",""ru"":""La Plaine-des-Palmistes"",""uk"":""Ла-Плен-де-Пальміст"",""pl"":""La Plaine-des-Palmistes"",""hi"":""ला प्लेन-डेस-पामिस्टेस"",""ar"":""لا بلين دي بالميست""}",2025-03-30T06:01:01,2025-12-02T16:59:27,1,Q579430
155016,Saint-André,5436,01,180,RE,city,,,-20.95677270,55.55486740,Saint-André,,Indian/Reunion,"{""br"":""Sant Andrev"",""ko"":""생앙드레"",""pt-BR"":""Santo André"",""pt"":""Santo André"",""nl"":""Sint-André"",""hr"":""Saint-André"",""fa"":""سنت آندره"",""de"":""Saint-André"",""es"":""San Andrés"",""fr"":""Saint-André"",""ja"":""サン＝タンドレ"",""it"":""Sant'Andrea"",""zh-CN"":""圣安德烈"",""tr"":""Saint-André"",""ru"":""Сен-Андре"",""uk"":""Сент-Андре"",""pl"":""Święty Andrzej"",""hi"":""सेंट-आंद्रे"",""ar"":""سانت أندريه""}",2025-03-30T06:01:01,2025-12-02T17:11:50,1,Q1649370
155017,Saint-Benoît,5436,01,180,RE,city,,,-21.08859460,55.46640760,Saint-Benoît,,Indian/Reunion,"{""br"":""Sant-Benv"",""ko"":""생브누아"",""pt-BR"":""São Bento"",""pt"":""São Bento"",""nl"":""Sint-Benoît"",""hr"":""Saint-Benoît"",""fa"":""سن-بنوا"",""de"":""Saint-Benoît"",""es"":""San Benito"",""fr"":""Saint-Benoît"",""ja"":""サン・ベノワ"",""it"":""Saint-Benoît"",""zh-CN"":""圣伯努瓦"",""tr"":""Saint-Benoît"",""ru"":""Сен-Бенуа"",""uk"":""Сен-Бенуа"",""pl"":""Święty Benedykt"",""hi"":""सेंट बेनोइट"",""ar"":""سان بينوا""}",2025-03-30T06:01:01,2025-12-02T17:11:50,1,Q478215
155018,Sainte-Rose,5436,01,180,RE,city,,,-21.17782890,55.65939810,Sainte-Rose,,Indian/Reunion,"{""br"":""Santez-Roz"",""ko"":""세인트 로즈"",""pt-BR"":""Sainte-Rose"",""pt"":""Sainte-Rose"",""nl"":""Sint-Roos"",""hr"":""Sainte-Rose"",""fa"":""سنت-رز"",""de"":""Sainte-Rose"",""es"":""Santa Rosa"",""fr"":""Sainte-Rose"",""ja"":""サント・ローズ"",""it"":""Santa Rosa"",""zh-CN"":""圣罗斯"",""tr"":""Sainte-Rose"",""ru"":""Сент-Роз"",""uk"":""Сент-Роз"",""pl"":""Sainte-Rose"",""hi"":""Sainte-गुलाब"",""ar"":""سانت روز""}",2025-03-30T06:01:01,2025-12-02T17:11:50,1,Q1014731
155019,Salazie,5436,01,180,RE,city,,,-21.05240970,55.43213370,Salazie,,Indian/Reunion,"{""br"":""Salazie"",""ko"":""살라지"",""pt-BR"":""Salazie"",""pt"":""Salazie"",""nl"":""Salazie"",""hr"":""Salazie"",""fa"":""سالازی"",""de"":""Salazie"",""es"":""Salazie"",""fr"":""Salazie"",""ja"":""サラジー"",""it"":""Salazie"",""zh-CN"":""萨拉齐"",""tr"":""Salazie"",""ru"":""Салази"",""uk"":""Салази"",""pl"":""Salazie"",""hi"":""सालाज़ी"",""ar"":""سالازي""}",2025-03-30T06:12:57,2025-12-02T17:11:50,1,Q1014778
155020,Saint-Denis,5437,02,180,RE,capital,,,-20.96456720,55.41835300,Saint-Denis,,Indian/Reunion,"{""br"":""Sant-Denez"",""ko"":""생드니"",""pt-BR"":""Saint-Denis"",""pt"":""Saint-Denis"",""nl"":""Saint-Denis"",""hr"":""Saint-Denis"",""fa"":""سنت دنیس"",""de"":""Saint-Denis"",""es"":""Saint-Denis"",""fr"":""Saint-Denis"",""ja"":""サン・ドニ"",""it"":""Saint-Denis"",""zh-CN"":""圣丹尼斯"",""tr"":""Saint-Denis"",""ru"":""Сен-Дени"",""uk"":""Сен-Дені"",""pl"":""Saint-Denis"",""hi"":""सेंट-डेनिस"",""ar"":""سان دوني""}",2025-03-30T06:14:33,2025-12-02T17:11:50,1,Q47045
155021,Sainte-Marie,5437,02,180,RE,city,,,-20.94628420,55.44095870,Sainte-Marie,,Indian/Reunion,"{""br"":""Santez-Varia"",""ko"":""생트마리"",""pt-BR"":""Santa Maria"",""pt"":""Santa Maria"",""nl"":""Sint-Marie"",""hr"":""Sainte-Marie"",""fa"":""سنت ماری"",""de"":""Sainte-Marie"",""es"":""Santa María"",""fr"":""Sainte-Marie"",""ja"":""サントマリー"",""it"":""Santa Maria"",""zh-CN"":""圣玛丽"",""tr"":""Sainte-Marie"",""ru"":""Сент-Мари"",""uk"":""Сент-Марі"",""pl"":""Święta Maria"",""hi"":""सैंटे-मैरी"",""ar"":""سانت ماري""}",2025-03-30T06:14:33,2025-12-02T17:11:50,1,Q662942
155022,Sainte-Suzanne,5437,02,180,RE,city,,,-20.95063790,55.51114750,Sainte-Suzanne,,Indian/Reunion,"{""br"":""Santez-Suzann"",""ko"":""생트-수잔"",""pt-BR"":""Santa Suzanne"",""pt"":""Santa Suzanne"",""nl"":""Sint-Suzanne"",""hr"":""Sainte-Suzanne"",""fa"":""سنت سوزان"",""de"":""Sainte-Suzanne"",""es"":""Santa Susana"",""fr"":""Sainte-Suzanne"",""ja"":""サント・スザンヌ"",""it"":""Santa Susanna"",""zh-CN"":""圣苏珊娜"",""tr"":""Azize-Suzanne"",""ru"":""Сент-Сюзанна"",""uk"":""Сент-Сюзанна"",""pl"":""Święta Suzanne"",""hi"":""सैंटे-सुज़ैन"",""ar"":""سانت سوزان""}",2025-03-30T06:14:33,2025-12-02T16:59:27,1,Q1757048
155023,Le Port,5438,03,180,RE,city,,,-20.94599810,55.26258390,Le Port,,Indian/Reunion,"{""br"":""Ar Porzh"",""ko"":""르 포트"",""pt-BR"":""O Porto"",""pt"":""O Porto"",""nl"":""De haven"",""hr"":""Le Port"",""fa"":""لو پورت"",""de"":""Le Port"",""es"":""El puerto"",""fr"":""Le Port"",""ja"":""ル・ポール"",""it"":""Il Porto"",""zh-CN"":""勒波特"",""tr"":""Le Port"",""ru"":""Ле Порт"",""uk"":""Ле Порт"",""pl"":""Le Port"",""hi"":""ले पोर्ट"",""ar"":""الميناء""}",2025-03-30T06:17:30,2025-12-02T17:11:50,1,Q956943
