id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
97476,Abadzekhskaya,1852,AD,182,RU,city,,,44.39389000,40.22139000,Абадзехская,3532,Europe/Moscow,"{""br"":""Abadzekhskaya"",""ko"":""아바제흐스카야"",""pt-BR"":""Abadzekhskaya"",""pt"":""Abadzekhskaya"",""nl"":""Abadzekhskaja"",""hr"":""Abadzekhskaja"",""fa"":""آبادزخسکایا"",""de"":""Abadzekhskaya"",""es"":""Abadzekhskaya"",""fr"":""Abadzekhskaya"",""ja"":""アバゼフスカヤ"",""it"":""Abadzekhskaya"",""zh-CN"":""阿巴泽赫斯卡娅"",""tr"":""Abadzekhskaya"",""ru"":""Абадзехская"",""uk"":""Абадзехська"",""pl"":""Abadzekhskaya"",""hi"":""अबादज़ेख्स्काया"",""ar"":""أبادزيخسكايا""}",2019-10-06T10:17:07,2025-12-02T14:38:56,1,Q1971633
97477,Abagur,1897,KEM,182,RU,city,,,53.73080000,87.25260000,Абагур,6696,Asia/Novokuznetsk,"{""br"":""Abagur"",""ko"":""아바구르"",""pt-BR"":""Abagur"",""pt"":""Abagur"",""nl"":""Abagur"",""hr"":""Abagur"",""fa"":""آباگور"",""de"":""Abagur"",""es"":""Abagur"",""fr"":""Abagur"",""ja"":""アバグール"",""it"":""Abagur"",""zh-CN"":""阿巴古尔"",""tr"":""Abagur"",""ru"":""Абагур"",""uk"":""Абагур"",""pl"":""Abagur"",""hi"":""अबागुर"",""ar"":""أباجور""}",2019-10-06T10:17:07,2025-12-02T14:39:55,1,Q4054184
97478,Abakan,1877,KK,182,RU,adm1,,,53.71556000,91.42917000,Абакан,184284,Europe/Moscow,"{""br"":""Abakan"",""ko"":""아바칸"",""pt-BR"":""Abakan"",""pt"":""Abakan"",""nl"":""Abakan"",""hr"":""Abakan"",""fa"":""آباکان"",""de"":""Abakan"",""es"":""Abakán"",""fr"":""Abakan"",""ja"":""アバカン"",""it"":""Abakan"",""zh-CN"":""阿巴坎"",""tr"":""Abakan"",""ru"":""Абакан"",""uk"":""Абакан"",""pl"":""Abakan"",""hi"":""अबाकान"",""ar"":""أباكان""}",2019-10-06T10:17:08,2025-12-02T17:11:50,1,Q875
97479,Abakan Gorod,1877,KK,182,RU,adm1,,,53.71667000,91.43333000,Абакан Город,,Europe/Moscow,"{""br"":""Abakan Gorod"",""ko"":""아바칸 고로드"",""pt-BR"":""Abakan Gorod"",""pt"":""Abakan Gorod"",""nl"":""Abakan Gorod"",""hr"":""Abakan Gorod"",""fa"":""آباکان گورود"",""de"":""Abakan Gorod"",""es"":""Abakan Gorod"",""fr"":""Abakan Gorod"",""ja"":""アバカン・ゴロド"",""it"":""Abakan Gorod"",""zh-CN"":""阿巴坎戈罗德"",""tr"":""Abakan Gorod"",""ru"":""Абакан Город"",""uk"":""Абакан Місто"",""pl"":""Abakan Gorod"",""hi"":""अबाकान गोरोद"",""ar"":""أباكان جورود""}",2019-10-06T10:17:08,2025-12-02T17:11:50,1,Q18405917
97480,Abalak,1907,TYU,182,RU,city,,,58.12861000,68.59444000,Абалак,13555,Asia/Yekaterinburg,"{""br"":""Abalak"",""ko"":""아발락"",""pt-BR"":""Abalak"",""pt"":""Abalak"",""nl"":""Abalak"",""hr"":""Abalak"",""fa"":""آبالق"",""de"":""Abalak"",""es"":""Abalak"",""fr"":""Abalak"",""ja"":""アバラク"",""it"":""Abalak"",""zh-CN"":""阿巴拉克"",""tr"":""Abalak"",""ru"":""Абалак"",""uk"":""Абалак"",""pl"":""Abalak"",""hi"":""अबलाक"",""ar"":""أبالاك""}",2019-10-06T10:17:08,2025-12-02T14:39:55,1,Q2502064
97481,Aban,1840,KYA,182,RU,adm2,,,56.67870000,96.06580000,Абан,8618,Asia/Krasnoyarsk,"{""br"":""Aban"",""ko"":""아반"",""pt-BR"":""Aban"",""pt"":""Aban"",""nl"":""Aban"",""hr"":""Aban"",""fa"":""آبان"",""de"":""Aban"",""es"":""Aban"",""fr"":""Aban"",""ja"":""アバン"",""it"":""Aban"",""zh-CN"":""阿班"",""tr"":""Aban"",""ru"":""Абан"",""uk"":""Абан"",""pl"":""Aban"",""hi"":""अबान"",""ar"":""أبان""}",2019-10-06T10:17:08,2025-12-02T14:39:55,1,Q305352
97482,Abanskiy Rayon,1840,KYA,182,RU,city,,,56.83333000,96.00000000,Абанский район,,Europe/Moscow,"{""br"":""Abanskiy Rayon"",""ko"":""아반스키 레이온"",""pt-BR"":""Abanskiy Rayon"",""pt"":""Abanskiy Rayon"",""nl"":""Abanskiy Rayon"",""hr"":""Abanski rajon"",""fa"":""شهرستان آبانسکی"",""de"":""Abanskiy Rayon"",""es"":""Distrito de Abanskiy"",""fr"":""Rayon d'Abanskiy"",""ja"":""アバンスキー・ラヨン"",""it"":""Abanskiy Rayon"",""zh-CN"":""阿班斯基区"",""tr"":""Abanskiy Rayonu"",""ru"":""Абанский район"",""uk"":""Абанський район"",""pl"":""Rejon Abański"",""hi"":""अबान्स्की रेयोन"",""ar"":""منطقة أبانسكي""}",2019-10-06T10:17:08,2025-12-02T16:59:27,1,Q479280
97483,Abatskoye,1907,TYU,182,RU,adm2,,,56.28748000,70.45553000,Абатское,8094,Europe/Moscow,"{""br"":""Abatskoye"",""ko"":""아바츠코예"",""pt-BR"":""Abatskoye"",""pt"":""Abatskoye"",""nl"":""Abatskoje"",""hr"":""Abatskoje"",""fa"":""آباتسکویه"",""de"":""Abatskoje"",""es"":""Abatskoye"",""fr"":""Abatskoïe"",""ja"":""アバツコエ"",""it"":""Abatskoye"",""zh-CN"":""阿巴茨科耶"",""tr"":""Abatskoye"",""ru"":""Абатское"",""uk"":""Абатське"",""pl"":""Abatskoje"",""hi"":""अबात्सकोये"",""ar"":""أباتسكوي""}",2019-10-06T10:17:08,2025-12-02T17:11:50,1,Q2523420
97484,Abaza,1877,KK,182,RU,adm2,,,52.65500000,90.09278000,Абаза,12272,Europe/Moscow,"{""br"":""Abaza"",""ko"":""아바자"",""pt-BR"":""Abaza"",""pt"":""Abaza"",""nl"":""Abaza"",""hr"":""Abaza"",""fa"":""آبازا"",""de"":""Abaza"",""es"":""Abaza"",""fr"":""Abaza"",""ja"":""アバザ"",""it"":""Abaza"",""zh-CN"":""阿巴扎"",""tr"":""Abaza"",""ru"":""Абаза"",""uk"":""Абаза"",""pl"":""Abaza"",""hi"":""अबाज़ा"",""ar"":""أباظة""}",2019-10-06T10:17:08,2025-12-02T17:11:50,1,Q102469
97485,Abdulino,1886,ORE,182,RU,adm2,,,53.70000000,53.66667000,Абдулино,17274,Europe/Moscow,"{""br"":""Abdulino"",""ko"":""압둘리노"",""pt-BR"":""Abdulino"",""pt"":""Abdulino"",""nl"":""Abdulino"",""hr"":""Abdulino"",""fa"":""آبدولینو"",""de"":""Abdulino"",""es"":""Abdulino"",""fr"":""Abdoulino"",""ja"":""アブドゥリーノ"",""it"":""Abdulino"",""zh-CN"":""阿卜杜利诺"",""tr"":""Abdulino"",""ru"":""Абдулино"",""uk"":""Абдуліно"",""pl"":""Abdulino"",""hi"":""ऑरेनबर्ग"",""ar"":""عبدينو""}",2019-10-06T10:17:08,2025-12-02T17:11:50,1,Q102682
