id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
102792,Butare,259,05,183,RW,city,,,-2.59667000,29.73944000,Butare,62823,Africa/Kigali,"{""br"":""Butare"",""ko"":""부타레"",""pt-BR"":""Butare"",""pt"":""Butare"",""nl"":""Butare"",""hr"":""Butare"",""fa"":""بوتاره"",""de"":""Butare"",""es"":""Butare"",""fr"":""Butare"",""ja"":""ブタレ"",""it"":""Butare"",""zh-CN"":""布塔雷"",""tr"":""Butare"",""ru"":""Бутаре"",""uk"":""Бутаре"",""pl"":""Butare"",""hi"":""लेकिन हैं"",""ar"":""بوتاري""}",2019-10-06T10:17:54,2025-12-02T14:38:56,1,Q16654643
102793,Byumba,263,03,183,RW,adm1,,,-1.57630000,30.06750000,Byumba,43134,Africa/Kigali,"{""br"":""Byumba"",""ko"":""비움바"",""pt-BR"":""Byumba"",""pt"":""Byumba"",""nl"":""Byumba"",""hr"":""Byumba"",""fa"":""بیومبا"",""de"":""Byumba"",""es"":""Byumba"",""fr"":""Byumba"",""ja"":""ビュンバ"",""it"":""Byumba"",""zh-CN"":""比温巴"",""tr"":""Byumba"",""ru"":""Бьюмба"",""uk"":""Б'юмба"",""pl"":""Byumba"",""hi"":""ब्यूम्बा"",""ar"":""بيومبا""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q391747
102794,Cyangugu,260,04,183,RW,city,,,-2.48460000,28.90750000,Cyangugu,43866,Africa/Kigali,"{""br"":""Cyangugu"",""ko"":""시안구구"",""pt-BR"":""Cyangugu"",""pt"":""Cyangugu"",""nl"":""Cyangugu"",""hr"":""Cjangugu"",""fa"":""سیانگوگو"",""de"":""Cyangugu"",""es"":""Cyangugu"",""fr"":""Cyangugu"",""ja"":""チャンググ"",""it"":""Cyangugu"",""zh-CN"":""尚古古"",""tr"":""Cyangugu"",""ru"":""Сьянгугу"",""uk"":""Цьянгугу"",""pl"":""Cyangugu"",""hi"":""च्यांगुगु"",""ar"":""سيانجوجو""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q782857
102795,Eglise Catholique Centrale GIKO,259,05,183,RW,locality,,,-1.93653000,29.80610000,Kiko Bagatikuru Gatolika,3000,Africa/Kigali,"{""br"":""Eglise Catholic Centrale GIKO"",""ko"":""Eglise Catholique Centrale GIKO"",""pt-BR"":""Igreja Católica Central GIKO"",""pt"":""Igreja Católica Central GIKO"",""nl"":""Eglise Catholique Centrale GIKO"",""hr"":""Eglise Catholique Centrale GIKO"",""fa"":""Eglise Catholique Centrale GIKO"",""de"":""Eglise Catholique Centrale GIKO"",""es"":""Iglesia Católica Central GIKO"",""fr"":""Eglise Catholique Centrale GIKO"",""ja"":""カトリック中央教会 GIKO"",""it"":""Eglise Catholique Centrale GIKO"",""zh-CN"":""吉科天主教中央教堂"",""tr"":""Eglise Katolik Merkezi GIKO"",""ru"":""Центральная католическая церковь GIKO"",""uk"":""Центральна католицька церква ГІКО"",""pl"":""Eglise Catholique Centrale GIKO"",""hi"":""एग्लीज़ कैथोलिक सेंट्रेल गीको"",""ar"":""Eglise Catholique Centrale GIKO""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q782857
102796,Gisenyi,260,04,183,RW,adm2,,,-1.70278000,29.25639000,Gisenyi,172357,Africa/Kigali,"{""br"":""Gisenyi"",""ko"":""기세니"",""pt-BR"":""Gisenyi"",""pt"":""Gisenyi"",""nl"":""Gisenyi"",""hr"":""Gisenyi"",""fa"":""گیسنی"",""de"":""Gisenyi"",""es"":""Gisenyi"",""fr"":""Gisenyi"",""ja"":""ギセニ"",""it"":""Gisenyi"",""zh-CN"":""吉塞尼"",""tr"":""Gisenyi"",""ru"":""Гисеньи"",""uk"":""Гісеньї"",""pl"":""Gisenyi"",""hi"":""गिसेनी"",""ar"":""جيسيني""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q830631
102797,Gitarama,259,05,183,RW,adm2,,,-2.07444000,29.75667000,Gitarama,87613,Africa/Kigali,"{""br"":""Gitarama"",""ko"":""기타라마"",""pt-BR"":""Guitarra"",""pt"":""Guitarra"",""nl"":""Gitaar"",""hr"":""Gitarama"",""fa"":""گیتاراما"",""de"":""Gitarama"",""es"":""Guitarra"",""fr"":""Gitarama"",""ja"":""ギタラマ"",""it"":""Gitarama"",""zh-CN"":""吉塔拉马"",""tr"":""Gitarama"",""ru"":""Гитарама"",""uk"":""Гітарама"",""pl"":""Gitarama"",""hi"":""गीताराम"",""ar"":""جيتاراما""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q668180
102798,Kibungo,261,02,183,RW,city,,,-2.15970000,30.54270000,Kibungo,46240,Africa/Kigali,"{""br"":""Kibungo"",""ko"":""키붕고"",""pt-BR"":""Kibungo"",""pt"":""Kibungo"",""nl"":""Kibungo"",""hr"":""Kibungo"",""fa"":""کیبونگو"",""de"":""Kibungo"",""es"":""Kibungo"",""fr"":""Kibungo"",""ja"":""キブンゴ"",""it"":""Kibungo"",""zh-CN"":""基邦戈"",""tr"":""Kibungo"",""ru"":""Кибунго"",""uk"":""Кібунго"",""pl"":""Kibungo"",""hi"":""किबुंगो"",""ar"":""كيبونغو""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q992776
102799,Kibuye,260,04,183,RW,adm1,,,-2.06028000,29.34778000,Kibuye,48024,Africa/Kigali,"{""br"":""Kibuye"",""ko"":""키부예"",""pt-BR"":""Kibuye"",""pt"":""Kibuye"",""nl"":""Kibuye"",""hr"":""Kibuye"",""fa"":""کیبویه"",""de"":""Kibuye"",""es"":""Kibuye"",""fr"":""Kibuye"",""ja"":""キブエ"",""it"":""Kibuye"",""zh-CN"":""基布耶"",""tr"":""Kibuye"",""ru"":""Кибуе"",""uk"":""Кібує"",""pl"":""Kibuye"",""hi"":""किबुये"",""ar"":""كيبويي""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q617032
102800,Kigali,262,01,183,RW,capital,,,-1.94995000,30.05885000,Kigali,1156663,Africa/Kigali,"{""br"":""Kigaleg"",""ko"":""키갈리"",""pt-BR"":""Kigali"",""pt"":""Kigali"",""nl"":""Kigali"",""hr"":""Kigali"",""fa"":""کیگالی"",""de"":""Kigali"",""es"":""Kigali"",""fr"":""Kigali"",""ja"":""キガリ"",""it"":""Kigali"",""zh-CN"":""基加利"",""tr"":""Kigali"",""ru"":""Кигали"",""uk"":""Кігалі"",""pl"":""Kigali"",""hi"":""किगली"",""ar"":""كيغالي""}",2019-10-06T10:17:54,2025-12-02T14:38:56,1,Q3859
102801,Musanze,263,03,183,RW,city,,,-1.49984000,29.63497000,Musanze,153368,Africa/Kigali,"{""br"":""Musanze"",""ko"":""무산제"",""pt-BR"":""Musanze"",""pt"":""Musanze"",""nl"":""Musanze"",""hr"":""Musanze"",""fa"":""موسانزه"",""de"":""Musanze"",""es"":""Musanze"",""fr"":""Musanze"",""ja"":""ムサンゼ"",""it"":""Musanze"",""zh-CN"":""穆桑泽"",""tr"":""Musanze"",""ru"":""Мусанзе"",""uk"":""Мусанзе"",""pl"":""Musanze"",""hi"":""मुसांज़े"",""ar"":""موسانزي""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q246145
