id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
102804,Abha,2853,14,194,SA,adm1,,,18.21639000,42.50528000,أبها,210886,Asia/Riyadh,"{""br"":""Abha"",""ko"":""아브하"",""pt-BR"":""Abha"",""pt"":""Abha"",""nl"":""Abha"",""hr"":""Abha"",""fa"":""ابها"",""de"":""Abha"",""es"":""Abha"",""fr"":""Abha (Arabie saoudite)"",""ja"":""アブハー"",""it"":""Abha"",""zh-CN"":""阿卜哈"",""tr"":""Abha"",""ru"":""Абха"",""uk"":""Абга"",""pl"":""Abha"",""hi"":""आभा"",""ar"":""أبها"",""bn"":""আবহা"",""id"":""Abha"",""vi"":""Abha"",""zh"":""艾卜哈""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q190948
102805,Abqaiq,2856,04,194,SA,city,,,25.93402000,49.66880000,بقيق,36207,Asia/Riyadh,"{""br"":""Abqaiq"",""ko"":""아브카이크"",""pt-BR"":""Abqaiq"",""pt"":""Abqaiq"",""nl"":""Abqaiq"",""hr"":""Abqaiq"",""fa"":""بقیق"",""de"":""Abqaiq"",""es"":""Abqaiq"",""fr"":""Abqaïq"",""ja"":""アブカイク"",""it"":""Abqaiq"",""zh-CN"":""阿布盖格"",""tr"":""Abkayık"",""ru"":""Абкайк"",""uk"":""Абкайк"",""pl"":""Abqaiq"",""hi"":""अबकैक"",""ar"":""بقيق""}",2019-10-06T10:17:54,2025-12-02T14:38:56,1,Q27177
102806,Abū ‘Arīsh,2858,09,194,SA,city,,,16.96887000,42.83251000,أبو عريش,49171,Asia/Riyadh,"{""br"":""Abū ‘Arīsh"",""ko"":""아부 아리쉬"",""pt-BR"":""Abu ‘Arīsh"",""pt"":""Abu ‘Arīsh"",""nl"":""Abū ‘Arīsh"",""hr"":""Abu ‘Ariš"",""fa"":""ابوعریش"",""de"":""Abū ‘Arīsh"",""es"":""Abu ‘Arish"",""fr"":""Abū ‘Arīsh"",""ja"":""アブー・アリシュ"",""it"":""Abū ‘Arīsh"",""zh-CN"":""阿布·阿里什"",""tr"":""Ebu Ariş"",""ru"":""Абу Ариш"",""uk"":""Абу Аріш"",""pl"":""Abū ‘Arīsh"",""hi"":""अबू ‘अरीश"",""ar"":""أبو عريش""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q2821731
102807,Ad Darb,2858,09,194,SA,city,,,17.72285000,42.25261000,الدرب,5378,Asia/Riyadh,"{""br"":""Ad Darb"",""ko"":""애드 다르브"",""pt-BR"":""Ad Darb"",""pt"":""Ad Darb"",""nl"":""Advertentie Darb"",""hr"":""Oglas Darb"",""fa"":""آگهی درب"",""de"":""Ad Darb"",""es"":""Anuncio Darb"",""fr"":""Ad Darb"",""ja"":""アド・ダーブ"",""it"":""Ad Darb"",""zh-CN"":""阿德·达布"",""tr"":""Ad Darb"",""ru"":""Ад Дарб"",""uk"":""Реклама Дарб"",""pl"":""Reklama Darb"",""hi"":""अद दरब"",""ar"":""الدرب""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q31868833
102808,Ad Dawādimī,2849,01,194,SA,city,,,24.49416700,44.38333300,الدوادمي,,Asia/Riyadh,"{""br"":""Ad Dawādimī"",""ko"":""아드 다와디미"",""pt-BR"":""Ad Dawādimī"",""pt"":""Ad Dawādimī"",""nl"":""Ad Dawādimī"",""hr"":""Ad Dawādimī"",""fa"":""آد دوادیمی"",""de"":""Ad Dawadimī"",""es"":""Ad Dawādimī"",""fr"":""Ad Dawādimī"",""ja"":""アド・ダワディミ"",""it"":""Ad Dawādimī"",""zh-CN"":""达瓦迪米"",""tr"":""Ad Dawādimī"",""ru"":""Ad Dawādimī"",""uk"":""Ад Давадімі"",""pl"":""Ad Dawādimī"",""hi"":""अद दावादिमी"",""ar"":""الدوادمي""}",2019-10-06T10:17:54,2025-12-02T17:11:50,1,Q27258
102809,Ad Dilam,2849,01,194,SA,city,,,23.99104000,47.16181000,الديلم,35371,Asia/Riyadh,"{""br"":""Ad Dilam"",""ko"":""애드 딜람"",""pt-BR"":""Ad Dilam"",""pt"":""Ad Dilam"",""nl"":""Ad Dilam"",""hr"":""Ad Dilam"",""fa"":""اد دیلم"",""de"":""Ad Dilam"",""es"":""Ad Dilam"",""fr"":""Ad Dilam"",""ja"":""アド・ディラム"",""it"":""Ad Dilam"",""zh-CN"":""阿德·迪拉姆"",""tr"":""Ad Dilam"",""ru"":""Ад Дилам"",""uk"":""Ад Ділам"",""pl"":""Ad Dilam"",""hi"":""अद दिलम"",""ar"":""الديلم""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q31868886
102810,Adh Dhibiyah,2861,05,194,SA,city,,,26.03018040,43.15758140,الذبيحة,4630,Asia/Riyadh,"{""br"":""Adh Dhibiyah"",""ko"":""아드 디비야"",""pt-BR"":""Adh Dhibiyah"",""pt"":""Adh Dhibiyah"",""nl"":""Adh Dhibiyah"",""hr"":""Adh Dhibiyah"",""fa"":""اده ذبیه"",""de"":""Adh Dhibiyah"",""es"":""Adh Dhibiyah"",""fr"":""Adh Dhibiyah"",""ja"":""アドゥ・ディビヤ"",""it"":""Adh Dhibiyah"",""zh-CN"":""阿兹迪比耶"",""tr"":""Adh Dhibiyah"",""ru"":""Аз Дх Дхибия"",""uk"":""Адх Дхібія"",""pl"":""Adh Dhibiyah"",""hi"":""अज़ धिबियाह"",""ar"":""الذبيحة""}",2019-10-06T10:17:54,2025-12-02T14:38:56,1,Q31868886
102811,Afif,2849,01,194,SA,city,,,23.90650000,42.91724000,عفيف,45525,Asia/Riyadh,"{""br"":""Afif"",""ko"":""아피프"",""pt-BR"":""Afif"",""pt"":""Afif"",""nl"":""Afif"",""hr"":""Afif"",""fa"":""عفیف"",""de"":""Afif"",""es"":""Afif"",""fr"":""Afif"",""ja"":""アフィフ"",""it"":""Afif"",""zh-CN"":""阿菲夫"",""tr"":""Afif"",""ru"":""Афиф"",""uk"":""Афіф"",""pl"":""Afif"",""hi"":""अफ़ीफ़"",""ar"":""عفيف""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q27139
102812,Ain AlBaraha,2849,01,194,SA,city,,,24.75806000,43.77389000,عين البراحة,1500,Asia/Riyadh,"{""br"":""Ain AlBaraha"",""ko"":""아인 알바라하"",""pt-BR"":""Ain AlBaraha"",""pt"":""Ain AlBaraha"",""nl"":""Ain Al-Baraha"",""hr"":""Ain Al-Baraha"",""fa"":""عین البراحه"",""de"":""Ain AlBaraha"",""es"":""Ain Al Baraha"",""fr"":""Aïn Al-Baraha"",""ja"":""アイン・アルバラハ"",""it"":""Ain AlBaraha"",""zh-CN"":""艾因巴拉哈"",""tr"":""Ayn El Beraha"",""ru"":""Айн аль-Бараха"",""uk"":""Айн-аль-Бараха"",""pl"":""Ain Al-Baraha"",""hi"":""ऐन अलबरहा"",""ar"":""عين البراحة""}",2019-10-06T10:17:54,2025-12-02T14:38:56,1,Q20394853
102813,Al Arţāwīyah,2849,01,194,SA,city,,,26.50387000,45.34813000,الأرطاوية,9152,Asia/Riyadh,"{""br"":""Al Arţāwīyah"",""ko"":""알 아르타위야"",""pt-BR"":""Al Arţāwīyah"",""pt"":""Al Arţāwīyah"",""nl"":""Al Arţāwīyah"",""hr"":""Al-Artavija"",""fa"":""الارتاویه"",""de"":""Al Arţāwīyah"",""es"":""Al Arţāwīyah"",""fr"":""Al Arţāwīyah"",""ja"":""アル・アルツァウィヤ"",""it"":""Al Arţāwīyah"",""zh-CN"":""阿尔塔维亚"",""tr"":""Al Arţāwīyah"",""ru"":""Аль-Арцавия"",""uk"":""Аль-Артавія"",""pl"":""Al Arţāwīyah"",""hi"":""अल अर्ताविया"",""ar"":""الأرطاوية""}",2019-10-06T10:17:54,2025-12-02T14:39:31,1,Q31871949
