id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
102914,Abu Jibeha,883,KS,209,SD,city,,,11.45620000,31.22850000,أبو جبيهة,47188,Africa/Khartoum,"{""br"":""Abu Jibeha"",""ko"":""아부 지베하"",""pt-BR"":""Abu Jibeha"",""pt"":""Abu Jibeha"",""nl"":""Abu Jibeha"",""hr"":""Abu Džibeha"",""fa"":""ابو جیبها"",""de"":""Abu Jibeha"",""es"":""Abu Jibeha"",""fr"":""Abou Jibeha"",""ja"":""アブ・ジベハ"",""it"":""Abu Jibeha"",""zh-CN"":""阿布·吉贝哈"",""tr"":""Ebu Cibeha"",""ru"":""Абу Джибеха"",""uk"":""Абу-Джибеха"",""pl"":""Abu Dżibeha"",""hi"":""अबू जिबेहा"",""ar"":""أبو جبيهة""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q31866628
102915,Abū Zabad,889,GK,209,SD,city,,,12.35000000,29.25000000,أبو زبد,23317,Africa/Khartoum,"{""br"":""Abū Zabad"",""ko"":""아부 자바드"",""pt-BR"":""Abu Zabad"",""pt"":""Abu Zabad"",""nl"":""Abū Zabad"",""hr"":""Abu Zabad"",""fa"":""ابو زباد"",""de"":""Abu Zabad"",""es"":""Abu Zabad"",""fr"":""Abu Zabad"",""ja"":""アブー・ザバド"",""it"":""Abū Zabad"",""zh-CN"":""阿布·扎巴德"",""tr"":""Ebu Zabad"",""ru"":""Абу Забад"",""uk"":""Абу Забад"",""pl"":""Abū Zabad"",""hi"":""अबू ज़ाबाद"",""ar"":""أبو زبد""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q31868120
102916,Ad Dabbah,895,NO,209,SD,city,,,18.05000000,30.95000000,الدبة,11626,Africa/Khartoum,"{""br"":""Ad Dabbah"",""ko"":""아드 다바"",""pt-BR"":""Ad Dabbah"",""pt"":""Ad Dabbah"",""nl"":""Ad Dabbah"",""hr"":""Ad Dabbah"",""fa"":""الدباح"",""de"":""Ad Dabbah"",""es"":""Ad Dabbah"",""fr"":""Ad Dabbah"",""ja"":""アド・ダバ"",""it"":""Ad Dabbah"",""zh-CN"":""达巴"",""tr"":""Ad Dabbah"",""ru"":""Ад Дабба"",""uk"":""Ад-Дабба"",""pl"":""Ad Dabbah"",""hi"":""अद दब्बाह"",""ar"":""الدبة""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q1754253
102917,Ad Dindar,882,SI,209,SD,city,,,13.20000000,34.16667000,الديندار,15144,Africa/Khartoum,"{""br"":""Ad Dindar"",""ko"":""애드 딘다르"",""pt-BR"":""Ad Dindar"",""pt"":""Ad Dindar"",""nl"":""Ad Dindar"",""hr"":""Ad Dindar"",""fa"":""اد دیندار"",""de"":""Ad Dindar"",""es"":""Ad Dindar"",""fr"":""Ad Dindar"",""ja"":""アド・ディンダル"",""it"":""Ad Dindar"",""zh-CN"":""阿德·丁达尔"",""tr"":""Ad Dindar"",""ru"":""Ад Диндар"",""uk"":""Ад Діндар"",""pl"":""Ad Dindar"",""hi"":""अद दिनदार"",""ar"":""الديندار""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q31868891
102918,Ad Douiem,879,NW,209,SD,city,,,14.00120000,32.31160000,أد دويم,87068,Africa/Khartoum,"{""br"":""Ad Douiem"",""ko"":""아드 두이엠"",""pt-BR"":""Ad Douiem"",""pt"":""Ad Douiem"",""nl"":""Ad Douiem"",""hr"":""Ad Douiem"",""fa"":""اد دویم"",""de"":""Ad Douiem"",""es"":""Ad Douiem"",""fr"":""Ad Douiem"",""ja"":""アド・ドゥイエム"",""it"":""Ad Douiem"",""zh-CN"":""阿德·杜伊姆"",""tr"":""Ad Douiem"",""ru"":""Ад Дуем"",""uk"":""Ад Дуєм"",""pl"":""Ad Douiem"",""hi"":""एड डौइम"",""ar"":""أد دويم""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q2501279
102919,Ad-Damazin,887,NB,209,SD,adm1,,,11.78910000,34.35920000,الدمازين,186051,Africa/Khartoum,"{""br"":""Ad-Damazin"",""ko"":""아드다마진"",""pt-BR"":""Ad-Damazin"",""pt"":""Ad-Damazin"",""nl"":""Ad-Damazin"",""hr"":""Ad-Damazin"",""fa"":""آد-دامازین"",""de"":""Ad-Damazin"",""es"":""Ad-Damazin"",""fr"":""Ad-Damazin"",""ja"":""アド・ダマジン"",""it"":""Ad-Damazin"",""zh-CN"":""达马津"",""tr"":""Ad-Damazin"",""ru"":""Ад-Дамазин"",""uk"":""Ад-Дамазін"",""pl"":""Ad-Damazin"",""hi"":""विज्ञापन-Damazin"",""ar"":""الدمازين""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q311307
102920,Al Fūlah,883,KS,209,SD,city,,,11.73292000,28.35786000,الفولة,26020,Africa/Khartoum,"{""br"":""Al Fūlah"",""ko"":""알 풀라"",""pt-BR"":""Al Fulah"",""pt"":""Al Fulah"",""nl"":""Al Fūlah"",""hr"":""Al-Fulah"",""fa"":""الفُلح"",""de"":""Al Fūlah"",""es"":""Al Fūlah"",""fr"":""Al-Fulah"",""ja"":""アル・フーラ"",""it"":""Al Fūlah"",""zh-CN"":""富拉"",""tr"":""Al Fūlah"",""ru"":""Аль-Фулах"",""uk"":""Аль-Фулах"",""pl"":""Al Fūlah"",""hi"":""अल फ़ुलाह"",""ar"":""الفولة""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q290849
102921,Al Hasaheisa,885,GZ,209,SD,city,,,14.75264000,33.29836000,الحصاحيصا,47408,Africa/Khartoum,"{""br"":""Al Hasaheisa"",""ko"":""알 하사헤이사"",""pt-BR"":""Al Hasaheisa"",""pt"":""Al Hasaheisa"",""nl"":""Al Hasaheisa"",""hr"":""Al-Hasaheisa"",""fa"":""الحساهیسه"",""de"":""Al Hasaheisa"",""es"":""Al Hasaheisa"",""fr"":""Al Hasaheisa"",""ja"":""アル・ハサヘイサ"",""it"":""Al Hasaheisa"",""zh-CN"":""哈萨海萨"",""tr"":""El Hasaheisa"",""ru"":""Аль-Хасахеиса"",""uk"":""Аль-Хасахейса"",""pl"":""Al Hasaheisa"",""hi"":""अल हसाहिसा"",""ar"":""الحصاحيصا""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q290849
102922,Al Hilāliyya,885,GZ,209,SD,city,,,14.93980000,33.23400000,الهلالية,17345,Africa/Khartoum,"{""br"":""Al Hilāliyya"",""ko"":""알 힐랄리야"",""pt-BR"":""Al Hilāliyya"",""pt"":""Al Hilāliyya"",""nl"":""Al Hilāliyya"",""hr"":""Al-Hilaliyya"",""fa"":""الهلالیه"",""de"":""Al Hilāliyya"",""es"":""Al Hilāliyya"",""fr"":""Al Hilāliyya"",""ja"":""アル・ヒラーリヤ"",""it"":""Al Hilāliyya"",""zh-CN"":""希拉利亚"",""tr"":""El Hilaliyye"",""ru"":""Аль-Хилалийя"",""uk"":""Аль-Хілалія"",""pl"":""Al Hilāliyya"",""hi"":""अल हिलालिया"",""ar"":""الهلالية""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q31872977
102923,Al Kawa,879,NW,209,SD,city,,,13.74630000,32.49960000,الكاوا,10167,Africa/Khartoum,"{""br"":""Al Kawa"",""ko"":""알 카와"",""pt-BR"":""Al Kawa"",""pt"":""Al Kawa"",""nl"":""Al Kawa"",""hr"":""Al Kawa"",""fa"":""آل کاوه"",""de"":""Al Kawa"",""es"":""Al Kawa"",""fr"":""Al Kawa"",""ja"":""アル・カワ"",""it"":""Al Kawa"",""zh-CN"":""阿尔卡瓦"",""tr"":""El Kava"",""ru"":""Аль Кава"",""uk"":""Аль-Кава"",""pl"":""Al Kawa"",""hi"":""अल कावा"",""ar"":""الكاوا""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q31873641
