id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
102985,Abborrberget,1534,W,213,SE,city,,,60.15000000,14.80000000,Abborrberget,1814,Europe/Stockholm,"{""br"":""Abborrberget"",""ko"":""압보르베르겟"",""pt-BR"":""Abborrberget"",""pt"":""Abborrberget"",""nl"":""Abborrberget"",""hr"":""Abborrberget"",""fa"":""ابوربرگت"",""de"":""Abborrberget"",""es"":""Abborrberget"",""fr"":""Abborrberget"",""ja"":""アボルベルゲット"",""it"":""Abborrberget"",""zh-CN"":""阿博尔贝格特"",""tr"":""Abborrberget"",""ru"":""Абборрбергет"",""uk"":""Абборбергет"",""pl"":""Abborrberget"",""hi"":""एबोर्बर्गेट"",""ar"":""أبوربيرجيت""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q16156813
102986,Akalla,1551,AB,213,SE,section,,,59.41465000,17.91398000,Åtminstone,8153,Europe/Stockholm,"{""br"":""Akalla"",""ko"":""아칼라"",""pt-BR"":""Akalla"",""pt"":""Akalla"",""nl"":""Akalla"",""hr"":""Akalla"",""fa"":""آکالا"",""de"":""Akalla"",""es"":""Akalla"",""fr"":""Akalla"",""ja"":""アカラ"",""it"":""Akalla"",""zh-CN"":""阿卡拉"",""tr"":""Akalla"",""ru"":""Акалла"",""uk"":""Акалла"",""pl"":""Akalla"",""hi"":""अकाला"",""ar"":""أكالا""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q16156813
102987,Alafors,1547,O,213,SE,adm2,,,57.92579000,12.07835000,Alvors,0,Europe/Stockholm,"{""br"":""Alafors"",""ko"":""알라포스"",""pt-BR"":""Alafors"",""pt"":""Alafors"",""nl"":""Alafors"",""hr"":""Alafors"",""fa"":""آلافورس"",""de"":""Alafors"",""es"":""Alafors"",""fr"":""Alafors"",""ja"":""アラフォー"",""it"":""Alafors"",""zh-CN"":""阿拉福斯"",""tr"":""Alaforlar"",""ru"":""Алафорс"",""uk"":""Алафорс"",""pl"":""Alafors"",""hi"":""अलाफोर्स"",""ar"":""ألافورس""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q4705562
102988,Alby,1551,AB,213,SE,city,,,59.23350000,17.85380000,Alby,11400,Europe/Stockholm,"{""br"":""Alby"",""ko"":""알비"",""pt-BR"":""Alby"",""pt"":""Alby"",""nl"":""Alby"",""hr"":""Alby"",""fa"":""آلبی"",""de"":""Alby"",""es"":""Alby"",""fr"":""Alby"",""ja"":""アルビー"",""it"":""Alby"",""zh-CN"":""阿尔比"",""tr"":""Alby"",""ru"":""Алби"",""uk"":""Албі"",""pl"":""Alby"",""hi"":""एल्बी"",""ar"":""ألبي""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q934689
102990,Alfta,1533,X,213,SE,city,,,61.34675000,16.07499000,Alfta,2418,Europe/Stockholm,"{""br"":""Alfta"",""ko"":""알파타"",""pt-BR"":""Alfata"",""pt"":""Alfata"",""nl"":""Alfta"",""hr"":""Alfta"",""fa"":""آلفتا"",""de"":""Alfta"",""es"":""Alfa"",""fr"":""Alfta"",""ja"":""アルフタ"",""it"":""Alfa"",""zh-CN"":""阿尔夫塔"",""tr"":""Alfta"",""ru"":""Альфта"",""uk"":""Альфта"",""pl"":""Alfa"",""hi"":""अल्फ़्टा"",""ar"":""ألفتا""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q255161
102991,Alingsås,1547,O,213,SE,adm2,,,57.93033000,12.53345000,Alingsås,26329,Europe/Stockholm,"{""br"":""Alingsås"",""ko"":""알링소스"",""pt-BR"":""Alingsås"",""pt"":""Alingsås"",""nl"":""Alingsås"",""hr"":""Alingsås"",""fa"":""آلینگساوس"",""de"":""Alingsås"",""es"":""Alingsås"",""fr"":""Alingsås"",""ja"":""アリングソース"",""it"":""Alingsås"",""zh-CN"":""阿灵索斯"",""tr"":""Alingsås"",""ru"":""Алингсос"",""uk"":""Алінгсос"",""pl"":""Alingsås"",""hi"":""अलिंगसास"",""ar"":""ألينغساس""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q255161
102993,Alsike,1545,C,213,SE,city,,,59.75324000,17.77331000,Alsike,3833,Europe/Stockholm,"{""br"":""Allike"",""ko"":""알시케"",""pt-BR"":""Igualmente"",""pt"":""Igualmente"",""nl"":""Alsike"",""hr"":""Alsike"",""fa"":""آلسیک"",""de"":""Alsike"",""es"":""Igualmente"",""fr"":""Alsike"",""ja"":""アルシケ"",""it"":""Alsike"",""zh-CN"":""阿尔西克"",""tr"":""Alsike"",""ru"":""Альсике"",""uk"":""Алсіке"",""pl"":""Alsike"",""hi"":""अलसाइक"",""ar"":""ألسيك""}",2019-10-06T10:17:55,2025-12-02T14:39:31,1,Q1019979
102994,Alunda,1545,C,213,SE,city,,,60.26667000,18.40000000,Alunda,2677,Europe/Stockholm,"{""br"":""Alunda"",""ko"":""알룬다"",""pt-BR"":""Alunda"",""pt"":""Alunda"",""nl"":""Alunda"",""hr"":""Alunda"",""fa"":""آلوندا"",""de"":""Alunda"",""es"":""Alunda"",""fr"":""Alunda"",""ja"":""アルンダ"",""it"":""Alunda"",""zh-CN"":""阿伦达"",""tr"":""Alunda"",""ru"":""Алунда"",""uk"":""Алунду"",""pl"":""Alunda"",""hi"":""अलुंडा"",""ar"":""ألوندا""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q2137552
102995,Alvesta,1542,G,213,SE,adm2,,,56.89935000,14.55559000,Alvesta,9172,Europe/Stockholm,"{""br"":""Alvesta"",""ko"":""알베스타"",""pt-BR"":""Alvesta"",""pt"":""Alvesta"",""nl"":""Alvesta"",""hr"":""Alvesta"",""fa"":""آلوستا"",""de"":""Alvesta"",""es"":""Alvesta"",""fr"":""Alvesta"",""ja"":""アルベスタ"",""it"":""Alvesta"",""zh-CN"":""阿尔韦斯塔"",""tr"":""Alvesta"",""ru"":""Альвеста"",""uk"":""Алвеста"",""pl"":""Alvesta"",""hi"":""अल्वेस्टा"",""ar"":""ألفستا""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q2604885
102997,Andalen,1547,O,213,SE,city,,,57.70039000,11.76136000,Anka,2188,Europe/Stockholm,"{""br"":""Andale"",""ko"":""안달렌"",""pt-BR"":""Andaluzia"",""pt"":""Andaluzia"",""nl"":""Andalen"",""hr"":""Andalen"",""fa"":""آندالن"",""de"":""Andalen"",""es"":""Andalen"",""fr"":""Andalous"",""ja"":""アンダレン"",""it"":""Andalen"",""zh-CN"":""安达伦"",""tr"":""Andalen"",""ru"":""Андален"",""uk"":""Андален"",""pl"":""Andalen"",""hi"":""अंडालेन"",""ar"":""أندالين""}",2019-10-06T10:17:55,2025-12-02T14:38:56,1,Q2579900
