id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104057,Singapore,4651,01,199,SG,capital,,,1.28967000,103.85007000,Singapore,5866139,Asia/Singapore,"{""br"":""Singapour"",""ko"":""싱가포르"",""pt-BR"":""Cingapura"",""pt"":""Cingapura"",""nl"":""Singapore"",""hr"":""Singapur"",""fa"":""سنگاپور"",""de"":""Singapur"",""es"":""Singapur"",""fr"":""Singapour"",""ja"":""シンガポール"",""it"":""Singapore"",""zh-CN"":""新加坡"",""tr"":""Singapur"",""ru"":""Сингапур"",""uk"":""Сінгапур"",""pl"":""Singapur"",""hi"":""सिंगापुर"",""ar"":""سنغافورة""}",2019-10-06T10:18:01,2025-12-02T14:38:56,1,Q191698
104058,Woodlands,4653,03,199,SG,city,,,1.43801000,103.78877000,Woodlands,255180,Asia/Singapore,"{""br"":""Koadeier"",""ko"":""우드랜드"",""pt-BR"":""Florestas"",""pt"":""Florestas"",""nl"":""Bossen"",""hr"":""Šume"",""fa"":""جنگل‌ها"",""de"":""Wälder"",""es"":""Bosques"",""fr"":""Forêts"",""ja"":""ウッドランズ"",""it"":""Boschi"",""zh-CN"":""兀兰"",""tr"":""Ormanlık alanlar"",""ru"":""Вудлендс"",""uk"":""Ліси"",""pl"":""Lasy"",""hi"":""वुडलैंड्स"",""ar"":""الغابات""}",2019-10-06T10:18:01,2025-12-02T14:39:31,1,Q334
153459,Marine Parade,4651,01,199,SG,city,,,1.30300000,103.90720000,Marine Parade,46390,Asia/Singapore,"{""br"":""Paradenn ar morlu"",""ko"":""마린 퍼레이드"",""pt-BR"":""Desfile da Marinha"",""pt"":""Desfile da Marinha"",""nl"":""Marine Parade"",""hr"":""Marinska parada"",""fa"":""رژه دریایی"",""de"":""Marine Parade"",""es"":""Desfile Marino"",""fr"":""Défilé des Marines"",""ja"":""マリンパレード"",""it"":""Parata dei Marines"",""zh-CN"":""马林百列"",""tr"":""Deniz Geçit Töreni"",""ru"":""Морской парад"",""uk"":""Морський парад"",""pl"":""Parada morska"",""hi"":""समुद्री परेड"",""ar"":""موكب البحرية""}",2023-05-21T04:55:45,2025-12-02T14:38:56,1,Q185477
153460,Tanjong Pagar,4651,01,199,SG,section,,,1.27640000,103.84340000,Tanjong fence,18340,Asia/Singapore,"{""br"":""Tanjong Pagar"",""ko"":""탄종 파가르"",""pt-BR"":""Tanjong Pagar"",""pt"":""Tanjong Pagar"",""nl"":""Tanjong Pagar"",""hr"":""Tanjong Pagar"",""fa"":""تانجونگ پاگار"",""de"":""Tanjong Pagar"",""es"":""Tanjong Pagar"",""fr"":""Tanjong Pagar"",""ja"":""タンジョン・パガー"",""it"":""Tanjong Pagar"",""zh-CN"":""丹戎巴葛"",""tr"":""Tanjong Pagar"",""ru"":""Танджонг Пагар"",""uk"":""Танджонг Пагар"",""pl"":""Tanjong Pagar"",""hi"":""तंजोंग पगार"",""ar"":""تانجونغ باجار""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q171064
153461,Novena,4651,01,199,SG,section,,,1.32010000,103.84390000,Novena,1630,Asia/Singapore,"{""br"":""Novena"",""ko"":""노베나"",""pt-BR"":""Novena"",""pt"":""Novena"",""nl"":""Noveen"",""hr"":""Devetnica"",""fa"":""نوونا"",""de"":""Novene"",""es"":""Novena"",""fr"":""Neuvaine"",""ja"":""ノベナ"",""it"":""Novena"",""zh-CN"":""九日敬礼"",""tr"":""Novena"",""ru"":""Новена"",""uk"":""Новенна"",""pl"":""Nowenna"",""hi"":""नोवेना"",""ar"":""تساعية""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q165441
153462,Bukit Timah,4651,01,199,SG,city,,,1.32940000,103.80210000,Bukit Timah,77860,Asia/Singapore,"{""br"":""Bukit Timah"",""ko"":""부킷 티마"",""pt-BR"":""Bukit Timah"",""pt"":""Bukit Timah"",""nl"":""Bukit Timah"",""hr"":""Bukit Timah"",""fa"":""بوکیت تیما"",""de"":""Bukit Timah"",""es"":""Bukit Timah"",""fr"":""Bukit Timah"",""ja"":""ブキ・ティマ"",""it"":""Bukit Timah"",""zh-CN"":""武吉知马"",""tr"":""Bukit Timah"",""ru"":""Букит Тимах"",""uk"":""Букіт Тімах"",""pl"":""Bukit Timah"",""hi"":""बुकित तिमाह"",""ar"":""بوكيت تيماه""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q161409
153463,Geylang,4651,01,199,SG,section,,,1.31820000,103.88710000,Geylang,110201,Asia/Singapore,"{""br"":""Geylang"",""ko"":""게일랑"",""pt-BR"":""Geylang"",""pt"":""Geylang"",""nl"":""Geylang"",""hr"":""Geylang"",""fa"":""گیلانگ"",""de"":""Geylang"",""es"":""Geylang"",""fr"":""Geylang"",""ja"":""ゲイラン"",""it"":""Geylang"",""zh-CN"":""芽笼"",""tr"":""Geylang"",""ru"":""Гейланг"",""uk"":""Гейланг"",""pl"":""Geylang"",""hi"":""गेलांग"",""ar"":""جيلانج""}",2014-01-01T16:01:01,2025-12-02T14:38:56,1,Q160823
153464,Orchard Road,4651,01,199,SG,section,,,1.30360000,103.83180000,Orchard Road,2320,Asia/Singapore,"{""br"":""Hent ar Frouezh"",""ko"":""오차드 로드"",""pt-BR"":""Estrada Orchard"",""pt"":""Estrada Orchard"",""nl"":""Boomgaardweg"",""hr"":""Orchard Road"",""fa"":""جاده اورچارد"",""de"":""Orchard Road"",""es"":""Orchard Road"",""fr"":""Route du Verger"",""ja"":""オーチャードロード"",""it"":""Strada del frutteto"",""zh-CN"":""乌节路"",""tr"":""Meyve Bahçesi Yolu"",""ru"":""Орчард-роуд"",""uk"":""Орчард-роуд"",""pl"":""Orchard Road"",""hi"":""ऑर्चर्ड रोड"",""ar"":""طريق أورشارد""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q153218
153465,Rochor,4651,01,199,SG,section,,,1.30490000,103.85200000,Rochor,1630,Asia/Singapore,"{""br"":""Rochor"",""ko"":""로코르"",""pt-BR"":""Rochor"",""pt"":""Rochor"",""nl"":""Rochor"",""hr"":""Rochor"",""fa"":""روچور"",""de"":""Rochor"",""es"":""Rochor"",""fr"":""Rochor"",""ja"":""ロチョール"",""it"":""Rochor"",""zh-CN"":""梧槽"",""tr"":""Rochor"",""ru"":""Рохор"",""uk"":""Рохор"",""pl"":""Rochor"",""hi"":""रोचोर"",""ar"":""روشور""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q153208
153466,Downtown Core,4651,01,199,SG,city,,,1.27800000,103.85200000,Downtown Core,,Asia/Singapore,"{""br"":""Kreiz-kêr"",""ko"":""다운타운 코어"",""pt-BR"":""Centro da cidade"",""pt"":""Centro da cidade"",""nl"":""Centrum"",""hr"":""Centar grada"",""fa"":""هسته مرکز شهر"",""de"":""Innenstadtkern"",""es"":""Centro de la ciudad"",""fr"":""Centre-ville"",""ja"":""ダウンタウンコア"",""it"":""Centro città"",""zh-CN"":""市中心"",""tr"":""Şehir Merkezi"",""ru"":""Центр города"",""uk"":""Центр міста"",""pl"":""Centrum miasta"",""hi"":""डाउनटाउन कोर"",""ar"":""وسط المدينة""}",2014-01-01T16:01:01,2025-12-02T16:59:27,1,Q149267
