id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104059,Ajdovščina,4183,001,201,SI,adm1,,,45.88601000,13.90946000,Ajdovščina,6843,Europe/Ljubljana,"{""ar"":""أجدوفشينا"",""br"":""Ajdovščina"",""de"":""Ajdovščina"",""es"":""Ajdovščina"",""fa"":""آجدوشچینا"",""fr"":""Ajdovščina"",""hi"":""Ajdovscina"",""hr"":""Ajdovščina"",""it"":""Ajdovščina"",""ja"":""アイドヴシュチナ"",""ko"":""아이도브슈치나"",""nl"":""Ajdovščina"",""pl"":""Ajdovščina"",""pt"":""Ajdovščina"",""pt-BR"":""Ajdovščina"",""ru"":""Айдовщина"",""tr"":""Ajdovščina"",""uk"":""Айдовщина"",""zh-CN"":""阿伊多夫什奇纳""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q15854
104060,Ankaran,4326,213,201,SI,adm1,,,45.57861000,13.73611000,Ankaran,3224,Europe/Ljubljana,"{""ar"":""أنقرةان"",""br"":""Ankaran"",""de"":""Ankaran"",""es"":""Ankaran"",""fa"":""آنکاران"",""fr"":""Ankaran"",""hi"":""अंकारान"",""hr"":""Ankaran"",""it"":""Ancarano"",""ja"":""アンカラン"",""ko"":""안카란"",""nl"":""Ankaran"",""pl"":""Ankaran"",""pt"":""Ankaran"",""pt-BR"":""Ankaran"",""ru"":""Анкаран"",""tr"":""Ankaran"",""uk"":""Анкаран"",""zh-CN"":""安卡兰""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q387789
104061,Apače,4318,195,201,SI,adm1,,,46.69722000,15.91056000,Apače,543,Europe/Ljubljana,"{""ar"":""أباتشي"",""br"":""Apače"",""de"":""Apače"",""es"":""Rápidamente"",""fa"":""آپاچی"",""fr"":""Rapidement"",""hi"":""झटपट"",""hr"":""Apače"",""it"":""Apače"",""ja"":""アパチェ"",""ko"":""빨리"",""nl"":""Apače"",""pl"":""Szybko"",""pt"":""Apače"",""pt-BR"":""Apače"",""ru"":""Апаче"",""tr"":""Apače"",""uk"":""Апаче"",""zh-CN"":""阿帕切""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q618103
104062,Bakovci,4313,080,201,SI,city,,,46.61889000,16.15028000,Bakovci,1480,Europe/Ljubljana,"{""ar"":""باكوفسي"",""br"":""Bakovci"",""de"":""Bakovci"",""es"":""Bakovci"",""fa"":""باکووچی"",""fr"":""Bakovci"",""hi"":""बाकोवसी"",""hr"":""Bakovci"",""it"":""Bakovci"",""ja"":""バコヴチ"",""ko"":""바코브치"",""nl"":""Bakovci"",""pl"":""Bakovci"",""pt"":""Bakovci"",""pt-BR"":""Bakovci"",""ru"":""Баковцы"",""tr"":""Bakovci"",""uk"":""Баковці"",""zh-CN"":""巴科夫齐""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q790494
104063,Beltinci,4301,002,201,SI,adm1,,,46.60528000,16.24056000,Beltinci,2430,Europe/Ljubljana,"{""ar"":""بلتينشي"",""br"":""Beltinci"",""de"":""Beltinci"",""es"":""Beltinci"",""fa"":""بلتینجی"",""fr"":""Beltinci"",""hi"":""बेल्टिन्सी"",""hr"":""Beltinci"",""it"":""Beltinci"",""ja"":""ベルティンチ"",""ko"":""벨틴치"",""nl"":""Beltinci"",""pl"":""Beltinci"",""pt"":""Beltinci"",""pt-BR"":""Beltinci"",""ru"":""Белтинчи"",""tr"":""Beltinci"",""uk"":""Белтінці"",""zh-CN"":""贝尔廷奇""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q855820
104064,Benedikt,4166,148,201,SI,adm1,,,46.60861000,15.88833000,Benedikt,1120,Europe/Ljubljana,"{""ar"":""بينيديكت"",""br"":""Benedikt"",""de"":""Benedikt"",""es"":""Benedicto"",""fa"":""بندیکت"",""fr"":""Benoît"",""hi"":""बेनेडिक्ट"",""hr"":""Benedikt"",""it"":""Benedetto"",""ja"":""ベネディクト"",""ko"":""베네딕트"",""nl"":""Benedictus"",""pl"":""Benedykt"",""pt"":""Benedito"",""pt-BR"":""Benedito"",""ru"":""Бенедикт"",""tr"":""Benedikt"",""uk"":""Бенедикт"",""zh-CN"":""本尼迪克特""}",2019-10-05T23:18:01,2025-12-02T17:11:50,1,Q816927
104065,Bilje,4220,075,201,SI,city,,,45.89444000,13.63222000,Rastline,1258,Europe/Ljubljana,"{""ar"":""بيلجي"",""br"":""Bilje"",""de"":""Bilje"",""es"":""Bilje"",""fa"":""بیلجه"",""fr"":""Bilje"",""hi"":""बिल्जे"",""hr"":""Bilje"",""it"":""Bilje"",""ja"":""ビルジェ"",""ko"":""빌제"",""nl"":""Bilje"",""pl"":""Bilje"",""pt"":""Bilje"",""pt-BR"":""Bilje"",""ru"":""Билье"",""tr"":""Bilje"",""uk"":""Білє"",""zh-CN"":""比尔耶""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q2085029
104066,Bistrica ob Dravi,4280,108,201,SI,city,,,46.55419000,15.54855000,Bistrica ob Dravi,1373,Europe/Ljubljana,"{""ar"":""Bistrica ob Dravi"",""br"":""Bistrica ob Dravi"",""de"":""Bistrica ob Dravi"",""es"":""Bistrica ob Dravi"",""fa"":""بیستریکا اوب دراوی"",""fr"":""Bistrica ob Dravi"",""hi"":""Bistrica ob Dravi"",""hr"":""Bistrica ob Dravi"",""it"":""Bistrica ob Dravi"",""ja"":""ビストリツァ・オブ・ドラヴィ"",""ko"":""비스트리차 오브 드라비"",""nl"":""Bistrica ob Dravi"",""pl"":""Bistrica ob Dravi"",""pt"":""Bistrica ob Dravi"",""pt-BR"":""Bistrica ob Dravi"",""ru"":""Bistrica ob Dravi"",""tr"":""Bistrica ob Dravi"",""uk"":""Бистриця-об-Драві"",""zh-CN"":""德拉维河畔比斯特里察""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q2480068
104067,Bistrica ob Sotli,4179,149,201,SI,adm1,,,46.05889000,15.66417000,Bistrica ob Sotli,235,Europe/Ljubljana,"{""ar"":""Bistrica ob Sotli"",""br"":""Bistrica ob Sotli"",""de"":""Bistrica ob Sotli"",""es"":""Bistrica ob Sotli"",""fa"":""بیستریکا اوب سوتلی"",""fr"":""Bistrica ob Sotli"",""hi"":""Bistrica ob Sotli"",""hr"":""Bistrica ob Sotli"",""it"":""Bistrica ob Sotli"",""ja"":""ビストリツァ・オブ・ソトリ"",""ko"":""비스트리차 오브 소틀리"",""nl"":""Bistrica ob Sotli"",""pl"":""Bistrica ob Sotli"",""pt"":""Bistrica ob Sotli"",""pt-BR"":""Bistrica ob Sotli"",""ru"":""Bistrica ob Sotli"",""tr"":""Bistrica ob Sotli"",""uk"":""Бистриця-об-Сотлі"",""zh-CN"":""索特利附近的比斯特里察""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q46690
104068,Bistrica pri Tržiču,4250,131,201,SI,city,,,46.35472000,14.29167000,Bistrica pri Tržiču,2736,Europe/Ljubljana,"{""ar"":""Bistrica pri Tržiču"",""br"":""Bistrica pri Tržiču"",""de"":""Bistrica pri Tržiču"",""es"":""Bistrica pri Tržiču"",""fa"":""بیستریکا پری ترزیکو"",""fr"":""Bistrica pri Tržiču"",""hi"":""Bistrica pri Tržiču"",""hr"":""Bistrica kod Tržiča"",""it"":""Bistrica pri Tržiču"",""ja"":""Bistrica pri Tržiču"",""ko"":""Bistrica pri Tržiču"",""nl"":""Bistrica pri Tržiču"",""pl"":""Bistrica pri Tržiču"",""pt"":""Bistrica pri Tržiču"",""pt-BR"":""Bistrica pri Tržiču"",""ru"":""Bistrica pri Tržiču"",""tr"":""Bistrica pri Tržiču"",""uk"":""Бистриця при Тржичу"",""zh-CN"":""Bistrica pri Tržiču""}",2019-10-05T23:18:01,2025-12-02T14:38:56,1,Q2095150
