id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104370,Banská Bystrica,4352,BC,200,SK,adm1,,,48.73946000,19.15349000,Banská Bystrica,73533,Europe/Bratislava,"{""br"":""Banská Bystrica"",""ko"":""반스카 비스트리차"",""pt-BR"":""Banská Bystrica"",""pt"":""Banská Bystrica"",""nl"":""Banská Bystrica"",""hr"":""Banská Bistrica"",""fa"":""بانسکا بیستریتسا"",""de"":""Banská Bystrica"",""es"":""Banská Bystrica"",""fr"":""Banská Bystrica"",""ja"":""バンスカー・ビストリツァ"",""it"":""Banská Bystrica"",""zh-CN"":""班斯卡-比斯特里察"",""tr"":""Banská Bystrica"",""ru"":""Банска-Бистрица"",""uk"":""Банська Бистриця"",""pl"":""Bańska Bystrzyca"",""hi"":""बांस्का बिस्त्रिका"",""ar"":""بانسكا بيستريتسا""}",2019-10-06T10:18:04,2025-12-02T17:11:50,1,Q144983
104371,Banská Štiavnica,4352,BC,200,SK,adm2,,,48.44858000,18.91003000,Banská Štiavnica,9293,Europe/Bratislava,"{""br"":""Banská Štiavnica"",""ko"":""반스카 슈티아브니차"",""pt-BR"":""Banská Štiavnica"",""pt"":""Banská Štiavnica"",""nl"":""Banská Štiavnica"",""hr"":""Banská Štiavnica"",""fa"":""بانسکا اشتیاونیکا"",""de"":""Banská Štiavnica"",""es"":""Banská Štiavnica"",""fr"":""Banská Štiavnica"",""ja"":""バンスカー・シュチャヴニツァ"",""it"":""Banská Štiavnica"",""zh-CN"":""班斯卡什佳夫尼察"",""tr"":""Banská Štiavnica"",""ru"":""Банска Штьявница"",""uk"":""Банська Штявниця"",""pl"":""Bańska Szczawnica"",""hi"":""Banská Štiavnica"",""ar"":""بانسكا شتيافنيكا""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q208110
104372,Bardejov,4354,PV,200,SK,adm2,,,49.29175000,21.27271000,Bardejov,29788,Europe/Bratislava,"{""br"":""Bardejov"",""ko"":""바르데요프"",""pt-BR"":""Bardejov"",""pt"":""Bardejov"",""nl"":""Bardejov"",""hr"":""Bardejov"",""fa"":""باردیوف"",""de"":""Bardejov"",""es"":""Bardejov"",""fr"":""Bardejov"",""ja"":""バルデヨフ"",""it"":""Bardejov"",""zh-CN"":""巴尔代约夫"",""tr"":""Bardejov"",""ru"":""Бардейов"",""uk"":""Бардейов"",""pl"":""Bardejów"",""hi"":""बार्डेजोव"",""ar"":""بارديوف""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q208110
104373,Bojnice,4358,TC,200,SK,city,,,48.78511000,18.58640000,Bojnice,5073,Europe/Bratislava,"{""br"":""Bojnice"",""ko"":""보이니체"",""pt-BR"":""Bojnice"",""pt"":""Bojnice"",""nl"":""Bojnice"",""hr"":""Bojnice"",""fa"":""بوئنیس"",""de"":""Bojnice"",""es"":""Bojnice"",""fr"":""Bojnice"",""ja"":""ボイニツェ"",""it"":""Bojnice"",""zh-CN"":""博伊尼采"",""tr"":""Bojnice"",""ru"":""Бойнице"",""uk"":""Бойніце"",""pl"":""Bojnice"",""hi"":""बोजनिस"",""ar"":""بوجنيس""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q788753
104374,Bratislava,4356,BL,200,SK,capital,,,48.14816000,17.10674000,Bratislava,479389,Europe/Bratislava,"{""br"":""Bratislava"",""ko"":""브라티슬라바"",""pt-BR"":""Bratislava"",""pt"":""Bratislava"",""nl"":""Bratislava"",""hr"":""Bratislava"",""fa"":""براتیسلاوا"",""de"":""Bratislava"",""es"":""Bratislava"",""fr"":""Bratislava"",""ja"":""ブラチスラヴァ"",""it"":""Bratislava"",""zh-CN"":""布拉迪斯拉发"",""tr"":""Bratislava"",""ru"":""Братислава"",""uk"":""Братислава"",""pl"":""Bratysława"",""hi"":""ब्रैटिस्लावा"",""ar"":""براتيسلافا""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q1780
104375,Bratislava - Vajnory,4356,BL,200,SK,section,,,48.20563000,17.20759000,Bratislava - Vajnory,5484,Europe/Bratislava,"{""br"":""Bratislava - Vajnory"",""ko"":""브라티슬라바 - 바즈노리"",""pt-BR"":""Bratislava - Vajnory"",""pt"":""Bratislava - Vajnory"",""nl"":""Bratislava - Vajnory"",""hr"":""Bratislava - Vajnory"",""fa"":""براتیسلاوا - واجنوری"",""de"":""Bratislava - Vajnory"",""es"":""Bratislava - Vajnory"",""fr"":""Bratislava - Vajnory"",""ja"":""ブラチスラヴァ - ヴァジュノリ"",""it"":""Bratislava - Vajnory"",""zh-CN"":""布拉迪斯拉发 - 瓦伊诺里"",""tr"":""Bratislava - Vajnory"",""ru"":""Братислава - Вайнори"",""uk"":""Братислава - Вайнори"",""pl"":""Bratysława - Vajnory"",""hi"":""ब्रातिस्लावा - वाज्नोरी"",""ar"":""براتيسلافا - فاجنوري""}",2019-10-06T10:18:04,2025-12-02T14:39:31,1,Q1091778
104376,Brezno,4352,BC,200,SK,adm2,,,48.80431000,19.63631000,Priepasť,19671,Europe/Bratislava,"{""br"":""Brezno"",""ko"":""브레즈노"",""pt-BR"":""Brezno"",""pt"":""Brezno"",""nl"":""Brezno"",""hr"":""Brezno"",""fa"":""برزنو"",""de"":""Brezno"",""es"":""Brezno"",""fr"":""Brezno"",""ja"":""ブレズノ"",""it"":""Brezno"",""zh-CN"":""布雷兹诺"",""tr"":""Brezno"",""ru"":""Брезно"",""uk"":""Брезно"",""pl"":""Brezno"",""hi"":""ब्रेज़्नो"",""ar"":""بريزنو""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q465312
104377,Brezová pod Bradlom,4358,TC,200,SK,city,,,48.66349000,17.53905000,Brezová pod Bradlom,4543,Europe/Bratislava,"{""br"":""Brezová pod Bradlom"",""ko"":""브레조바 포드 브래드롬"",""pt-BR"":""Brezová pod Bradlom"",""pt"":""Brezová pod Bradlom"",""nl"":""Brezová pod Bradlom"",""hr"":""Brezová pod Bradlom"",""fa"":""برزووا پود برادلوم"",""de"":""Brezová pod Bradlom"",""es"":""Brezová pod Bradlom"",""fr"":""Brezová pod Bradlom"",""ja"":""Brezová pod Bradlom"",""it"":""Brezová pod Bradlom"",""zh-CN"":""Brezová pod Bradlom"",""tr"":""Brezová pod Bradlom"",""ru"":""Brezová pod Bradlom"",""uk"":""Брезова-під-Брадломом"",""pl"":""Brezová pod Bradlom"",""hi"":""Brezová pod Bradlom"",""ar"":""Brezová pod Bradlom""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q135818
104378,Bytča,4359,ZI,200,SK,adm2,,,49.22404000,18.55878000,Bytča,11634,Europe/Bratislava,"{""br"":""Bytča"",""ko"":""바이트차"",""pt-BR"":""Bytča"",""pt"":""Bytča"",""nl"":""Bytča"",""hr"":""Bytča"",""fa"":""بیتچا"",""de"":""Bytča"",""es"":""Bytča"",""fr"":""Bytča"",""ja"":""ビチャ"",""it"":""Bytča"",""zh-CN"":""比特恰"",""tr"":""Bytča"",""ru"":""Бытча"",""uk"":""Битча"",""pl"":""Bytča"",""hi"":""बाइटका"",""ar"":""بيتتشا""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q27907
104379,Bánovce nad Bebravou,4358,TC,200,SK,adm2,,,48.72130000,18.25754000,Bánovce nad Bebravou,16103,Europe/Bratislava,"{""br"":""Bánovce nad Bebravou"",""ko"":""Bánovce nad Bebravou"",""pt-BR"":""Bánovce nad Bebravou"",""pt"":""Bánovce nad Bebravou"",""nl"":""Bánovce nad Bebravou"",""hr"":""Bánovce nad Bebravou"",""fa"":""بانووچه و ببراوو"",""de"":""Bánovce nad Bebravou"",""es"":""Bánovce nad Bebravou"",""fr"":""Bánovce nad Bebravou"",""ja"":""Bánovce nad Bebravou"",""it"":""Bánovce nad Bebravou"",""zh-CN"":""贝布拉武河畔巴诺夫采"",""tr"":""Bánovce nad Bebravou"",""ru"":""Бановце-над-Бебравоу"",""uk"":""Бановце-над-Бебравоу"",""pl"":""Bánovce nad Bebravou"",""hi"":""Bánovce nad Bebravou"",""ar"":""Bánovce nad Bebravou""}",2019-10-06T10:18:04,2025-12-02T14:38:56,1,Q549849
