id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104603,Alikalia,911,N,198,SL,city,,,9.15356000,-11.38712000,He stayed,3138,Africa/Freetown,"{""ar"":""أليكاليا"",""br"":""Alikalia"",""de"":""Alikalien"",""es"":""Alikalia"",""fa"":""آلیکالیا"",""fr"":""Alikalia"",""hi"":""अलीकालिया"",""hr"":""Alikalia"",""it"":""Alikalia"",""ja"":""アリカリア"",""ko"":""알리칼리아"",""nl"":""Alikalia"",""pl"":""Alikalia"",""pt"":""Alikalia"",""pt-BR"":""Alikalia"",""ru"":""Аликалия"",""tr"":""Alikalia"",""uk"":""Алікалія"",""zh-CN"":""阿利卡利亚""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q4726610
104604,Baiima,912,S,198,SL,city,,,8.10826000,-11.84772000,Baiiim,4116,Africa/Freetown,"{""ar"":""بايما"",""br"":""Baiima"",""de"":""Baiima"",""es"":""Baiima"",""fa"":""بایما"",""fr"":""Baiima"",""hi"":""बैइमा"",""hr"":""Baima"",""it"":""Baiima"",""ja"":""バイマ"",""ko"":""바이마"",""nl"":""Baiima"",""pl"":""Baiima"",""pt"":""Baiima"",""pt-BR"":""Baiima"",""ru"":""Баима"",""tr"":""Baiima"",""uk"":""Байіма"",""zh-CN"":""拜玛""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q31898780
104605,Baoma,912,S,198,SL,city,,,7.99344000,-11.71468000,Baoma,7044,Africa/Freetown,"{""ar"":""باوما"",""br"":""Baoma"",""de"":""Baoma"",""es"":""Baoma"",""fa"":""بائوما"",""fr"":""Baoma"",""hi"":""बाओमा"",""hr"":""Baoma"",""it"":""Baoma"",""ja"":""宝馬"",""ko"":""바오마"",""nl"":""Baoma"",""pl"":""Baoma"",""pt"":""Baoma"",""pt-BR"":""Baoma"",""ru"":""Баома"",""tr"":""Baoma"",""uk"":""Баома"",""zh-CN"":""宝妈""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q4857461
104606,Barma,914,E,198,SL,city,,,8.34959000,-11.33059000,Bare,7529,Africa/Freetown,"{""ar"":""بارما"",""br"":""Barma"",""de"":""Barma"",""es"":""Barma"",""fa"":""بارما"",""fr"":""Barma"",""hi"":""बर्मा"",""hr"":""Barma"",""it"":""Barma"",""ja"":""バルマ"",""ko"":""바르마"",""nl"":""Barma"",""pl"":""Barma"",""pt"":""Barma"",""pt-BR"":""Barma"",""ru"":""Барма"",""tr"":""Barma"",""uk"":""Барма"",""zh-CN"":""巴尔玛""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q31911183
104607,Bindi,911,N,198,SL,city,,,9.91376000,-11.44669000,Bindi,3188,Africa/Freetown,"{""ar"":""بيندي"",""br"":""Bindi"",""de"":""Bindi"",""es"":""Bindi"",""fa"":""بیندی"",""fr"":""Bindi"",""hi"":""बिंदी"",""hr"":""Bindi"",""it"":""Bindi"",""ja"":""ビンディ"",""ko"":""빈디"",""nl"":""Bindi"",""pl"":""Bindi"",""pt"":""Bindi"",""pt-BR"":""Bindi"",""ru"":""Бинди"",""tr"":""Bindi"",""uk"":""Бінді"",""zh-CN"":""宾迪""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q31916070
104608,Binkolo,911,N,198,SL,city,,,8.95225000,-11.98029000,Binkolo,13867,Africa/Freetown,"{""ar"":""بينكولو"",""br"":""Binkolo"",""de"":""Binkolo"",""es"":""Binkolo"",""fa"":""بینکولو"",""fr"":""Binkolo"",""hi"":""बिंकोलो"",""hr"":""Binkolo"",""it"":""Binkolo"",""ja"":""ビンコロ"",""ko"":""빈콜로"",""nl"":""Binkolo"",""pl"":""Binkolo"",""pt"":""Binkolo"",""pt-BR"":""Binkolo"",""ru"":""Бинколо"",""tr"":""Binkolo"",""uk"":""Бінколо"",""zh-CN"":""宾科洛""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q9298703
104609,Blama,914,E,198,SL,city,,,7.87481000,-11.34548000,Blamma,8146,Africa/Freetown,"{""ar"":""بلاما"",""br"":""Blama"",""de"":""Blama"",""es"":""Culpa"",""fa"":""بلاما"",""fr"":""Blama"",""hi"":""ब्लामा"",""hr"":""Blama"",""it"":""Blama"",""ja"":""ブラマ"",""ko"":""블라마"",""nl"":""Blama"",""pl"":""Blama"",""pt"":""Blama"",""pt-BR"":""Blama"",""ru"":""Блама"",""tr"":""Blama"",""uk"":""Блама"",""zh-CN"":""布拉马""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q31916963
104610,Bo,912,S,198,SL,adm1,,,7.96472000,-11.73833000,Bo,174354,Africa/Freetown,"{""ar"":""بو"",""br"":""Bo"",""de"":""Bo"",""es"":""Bo"",""fa"":""بو"",""fr"":""Bo"",""hi"":""बो"",""hr"":""Bo"",""it"":""Bo"",""ja"":""ボー"",""ko"":""악"",""nl"":""Bo"",""pl"":""Bo"",""pt"":""Bo"",""pt-BR"":""Bo"",""ru"":""Бо"",""tr"":""Bö"",""uk"":""Бо"",""zh-CN"":""博""}",2019-10-05T23:18:05,2025-12-02T14:39:31,1,Q844878
104611,Bo District,912,S,198,SL,district,,,7.98877000,-11.67340000,Bo District,575478,Africa/Freetown,"{""ar"":""منطقة بو"",""br"":""Distrig Bo"",""de"":""Bezirk Bo"",""es"":""Distrito de Bo"",""fa"":""ناحیه بو"",""fr"":""District de Bo"",""hi"":""बो जिला"",""hr"":""Okrug Bo"",""it"":""Distretto di Bo"",""ja"":""ボ地区"",""ko"":""보 구"",""nl"":""Bo-district"",""pl"":""Dzielnica Bo"",""pt"":""Distrito de Bo"",""pt-BR"":""Distrito de Bo"",""ru"":""Район Бо"",""tr"":""Bo Bölgesi"",""uk"":""Район Бо"",""zh-CN"":""博区""}",2019-10-05T23:18:05,2025-12-02T17:30:38,1,Q887317
104612,Boajibu,914,E,198,SL,city,,,8.18763000,-11.34026000,Boajibu,7384,Africa/Freetown,"{""ar"":""بواجيبو"",""br"":""Boajibu"",""de"":""Boajibu"",""es"":""Boajibu"",""fa"":""بواجیبو"",""fr"":""Boajibu"",""hi"":""बोजिबू"",""hr"":""Boajibu"",""it"":""Boajibu"",""ja"":""ボアジブ"",""ko"":""보아지부"",""nl"":""Boajibu"",""pl"":""Boajibu"",""pt"":""Boajibu"",""pt-BR"":""Boajibu"",""ru"":""Боаджибу"",""tr"":""Boajibu"",""uk"":""Боаджібу"",""zh-CN"":""博阿吉布""}",2019-10-05T23:18:05,2025-12-02T14:38:56,1,Q4931229
104613,Bombali,911,N,198,SL,district,,,9.28444000,-12.16449000,Bombi district,606544,Africa/Freetown,"{""ar"":""منطقة بومبالي"",""br"":""Distrig Bombali"",""de"":""Distrikt Bombali"",""es"":""Distrito de Bombali"",""fa"":""شهرستان بومبالی"",""fr"":""District de Bombali"",""hi"":""बोम्बाली जिला"",""hr"":""Okrug Bombali"",""it"":""Distretto di Bombali"",""ja"":""ボンバリ地区"",""ko"":""봄발리 지구"",""nl"":""Bombali-district"",""pl"":""Dzielnica Bombali"",""pt"":""Distrito de Bombali"",""pt-BR"":""Distrito de Bombali"",""ru"":""Район Бомбали"",""tr"":""Bombali Bölgesi"",""uk"":""Район Бомбалі"",""zh-CN"":""邦巴利区""}",2019-10-05T23:18:05,2025-12-02T17:03:53,1,Q891767
