id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104702,Adéane,478,ZG,195,SN,city,,,12.63000000,-16.01694000,Adéane,2115,Africa/Dakar,"{""br"":""Adéane"",""ko"":""아데안"",""pt-BR"":""Adéane"",""pt"":""Adéane"",""nl"":""Adéane"",""hr"":""Adéane"",""fa"":""آدئان"",""de"":""Adéane"",""es"":""Adéane"",""fr"":""Adéane"",""ja"":""アデアンヌ"",""it"":""Adéane"",""zh-CN"":""阿德亚纳"",""tr"":""Adéane"",""ru"":""Адеан"",""uk"":""Адеан"",""pl"":""Adéane"",""hi"":""एडेन"",""ar"":""أديان""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q2825448
104703,Bignona,478,ZG,195,SN,city,,,12.81028000,-16.22639000,Bignona,28642,Africa/Dakar,"{""br"":""Bignona"",""ko"":""비그노나"",""pt-BR"":""Bignona"",""pt"":""Bignona"",""nl"":""Bignona"",""hr"":""Bignona"",""fa"":""بیگنونا"",""de"":""Bignona"",""es"":""Bignona"",""fr"":""Bignona"",""ja"":""ビニョナ"",""it"":""Bignona"",""zh-CN"":""比格诺纳"",""tr"":""Bignona"",""ru"":""Бигнона"",""uk"":""Бігнона"",""pl"":""Bignona"",""hi"":""बिग्नोना"",""ar"":""بينونا""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q286563
104704,Dakar,473,DK,195,SN,capital,,,14.69370000,-17.44406000,Dakar,2646503,Africa/Dakar,"{""br"":""Dakar"",""ko"":""다카르"",""pt-BR"":""Dacar"",""pt"":""Dacar"",""nl"":""Dakar"",""hr"":""Dakar"",""fa"":""داکار"",""de"":""Dakar"",""es"":""Dakar"",""fr"":""Dakar"",""ja"":""ダカール"",""it"":""Dakar"",""zh-CN"":""达喀尔"",""tr"":""Dakar"",""ru"":""Дакар"",""uk"":""Дакар"",""pl"":""Dakar"",""hi"":""डकार"",""ar"":""داكار""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q3718
104705,Dakar Department,473,DK,195,SN,city,,,14.71403000,-17.45534000,Département Dakar,1278469,Africa/Dakar,"{""br"":""Departamant Dakar"",""ko"":""다카르 주"",""pt-BR"":""Departamento de Dakar"",""pt"":""Departamento de Dakar"",""nl"":""Afdeling Dakar"",""hr"":""Odjel Dakar"",""fa"":""بخش داکار"",""de"":""Abteilung Dakar"",""es"":""Departamento de Dakar"",""fr"":""Département de Dakar"",""ja"":""ダカール県"",""it"":""Dipartimento di Dakar"",""zh-CN"":""达喀尔省"",""tr"":""Dakar Bölümü"",""ru"":""Дакарский департамент"",""uk"":""Департамент Дакар"",""pl"":""Departament Dakaru"",""hi"":""डकार विभाग"",""ar"":""قسم داكار""}",2019-10-06T10:18:06,2025-12-02T17:11:50,1,Q2066372
104706,Dara,485,LG,195,SN,city,,,15.34844000,-15.47993000,Bien,45530,Africa/Dakar,"{""br"":""Dara"",""ko"":""다라"",""pt-BR"":""Dara"",""pt"":""Dara"",""nl"":""Dara"",""hr"":""Dara"",""fa"":""دارا"",""de"":""Dara"",""es"":""Dara"",""fr"":""Dara"",""ja"":""ダラ"",""it"":""Dara"",""zh-CN"":""达拉"",""tr"":""Dara"",""ru"":""Дара"",""uk"":""Дара"",""pl"":""Dara"",""hi"":""दारा"",""ar"":""دارا""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q3012013
104707,Diawara,476,MT,195,SN,city,,,15.02196000,-12.54374000,Diawara,7541,Africa/Dakar,"{""br"":""Diawara"",""ko"":""디아와라"",""pt-BR"":""Diawara"",""pt"":""Diawara"",""nl"":""Diawara"",""hr"":""Diawara"",""fa"":""دیاوارا"",""de"":""Diawara"",""es"":""Diawara"",""fr"":""Diawara"",""ja"":""ディアワラ"",""it"":""Diawara"",""zh-CN"":""迪亚瓦拉"",""tr"":""Diawara"",""ru"":""Диавара"",""uk"":""Діавара"",""pl"":""Diawara"",""hi"":""दियावारा"",""ar"":""دياوارا""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q3026446
104708,Diofior,479,FK,195,SN,city,,,14.18333000,-16.66667000,Diofior,12795,Africa/Dakar,"{""br"":""Diofior"",""ko"":""디오피오르"",""pt-BR"":""Diófior"",""pt"":""Diófior"",""nl"":""Diofior"",""hr"":""Diofior"",""fa"":""دیوفیور"",""de"":""Diofior"",""es"":""Diofior"",""fr"":""Diofior"",""ja"":""ディオフィオール"",""it"":""Diofior"",""zh-CN"":""迪奥菲奥尔"",""tr"":""İkili"",""ru"":""Диофиор"",""uk"":""Діофіор"",""pl"":""Diofior"",""hi"":""डायोफ़ियोर"",""ar"":""ديوفيور""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q685330
104709,Département de Salémata,481,KE,195,SN,city,,,12.59971000,-12.77619000,Département de Salémata,,Africa/Dakar,"{""br"":""Departamant ar yec'hed"",""ko"":""살레마타 주"",""pt-BR"":""Departamento de Salémata"",""pt"":""Departamento de Salémata"",""nl"":""Département de Salémata"",""hr"":""Departman Salémata"",""fa"":""بخش سالماتا"",""de"":""Département de Salémata"",""es"":""Département de Salémata"",""fr"":""Département de Salémata"",""ja"":""サレマタ県"",""it"":""Dipartimento di Salémata"",""zh-CN"":""萨莱马塔省"",""tr"":""Département de Salémata"",""ru"":""Департамент Салемата"",""uk"":""Департамент Салемата"",""pl"":""Departament Salémata"",""hi"":""सैलेमाटा विभाग"",""ar"":""Département de Salémata""}",2019-10-06T10:18:06,2025-12-02T17:11:50,1,Q2075446
104710,Fatick Department,479,FK,195,SN,city,,,14.25909000,-16.49884000,Département de fatigue,339238,Africa/Dakar,"{""br"":""Departamant Fatick"",""ko"":""패틱 부서"",""pt-BR"":""Departamento Fatick"",""pt"":""Departamento Fatick"",""nl"":""Fatick-afdeling"",""hr"":""Odjel Fatick"",""fa"":""دپارتمان فاتیک"",""de"":""Fatick-Abteilung"",""es"":""Departamento de Fatick"",""fr"":""Département de Fatick"",""ja"":""ファティック部門"",""it"":""Dipartimento di Fatick"",""zh-CN"":""法蒂克部门"",""tr"":""Fatick Departmanı"",""ru"":""Фатик департамент"",""uk"":""Департамент Фатік"",""pl"":""Departament Fatick"",""hi"":""फैटिक विभाग"",""ar"":""قسم فاتيك""}",2019-10-06T10:18:06,2025-12-02T17:11:50,1,Q2068250
104711,Foundiougne,479,FK,195,SN,city,,,14.13333000,-16.46667000,Foundiougne,6824,Africa/Dakar,"{""br"":""Foundiougne"",""ko"":""파운드이뉴"",""pt-BR"":""Foundiougne"",""pt"":""Foundiougne"",""nl"":""Foundiougne"",""hr"":""Foundiougne"",""fa"":""فوندیوگن"",""de"":""Foundiougne"",""es"":""Foundiougne"",""fr"":""Foundiougne"",""ja"":""ファウンディウグネ"",""it"":""Foundiougne"",""zh-CN"":""方迪奥涅"",""tr"":""Foundiougne"",""ru"":""Фундиугн"",""uk"":""Фундюнь"",""pl"":""Foundiougne"",""hi"":""फाउंडियोग्ने"",""ar"":""فاونديوجن""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q3079946
104712,Gandiaye,483,KL,195,SN,city,,,14.23333000,-16.26667000,Gandiaye,18239,Africa/Dakar,"{""br"":""Gandiaye"",""ko"":""간디아예"",""pt-BR"":""Gandiaye"",""pt"":""Gandiaye"",""nl"":""Gandiaye"",""hr"":""Gandiaye"",""fa"":""گاندیه"",""de"":""Gandiaye"",""es"":""Gandiaye"",""fr"":""Gandiaye"",""ja"":""ガンディアエ"",""it"":""Gandiaye"",""zh-CN"":""甘迪亚耶"",""tr"":""Gandiaye"",""ru"":""Гандиайе"",""uk"":""Гандіає"",""pl"":""Gandiaye"",""hi"":""गांडियाये"",""ar"":""غاندياي""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q3095100
104713,Goléré,477,SL,195,SN,city,,,16.25575000,-14.10165000,Goléré,6373,Africa/Dakar,"{""br"":""Goléré"",""ko"":""골레레"",""pt-BR"":""Goléré"",""pt"":""Goléré"",""nl"":""Goléré"",""hr"":""Goléré"",""fa"":""گولره"",""de"":""Goléré"",""es"":""Goléré"",""fr"":""Goléré"",""ja"":""ゴレレ"",""it"":""Goléré"",""zh-CN"":""戈莱雷"",""tr"":""Goléré"",""ru"":""Голере"",""uk"":""Голере"",""pl"":""Goléré"",""hi"":""गोलेरे"",""ar"":""غوليري""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q3095100
104714,Goudomp Department,482,SE,195,SN,city,,,12.57778000,-15.87222000,Département de Goudomp,18239,Africa/Dakar,"{""br"":""Departamant Goudomp"",""ko"":""구돔프 부서"",""pt-BR"":""Departamento de Goudomp"",""pt"":""Departamento de Goudomp"",""nl"":""Goudomp-afdeling"",""hr"":""Odjel Goudomp"",""fa"":""بخش گودامپ"",""de"":""Goudomp-Abteilung"",""es"":""Departamento de Goudomp"",""fr"":""Département de Goudomp"",""ja"":""グドンプ部門"",""it"":""Dipartimento di Goudomp"",""zh-CN"":""古东普部"",""tr"":""Goudomp Bölümü"",""ru"":""Департамент Гудомп"",""uk"":""Департамент Гудомп"",""pl"":""Wydział Goudompa"",""hi"":""गौडोम्प विभाग"",""ar"":""قسم غودومب""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q2066279
104715,Guinguinéo,479,FK,195,SN,city,,,14.26667000,-15.95000000,Guinguinéo,20340,Africa/Dakar,"{""br"":""Gwegneo"",""ko"":""귄기네오"",""pt-BR"":""Guinguineo"",""pt"":""Guinguineo"",""nl"":""Guinguinéo"",""hr"":""Guinguinéo"",""fa"":""گینگینئو"",""de"":""Guinguinéo"",""es"":""Guinguinéo"",""fr"":""Guinguinéo"",""ja"":""ギンギネオ"",""it"":""Guinguinéo"",""zh-CN"":""金吉内奥"",""tr"":""Guinguinéo"",""ru"":""Гингвинео"",""uk"":""Гвінґвінео"",""pl"":""Guinguinéo"",""hi"":""गुइंगुइनेओ"",""ar"":""غينغينيو""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q3100518
104716,Guédiawaye Department,473,DK,195,SN,city,,,14.77610000,-17.39560000,Guédiawaye Department,372708,Africa/Dakar,"{""br"":""Departamant Gwarded"",""ko"":""게디아와예 부서"",""pt-BR"":""Departamento de Guédiawaye"",""pt"":""Departamento de Guédiawaye"",""nl"":""Afdeling Guédiawaye"",""hr"":""Odjel Guédiawaye"",""fa"":""شهرستان گودیاوایه"",""de"":""Guédiawaye-Abteilung"",""es"":""Departamento de Guédiawaye"",""fr"":""Département de Guédiawaye"",""ja"":""ゲディアウェイ県"",""it"":""Dipartimento di Guédiawaye"",""zh-CN"":""盖迪亚瓦耶省"",""tr"":""Guédiawaye Departmanı"",""ru"":""Департамент Гедиавайе"",""uk"":""Департамент Гедіавей"",""pl"":""Departament Guédiawaye"",""hi"":""गुएडियावे विभाग"",""ar"":""قسم غيدياواي""}",2019-10-06T10:18:06,2025-12-02T17:11:50,1,Q957409
