id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104775,Afgooye,921,SH,203,SO,adm2,,,2.13810000,45.12120000,Afgooye,65461,Africa/Mogadishu,"{""ar"":""أفجوي"",""br"":""Afgooye"",""de"":""Afgooye"",""es"":""Afgooye"",""fa"":""افگوئه"",""fr"":""Afgooye"",""hi"":""अफगूये"",""hr"":""Afgooye"",""it"":""Afgooye"",""ja"":""アフグーイ"",""ko"":""아프구예"",""nl"":""Afgooye"",""pl"":""Afgooye"",""pt"":""Afgooye"",""pt-BR"":""Afgooye"",""ru"":""Афгуйе"",""tr"":""Afgooye"",""uk"":""Афгуйє"",""zh-CN"":""阿夫戈耶""}",2019-10-05T23:18:06,2025-12-02T14:38:56,1,Q383218
104776,Baardheere,928,GE,203,SO,locality,,,2.34464000,42.27644000,Baardheere,42240,Africa/Mogadishu,"{""ar"":""بارديري"",""br"":""Baardheere"",""de"":""Baardheere"",""es"":""Baardheere"",""fa"":""باردهی"",""fr"":""Baardheere"",""hi"":""बारधीरे"",""hr"":""Baardheere"",""it"":""Baardheere"",""ja"":""バードヒーレ"",""ko"":""바르디어"",""nl"":""Baardheere"",""pl"":""Baardheere"",""pt"":""Baardheere"",""pt-BR"":""Baardheere"",""ru"":""Баардхере"",""tr"":""Baardheere"",""uk"":""Бардір"",""zh-CN"":""巴德希尔""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q383218
104777,Baidoa,926,BY,203,SO,adm1,,,3.11383000,43.64980000,Baidoa,129839,Africa/Mogadishu,"{""ar"":""بايدوا"",""br"":""Baidoa"",""de"":""Baidoa"",""es"":""Baidoa"",""fa"":""بایدوا"",""fr"":""Baïdoa"",""hi"":""बैदोआ"",""hr"":""Baidoa"",""it"":""Baidoa"",""ja"":""バイドア"",""ko"":""바이도아"",""nl"":""Baidoa"",""pl"":""Baidoa"",""pt"":""Baidoa"",""pt-BR"":""Baidoa"",""ru"":""Байдоа"",""tr"":""Baidoa"",""uk"":""Байдоа"",""zh-CN"":""拜多阿""}",2019-10-05T23:18:06,2025-12-02T14:38:56,1,Q506578
104778,Bandarbeyla,930,BR,203,SO,city,,,9.49420000,50.81220000,Naardarbeyla,13753,Africa/Mogadishu,"{""ar"":""بندربيلا"",""br"":""Bandarbeyla"",""de"":""Bandarbeyla"",""es"":""Bandarbeyla"",""fa"":""بندربیله"",""fr"":""Bandarbeyla"",""hi"":""बंदरबेला"",""hr"":""Bandarbeyla"",""it"":""Bandarbeyla"",""ja"":""バンダルベイラ"",""ko"":""반다르베일라"",""nl"":""Bandarbeyla"",""pl"":""Bandarbeyla"",""pt"":""Bandarbeyla"",""pt-BR"":""Bandarbeyla"",""ru"":""Бандарбейла"",""tr"":""Bandarbeyla"",""uk"":""Бандарбейла"",""zh-CN"":""班达尔贝拉""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q2737490
104779,Bargaal,930,BR,203,SO,city,,,11.28636000,51.07730000,Bargaal,6798,Africa/Mogadishu,"{""ar"":""بارجال"",""br"":""Bargaal"",""de"":""Bargaal"",""es"":""Ganga"",""fa"":""بارگال"",""fr"":""Bargaal"",""hi"":""बरगाल"",""hr"":""Bargaal"",""it"":""Bargaal"",""ja"":""バルガール"",""ko"":""바르갈"",""nl"":""Bargaal"",""pl"":""Bargaal"",""pt"":""Bargaal"",""pt-BR"":""Bargaal"",""ru"":""Баргал"",""tr"":""Bargaal"",""uk"":""Баргаал"",""zh-CN"":""巴加尔""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q808131
104780,Beledweyne,915,HI,203,SO,adm1,,,4.73583000,45.20361000,Beledweyne,55410,Africa/Mogadishu,"{""ar"":""بلدوين"",""br"":""Beledweyne"",""de"":""Beledweyne"",""es"":""Beledweyne"",""fa"":""بلدوین"",""fr"":""Beledweyne"",""hi"":""बेलेडवेयने"",""hr"":""Beledweyne"",""it"":""Beledweyne"",""ja"":""ベレドウェイン"",""ko"":""벨레드웨인"",""nl"":""Beledweyne"",""pl"":""Beledweyne"",""pt"":""Beledweyne"",""pt-BR"":""Beledweyne"",""ru"":""Беледуэйн"",""tr"":""Beledweyne"",""uk"":""Беледвейн"",""zh-CN"":""贝莱德文""}",2019-10-05T23:18:06,2025-12-02T14:38:56,1,Q815370
104781,Bereeda,930,BR,203,SO,city,,,11.87037000,51.05795000,Rareen,11262,Africa/Mogadishu,"{""ar"":""بريدا"",""br"":""Bereeda"",""de"":""Bereeda"",""es"":""Bereeda"",""fa"":""بریدا"",""fr"":""Bereeda"",""hi"":""बेरीडा"",""hr"":""Bereeda"",""it"":""Bereeda"",""ja"":""ベリーダ"",""ko"":""베리다"",""nl"":""Bereeda"",""pl"":""Bereeda"",""pt"":""Bereeda"",""pt-BR"":""Bereeda"",""ru"":""Береда"",""tr"":""Bereeda"",""uk"":""Беріда"",""zh-CN"":""贝雷达""}",2019-10-05T23:18:06,2025-12-02T14:38:56,1,Q15873036
104782,Bosaso,930,BR,203,SO,adm1,,,11.28421000,49.18158000,Bosaso,74287,Africa/Mogadishu,"{""ar"":""بوساسو"",""br"":""Bosaso"",""de"":""Bosaso"",""es"":""Bosaso"",""fa"":""بوساسو"",""fr"":""Bosasso"",""hi"":""बोसासो"",""hr"":""Bosaso"",""it"":""Bosaso"",""ja"":""ボサソ"",""ko"":""보사소"",""nl"":""Bosaso"",""pl"":""Bosaso"",""pt"":""Bosaso"",""pt-BR"":""Bosaso"",""ru"":""Босасо"",""tr"":""Bosaso"",""uk"":""Босасо"",""zh-CN"":""博萨索""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q331556
104783,Burao,929,TO,203,SO,adm1,,,9.52213000,45.53363000,Burao,99270,Africa/Mogadishu,"{""ar"":""بوراو"",""br"":""Burao"",""de"":""Burao"",""es"":""Burao"",""fa"":""بورائو"",""fr"":""Burao"",""hi"":""बुराओ"",""hr"":""Burão"",""it"":""Burao"",""ja"":""ブラオ"",""ko"":""부라오"",""nl"":""Burao"",""pl"":""Burao"",""pt"":""Burao"",""pt-BR"":""Burao"",""ru"":""Бурао"",""tr"":""Burao"",""uk"":""Бурао"",""zh-CN"":""布劳""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q948448
104784,Buulobarde,915,HI,203,SO,city,,,3.85375000,45.56744000,Buulobarde,16928,Africa/Mogadishu,"{""ar"":""بولوباردي"",""br"":""Buulobarde"",""de"":""Buulobarde"",""es"":""Buulobarde"",""fa"":""بولوبارد"",""fr"":""Buulobarde"",""hi"":""बुलोबार्डे"",""hr"":""Buulobarde"",""it"":""Buulobarde"",""ja"":""ブローバルデ"",""ko"":""부울로바르데"",""nl"":""Buulobarde"",""pl"":""Buulobarda"",""pt"":""Buulobarde"",""pt-BR"":""Buulobarde"",""ru"":""Бульобарде"",""tr"":""Buulobarde"",""uk"":""Булобарде"",""zh-CN"":""布洛巴德""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q1018265
104785,Buur Gaabo,924,JH,203,SO,city,,,-1.21917000,41.83725000,Buur Gaabo,3096,Africa/Mogadishu,"{""ar"":""بور جابو"",""br"":""Buur Gaabo"",""de"":""Buur Gaabo"",""es"":""Buur Gaabo"",""fa"":""بور گابو"",""fr"":""Buur Gaabo"",""hi"":""बुउर गाबो"",""hr"":""Buur Gaabo"",""it"":""Buur Gaabo"",""ja"":""ブール・ガボ"",""ko"":""부르 가보"",""nl"":""Buur Gaabo"",""pl"":""Buur Gaabo"",""pt"":""Buur Gaabo"",""pt-BR"":""Buur Gaabo"",""ru"":""Буур Габо"",""tr"":""Buur Gaabo"",""uk"":""Буур Гаабо"",""zh-CN"":""布尔·加博""}",2019-10-05T23:18:06,2025-12-02T14:38:56,1,Q1018265
104786,Buurhakaba,926,BY,203,SO,adm2,,,2.80257000,44.07805000,Buurhakaba,27792,Africa/Mogadishu,"{""ar"":""بورهاكابا"",""br"":""Buurhakaba"",""de"":""Buurhakaba"",""es"":""Buurhakaba"",""fa"":""بورهاکابا"",""fr"":""Buurhakaba"",""hi"":""बुउरहाकाबा"",""hr"":""Buurhakaba"",""it"":""Buurhakaba"",""ja"":""ブールハカバ"",""ko"":""부르하카바"",""nl"":""Buurhakaba"",""pl"":""Buurhakaba"",""pt"":""Buurhakaba"",""pt-BR"":""Buurhakaba"",""ru"":""Буурхакаба"",""tr"":""Buurhakaba"",""uk"":""Буурхакаба"",""zh-CN"":""布尔哈卡巴""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q1018270
104787,Cadale,923,SD,203,SO,city,,,2.76030000,46.32220000,Cadale,5385,Africa/Mogadishu,"{""ar"":""كادال"",""br"":""Cadale"",""de"":""Cadale"",""es"":""Cadale"",""fa"":""کادال"",""fr"":""Cadale"",""hi"":""कैडेल"",""hr"":""Cadale"",""it"":""Cadale"",""ja"":""カダーレ"",""ko"":""카달레"",""nl"":""Cadale"",""pl"":""Cadale"",""pt"":""Cadale"",""pt-BR"":""Cadale"",""ru"":""Кадале"",""tr"":""Cadale"",""uk"":""Кадале"",""zh-CN"":""卡代尔""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q348107
104788,Caluula,930,BR,203,SO,adm2,,,11.96611000,50.75694000,Caluula,6100,Africa/Mogadishu,"{""ar"":""كالولا"",""br"":""Caluula"",""de"":""Caluula"",""es"":""Caluula"",""fa"":""کالولا"",""fr"":""Caluula"",""hi"":""कैलुला"",""hr"":""Caluula"",""it"":""Caluula"",""ja"":""カルーラ"",""ko"":""칼룰라"",""nl"":""Caluula"",""pl"":""Caluula"",""pt"":""Caluula"",""pt-BR"":""Caluula"",""ru"":""Калуула"",""tr"":""Caluula"",""uk"":""Калуула"",""zh-CN"":""卡卢拉""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q448076
104789,Ceek,929,TO,203,SO,city,,,8.99907000,45.35824000,Cagaaran,4325,Africa/Mogadishu,"{""ar"":""سيك"",""br"":""Ceek"",""de"":""Ceek"",""es"":""Ceek"",""fa"":""کیک"",""fr"":""Ceek"",""hi"":""सीक"",""hr"":""Ceek"",""it"":""Ceek"",""ja"":""シーク"",""ko"":""치크"",""nl"":""Ceek"",""pl"":""Ceek"",""pt"":""Ceek"",""pt-BR"":""Ceek"",""ru"":""Кик"",""tr"":""Ceek"",""uk"":""Сік"",""zh-CN"":""奇克""}",2019-10-05T23:18:06,2025-12-02T14:38:56,1,Q448076
104790,Ceelbuur,918,GA,203,SO,city,,,4.68501000,46.61760000,Ceelbuur,9031,Africa/Mogadishu,"{""ar"":""سيلبور"",""br"":""Ceelbuur"",""de"":""Ceelbuur"",""es"":""Ceelbuur"",""fa"":""سیلبور"",""fr"":""Ceelbuur"",""hi"":""सीलबूर"",""hr"":""Ceelbuur"",""it"":""Ceelbuur"",""ja"":""セルブール"",""ko"":""셀부르"",""nl"":""Ceelbuur"",""pl"":""Ceelbuur"",""pt"":""Ceelbuur"",""pt-BR"":""Ceelbuur"",""ru"":""Сильбур"",""tr"":""Ceelbuur"",""uk"":""Кеелбур"",""zh-CN"":""塞尔布尔""}",2019-10-05T23:18:06,2025-12-02T14:39:31,1,Q2737496
