id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104821,Albina,2845,MA,210,SR,adm1,,,5.49788000,-54.05522000,Bij,3985,America/Paramaribo,"{""br"":""Albina"",""ko"":""알비나"",""pt-BR"":""Albina"",""pt"":""Albina"",""nl"":""Albina"",""hr"":""Albina"",""fa"":""آلبینا"",""de"":""Albina"",""es"":""Albina"",""fr"":""Albine"",""ja"":""アルビナ"",""it"":""Albina"",""zh-CN"":""阿尔比娜"",""tr"":""Albina"",""ru"":""Альбина"",""uk"":""Альбіна"",""pl"":""Albina"",""hi"":""अल्बिना"",""ar"":""ألبينا""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q580016
104822,Brokopondo,2846,BR,210,SR,adm1,,,5.05594000,-54.98043000,Brocopondo,14662,America/Paramaribo,"{""br"":""Brokopondo"",""ko"":""브로코폰도"",""pt-BR"":""Brokopondo"",""pt"":""Brokopondo"",""nl"":""Brokopondo"",""hr"":""Brokopondo"",""fa"":""برکوپوندو"",""de"":""Brokopondo"",""es"":""Brokopondo"",""fr"":""Brokopondo"",""ja"":""ブロコポンド"",""it"":""Brokopondo"",""zh-CN"":""布罗科蓬多"",""tr"":""Brokopondo"",""ru"":""Брокопондо"",""uk"":""Брокопондо"",""pl"":""Brokopondo"",""hi"":""ब्रोकोपोंदो"",""ar"":""بروكوبوندو""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q926060
104823,Brownsweg,2846,BR,210,SR,city,,,5.00435000,-55.15333000,Bruinsweg,2696,America/Paramaribo,"{""br"":""Brownsweg"",""ko"":""브라운스웨그"",""pt-BR"":""Brownsweg"",""pt"":""Brownsweg"",""nl"":""Brownsweg"",""hr"":""Brownsweg"",""fa"":""براونزوگ"",""de"":""Brownsweg"",""es"":""Brownsweg"",""fr"":""Brownsweg"",""ja"":""ブラウンズウェグ"",""it"":""Brownsweg"",""zh-CN"":""布朗斯韦格"",""tr"":""Brownsweg"",""ru"":""Браунсвег"",""uk"":""Браунсвег"",""pl"":""Brownsweg"",""hi"":""ब्राउनस्वेग"",""ar"":""براونزويج""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q926060
104824,Groningen,2848,SA,210,SR,adm1,,,5.80000000,-55.46667000,Groningen,3216,America/Paramaribo,"{""br"":""Groningen"",""ko"":""그로닝겐"",""pt-BR"":""Groningen"",""pt"":""Groningen"",""nl"":""Groningen"",""hr"":""Groningen"",""fa"":""گرونینگن"",""de"":""Groningen"",""es"":""Groningen"",""fr"":""Groningue"",""ja"":""フローニンゲン"",""it"":""Groninga"",""zh-CN"":""格罗宁根"",""tr"":""Groningen"",""ru"":""Гронинген"",""uk"":""Гронінген"",""pl"":""Groningen"",""hi"":""ग्रोनिंगन"",""ar"":""خرونينجن""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q508935
104825,Lelydorp,2844,WA,210,SR,adm1,,,5.70000000,-55.23333000,Lelie,19991,America/Paramaribo,"{""br"":""Lelydorp"",""ko"":""렐리도르프"",""pt-BR"":""Lelydorp"",""pt"":""Lelydorp"",""nl"":""Lelydorp"",""hr"":""Lelydorp"",""fa"":""لیلیدورپ"",""de"":""Lelydorp"",""es"":""Lelydorp"",""fr"":""Lelydorp"",""ja"":""レリードルプ"",""it"":""Lelydorp"",""zh-CN"":""雷利多尔普"",""tr"":""Lelydorp"",""ru"":""Лелидорп"",""uk"":""Лелідорп"",""pl"":""Lelydorp"",""hi"":""लेलिडॉर्प"",""ar"":""ليليدورب""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q935545
104826,Mariënburg,2839,CM,210,SR,city,,,5.87722000,-55.04322000,Mariënburg,4427,America/Paramaribo,"{""br"":""Mariënburg"",""ko"":""마리엔부르크"",""pt-BR"":""Mariënburg"",""pt"":""Mariënburg"",""nl"":""Mariënburg"",""hr"":""Mariënburg"",""fa"":""مارینبورگ"",""de"":""Marienburg"",""es"":""Marienburgo"",""fr"":""Mariënburg"",""ja"":""マリエンブルク"",""it"":""Mariënburg"",""zh-CN"":""马林堡"",""tr"":""Mariënburg"",""ru"":""Мариенбург"",""uk"":""Марієнбург"",""pl"":""Mariënburg"",""hi"":""मैरीएनबर्ग"",""ar"":""مارينبورغ""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q908006
104827,Moengo,2845,MA,210,SR,city,,,5.61411000,-54.40121000,Moengo,7074,America/Paramaribo,"{""br"":""Moengo"",""ko"":""모엔고"",""pt-BR"":""Moengo"",""pt"":""Moengo"",""nl"":""Moengo"",""hr"":""Moengo"",""fa"":""موئنگو"",""de"":""Moengo"",""es"":""Moengo"",""fr"":""Moengo"",""ja"":""モエンゴ"",""it"":""Moengo"",""zh-CN"":""莫恩戈"",""tr"":""Moengo"",""ru"":""Моенго"",""uk"":""Моенго"",""pl"":""Moengo"",""hi"":""मोएंगो"",""ar"":""موينغو""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q24226
104828,Nieuw Amsterdam,2839,CM,210,SR,adm1,,,5.88573000,-55.08871000,Nieuw Amsterdam,5650,America/Paramaribo,"{""br"":""Nieuw Amsterdam"",""ko"":""니우 암스테르담"",""pt-BR"":""Nova Amsterdã"",""pt"":""Nova Amsterdã"",""nl"":""Nieuw Amsterdam"",""hr"":""Novi Amsterdam"",""fa"":""نیو آمستردام"",""de"":""Nieuw Amsterdam"",""es"":""Nueva Ámsterdam"",""fr"":""Nieuw Amsterdam"",""ja"":""ニューアムステルダム"",""it"":""Nuova Amsterdam"",""zh-CN"":""新阿姆斯特丹"",""tr"":""Yeni Amsterdam"",""ru"":""Новый Амстердам"",""uk"":""Новий Амстердам"",""pl"":""Nowy Amsterdam"",""hi"":""न्यू एम्स्टर्डम"",""ar"":""نيو أمستردام""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q24226
104829,Nieuw Nickerie,2840,NI,210,SR,adm1,,,5.92606000,-56.97297000,Nieuw Nickerie,12818,America/Paramaribo,"{""br"":""Nevez Nickerie"",""ko"":""니우 니케리"",""pt-BR"":""Nova Nickerie"",""pt"":""Nova Nickerie"",""nl"":""Nieuw Nickerie"",""hr"":""Nieuw Nickerie"",""fa"":""نیو نیکری"",""de"":""Nieuw Nickerie"",""es"":""Nueva Nickerie"",""fr"":""Nouvelle Nickerie"",""ja"":""ニュー・ニッケリー"",""it"":""Nieuw Nickerie"",""zh-CN"":""新尼克里"",""tr"":""Nieuw Nickerie"",""ru"":""Nieuw Nickerie"",""uk"":""Нью-Нікері"",""pl"":""Nowa Nickerie"",""hi"":""न्यू निकेरी"",""ar"":""نيو نيكيري""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q738313
104830,Onverwacht,2841,PR,210,SR,adm1,,,5.58983000,-55.19462000,Onverwacht,2105,America/Paramaribo,"{""br"":""Onverwacht"",""ko"":""온버워치트"",""pt-BR"":""Monitoramento"",""pt"":""Monitoramento"",""nl"":""Onverwacht"",""hr"":""Onverwacht"",""fa"":""اونورواخت"",""de"":""Onverwacht"",""es"":""Vigilancia"",""fr"":""Surveillance"",""ja"":""オンヴェルワハト"",""it"":""Onverwacht"",""zh-CN"":""奥弗卫队"",""tr"":""Onverwacht"",""ru"":""Онвервахт"",""uk"":""Онвервачт"",""pl"":""Onverwacht"",""hi"":""ऑनवरवाच्ट"",""ar"":""أونفيرواخت""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q1861566
104831,Paramaribo,2843,PM,210,SR,capital,,,5.86638000,-55.16682000,Paramaribo,223757,America/Paramaribo,"{""br"":""Paramaribo"",""ko"":""파라마리보"",""pt-BR"":""Paramaribo"",""pt"":""Paramaribo"",""nl"":""Paramaribo"",""hr"":""Paramaribo"",""fa"":""پاراماریبو"",""de"":""Paramaribo"",""es"":""Paramaribo"",""fr"":""Paramaribo"",""ja"":""パラマリボ"",""it"":""Paramaribo"",""zh-CN"":""帕拉马里博"",""tr"":""Paramaribo"",""ru"":""Парамарибо"",""uk"":""Парамарибо"",""pl"":""Paramaribo"",""hi"":""पारामरिबो"",""ar"":""باراماريبو""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q3001
104832,Totness,2842,CR,210,SR,adm1,,,5.87618000,-56.32572000,Totness,1685,America/Paramaribo,"{""br"":""Totness"",""ko"":""토트니스"",""pt-BR"":""Totness"",""pt"":""Totness"",""nl"":""Totness"",""hr"":""Totness"",""fa"":""توتنس"",""de"":""Totness"",""es"":""Plenitud"",""fr"":""Totness"",""ja"":""トットネス"",""it"":""Totness"",""zh-CN"":""托特尼斯"",""tr"":""Totness"",""ru"":""Тотнесс"",""uk"":""Тотнесс"",""pl"":""Totness"",""hi"":""टोटनेस"",""ar"":""توتنس""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q3001
