id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104840,Acajutla,4140,SO,66,SV,city,,,13.59278000,-89.82750000,Acajutla,22763,America/El_Salvador,"{""br"":""Acajutla"",""ko"":""아카후틀라"",""pt-BR"":""Acajutla"",""pt"":""Acajutla"",""nl"":""Acajutla"",""hr"":""Acajutla"",""fa"":""آجوتلا"",""de"":""Acajutla"",""es"":""Acajutla"",""fr"":""Acajutla"",""ja"":""アカフトラ"",""it"":""Acajutla"",""zh-CN"":""阿卡胡特拉"",""tr"":""Acajutla"",""ru"":""Акаджутла"",""uk"":""Акахутла"",""pl"":""Acajutla"",""hi"":""अकाजुटला"",""ar"":""أكاجوتلا""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q937292
104841,Aguilares,4133,SS,66,SV,city,,,13.95722000,-89.18972000,Aguilares,21051,America/El_Salvador,"{""br"":""Aguilares"",""ko"":""아길라레스"",""pt-BR"":""Aguilares"",""pt"":""Aguilares"",""nl"":""Aguilares"",""hr"":""Aguilares"",""fa"":""آگیلارس"",""de"":""Aguilares"",""es"":""Aguilares"",""fr"":""Aguilares"",""ja"":""アギラレス"",""it"":""Aguilares"",""zh-CN"":""阿吉拉雷斯"",""tr"":""Aguilares"",""ru"":""Агиларес"",""uk"":""Агіларес"",""pl"":""Aguilares"",""hi"":""एगुइलारेस"",""ar"":""أغيلاريس""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q2289978
104842,Ahuachapán,4139,AH,66,SV,adm1,,,13.92139000,-89.84500000,Ahuachapán,34102,America/El_Salvador,"{""br"":""Ahuachapán"",""ko"":""아우아차판"",""pt-BR"":""Ahuachapán"",""pt"":""Ahuachapán"",""nl"":""Ahuachapán"",""hr"":""Ahuachapán"",""fa"":""آهواچاپان"",""de"":""Ahuachapán"",""es"":""Ahuachapán"",""fr"":""Ahuachapán"",""ja"":""アワチャパン"",""it"":""Ahuachapán"",""zh-CN"":""阿瓦查潘"",""tr"":""Ahuachapán"",""ru"":""Ауачапан"",""uk"":""Ахуачапан"",""pl"":""Ahuachapán"",""hi"":""अहुआचापान"",""ar"":""أهواتشابان""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q186935
104843,Anamorós,4138,UN,66,SV,city,,,13.74056000,-87.87361000,AnamorÓrs,2655,America/El_Salvador,"{""br"":""Anamorós"",""ko"":""아나모로스"",""pt-BR"":""Anamorós"",""pt"":""Anamorós"",""nl"":""Anamorós"",""hr"":""Anamorós"",""fa"":""آناموروس"",""de"":""Anamorós"",""es"":""Anamorós"",""fr"":""Anamorós"",""ja"":""アナモロス"",""it"":""Anamorós"",""zh-CN"":""阿纳莫罗斯"",""tr"":""Anamorós"",""ru"":""Анаморос"",""uk"":""Анаморос"",""pl"":""Anamorós"",""hi"":""एनामोरोस"",""ar"":""أناموروس""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q3615033
104844,Antiguo Cuscatlán,4134,LI,66,SV,city,,,13.66492000,-89.25319000,Antiguo Cuscatlán,37451,America/El_Salvador,"{""br"":""Antiguo Cuscatlán"",""ko"":""안티구오 쿠스카틀란"",""pt-BR"":""Antigo Cuscatlán"",""pt"":""Antigo Cuscatlán"",""nl"":""Oud Cuscatlán"",""hr"":""Antiguo Cuscatlán"",""fa"":""آنتیگوئو کوسکاتلان"",""de"":""Antiguo Cuscatlán"",""es"":""Antiguo Cuscatlán"",""fr"":""Ancien Cuscatlán"",""ja"":""アンティグオ・クスカトラン"",""it"":""Antiguo Cuscatlán"",""zh-CN"":""安蒂果·库斯卡特兰"",""tr"":""Antiguo Cuscatlán"",""ru"":""Антигуо Кускатлан"",""uk"":""Антигуо Кускатлан"",""pl"":""Antiguo Cuscatlán"",""hi"":""एंटीगुओ कुस्काटलान"",""ar"":""أنتيجو كوسكاتلان""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q575756
104845,Apastepeque,4127,SV,66,SV,city,,,13.66667000,-88.78333000,Apastepeque,5785,America/El_Salvador,"{""br"":""Apastepeque"",""ko"":""아파스테페케"",""pt-BR"":""Apastepeque"",""pt"":""Apastepeque"",""nl"":""Apastepeque"",""hr"":""Apastepeque"",""fa"":""آپاستپکوئه"",""de"":""Apastepeque"",""es"":""Apastepeque"",""fr"":""Apastepeque"",""ja"":""アパステペケ"",""it"":""Apastepeque"",""zh-CN"":""阿帕斯特佩克"",""tr"":""Apastepeque"",""ru"":""Апастепеке"",""uk"":""Апастепеке"",""pl"":""Apastepeque"",""hi"":""अपास्टेपेक"",""ar"":""أباستيبيكي""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q617890
104846,Apopa,4133,SS,66,SV,city,,,13.80722000,-89.17917000,Alapa,129083,America/El_Salvador,"{""br"":""Apopa"",""ko"":""아포파"",""pt-BR"":""Apopa"",""pt"":""Apopa"",""nl"":""Apopa"",""hr"":""Apopa"",""fa"":""آپوپا"",""de"":""Apopa"",""es"":""Apopa"",""fr"":""Apopa"",""ja"":""アポパ"",""it"":""Apopa"",""zh-CN"":""阿波帕"",""tr"":""Apopa"",""ru"":""Апопа"",""uk"":""Апопа"",""pl"":""Apopa"",""hi"":""अपोपा"",""ar"":""أبوبا""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q619646
104847,Armenia,4140,SO,66,SV,city,,,13.74361000,-89.49889000,Armenia,14997,America/El_Salvador,"{""br"":""Armenia"",""ko"":""아르메니아"",""pt-BR"":""Armênia"",""pt"":""Armênia"",""nl"":""Armenië"",""hr"":""Armenija"",""fa"":""ارمنستان"",""de"":""Armenien"",""es"":""Armenia"",""fr"":""Arménie"",""ja"":""アルメニア"",""it"":""Armenia"",""zh-CN"":""亚美尼亚"",""tr"":""Ermenistan"",""ru"":""Армения"",""uk"":""Вірменія"",""pl"":""Armenia"",""hi"":""आर्मीनिया"",""ar"":""أرمينيا""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q682015
104848,Atiquizaya,4139,AH,66,SV,city,,,13.97694000,-89.75250000,Atiquizaya,9476,America/El_Salvador,"{""br"":""Atiquizaya"",""ko"":""아티키자야"",""pt-BR"":""Atiquizaya"",""pt"":""Atiquizaya"",""nl"":""Atiquizaya"",""hr"":""Atiquizaya"",""fa"":""آتیکویزایا"",""de"":""Atiquizaya"",""es"":""Atiquizaya"",""fr"":""Atiquizaya"",""ja"":""アティキザヤ"",""it"":""Atiquizaya"",""zh-CN"":""阿蒂基扎亚"",""tr"":""Atiquizaya"",""ru"":""Атикизайя"",""uk"":""Атікісая"",""pl"":""Atiquizaya"",""hi"":""अतीक्विज़ाया"",""ar"":""أتيكويزايا""}",2019-10-06T10:18:06,2025-12-02T14:39:31,1,Q2779447
104849,Ayutuxtepeque,4133,SS,66,SV,city,,,13.74556000,-89.20639000,Ayutuxtepeque,31631,America/El_Salvador,"{""br"":""Ayutuxtepeque"",""ko"":""아유툭스테페케"",""pt-BR"":""Ayutuxtepeque"",""pt"":""Ayutuxtepeque"",""nl"":""Ayutuxtepeque"",""hr"":""Ayutuxtepeque"",""fa"":""آیوتوختپکه"",""de"":""Ayutuxtepeque"",""es"":""Ayutuxtepeque"",""fr"":""Ayutuxtepeque"",""ja"":""アユトゥステペケ"",""it"":""Ayutuxtepeque"",""zh-CN"":""阿尤图斯特佩克"",""tr"":""Ayutuxtepeque"",""ru"":""Аютукстепеке"",""uk"":""Аютукстепеке"",""pl"":""Ayutuxtepeque"",""hi"":""अयुतुक्सटेपेक"",""ar"":""أيوتوكستيبيكي""}",2019-10-06T10:18:06,2025-12-02T14:38:56,1,Q793367
