id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
104940,Ad Darbāsīyah,2941,HA,215,SY,adm3,,,37.07279000,40.65199000,الدرباسية,21481,Asia/Damascus,"{""br"":""Ad Darbāsīyah"",""ko"":""아드 다르바시야"",""pt-BR"":""Ad Darbāsīyah"",""pt"":""Ad Darbāsīyah"",""nl"":""Ad Darbāsīyah"",""hr"":""Ad Darbasīyah"",""fa"":""الدرباسیه"",""de"":""Ad Darbāsīyah"",""es"":""Ad Darbāsīyah"",""fr"":""Ad Darbāsīyah"",""ja"":""アド・ダルバーシヤ"",""it"":""Ad Darbāsīyah"",""zh-CN"":""达尔巴西亚"",""tr"":""Ad Darbāsīyah"",""ru"":""Ad Darbāsīyah"",""uk"":""Ад Дарбасія"",""pl"":""Ad Darbāsīyah"",""hi"":""Ad Darbāsīyah"",""ar"":""الدرباسية""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q4023866
104941,Ad Duraykīsh,2947,TA,215,SY,adm2,,,34.89514000,36.14303000,أد دورايكيش,11918,Asia/Damascus,"{""br"":""Ad Duraykīsh"",""ko"":""아드 두라이키시"",""pt-BR"":""Ad Duraykīsh"",""pt"":""Ad Duraykīsh"",""nl"":""Ad Duraykīsh"",""hr"":""Ad Duraykīsh"",""fa"":""دوریکیش"",""de"":""Ad Duraykīsh"",""es"":""Ad Duraykīsh"",""fr"":""Ad Duraykīsh"",""ja"":""アド・ドゥライキシュ"",""it"":""Ad Duraykīsh"",""zh-CN"":""阿德·杜拉伊基什"",""tr"":""Ad Duraykīsh"",""ru"":""Ad Duraykīsh"",""uk"":""Ад Дурайкіш"",""pl"":""Ad Duraykīsh"",""hi"":""Ad Duraykīsh"",""ar"":""أد دورايكيش""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q4120566
104942,Ad Dānā,2940,ID,215,SY,adm3,,,36.21254000,36.76998000,أد دانا,21987,Asia/Damascus,"{""br"":""Ad Dānā"",""ko"":""아드 다나"",""pt-BR"":""Ad Dānā"",""pt"":""Ad Dānā"",""nl"":""Ad Dana"",""hr"":""Ad Dana"",""fa"":""آد دانا"",""de"":""Ad Dānā"",""es"":""Ad Dānā"",""fr"":""Ad Dānā"",""ja"":""アド・ダナ"",""it"":""Ad Dānā"",""zh-CN"":""布施"",""tr"":""Ad Dānā"",""ru"":""Ад Дана"",""uk"":""Ад Дана"",""pl"":""Ad Dana"",""hi"":""अद दाना"",""ar"":""أد دانا""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q4120566
104943,Afrin,2946,HL,215,SY,district,,,36.54891000,36.79295000,منطقة عفرين,,Asia/Damascus,"{""br"":""Distrig Afrin"",""ko"":""아프린 지구"",""pt-BR"":""Distrito de Afrin"",""pt"":""Distrito de Afrin"",""nl"":""Afrin District"",""hr"":""Okrug Afrin"",""fa"":""شهرستان عفرین"",""de"":""Distrikt Afrin"",""es"":""Distrito de Afrin"",""fr"":""District d'Afrin"",""ja"":""アフリン地区"",""it"":""Distretto di Afrin"",""zh-CN"":""阿夫林区"",""tr"":""Afrin İlçesi"",""ru"":""Район Африн"",""uk"":""Афрінський район"",""pl"":""Dystrykt Afrin"",""hi"":""अफरीन जिला"",""ar"":""منطقة عفرين""}",2019-10-06T10:18:07,2025-12-02T17:29:56,1,Q4120569
104944,Al Atārib,2946,HL,215,SY,adm3,,,36.13907000,36.82504000,الأتارب,0,Asia/Damascus,"{""br"":""Al Atārib"",""ko"":""알 아타립"",""pt-BR"":""Al Atārib"",""pt"":""Al Atārib"",""nl"":""Al Atārib"",""hr"":""Al Atarib"",""fa"":""العطارب"",""de"":""Al Atārib"",""es"":""Al Atārib"",""fr"":""Al Atārib"",""ja"":""アル・アタリブ"",""it"":""Al Atārib"",""zh-CN"":""阿尔阿塔里卜"",""tr"":""Al Atārib"",""ru"":""Аль-Атариб"",""uk"":""Аль-Атаріб"",""pl"":""Al Atārib"",""hi"":""अल अतारिब"",""ar"":""الأتارب""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q4118953
104945,Al Bāb,2946,HL,215,SY,adm2,,,36.37051000,37.51570000,الباب,130745,Asia/Damascus,"{""br"":""Al Bāb"",""ko"":""알 바브"",""pt-BR"":""Al Bāb"",""pt"":""Al Bāb"",""nl"":""Al Bāb"",""hr"":""Al Bab"",""fa"":""الباب"",""de"":""Al Bāb"",""es"":""Al Bab"",""fr"":""Al-Bab"",""ja"":""アル・バーブ"",""it"":""Al Bāb"",""zh-CN"":""巴布"",""tr"":""El Bab"",""ru"":""Аль-Баб"",""uk"":""Аль-Баб"",""pl"":""Al Bab"",""hi"":""अल बाब"",""ar"":""الباب""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q310892
104946,Al Ghanţū,2942,HI,215,SY,city,,,34.82202000,36.69613000,الغنطو,9412,Asia/Damascus,"{""br"":""Al Ghanţū"",""ko"":""알 간투"",""pt-BR"":""Al Ghanţū"",""pt"":""Al Ghanţū"",""nl"":""Al Ghanţū"",""hr"":""Al Ghantū"",""fa"":""الغنطو"",""de"":""Al Ghanţū"",""es"":""Al Ghanţū"",""fr"":""Al Ghanţū"",""ja"":""アル・ガントゥー"",""it"":""Al Ghanţū"",""zh-CN"":""阿尔甘图"",""tr"":""Al Ganţū"",""ru"":""Аль Ганту"",""uk"":""Аль-Ганцу"",""pl"":""Al Ghanţū"",""hi"":""अल घन्टू"",""ar"":""الغنطو""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q310892
104947,Al Kiswah,2935,RD,215,SY,adm3,,,33.35810000,36.24190000,الكسوة,23526,Asia/Damascus,"{""br"":""Al Kiswah"",""ko"":""알 키스와"",""pt-BR"":""Al Kiswah"",""pt"":""Al Kiswah"",""nl"":""Al Kiswah"",""hr"":""Al Kiswah"",""fa"":""القیسوة"",""de"":""Al Kiswah"",""es"":""Al Kiswah"",""fr"":""Al Kiswah"",""ja"":""アル・キスワ"",""it"":""Al Kiswah"",""zh-CN"":""阿尔基斯瓦"",""tr"":""Al Kiswah"",""ru"":""Аль-Кисва"",""uk"":""Аль-Кісва"",""pl"":""Al Kiswah"",""hi"":""अल किस्वा"",""ar"":""الكسوة""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q2915767
104948,Al Mayādīn,2937,DY,215,SY,adm2,,,35.01982000,40.45154000,الميادين,54534,Asia/Damascus,"{""br"":""Al Mayādīn"",""ko"":""알 마야딘"",""pt-BR"":""Al Mayādīn"",""pt"":""Al Mayādīn"",""nl"":""Al Mayādīn"",""hr"":""Al Mayadīn"",""fa"":""المیادین"",""de"":""Al Mayādīn"",""es"":""Al Mayadín"",""fr"":""Al Mayādīn"",""ja"":""アル・マヤディン"",""it"":""Al Mayādīn"",""zh-CN"":""迈亚丁"",""tr"":""Al Mayādīn"",""ru"":""Аль-Майадин"",""uk"":""Аль-Маядін"",""pl"":""Al Mayādīn"",""hi"":""अल मायादीन"",""ar"":""الميادين""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q310895
104949,Al Muzayrīb,2945,DR,215,SY,adm3,,,32.71084000,36.02751000,المزيريب,0,Asia/Damascus,"{""br"":""Al Muzayrīb"",""ko"":""알 무지리브"",""pt-BR"":""Al Muzayrīb"",""pt"":""Al Muzayrīb"",""nl"":""Al Muzayrīb"",""hr"":""Al Muzayrīb"",""fa"":""المزیریب"",""de"":""Al Muzayrīb"",""es"":""Al Muzayrīb"",""fr"":""Al Muzayrīb"",""ja"":""アル・ムザイリブ"",""it"":""Al Muzayrīb"",""zh-CN"":""穆扎里布"",""tr"":""El Müzeyrib"",""ru"":""Аль-Музейриб"",""uk"":""Аль-Музайріб"",""pl"":""Al Muzayrīb"",""hi"":""अल मुज़ैरिब"",""ar"":""المزيريب""}",2019-10-06T10:18:07,2025-12-02T14:39:31,1,Q6944401
