id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
105082,Bhunya,968,MA,212,SZ,city,,,-26.55000000,31.01667000,Bhunya,3046,Africa/Mbabane,"{""br"":""Bhunya"",""ko"":""부냐"",""pt-BR"":""Bhunya"",""pt"":""Bhunya"",""nl"":""Bhunya"",""hr"":""Bhunya"",""fa"":""بونیا"",""de"":""Bhunya"",""es"":""Bhunya"",""fr"":""Bhunya"",""ja"":""ブニャ"",""it"":""Bhunya"",""zh-CN"":""布尼亚"",""tr"":""Bhunya"",""ru"":""Бхунья"",""uk"":""Бхунья"",""pl"":""Bhunya"",""hi"":""भुन्या"",""ar"":""بهونيا""}",2019-10-06T10:18:08,2025-12-02T17:11:50,1,Q31915328
105083,Big Bend,970,LU,212,SZ,city,,,-26.81667000,31.93333000,Big Bend,,Africa/Mbabane,"{""br"":""Big Bend"",""ko"":""빅 벤드"",""pt-BR"":""Big Bend"",""pt"":""Big Bend"",""nl"":""Grote bocht"",""hr"":""Veliki zavoj"",""fa"":""بیگ بند"",""de"":""Große Biegung"",""es"":""Gran curva"",""fr"":""Big Bend"",""ja"":""ビッグベンド"",""it"":""Grande curva"",""zh-CN"":""大弯"",""tr"":""Büyük Viraj"",""ru"":""Биг-Бенд"",""uk"":""Великий Вигин"",""pl"":""Wielki Zakręt"",""hi"":""बिग बेंड"",""ar"":""المنعطف الكبير""}",2019-10-06T10:18:08,2025-12-02T16:59:27,1,Q858539
105084,Bulembu,969,HH,212,SZ,city,,,-25.96667000,31.13333000,Bulembu,2260,Africa/Mbabane,"{""br"":""Bulembu"",""ko"":""불렘부"",""pt-BR"":""Bulembu"",""pt"":""Bulembu"",""nl"":""Bulembu"",""hr"":""Bulembu"",""fa"":""بولمبو"",""de"":""Bulembu"",""es"":""Bulembu"",""fr"":""Bulembu"",""ja"":""ブレムブ"",""it"":""Bulembu"",""zh-CN"":""布伦布"",""tr"":""Bulembu"",""ru"":""Булембу"",""uk"":""Булембу"",""pl"":""Bulembu"",""hi"":""बुलेम्बु"",""ar"":""بوليمبو""}",2019-10-06T10:18:08,2025-12-02T17:11:50,1,Q3643239
105085,Dvokodvweni Inkhundla,970,LU,212,SZ,city,,,-26.45398000,31.76456000,Ditch,28252,Africa/Mbabane,"{""br"":""Dvokodvleni Inkhundla"",""ko"":""드보코드베니 인쿤들라"",""pt-BR"":""Dvokodvweni Inkhundla"",""pt"":""Dvokodvweni Inkhundla"",""nl"":""Dvokodvweni Inkhundla"",""hr"":""Dvokodvweni Inkhundla"",""fa"":""دووکودونی اینخوندلا"",""de"":""Dvokodvweni Inkhundla"",""es"":""Dvokodvweni Inkhundla"",""fr"":""Dvokodvweni Inkhundla"",""ja"":""ドヴォコドヴウェニ・インクンドラ"",""it"":""Dvokodvweni Inkhundla"",""zh-CN"":""德沃科德维尼·因克洪德拉"",""tr"":""Dvokodvweni Inkhundla"",""ru"":""Dvokodvweni Inkhundla"",""uk"":""Двокодввені Інкхундла"",""pl"":""Dvokodvweni Inkhundla"",""hi"":""Dvokodvweni Inkhundla"",""ar"":""دفوكودفويني إنخوندلا""}",2019-10-06T10:18:08,2025-12-02T16:59:27,1,Q3643239
105086,Ekukhanyeni,968,MA,212,SZ,city,,,-26.38750000,31.52806000,In the light,18085,Africa/Mbabane,"{""br"":""Ekukhanyeni"",""ko"":""에쿠칸예니"",""pt-BR"":""Ekukhanyeni"",""pt"":""Ekukhanyeni"",""nl"":""Ekukhanyeni"",""hr"":""Ekukhanyeni"",""fa"":""اکوخانینی"",""de"":""Ekukhanyeni"",""es"":""Ekukhanyeni"",""fr"":""Ekukhanyeni"",""ja"":""エクカニェニ"",""it"":""Ekukhanyeni"",""zh-CN"":""埃库汉耶尼"",""tr"":""Ekukhanyeni"",""ru"":""Экуханьени"",""uk"":""Екуханьєні"",""pl"":""Ekukhanyeni"",""hi"":""एकुखान्येनी"",""ar"":""إيكوخانييني""}",2019-10-06T10:18:08,2025-12-02T16:59:27,1,Q2003359
105087,Hhukwini,969,HH,212,SZ,city,,,-26.31972000,31.22222000,Throughout,9837,Africa/Mbabane,"{""br"":""Hhukwini"",""ko"":""후크위니"",""pt-BR"":""Hhukwini"",""pt"":""Hhukwini"",""nl"":""Hhukwini"",""hr"":""Hhukwini"",""fa"":""هوکوینی"",""de"":""Hhukwini"",""es"":""Hhukwini"",""fr"":""Hhukwini"",""ja"":""フクウィニ"",""it"":""Hhukwini"",""zh-CN"":""胡克维尼"",""tr"":""Hhukwini"",""ru"":""Ххуквини"",""uk"":""Ххуквіні"",""pl"":""Hhukwini"",""hi"":""हुक्विनी"",""ar"":""هوكويني""}",2019-10-06T10:18:08,2025-12-02T16:59:27,1,Q3798819
105088,Hlatikulu,971,SH,212,SZ,city,,,-26.97917000,31.32444000,Elimse,2748,Africa/Mbabane,"{""br"":""Hlatikulu"",""ko"":""흘라티쿨루"",""pt-BR"":""Hlatikulu"",""pt"":""Hlatikulu"",""nl"":""Hlatikulu"",""hr"":""Hlatikulu"",""fa"":""هلاتیکولو"",""de"":""Hlatikulu"",""es"":""Hlatikulu"",""fr"":""Hlatikulu"",""ja"":""フラティクル"",""it"":""Hlatikulu"",""zh-CN"":""赫拉蒂库卢"",""tr"":""Hlatikulu"",""ru"":""Хлатикулу"",""uk"":""Хлатікулу"",""pl"":""Hlatikulu"",""hi"":""हलातिकुलु"",""ar"":""هلاتيكولو""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q3235603
105089,Hluti,971,SH,212,SZ,city,,,-27.21667000,31.61667000,Portion,6763,Africa/Mbabane,"{""br"":""Hluti"",""ko"":""흘루티"",""pt-BR"":""Hluti"",""pt"":""Hluti"",""nl"":""Hluti"",""hr"":""Hluti"",""fa"":""هلوتی"",""de"":""Hluti"",""es"":""Hluti"",""fr"":""Hluti"",""ja"":""フルティ"",""it"":""Hluti"",""zh-CN"":""卢蒂"",""tr"":""Hluti"",""ru"":""Хлути"",""uk"":""Хлуті"",""pl"":""Hluti"",""hi"":""ह्लुटी"",""ar"":""هلوتي""}",2019-10-06T10:18:08,2025-12-02T17:11:50,1,Q3235603
105090,Kubuta,971,SH,212,SZ,city,,,-26.88333000,31.48333000,Escape,2038,Africa/Mbabane,"{""br"":""Kubuta"",""ko"":""쿠부타"",""pt-BR"":""Kubuta"",""pt"":""Kubuta"",""nl"":""Kubuta"",""hr"":""Kubuta"",""fa"":""کوبوتا"",""de"":""Kubuta"",""es"":""Kubuta"",""fr"":""Kubuta"",""ja"":""クブタ"",""it"":""Kubuta"",""zh-CN"":""久布塔"",""tr"":""Kubuta"",""ru"":""Кубута"",""uk"":""Кубута"",""pl"":""Kubuta"",""hi"":""Kubota"",""ar"":""كوبوتا""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q3432356
105091,Kwaluseni,968,MA,212,SZ,city,,,-26.48333000,31.33333000,To the morning,3395,Africa/Mbabane,"{""br"":""Kwaluseni"",""ko"":""콰루세니"",""pt-BR"":""Kwaluseni"",""pt"":""Kwaluseni"",""nl"":""Kwaluseni"",""hr"":""Kwaluseni"",""fa"":""کوالوسنی"",""de"":""Kwaluseni"",""es"":""Kwaluseni"",""fr"":""Kwaluseni"",""ja"":""クワルセニ"",""it"":""Kwaluseni"",""zh-CN"":""夸卢塞尼"",""tr"":""Kwaluseni"",""ru"":""Квалусени"",""uk"":""Квалусені"",""pl"":""Kwaluseni"",""hi"":""क्वालुसेनी"",""ar"":""كوالوسيني""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q3798822
