id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
105116,Abéché,3582,OD,43,TD,adm1,,,13.82916000,20.83240000,Abéché,139983,Africa/Ndjamena,"{""br"":""Abéché"",""ko"":""아베셰"",""pt-BR"":""Abéché"",""pt"":""Abéché"",""nl"":""Abéché"",""hr"":""Abéché"",""fa"":""آبچه"",""de"":""Abéché"",""es"":""Abéché"",""fr"":""Abéché"",""ja"":""アベシェ"",""it"":""Abéché"",""zh-CN"":""阿贝歇"",""tr"":""Abéché"",""ru"":""Абеше"",""uk"":""Абеше"",""pl"":""Abéché"",""hi"":""अबेचे"",""ar"":""أبيشي""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q242587
105117,Adré,3582,OD,43,TD,city,,,13.46648000,22.19875000,Adré,21950,Africa/Ndjamena,"{""br"":""Adré"",""ko"":""아드레"",""pt-BR"":""Adré"",""pt"":""Adré"",""nl"":""Adré"",""hr"":""Adré"",""fa"":""آدره"",""de"":""Adré"",""es"":""Adré"",""fr"":""Adré"",""ja"":""アドレ"",""it"":""Adré"",""zh-CN"":""阿德雷"",""tr"":""Adré"",""ru"":""Адре"",""uk"":""Адре"",""pl"":""Adré"",""hi"":""adre"",""ar"":""أدريه""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q2570307
105118,Am Timan,3592,SA,43,TD,adm1,,,11.02970000,20.28270000,Am Timan,74691,Africa/Ndjamena,"{""br"":""Timan on"",""ko"":""암 티만"",""pt-BR"":""Sou Timan"",""pt"":""Sou Timan"",""nl"":""Am Timan"",""hr"":""Am Timan"",""fa"":""ام تیمان"",""de"":""Am Timan"",""es"":""Am Timan"",""fr"":""Am Timan"",""ja"":""アム・ティマン"",""it"":""Sono Timan"",""zh-CN"":""安蒂曼"",""tr"":""Am Timan"",""ru"":""Ам Тиман"",""uk"":""Ам Тіман"",""pl"":""Jestem Timanem"",""hi"":""एम तिमान"",""ar"":""أم تيمان""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q451529
105119,Aozou,3587,TI,43,TD,city,,,21.83750000,17.42750000,Aozou,1880,Africa/Ndjamena,"{""br"":""Aozou"",""ko"":""아오조"",""pt-BR"":""Aozou"",""pt"":""Aozou"",""nl"":""Aozou"",""hr"":""Aozou"",""fa"":""آئوزو"",""de"":""Aozou"",""es"":""Aozou"",""fr"":""Aozou"",""ja"":""青蔵"",""it"":""Aozou"",""zh-CN"":""青藏"",""tr"":""Aozou"",""ru"":""Аозу"",""uk"":""Аозу"",""pl"":""Aozou"",""hi"":""Aozou"",""ar"":""أوزو""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q2858017
105120,Ati,3590,BA,43,TD,adm1,,,13.21540000,18.33530000,Nous avions,29867,Africa/Ndjamena,"{""br"":""Ati"",""ko"":""아티"",""pt-BR"":""Ati"",""pt"":""Ati"",""nl"":""Ati"",""hr"":""Ati"",""fa"":""آتی"",""de"":""Ati"",""es"":""Ati"",""fr"":""Ati"",""ja"":""アティ"",""it"":""Ati"",""zh-CN"":""阿蒂"",""tr"":""Ati"",""ru"":""Ати"",""uk"":""Аті"",""pl"":""Ati"",""hi"":""अति"",""ar"":""أتي""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q755791
105121,Benoy,3585,LO,43,TD,city,,,8.98327000,16.31991000,Benoy,17285,Africa/Ndjamena,"{""br"":""Benoy"",""ko"":""베노이"",""pt-BR"":""Benoy"",""pt"":""Benoy"",""nl"":""Benoy"",""hr"":""Benoy"",""fa"":""بنوی"",""de"":""Benoy"",""es"":""Benoy"",""fr"":""Benoy"",""ja"":""ベノイ"",""it"":""Benoy"",""zh-CN"":""贝诺"",""tr"":""Benoy"",""ru"":""Беной"",""uk"":""Беной"",""pl"":""Benoy"",""hi"":""बेनाय"",""ar"":""بينوي""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q31914172
105122,Beïnamar,3585,LO,43,TD,city,,,8.66980000,15.38130000,Impressionné,12901,Africa/Ndjamena,"{""br"":""Beïnamar"",""ko"":""베이나마르"",""pt-BR"":""Beïnamar"",""pt"":""Beïnamar"",""nl"":""Beïnamar"",""hr"":""Beïnamar"",""fa"":""بینامار"",""de"":""Beïnamar"",""es"":""Beinamar"",""fr"":""Beïnamar"",""ja"":""ベイナマール"",""it"":""Beïnamar"",""zh-CN"":""贝纳马尔"",""tr"":""Beinamar"",""ru"":""Бейнамар"",""uk"":""Бейнамар"",""pl"":""Beïnamar"",""hi"":""बेइनमार"",""ar"":""بينامار""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q2894011
105123,Biltine,3581,WF,43,TD,adm1,,,14.52791000,20.92749000,Biltine,33540,Africa/Ndjamena,"{""br"":""Biltine"",""ko"":""빌티네"",""pt-BR"":""Biltine"",""pt"":""Biltine"",""nl"":""Biltine"",""hr"":""Biltine"",""fa"":""بیلتین"",""de"":""Biltine"",""es"":""Biltine"",""fr"":""Biltine"",""ja"":""ビルティン"",""it"":""Biltine"",""zh-CN"":""比尔廷"",""tr"":""Biltine"",""ru"":""Бильтин"",""uk"":""Білтін"",""pl"":""Biltine"",""hi"":""बिल्टाइन"",""ar"":""بيلتين""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q1809024
105124,Bitkine,3576,GR,43,TD,city,,,11.98010000,18.21380000,À la plante,41871,Africa/Ndjamena,"{""br"":""Bitkine"",""ko"":""비트카인"",""pt-BR"":""Bitkine"",""pt"":""Bitkine"",""nl"":""Bitkine"",""hr"":""Bitkine"",""fa"":""بیتکین"",""de"":""Bitcoin"",""es"":""Bitkine"",""fr"":""Bitkine"",""ja"":""ビットカイン"",""it"":""Bitkine"",""zh-CN"":""Bitkine"",""tr"":""Bitkine"",""ru"":""Биткин"",""uk"":""Біткін"",""pl"":""Bitkine"",""hi"":""बिटकाइन"",""ar"":""بيتكين""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q2594463
105125,Bokoro,3573,HL,43,TD,city,,,12.37813000,17.05876000,Bokoro,26095,Africa/Ndjamena,"{""br"":""Bokoro"",""ko"":""보코로"",""pt-BR"":""Bokoro"",""pt"":""Bokoro"",""nl"":""Bokoro"",""hr"":""Bokoro"",""fa"":""بوکورو"",""de"":""Bokoro"",""es"":""Bokoro"",""fr"":""Bokoro"",""ja"":""ボコロ"",""it"":""Bokoro"",""zh-CN"":""博科罗"",""tr"":""Bokoro"",""ru"":""Бокоро"",""uk"":""Бокоро"",""pl"":""Bokoro"",""hi"":""बोकोरो"",""ar"":""بوكورو""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q2909258
