id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
105157,Amlamé,2577,P,220,TG,city,,,7.46667000,0.90000000,Amlamé,7996,Africa/Lome,"{""br"":""Amlamé"",""ko"":""아믈라메"",""pt-BR"":""Amlamé"",""pt"":""Amlamé"",""nl"":""Amlamé"",""hr"":""Amlamé"",""fa"":""آملامه"",""de"":""Amlamé"",""es"":""Amlamé"",""fr"":""Amlamé"",""ja"":""アムラメ"",""it"":""Amlamé"",""zh-CN"":""阿姆拉梅"",""tr"":""Amlamé"",""ru"":""Амламе"",""uk"":""Амламе"",""pl"":""Amlamé"",""hi"":""अमलामे"",""ar"":""أملامي""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q2080085
105158,Aného,2576,M,220,TG,city,,,6.22798000,1.59190000,Anneh,47579,Africa/Lome,"{""br"":""Aného"",""ko"":""아네호"",""pt-BR"":""Aného"",""pt"":""Aného"",""nl"":""Aného"",""hr"":""Aného"",""fa"":""آنهو"",""de"":""Aného"",""es"":""Aného"",""fr"":""Aného"",""ja"":""アネホ"",""it"":""Aného"",""zh-CN"":""阿内霍"",""tr"":""Aného"",""ru"":""Анехо"",""uk"":""Анехо"",""pl"":""Aného"",""hi"":""अनेहो"",""ar"":""أنيهو""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q1018574
105159,Atakpamé,2577,P,220,TG,adm1,,,7.53333000,1.13333000,Séché,98193,Africa/Lome,"{""br"":""Atakpamé"",""ko"":""아타크파메"",""pt-BR"":""Atakpamé"",""pt"":""Atakpamé"",""nl"":""Atakpamé"",""hr"":""Atakpamé"",""fa"":""آتاکپامه"",""de"":""Atakpamé"",""es"":""Atakpamé"",""fr"":""Atakpamé"",""ja"":""アタクパメ"",""it"":""Atakpamé"",""zh-CN"":""阿塔克帕梅"",""tr"":""Atakpamé"",""ru"":""Атакпаме"",""uk"":""Атакпаме"",""pl"":""Atakpamé"",""hi"":""अटकपांे"",""ar"":""أتاكبامي""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q126124
105160,Badou,2577,P,220,TG,city,,,7.58333000,0.60000000,Badou,24000,Africa/Lome,"{""br"":""Badou"",""ko"":""바두"",""pt-BR"":""Badou"",""pt"":""Badou"",""nl"":""Badou"",""hr"":""Badou"",""fa"":""بادو"",""de"":""Badou"",""es"":""Badou"",""fr"":""Badou"",""ja"":""バドゥ"",""it"":""Badou"",""zh-CN"":""八斗"",""tr"":""Badou"",""ru"":""Баду"",""uk"":""Баду"",""pl"":""Badou"",""hi"":""बडॉउ"",""ar"":""بادو""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q2878806
105161,Bafilo,2579,K,220,TG,city,,,9.35000000,1.26667000,Phras,23627,Africa/Lome,"{""br"":""Bafilo"",""ko"":""바필로"",""pt-BR"":""Bafilo"",""pt"":""Bafilo"",""nl"":""Bafilo"",""hr"":""Bafilo"",""fa"":""بافیلو"",""de"":""Bafilo"",""es"":""Bafilo"",""fr"":""Bafilo"",""ja"":""バフィロ"",""it"":""Bafilo"",""zh-CN"":""巴菲洛"",""tr"":""Bafilo"",""ru"":""Бафило"",""uk"":""Бафіло"",""pl"":""Bafilo"",""hi"":""बाफिलो"",""ar"":""بافيلو""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q618060
105162,Bassar,2579,K,220,TG,city,,,9.25025000,0.78213000,Prédire,61845,Africa/Lome,"{""br"":""Bassar"",""ko"":""바사르"",""pt-BR"":""Bassar"",""pt"":""Bassar"",""nl"":""Bassar"",""hr"":""Bassar"",""fa"":""باسار"",""de"":""Bassar"",""es"":""Bassar"",""fr"":""Bassar"",""ja"":""バサール"",""it"":""Bassar"",""zh-CN"":""巴萨尔"",""tr"":""Bassar"",""ru"":""Бассар"",""uk"":""Бассар"",""pl"":""Bassar"",""hi"":""बासर"",""ar"":""باسار""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q810474
105163,Dapaong,2578,S,220,TG,adm1,,,10.86225000,0.20762000,Dapaong,58071,Africa/Lome,"{""br"":""Dapaong"",""ko"":""다파옹"",""pt-BR"":""Dapaong"",""pt"":""Dapaong"",""nl"":""Dapaong"",""hr"":""Dapaong"",""fa"":""داپائونگ"",""de"":""Dapaong"",""es"":""Dapaong"",""fr"":""Dapaong"",""ja"":""ダパオン"",""it"":""Dapaong"",""zh-CN"":""达庞"",""tr"":""Dapaong"",""ru"":""Дапаонг"",""uk"":""Дапаонг"",""pl"":""Dapaong"",""hi"":""दापाओंग"",""ar"":""دابونج""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q970904
105164,Kandé,2579,K,220,TG,city,,,9.95778000,1.04472000,Kandé,12970,Africa/Lome,"{""br"":""Kandé"",""ko"":""칸데"",""pt-BR"":""Kandé"",""pt"":""Kandé"",""nl"":""Kandé"",""hr"":""Kandé"",""fa"":""کنده"",""de"":""Kandé"",""es"":""Kandé"",""fr"":""Kandé"",""ja"":""カンデ"",""it"":""Kandé"",""zh-CN"":""坎德"",""tr"":""Kande"",""ru"":""Канде"",""uk"":""Канде"",""pl"":""Kandé"",""hi"":""कांडे"",""ar"":""كاندي""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q168824
105165,Kara,2579,K,220,TG,adm1,,,9.55111000,1.18611000,Kara,104207,Africa/Lome,"{""br"":""Kara"",""ko"":""카라"",""pt-BR"":""Kara"",""pt"":""Kara"",""nl"":""Kara"",""hr"":""Kara"",""fa"":""کارا"",""de"":""Kara"",""es"":""Kara"",""fr"":""Kara"",""ja"":""カラ"",""it"":""Kara"",""zh-CN"":""卡拉"",""tr"":""Kara"",""ru"":""Кара"",""uk"":""Кара"",""pl"":""Kara"",""hi"":""काड़ा"",""ar"":""كارا""}",2019-10-06T10:18:08,2025-12-02T14:39:31,1,Q303284
105166,Kpalimé,2577,P,220,TG,city,,,6.90000000,0.63333000,Calmé,87478,Africa/Lome,"{""br"":""Kpalimé"",""ko"":""크팔리메"",""pt-BR"":""Kpalimé"",""pt"":""Kpalimé"",""nl"":""Kpalimé"",""hr"":""Kpalimé"",""fa"":""کپالیمه"",""de"":""Kpalimé"",""es"":""Kpalimé"",""fr"":""Kpalimé"",""ja"":""クパリメ"",""it"":""Kpalimé"",""zh-CN"":""克帕利梅"",""tr"":""Kpalimé"",""ru"":""Кпалиме"",""uk"":""Кпаліме"",""pl"":""Kpalimé"",""hi"":""क्पालिमे"",""ar"":""كباليمي""}",2019-10-06T10:18:08,2025-12-02T14:38:56,1,Q995413
