id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
106760,Abdurahmoni Jomí,3398,KT,217,TJ,adm2,,,37.94636000,68.80878000,Абдураҳмони Ҷомӣ,9943,Asia/Dushanbe,"{""ar"":""عبد الرحمن جومي"",""br"":""Abdurahmoni Jomí"",""de"":""Abdurahmoni Jomí"",""es"":""Abdurahmoni Jomí"",""fa"":""عبدالرحمن جومی"",""fr"":""Abdurahmoni Jomí"",""hi"":""अब्दुरहमोनी जोमी"",""hr"":""Abdurahmoni Jomí"",""it"":""Abdurahmoni Jomí"",""ja"":""アブドゥラモニ・ジョミ"",""ko"":""압두라모니 조미"",""nl"":""Abdurahmoni Jomí"",""pl"":""Abdurahmoni Jomí"",""pt"":""Abdurahmoni Jomí"",""pt-BR"":""Abdurahmoni Jomí"",""ru"":""Абдурахмони Джоми"",""tr"":""Abdurahmoni Jomí"",""uk"":""Абдурахмоні Джомі"",""zh-CN"":""阿卜杜拉赫莫尼·乔米""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q6449099
106761,Adrasmon,3400,SU,217,TJ,city,,,40.64928000,69.98472000,Адрасмон,13372,Asia/Dushanbe,"{""ar"":""أدراسمون"",""br"":""Adrasmon"",""de"":""Adrasmon"",""es"":""Adrasmón"",""fa"":""آدراسمون"",""fr"":""Adrasmon"",""hi"":""एड्रासमोन"",""hr"":""Adrasmon"",""it"":""Adrasmone"",""ja"":""アドラスモン"",""ko"":""아드라스몬"",""nl"":""Adrasmon"",""pl"":""Adrasmon"",""pt"":""Adrasmon"",""pt-BR"":""Adrasmon"",""ru"":""Адрасмон"",""tr"":""Adrasmon"",""uk"":""Адрасмон"",""zh-CN"":""阿德拉斯蒙""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q2470205
106762,Ayní,3400,SU,217,TJ,adm2,,,39.39406000,68.53766000,Айнй,2128,Asia/Dushanbe,"{""ar"":""أيني"",""br"":""Ayní"",""de"":""Ayní"",""es"":""Ayní"",""fa"":""عین"",""fr"":""Ayní"",""hi"":""ayni"",""hr"":""Ayní"",""it"":""Ayní"",""ja"":""アイニ"",""ko"":""아이니"",""nl"":""Ayni"",""pl"":""Ayní"",""pt"":""Ayní"",""pt-BR"":""Ayní"",""ru"":""Айни"",""tr"":""Ayní"",""uk"":""Айні"",""zh-CN"":""艾尼""}",2019-10-05T23:31:08,2025-12-02T14:38:56,1,Q3298847
106763,Boshchorbogh,3398,KT,217,TJ,city,,,37.52027000,68.12825000,Бошчорбог,4237,Asia/Dushanbe,"{""ar"":""بوشكوربوغ"",""br"":""Boshchorbogh"",""de"":""Boshchorbogh"",""es"":""Boshchorbogh"",""fa"":""بوشوربوغ"",""fr"":""Boshchorbogh"",""hi"":""बोशचोरबोघ"",""hr"":""Boschorbogh"",""it"":""Boshchorbogh"",""ja"":""ボシュチョルボグ"",""ko"":""보쉬초르보그"",""nl"":""Boshchorbogh"",""pl"":""Boshchorbogh"",""pt"":""Boshchorbogh"",""pt-BR"":""Boshchorbogh"",""ru"":""Бощорбог"",""tr"":""Boşçorboğ"",""uk"":""Бошчорбог"",""zh-CN"":""博什乔尔博格""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q3298847
106764,Bŭston,3400,SU,217,TJ,adm2,,,40.52286000,69.33307000,Бустон,13043,Asia/Dushanbe,"{""ar"":""بوستون"",""br"":""Bŭston"",""de"":""Bŭston"",""es"":""Bŭston"",""fa"":""بوستون"",""fr"":""Buston"",""hi"":""Buston"",""hr"":""Bŭston"",""it"":""Bŭston"",""ja"":""バストン"",""ko"":""버스톤"",""nl"":""Boston"",""pl"":""Bŭston"",""pt"":""Bŭston"",""pt-BR"":""Bŭston"",""ru"":""Бостон"",""tr"":""Bŭston"",""uk"":""Бюстон"",""zh-CN"":""布斯顿""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q4148725
106765,Bŭstonqal’a,3398,KT,217,TJ,city,,,37.84783000,68.83125000,Бўстонқалъа,4900,Asia/Dushanbe,"{""ar"":""بوستونقالا"",""br"":""Bŭstonqal’a"",""de"":""Bŭstonqal’a"",""es"":""Bŭstonqal’a"",""fa"":""بوستونقلعه"",""fr"":""Bŭstonqal’a"",""hi"":""बुस्टोनक़ला"",""hr"":""Bustonkal'a"",""it"":""Bŭstonqal’a"",""ja"":""ブストンカラ"",""ko"":""부스톤칼라"",""nl"":""Bŭstonqal’a"",""pl"":""Bŭstonqal’a"",""pt"":""Bŭstonqal'a"",""pt-BR"":""Bŭstonqal'a"",""ru"":""Bŭstonqal’a"",""tr"":""Bŭstonqal’a"",""uk"":""Бустонкала"",""zh-CN"":""布斯顿卡拉""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q4148725
106766,Chkalov,3400,SU,217,TJ,city,,,40.23417000,69.69481000,Чкалов,,Asia/Dushanbe,"{""ar"":""تشكالوف"",""br"":""Chkalov"",""de"":""Tschkalow"",""es"":""Chkálov"",""fa"":""چکالوف"",""fr"":""Tchkalov"",""hi"":""चकालोव"",""hr"":""Čkalov"",""it"":""Čkalov"",""ja"":""チカロフ"",""ko"":""치칼로프"",""nl"":""Tsjkalov"",""pl"":""Czkałow"",""pt"":""Chkalov"",""pt-BR"":""Chkalov"",""ru"":""Чкалов"",""tr"":""Çkalov"",""uk"":""Чкалов"",""zh-CN"":""契卡洛夫""}",2019-10-05T23:31:08,2025-12-02T16:59:27,1,Q2997217
106767,Chubek,3398,KT,217,TJ,city,,,37.61453000,69.70525000,Чубек,19563,Asia/Dushanbe,"{""ar"":""تشوبيك"",""br"":""Chubek"",""de"":""Tschubek"",""es"":""Chubek"",""fa"":""چوبک"",""fr"":""Chubek"",""hi"":""चुबेक"",""hr"":""Čubek"",""it"":""Chubek"",""ja"":""チュベック"",""ko"":""추벡"",""nl"":""Tsjoebek"",""pl"":""Chubek"",""pt"":""Chubek"",""pt-BR"":""Chubek"",""ru"":""Чубек"",""tr"":""Çubek"",""uk"":""Чубек"",""zh-CN"":""丘贝克""}",2019-10-05T23:31:08,2025-12-02T14:38:56,1,Q2997217
106768,Danghara,3398,KT,217,TJ,adm2,,,38.09578000,69.33998000,Данғара,22824,Asia/Dushanbe,"{""ar"":""دانغارا"",""br"":""Danghara"",""de"":""Danghara"",""es"":""Danghara"",""fa"":""دنغره"",""fr"":""Danghara"",""hi"":""दुशांबे"",""hr"":""Danghara"",""it"":""Danghara"",""ja"":""ダンガラ"",""ko"":""당가라"",""nl"":""Danghara"",""pl"":""Danghara"",""pt"":""Danghara"",""pt-BR"":""Danghara"",""ru"":""Дангара"",""tr"":""Danghara"",""uk"":""Дангара"",""zh-CN"":""丹加拉""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q2997217
106769,Darband,3397,RA,217,TJ,adm2,,,38.86776000,69.96642000,Дарбанд,1115,Asia/Dushanbe,"{""ar"":""دارباند"",""br"":""Darband"",""de"":""Darband"",""es"":""Darband"",""fa"":""دربند"",""fr"":""Darband"",""hi"":""तेहरान में"",""hr"":""Darband"",""it"":""Darband"",""ja"":""ダルバンド"",""ko"":""다르반드"",""nl"":""Darband"",""pl"":""Darband"",""pt"":""Darband"",""pt-BR"":""Darband"",""ru"":""Дарбанд"",""tr"":""Darband"",""uk"":""Дарбанд"",""zh-CN"":""达尔班德""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q2997217
106770,Dŭstí,3398,KT,217,TJ,adm2,,,37.34812000,68.66398000,Dŭstí,8700,Asia/Dushanbe,"{""ar"":""دوستي"",""br"":""Dŭstí"",""de"":""Dŭstí"",""es"":""Dŭstí"",""fa"":""دوسْتی"",""fr"":""Dustí"",""hi"":""दूस्ती"",""hr"":""Dustí"",""it"":""Dŭstí"",""ja"":""ドゥスティ"",""ko"":""두스티"",""nl"":""Dŭstí"",""pl"":""Dŭstí"",""pt"":""Dŭstí"",""pt-BR"":""Dŭstí"",""ru"":""Дусти"",""tr"":""Dŭstí"",""uk"":""Дусті"",""zh-CN"":""达斯蒂""}",2019-10-05T23:31:08,2025-12-02T14:38:56,1,Q722396
106771,Farkhor,3398,KT,217,TJ,adm2,,,37.49219000,69.40356000,Фархор,21736,Asia/Dushanbe,"{""ar"":""فارخور"",""br"":""Farkhor"",""de"":""Farkhor"",""es"":""Farjor"",""fa"":""فرخور"",""fr"":""Farkhor"",""hi"":""फ़ार्खोर"",""hr"":""Farkhor"",""it"":""Farkhor"",""ja"":""ファルコル"",""ko"":""파르코르"",""nl"":""Farkhor"",""pl"":""Farkhor"",""pt"":""Farkhor"",""pt-BR"":""Farkhor"",""ru"":""Фархор"",""tr"":""Farkhor"",""uk"":""Фархор"",""zh-CN"":""法克霍尔""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q1376803
106772,Ghafurov,3400,SU,217,TJ,adm2,,,40.21571000,69.72867000,Ғафуров,0,Asia/Dushanbe,"{""ar"":""غفوروف"",""br"":""Ghafurov"",""de"":""Ghafurov"",""es"":""Ghafurov"",""fa"":""غفوروف"",""fr"":""Ghafurov"",""hi"":""घाफूरोव"",""hr"":""Gafurov"",""it"":""Ghafurov"",""ja"":""ガフロフ"",""ko"":""가푸로프"",""nl"":""Ghafurov"",""pl"":""Gafurow"",""pt"":""Ghafurov"",""pt-BR"":""Ghafurov"",""ru"":""Гафуров"",""tr"":""Ghafurov"",""uk"":""Гафуров"",""zh-CN"":""加富罗夫""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q187977
106773,Gharavŭtí,3398,KT,217,TJ,city,,,37.56703000,68.44668000,Ғаравотӣ,8474,Asia/Dushanbe,"{""ar"":""غارافوتي"",""br"":""Gharavŭtí"",""de"":""Gharavŭtí"",""es"":""Gharavŭtí"",""fa"":""غراوطی"",""fr"":""Gharavŭtí"",""hi"":""घरावूटी"",""hr"":""Gharavŭtí"",""it"":""Gharavŭtí"",""ja"":""ガラヴティ"",""ko"":""가라부티"",""nl"":""Gharavŭtí"",""pl"":""Gharavŭtí"",""pt"":""Gharavutí"",""pt-BR"":""Gharavutí"",""ru"":""Гхаравути"",""tr"":""Gharavŭtí"",""uk"":""Ґаравіті"",""zh-CN"":""加拉武蒂""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q187977
