id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
106830,Aileu,4520,AL,63,TL,adm1,,,-8.72806000,125.56639000,Aileu,17356,Asia/Dili,"{""ar"":""أيلو"",""br"":""Aileu"",""de"":""Aileu"",""es"":""Aileu"",""fa"":""آیلو"",""fr"":""Aileu"",""hi"":""ऍल्यू"",""hr"":""Aileu"",""it"":""Aileu"",""ja"":""アイレウ"",""ko"":""아일루"",""nl"":""Aileu"",""pl"":""Aileu"",""pt"":""Aileu"",""pt-BR"":""Aileu"",""ru"":""Аилеу"",""tr"":""Aileu"",""uk"":""Айлеу"",""zh-CN"":""阿伊莱乌""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q405087
106831,Ainaro,4518,AN,63,TL,adm1,,,-8.99241000,125.50816000,Ainaro,12000,Asia/Dili,"{""ar"":""أينارو"",""br"":""Ainaro"",""de"":""Ainaro"",""es"":""Ainaro"",""fa"":""آینارو"",""fr"":""Ainaro"",""hi"":""ऍइनरो"",""hr"":""Ainaro"",""it"":""Ainaro"",""ja"":""アイナロ"",""ko"":""아이나로"",""nl"":""Ainaro"",""pl"":""Ainaro"",""pt"":""Ainaro"",""pt-BR"":""Ainaro"",""ru"":""Айнаро"",""tr"":""Ainaro"",""uk"":""Айнаро"",""zh-CN"":""艾纳罗""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q1026949
106832,Alas,4519,MF,63,TL,city,,,-9.02730000,125.78680000,Infelizmente,6463,Asia/Dili,"{""ar"":""للأسف"",""br"":""Siwazh"",""de"":""Ach"",""es"":""Ay"",""fa"":""افسوس"",""fr"":""Hélas"",""hi"":""हाय"",""hr"":""Nažalost"",""it"":""Ahimè"",""ja"":""ああ"",""ko"":""아아"",""nl"":""Helaas"",""pl"":""Niestety"",""pt"":""Ai de mim"",""pt-BR"":""Ai de mim"",""ru"":""Увы"",""tr"":""Ne yazık ki"",""uk"":""На жаль"",""zh-CN"":""唉""}",2019-10-05T23:31:08,2025-12-02T16:59:27,1,Q1026949
106833,Atauro Island,4524,DI,63,TL,city,,,-8.26785000,125.59699000,Ilha Atauro,,Asia/Dili,"{""ar"":""جزيرة أتورو"",""br"":""Enez Atauro"",""de"":""Atauro-Insel"",""es"":""Isla de Atauro"",""fa"":""جزیره آتاورو"",""fr"":""Île d'Atauro"",""hi"":""अताउरो द्वीप"",""hr"":""Otok Atauro"",""it"":""Isola di Atauro"",""ja"":""アタウロ島"",""ko"":""아타우로 섬"",""nl"":""Atauro-eiland"",""pl"":""Wyspa Atauro"",""pt"":""Ilha de Ataúro"",""pt-BR"":""Ilha de Ataúro"",""ru"":""Остров Атауро"",""tr"":""Atauro Adası"",""uk"":""Острів Атауро"",""zh-CN"":""阿陶罗岛""}",2019-10-05T23:31:08,2025-12-02T16:59:27,1,Q1026949
106834,Baguia,4521,BA,63,TL,city,,,-8.62787000,126.65743000,Baguia,,Asia/Dili,"{""ar"":""باجويا"",""br"":""Baguia"",""de"":""Baguia"",""es"":""Baguia"",""fa"":""باگویا"",""fr"":""Baguia"",""hi"":""बगुइया"",""hr"":""Baguia"",""it"":""Baguia"",""ja"":""バグイア"",""ko"":""바기아"",""nl"":""Baguia"",""pl"":""Baguia"",""pt"":""Baguia"",""pt-BR"":""Baguia"",""ru"":""Багия"",""tr"":""Baguia"",""uk"":""Багія"",""zh-CN"":""碧桂园""}",2019-10-05T23:31:08,2025-12-02T17:11:50,1,Q1026949
106835,Barique,4517,MT,63,TL,city,,,-8.85472000,126.06556000,Barril,5438,Asia/Dili,"{""ar"":""باريك"",""br"":""Barik"",""de"":""Barique"",""es"":""Barique"",""fa"":""باریک"",""fr"":""Barique"",""hi"":""बारिक"",""hr"":""Barik"",""it"":""Barique"",""ja"":""バリック"",""ko"":""바리크"",""nl"":""Bariek"",""pl"":""Barique"",""pt"":""Barique"",""pt-BR"":""Barique"",""ru"":""Барик"",""tr"":""Barik"",""uk"":""Барік"",""zh-CN"":""巴里克""}",2019-10-05T23:31:08,2025-12-02T14:38:56,1,Q18887906
106836,Baucau,4521,BA,63,TL,adm1,,,-8.46667000,126.45000000,Bauau,14961,Asia/Dili,"{""ar"":""باوكاو"",""br"":""Baucau"",""de"":""Baucau"",""es"":""Baucau"",""fa"":""باکائو"",""fr"":""Baucau"",""hi"":""बाउको"",""hr"":""Baucau"",""it"":""Baucau"",""ja"":""バウカウ"",""ko"":""바우카우"",""nl"":""Baucau"",""pl"":""Baucau"",""pt"":""Baucau"",""pt-BR"":""Baucau"",""ru"":""Баукау"",""tr"":""Baucau"",""uk"":""Баукау"",""zh-CN"":""包考""}",2019-10-05T23:31:08,2025-12-02T14:38:56,1,Q18887906
106837,Baukau,4521,BA,63,TL,adm1,,,-8.47572000,126.45633000,Bano,16000,Asia/Dili,"{""ar"":""باوكاو"",""br"":""Baukau"",""de"":""Baukau"",""es"":""Baukau"",""fa"":""بائوکائو"",""fr"":""Baukau"",""hi"":""बाउकाऊ"",""hr"":""Baukau"",""it"":""Baukau"",""ja"":""バウカウ"",""ko"":""바우카우"",""nl"":""Baukau"",""pl"":""Baukau"",""pt"":""Baukau"",""pt-BR"":""Baukau"",""ru"":""Баукау"",""tr"":""Baukau"",""uk"":""Баукау"",""zh-CN"":""包考""}",2019-10-05T23:31:08,2025-12-02T14:39:31,1,Q811130
106838,Bazartete,4515,LI,63,TL,city,,,-8.62464000,125.38168000,Bazarte,,Asia/Dili,"{""ar"":""بازارتيت"",""br"":""Bazartete"",""de"":""Bazartete"",""es"":""Bazartete"",""fa"":""بازارتته"",""fr"":""Bazartete"",""hi"":""बाज़ारटेटे"",""hr"":""Bazartete"",""it"":""Bazartete"",""ja"":""バザルテテ"",""ko"":""바자르테테"",""nl"":""Bazartete"",""pl"":""Bazartete"",""pt"":""Bazartete"",""pt-BR"":""Bazartete"",""ru"":""Базартете"",""tr"":""Bazartet"",""uk"":""Базартете"",""zh-CN"":""巴扎尔特特""}",2019-10-05T23:31:08,2025-12-02T17:11:50,1,Q812658
106839,Cristo Rei,4524,DI,63,TL,city,,,-8.52047000,125.60837000,Cristo Rei,,Asia/Dili,"{""ar"":""كريستو ري"",""br"":""Cristo Rei"",""de"":""Cristo Rei"",""es"":""Cristo Rey"",""fa"":""کریستو ری"",""fr"":""Christ Roi"",""hi"":""क्रिस्टो री"",""hr"":""Cristo Rei"",""it"":""Cristo Rei"",""ja"":""クリスト・レイ"",""ko"":""크리스토 레이"",""nl"":""Christus Koning"",""pl"":""Cristo Rei"",""pt"":""Cristo Rei"",""pt-BR"":""Cristo Rei"",""ru"":""Кристо Рей"",""tr"":""Cristo Rei"",""uk"":""Крісто Рей"",""zh-CN"":""克里斯托·雷""}",2019-10-05T23:31:08,2025-12-02T16:59:27,1,Q1140438
