id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
106880,Abadan,3374,A,226,TM,city,,,38.05415000,58.19721000,Abadan,39481,Asia/Ashgabat,"{""br"":""Abadan"",""ko"":""아바단"",""pt-BR"":""Abadan"",""pt"":""Abadan"",""nl"":""Abadan"",""hr"":""Abadan"",""fa"":""آبادان"",""de"":""Abadan"",""es"":""Abadán"",""fr"":""Abadan"",""ja"":""アバダン"",""it"":""Abadan"",""zh-CN"":""阿巴丹"",""tr"":""Abadan"",""ru"":""Абадан"",""uk"":""Абадан"",""pl"":""Abadan"",""hi"":""अबादान"",""ar"":""عبادان""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q304522
106881,Akdepe,3373,D,226,TM,adm2,,,42.05513000,59.37877000,Akdepe,15580,Asia/Ashgabat,"{""br"":""Akdepe"",""ko"":""아크데페"",""pt-BR"":""Akdepe"",""pt"":""Akdepe"",""nl"":""Akdepe"",""hr"":""Akdepe"",""fa"":""آکدپه"",""de"":""Akdepe"",""es"":""Akdepe"",""fr"":""Akdepe"",""ja"":""アクデペ"",""it"":""Akdepe"",""zh-CN"":""阿克德佩"",""tr"":""Aktepe"",""ru"":""Акдепе"",""uk"":""Акдепе"",""pl"":""Akdepe"",""hi"":""अकदेपे"",""ar"":""أكديبي""}",2019-10-06T10:31:09,2025-12-02T14:38:56,1,Q2450285
106882,Annau,3374,A,226,TM,city,,,37.88754000,58.51596000,Annau,,Asia/Ashgabat,"{""br"":""Annau"",""ko"":""아나우"",""pt-BR"":""Annau"",""pt"":""Annau"",""nl"":""Annau"",""hr"":""Annau"",""fa"":""آنائو"",""de"":""Annau"",""es"":""Annau"",""fr"":""Annau"",""ja"":""アナウ"",""it"":""Annau"",""zh-CN"":""安瑙"",""tr"":""Annau"",""ru"":""Аннау"",""uk"":""Аннау"",""pl"":""Annau"",""hi"":""आनेउ"",""ar"":""آناو""}",2019-10-06T10:31:09,2025-12-02T16:59:27,1,Q844968
106883,Arçabil,3374,A,226,TM,city,,,37.91500000,58.08987000,Arçabil,3000,Asia/Ashgabat,"{""br"":""Arçabil"",""ko"":""아르사빌"",""pt-BR"":""Arçabil"",""pt"":""Arçabil"",""nl"":""Arçabil"",""hr"":""Arçabil"",""fa"":""اردبیل"",""de"":""Arçabil"",""es"":""Arçabil"",""fr"":""Arcâbil"",""ja"":""アルカビル"",""it"":""Arçabil"",""zh-CN"":""阿尔卡比尔"",""tr"":""Arçabil"",""ru"":""Арсабиль"",""uk"":""Арсабіль"",""pl"":""Arçabil"",""hi"":""अर्साबिल"",""ar"":""أركابيل""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q49344649
106884,Ashgabat,3371,S,226,TM,capital,,,37.95000000,58.38333000,Ashgabat,727700,Asia/Ashgabat,"{""br"":""Ashgabad"",""ko"":""아슈가바트"",""pt-BR"":""Asgabate"",""pt"":""Asgabate"",""nl"":""Asjchabat"",""hr"":""Ašgabat"",""fa"":""عشق آباد"",""de"":""Aschgabat"",""es"":""Asjabad"",""fr"":""Achgabat"",""ja"":""アシガバート"",""it"":""Ashgabat"",""zh-CN"":""阿什哈巴德"",""tr"":""Aşkabat"",""ru"":""Ашхабад"",""uk"":""Ашхабад"",""pl"":""Aszchabad"",""hi"":""अश्गाबात"",""ar"":""عشق آباد""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q23438
106885,Atamyrat,3370,L,226,TM,city,,,37.83573000,65.21058000,Satamyrat,33242,Asia/Ashgabat,"{""br"":""Atamirat"",""ko"":""아타미라트"",""pt-BR"":""Atamyrat"",""pt"":""Atamyrat"",""nl"":""Atamyrat"",""hr"":""Atamirat"",""fa"":""آتامیرات"",""de"":""Atamyrat"",""es"":""Atamirat"",""fr"":""Atamyrat"",""ja"":""アタミラト"",""it"":""Atamyrat"",""zh-CN"":""阿塔米拉特"",""tr"":""Atamurat"",""ru"":""Атамырат"",""uk"":""Атамират"",""pl"":""Atamyrat"",""hi"":""अतामिरत"",""ar"":""أتاميرات""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q2357934
106886,Baharly,3374,A,226,TM,city,,,38.43624000,57.43158000,Baharly,22991,Asia/Ashgabat,"{""br"":""Baharly"",""ko"":""바할리"",""pt-BR"":""Baharly"",""pt"":""Baharly"",""nl"":""Baharly"",""hr"":""Baharly"",""fa"":""بهارلی"",""de"":""Baharly"",""es"":""Baharly"",""fr"":""Baharly"",""ja"":""バハルリー"",""it"":""Baharly"",""zh-CN"":""巴哈利"",""tr"":""Baharly"",""ru"":""Бахарли"",""uk"":""Бахарли"",""pl"":""Baharly"",""hi"":""बहारली"",""ar"":""بحارلي""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q2980062
106887,Balkanabat,3372,B,226,TM,adm1,,,39.51075000,54.36713000,Balkanabat,87822,Asia/Ashgabat,"{""br"":""Balkanabat"",""ko"":""발카나바트"",""pt-BR"":""Balkanabat"",""pt"":""Balkanabat"",""nl"":""Balkanabat"",""hr"":""Balkanabat"",""fa"":""بالکانابات"",""de"":""Balkanabat"",""es"":""Balkanabat"",""fr"":""Balkanabat"",""ja"":""バルカナバート"",""it"":""Balkanabat"",""zh-CN"":""巴尔坎纳巴德"",""tr"":""Balkanabat"",""ru"":""Балканабад"",""uk"":""Балканабат"",""pl"":""Bałkanabat"",""hi"":""बलक़ानाबात"",""ar"":""بلقان آباد""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q199762
106888,Bayramaly,3369,M,226,TM,city,,,37.61852000,62.16715000,Bayramaly,70376,Asia/Ashgabat,"{""br"":""Bayramaly"",""ko"":""바이라말리"",""pt-BR"":""Bayramaly"",""pt"":""Bayramaly"",""nl"":""Bayramaly"",""hr"":""Bajramali"",""fa"":""بایرامالی"",""de"":""Bayramaly"",""es"":""Bayramaly"",""fr"":""Bayramaly"",""ja"":""バイラマリー"",""it"":""Bayramaly"",""zh-CN"":""拜拉姆利"",""tr"":""Bayramaly"",""ru"":""Байрамали"",""uk"":""Байрамали"",""pl"":""Bayramaly"",""hi"":""बायरामाली"",""ar"":""بايرامالي""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q812715
106889,Bereket,3372,B,226,TM,city,,,39.24463000,55.51536000,Bolçulyk,23697,Asia/Ashgabat,"{""br"":""Bereket"",""ko"":""베레켓"",""pt-BR"":""Bereket"",""pt"":""Bereket"",""nl"":""Bereket"",""hr"":""Bereket"",""fa"":""برکت"",""de"":""Bereket"",""es"":""Boina"",""fr"":""Bereket"",""ja"":""ベレケト"",""it"":""Bereket"",""zh-CN"":""贝雷克特"",""tr"":""Bereket"",""ru"":""Берекет"",""uk"":""Берекет"",""pl"":""Bereket"",""hi"":""बेरेकेट"",""ar"":""بركات""}",2019-10-06T10:31:09,2025-12-02T14:38:56,1,Q2578541
