id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
106910,Agareb,2557,61,224,TN,city,,,34.74406000,10.46110000,أجارب,11513,Africa/Tunis,"{""br"":""Agareb"",""ko"":""아가레브"",""pt-BR"":""Agareb"",""pt"":""Agareb"",""nl"":""Agareb"",""hr"":""Agareb"",""fa"":""آگارب"",""de"":""Agareb"",""es"":""Agareb"",""fr"":""Agareb"",""ja"":""アガレブ"",""it"":""Agareb"",""zh-CN"":""阿加雷布"",""tr"":""Agareb"",""ru"":""Агареб"",""uk"":""Агареб"",""pl"":""Agareb"",""hi"":""अगरेब"",""ar"":""أجارب""}",2019-10-06T10:31:09,2025-12-02T16:59:27,1,Q1184588
106911,Akouda,2571,51,224,TN,city,,,35.86910000,10.56530000,أكودة,27200,Africa/Tunis,"{""br"":""Akouda"",""ko"":""아쿠다"",""pt-BR"":""Akouda"",""pt"":""Akouda"",""nl"":""Akouda"",""hr"":""Akouda"",""fa"":""آکودا"",""de"":""Akouda"",""es"":""Akouda"",""fr"":""Akouda"",""ja"":""アコウダ"",""it"":""Akouda"",""zh-CN"":""阿库达"",""tr"":""Akouda"",""ru"":""Акуда"",""uk"":""Акоуда"",""pl"":""Akouda"",""hi"":""अकौदा"",""ar"":""أكودة""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q2734713
106912,Al Marsá,2554,11,224,TN,adm2,,,36.87818000,10.32466000,المرسى,92987,Africa/Tunis,"{""br"":""Al Marsá"",""ko"":""알 마르사"",""pt-BR"":""Al Marsá"",""pt"":""Al Marsá"",""nl"":""Al Marsá"",""hr"":""Al Marsá"",""fa"":""آل مارسا"",""de"":""Al Marsá"",""es"":""Al Marsá"",""fr"":""Al Marsa"",""ja"":""アル・マルサ"",""it"":""Al Marsá"",""zh-CN"":""阿尔马尔萨"",""tr"":""Al Marsá"",""ru"":""Аль Марса"",""uk"":""Аль-Марса"",""pl"":""Al Marsá"",""hi"":""अल मार्सा"",""ar"":""المرسى""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q27230
106913,Al Matlīn,2551,23,224,TN,city,,,37.24516000,10.05000000,المطلِن,9904,Africa/Tunis,"{""br"":""Al Matlīn"",""ko"":""알 마틀린"",""pt-BR"":""Al Matlin"",""pt"":""Al Matlin"",""nl"":""Al Matlīn"",""hr"":""Al Matlīn"",""fa"":""المطلین"",""de"":""Al Matlīn"",""es"":""Al Matlin"",""fr"":""Al Matlin"",""ja"":""アル・マトゥリン"",""it"":""Al Matlīn"",""zh-CN"":""阿尔马特林"",""tr"":""Al Matlīn"",""ru"":""Аль Матлин"",""uk"":""Аль-Матлін"",""pl"":""Al Matlīn"",""hi"":""अल मतलीन"",""ar"":""المطلِن""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q3307409
106914,Ar Rudayyif,2556,71,224,TN,city,,,34.38270000,8.15549000,الرديف,26976,Africa/Tunis,"{""br"":""Ar Rudayyif"",""ko"":""아르 루다이이프"",""pt-BR"":""Ar Rudayyif"",""pt"":""Ar Rudayyif"",""nl"":""Ar Rudayyif"",""hr"":""Ar Rudayyif"",""fa"":""آر روضیف"",""de"":""Ar Rudayyif"",""es"":""Ar Rudayyif"",""fr"":""Ar Rudayyif"",""ja"":""アル・ルダイフ"",""it"":""Ar Rudayyif"",""zh-CN"":""鲁达伊夫"",""tr"":""Ar Rudayyif"",""ru"":""Ар Рудайиф"",""uk"":""Ар Рудайїф"",""pl"":""Ar Rudayyif"",""hi"":""अर रुदैयिफ"",""ar"":""الرديف""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q3307409
106915,Ariana,2550,12,224,TN,adm1,,,36.86012000,10.19337000,أريانا,114486,Africa/Tunis,"{""br"":""Ariana"",""ko"":""아리아나"",""pt-BR"":""Ariana"",""pt"":""Ariana"",""nl"":""Ariana"",""hr"":""Ariana"",""fa"":""آریانا"",""de"":""Ariana"",""es"":""Ariana"",""fr"":""Ariana"",""ja"":""アリアナ"",""it"":""Ariana"",""zh-CN"":""阿丽亚娜"",""tr"":""Ariana"",""ru"":""Ариана"",""uk"":""Аріана"",""pl"":""Ariana"",""hi"":""एरियाना"",""ar"":""أريانا""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q208169
106916,As Sanad,2556,71,224,TN,city,,,34.46280000,9.26404000,السند,9533,Africa/Tunis,"{""br"":""Evel Sanad"",""ko"":""사나드로서"",""pt-BR"":""Como Sanad"",""pt"":""Como Sanad"",""nl"":""Als Sanad"",""hr"":""Kao Sanad"",""fa"":""به عنوان سند"",""de"":""Als Sanad"",""es"":""Como Sanad"",""fr"":""Comme Sanad"",""ja"":""サナドとして"",""it"":""Come Sanad"",""zh-CN"":""阿萨纳德"",""tr"":""Sanad olarak"",""ru"":""Ас Санад"",""uk"":""Як Санад"",""pl"":""Jako Sanad"",""hi"":""अस सनद"",""ar"":""السند""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q627487
106917,As Sars,2561,33,224,TN,city,,,36.07640000,9.02117000,كما سارس,12137,Africa/Tunis,"{""br"":""Evel Sars"",""ko"":""사스처럼"",""pt-BR"":""Como Sars"",""pt"":""Como Sars"",""nl"":""Als Sars"",""hr"":""Kao SARS"",""fa"":""مانند سارس"",""de"":""Als Sars"",""es"":""Como el Sars"",""fr"":""Comme le SRAS"",""ja"":""サーズ"",""it"":""Come la Sars"",""zh-CN"":""就像SARS一样"",""tr"":""Sars olarak"",""ru"":""Как Сарс"",""uk"":""Як SARS"",""pl"":""Jako SARS"",""hi"":""सार्स के रूप में"",""ar"":""كما سارس""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q627487
106918,Banbalah,2553,52,224,TN,city,,,35.70000000,10.80000000,بنبلة,12367,Africa/Tunis,"{""br"":""Banbalah"",""ko"":""반발라"",""pt-BR"":""Banbalah"",""pt"":""Banbalah"",""nl"":""Banbalah"",""hr"":""Banbalah"",""fa"":""بانبالا"",""de"":""Banbalah"",""es"":""Banbalah"",""fr"":""Banbalah"",""ja"":""バンバラ"",""it"":""Banbalah"",""zh-CN"":""班巴拉"",""tr"":""Banbalah"",""ru"":""Банбала"",""uk"":""Банбала"",""pl"":""Banbalah"",""hi"":""बनबाला"",""ar"":""بنبلة""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q627487
106919,Bekalta,2553,52,224,TN,city,,,35.61739000,10.99466000,بيكالتا,17850,Africa/Tunis,"{""br"":""Bekalta"",""ko"":""베칼타"",""pt-BR"":""Bekalta"",""pt"":""Bekalta"",""nl"":""Bekalta"",""hr"":""Bekalta"",""fa"":""بکالتا"",""de"":""Bekalta"",""es"":""Bekalta"",""fr"":""Bekalta"",""ja"":""ベカルタ"",""it"":""Bekalta"",""zh-CN"":""贝卡尔塔"",""tr"":""Bekalta"",""ru"":""Бекалта"",""uk"":""Бекалта"",""pl"":""Bekalta"",""hi"":""बेकलता"",""ar"":""بيكالتا""}",2019-10-06T10:31:09,2025-12-02T14:38:56,1,Q1203138
106920,Ben Arous,2566,13,224,TN,adm1,,,36.75310000,10.22940000,بن عروس,88322,Africa/Tunis,"{""br"":""Ben Arous"",""ko"":""벤 아루스"",""pt-BR"":""Ben Arous"",""pt"":""Ben Arous"",""nl"":""Ben Arous"",""hr"":""Ben Arous"",""fa"":""بن عروس"",""de"":""Ben Arous"",""es"":""Ben Arous"",""fr"":""Ben Arous"",""ja"":""ベン・アラウス"",""it"":""Ben Arous"",""zh-CN"":""本·阿鲁斯"",""tr"":""Ben Arous"",""ru"":""Бен Арус"",""uk"":""Бен Арус"",""pl"":""Ben Arous"",""hi"":""बेन अरूस"",""ar"":""بن عروس""}",2019-10-06T10:31:09,2025-12-02T17:11:50,1,Q816443
106921,Ben Gardane,2560,82,224,TN,city,,,33.13783000,11.21965000,بن غاردان,66567,Africa/Tunis,"{""br"":""Ben Gardane"",""ko"":""벤 가르단"",""pt-BR"":""Ben Gardane"",""pt"":""Ben Gardane"",""nl"":""Ben Gardane"",""hr"":""Ben Gardane"",""fa"":""بن گاردان"",""de"":""Ben Gardane"",""es"":""Ben Gardane"",""fr"":""Ben Gardane"",""ja"":""ベン・ガーデーン"",""it"":""Ben Gardane"",""zh-CN"":""本·加丹"",""tr"":""Ben Gardane"",""ru"":""Бен Гардан"",""uk"":""Бен Гардейн"",""pl"":""Ben Gardane"",""hi"":""बेन गार्डेन"",""ar"":""بن غاردان""}",2019-10-06T10:31:09,2025-12-02T14:38:56,1,Q1143002
106922,Beni Hassane,2553,52,224,TN,city,,,35.56720000,10.80869000,بني حسن,8801,Africa/Tunis,"{""br"":""Beni Hassane"",""ko"":""베니 하사네"",""pt-BR"":""Beni Hassane"",""pt"":""Beni Hassane"",""nl"":""Beni Hassane"",""hr"":""Beni Hassane"",""fa"":""بنی حسنه"",""de"":""Beni Hassane"",""es"":""Beni Hassane"",""fr"":""Beni Hassane"",""ja"":""ベニ・ハッサン"",""it"":""Beni Hassane"",""zh-CN"":""贝尼·哈桑"",""tr"":""Beni Hassane"",""ru"":""Бени Хассан"",""uk"":""Бені Хассан"",""pl"":""Beni Hassane"",""hi"":""बेनी हसन"",""ar"":""بني حسن""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q1143002
106923,Beni Kheddache,2560,82,224,TN,city,,,33.25279000,10.19883000,بني خداش,3588,Africa/Tunis,"{""br"":""Beni Kheddache"",""ko"":""베니 케다체"",""pt-BR"":""Beni Kheddache"",""pt"":""Beni Kheddache"",""nl"":""Beni Kheddache"",""hr"":""Beni Kheddache"",""fa"":""بنی خداچه"",""de"":""Beni Kheddache"",""es"":""Beni Kheddache"",""fr"":""Beni Kheddache"",""ja"":""ベニ・ケダチェ"",""it"":""Beni Kheddache"",""zh-CN"":""贝尼·赫达切"",""tr"":""Beni Kheddache"",""ru"":""Бени Кхеддаче"",""uk"":""Бені Хеддаче"",""pl"":""Beni Kheddache"",""hi"":""बेनी खेदाचे"",""ar"":""بني خداش""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q1143002
106924,Bir Ali Ben Khalifa,2557,61,224,TN,city,,,34.73592000,10.09240000,بئر علي بن خليفة,4905,Africa/Tunis,"{""br"":""Bir Ali Ben Khalifa"",""ko"":""비르 알리 벤 칼리파"",""pt-BR"":""Bir Ali Ben Khalifa"",""pt"":""Bir Ali Ben Khalifa"",""nl"":""Bir Ali Ben Khalifa"",""hr"":""Bir Ali Ben Khalifa"",""fa"":""بیر علی بن خلیفه"",""de"":""Bir Ali Ben Khalifa"",""es"":""Bir Ali Ben Khalifa"",""fr"":""Bir Ali Ben Khalifa"",""ja"":""ビル・アリ・ベン・ハリファ"",""it"":""Bir Ali Ben Khalifa"",""zh-CN"":""比尔·阿里·本·哈利法"",""tr"":""Bir Ali Ben Halife"",""ru"":""Бир Али Бен Халифа"",""uk"":""Бір Алі Бен Халіфа"",""pl"":""Bir Ali Ben Khalifa"",""hi"":""बीर अली बेन खलीफा"",""ar"":""بئر علي بن خليفة""}",2019-10-06T10:31:09,2025-12-02T14:39:31,1,Q1153877
106925,Bir el Hafey,2567,43,224,TN,city,,,34.93212000,9.19321000,بئر الحفي,6498,Africa/Tunis,"{""br"":""Bir el Hafey"",""ko"":""비르 엘 하페이"",""pt-BR"":""Bir el Hafey"",""pt"":""Bir el Hafey"",""nl"":""Bir el Hafey"",""hr"":""Bir el Hafey"",""fa"":""بیر الحفی"",""de"":""Bir el Hafey"",""es"":""Bir el Hafey"",""fr"":""Bir el Hafey"",""ja"":""ビル・エル・ハフェイ"",""it"":""Bir el Hafey"",""zh-CN"":""比尔哈菲"",""tr"":""Bir el Hafey"",""ru"":""Бир эль Хафей"",""uk"":""Бір-ель-Хафей"",""pl"":""Bir el Hafey"",""hi"":""बीर एल हफ़ी"",""ar"":""بئر الحفي""}",2019-10-06T10:31:09,2025-12-02T14:38:56,1,Q2737160
