id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
107052,Abana,2197,37,225,TR,adm2,,,41.97858000,34.01100000,Çocuklar,4248,Europe/Istanbul,"{""br"":""Abana"",""ko"":""아바나"",""pt-BR"":""Abana"",""pt"":""Abana"",""nl"":""Abana"",""hr"":""Abana"",""fa"":""آبانا"",""de"":""Abana"",""es"":""Abana"",""fr"":""Abana"",""ja"":""アバナ"",""it"":""Abana"",""zh-CN"":""阿巴纳"",""tr"":""Abana"",""ru"":""Абана"",""uk"":""Абана"",""pl"":""Abana"",""hi"":""अबाना"",""ar"":""أبانا""}",2019-10-06T10:31:10,2025-12-02T14:38:56,1,Q1027037
107055,Acıgöl,2196,50,225,TR,adm2,,,38.55028000,34.50917000,Acıgöl,6749,Europe/Istanbul,"{""br"":""Acıgöl"",""ko"":""아시골"",""pt-BR"":""Acıgöl"",""pt"":""Acıgöl"",""nl"":""Acıgöl"",""hr"":""Acıgöl"",""fa"":""آجی‌گول"",""de"":""Acıgöl"",""es"":""Acıgöl"",""fr"":""Acıgöl"",""ja"":""アジゴル"",""it"":""Acıgöl"",""zh-CN"":""阿克伊格尔"",""tr"":""Acıgöl"",""ru"":""Аджигёль"",""uk"":""Аджиґель"",""pl"":""Acıgöl"",""hi"":""अकिगोल"",""ar"":""أجيجول""}",2019-10-06T10:31:10,2025-12-02T14:39:31,1,Q2006400
107057,Acıpayam,2157,20,225,TR,adm2,,,37.42385000,29.34941000,Acıpayam,10924,Europe/Istanbul,"{""br"":""Acıpayam"",""ko"":""아시파얌"",""pt-BR"":""Acıpayam"",""pt"":""Acıpayam"",""nl"":""Acıpayam"",""hr"":""Acipayam"",""fa"":""آجی‌پیام"",""de"":""Acıpayam"",""es"":""Acıpayam"",""fr"":""Acıpayam"",""ja"":""アチパヤム"",""it"":""Acıpayam"",""zh-CN"":""阿克帕亚姆"",""tr"":""Acıpayam"",""ru"":""Аджипаям"",""uk"":""Аджипаям"",""pl"":""Acıpayam"",""hi"":""अकिपायम"",""ar"":""أجيبايام""}",2019-10-06T10:31:10,2025-12-02T14:39:31,1,Q2006400
107060,Adaklı,2153,12,225,TR,adm2,,,39.22870000,40.48252000,Adaklı,0,Europe/Istanbul,"{""br"":""Adaklı"",""ko"":""아다클리"",""pt-BR"":""Adakli"",""pt"":""Adakli"",""nl"":""Adaklı"",""hr"":""Adaklí"",""fa"":""آداکلی"",""de"":""Adaklı"",""es"":""Adaklı"",""fr"":""Adaklı"",""ja"":""アダクリ"",""it"":""Adaklı"",""zh-CN"":""阿达克勒"",""tr"":""Adaklı"",""ru"":""Адаклы"",""uk"":""Адаклі"",""pl"":""Adaklı"",""hi"":""अदाक्ली"",""ar"":""أداكلي""}",2019-10-06T10:31:10,2025-12-02T14:39:31,1,Q347084
107062,Adalar,2170,34,225,TR,adm2,,,40.86913000,29.12064000,Adalar,16166,Europe/Istanbul,"{""br"":""Adalar"",""ko"":""아달라르"",""pt-BR"":""Adalar"",""pt"":""Adalar"",""nl"":""Adalar"",""hr"":""Adalar"",""fa"":""آدالار"",""de"":""Adalar"",""es"":""Adalar"",""fr"":""Adalar"",""ja"":""アダラー"",""it"":""Adalar"",""zh-CN"":""阿达拉尔"",""tr"":""Adalar"",""ru"":""Адалар"",""uk"":""Адалар"",""pl"":""Adalar"",""hi"":""अडालार"",""ar"":""أدالار""}",2019-10-06T10:31:10,2025-12-02T17:11:50,1,Q1020668
107064,Adapazarı,2150,54,225,TR,adm1,,,40.78056000,30.40333000,Adapazarı,281489,Europe/Istanbul,"{""br"":""Adapazarı"",""ko"":""아다파자르"",""pt-BR"":""Adapazarı"",""pt"":""Adapazarı"",""nl"":""Adapazarı"",""hr"":""Adapazarı"",""fa"":""آداپازاری"",""de"":""Adapazarı"",""es"":""Adapazarı"",""fr"":""Adapazarı"",""ja"":""アダパザル"",""it"":""Adapazarı"",""zh-CN"":""阿达帕扎尔"",""tr"":""Adapazarı"",""ru"":""Адапазары"",""uk"":""Адапазари"",""pl"":""Adapazarı"",""hi"":""इस्तांबुल में"",""ar"":""أدابازاري""}",2019-10-06T10:31:10,2025-12-02T14:38:56,1,Q175323
107065,Adilcevaz,2215,13,225,TR,adm2,,,38.79911000,42.73159000,Adilcevaz,52781,Europe/Istanbul,"{""br"":""Adilcevaz"",""ko"":""아딜체바즈"",""pt-BR"":""Adilcevaz"",""pt"":""Adilcevaz"",""nl"":""Adilcevaz"",""hr"":""Adilcevaz"",""fa"":""آدیلسواز"",""de"":""Adilcevaz"",""es"":""Adilcevaz"",""fr"":""Adilcevaz"",""ja"":""アディルセヴァズ"",""it"":""Adilcevaz"",""zh-CN"":""阿迪尔杰瓦兹"",""tr"":""Adilcevaz"",""ru"":""Адильджеваз"",""uk"":""Адільцеваз"",""pl"":""Adilcevaz"",""hi"":""आदिलसेवाज़"",""ar"":""عادلسيفاز""}",2019-10-06T10:31:10,2025-12-02T14:39:31,1,Q175323
107069,Afşin,2227,46,225,TR,adm2,,,38.24769000,36.91399000,Afşin,39613,Europe/Istanbul,"{""br"":""Afşin"",""ko"":""아프신"",""pt-BR"":""Afşin"",""pt"":""Afşin"",""nl"":""Afşin"",""hr"":""Afsin"",""fa"":""افشین"",""de"":""Afşin"",""es"":""Afsin"",""fr"":""Afşin"",""ja"":""アフシン"",""it"":""Afşin"",""zh-CN"":""阿夫辛"",""tr"":""Afşin"",""ru"":""Афшин"",""uk"":""Афшин"",""pl"":""Afşin"",""hi"":""अफ़सीन"",""ar"":""أفشين""}",2019-10-06T10:31:10,2025-12-02T14:39:31,1,Q166824
107071,Ahlat,2215,13,225,TR,adm2,,,38.74890000,42.48007000,Ahlat,64695,Europe/Istanbul,"{""br"":""Ahlat"",""ko"":""아흘라트"",""pt-BR"":""Ahlat"",""pt"":""Ahlat"",""nl"":""Ahlat"",""hr"":""Ahlat"",""fa"":""اهلات"",""de"":""Ahlat"",""es"":""Ahlat"",""fr"":""Ahlat"",""ja"":""アフラト"",""it"":""Ahlat"",""zh-CN"":""阿赫拉特"",""tr"":""Ahlat"",""ru"":""Ахлат"",""uk"":""Ахлат"",""pl"":""Ahlat"",""hi"":""अहलात"",""ar"":""أهلات""}",2019-10-06T10:31:10,2025-12-02T14:39:31,1,Q166824
107073,Ahmetli,2198,45,225,TR,adm2,,,38.51960000,27.93865000,Ahmetli,11377,Europe/Istanbul,"{""br"":""Ahmetli"",""ko"":""아흐메틀리"",""pt-BR"":""Ahmetli"",""pt"":""Ahmetli"",""nl"":""Ahmetli"",""hr"":""Ahmetli"",""fa"":""احمدلی"",""de"":""Ahmetli"",""es"":""Ahmetli"",""fr"":""Ahmetli"",""ja"":""アフメトリ"",""it"":""Ahmetli"",""zh-CN"":""阿赫梅特利"",""tr"":""Ahmetli"",""ru"":""Ахметли"",""uk"":""Ахметлі"",""pl"":""Ahmetli"",""hi"":""अहमेतली"",""ar"":""أحمدلي""}",2019-10-06T10:31:10,2025-12-02T14:39:31,1,Q166824
