id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
108968,Arima,3362,ARI,223,TT,adm1,,,10.63737000,-61.28228000,Arima,33807,America/Port_of_Spain,"{""ar"":""أريما"",""br"":""Arima"",""de"":""Arima"",""es"":""Arima"",""fa"":""آریما"",""fr"":""Arima"",""hi"":""अरिमा"",""hr"":""Arima"",""it"":""Arima"",""ja"":""有馬"",""ko"":""아리마"",""nl"":""Arima"",""pl"":""Arima"",""pt"":""Arima"",""pt-BR"":""Arima"",""ru"":""Арима"",""tr"":""Arima"",""uk"":""Аріма"",""zh-CN"":""有马""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q131495
108969,Arouca,3358,TUP,223,TT,city,,,10.62877000,-61.33487000,Arouca,12054,America/Port_of_Spain,"{""ar"":""أروكا"",""br"":""Arouca"",""de"":""Arouca"",""es"":""Arouca"",""fa"":""آروکا"",""fr"":""Arouca"",""hi"":""अरूका"",""hr"":""Arouca"",""it"":""Arouca"",""ja"":""アロウカ"",""ko"":""아루카"",""nl"":""Arouca"",""pl"":""Arouca"",""pt"":""Arouca"",""pt-BR"":""Arouca"",""ru"":""Арока"",""tr"":""Aruca"",""uk"":""Ароука"",""zh-CN"":""阿鲁卡""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q4795612
108970,Chaguanas,3366,CHA,223,TT,adm1,,,10.51667000,-61.41667000,SelectNas,83489,America/Port_of_Spain,"{""ar"":""تشاغواناس"",""br"":""Chaguanaed"",""de"":""Chaguanas"",""es"":""Chaguanas"",""fa"":""چاگواناس"",""fr"":""Chaguanas"",""hi"":""चगुवानस"",""hr"":""Čaguanas"",""it"":""Chaguanas"",""ja"":""チャグアナス"",""ko"":""차과나스"",""nl"":""Chaguanas"",""pl"":""Chaguanas"",""pt"":""Chaguanas"",""pt-BR"":""Chaguanas"",""ru"":""Чагуанас"",""tr"":""Chaguanalar"",""uk"":""Чагуанас"",""zh-CN"":""查瓜纳斯""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q4795612
108971,Couva,3354,CTT,223,TT,adm1,,,10.42248000,-61.46748000,Cour,5178,America/Port_of_Spain,"{""ar"":""كوفا"",""br"":""Couva"",""de"":""Couva"",""es"":""Couva"",""fa"":""کووا"",""fr"":""Couva"",""hi"":""कूवा"",""hr"":""Couva"",""it"":""Couva"",""ja"":""クーバ"",""ko"":""쿠바"",""nl"":""Couva"",""pl"":""Couva"",""pt"":""Couva"",""pt-BR"":""Couva"",""ru"":""Кува"",""tr"":""Couva"",""uk"":""Кува"",""zh-CN"":""库瓦""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q2602007
108972,Debe,3365,PED,223,TT,city,,,10.20846000,-61.45273000,Has to,3127,America/Port_of_Spain,"{""ar"":""ديبي"",""br"":""Debe"",""de"":""Debe"",""es"":""Debe"",""fa"":""دیبه"",""fr"":""Débé"",""hi"":""डेबे"",""hr"":""Debe"",""it"":""Debe"",""ja"":""デベ"",""ko"":""데베"",""nl"":""Debe"",""pl"":""Debe"",""pt"":""Debe"",""pt-BR"":""Debe"",""ru"":""Дебе"",""tr"":""Debe"",""uk"":""Дебе"",""zh-CN"":""德贝""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q2602007
108973,Laventille,3357,SJL,223,TT,adm1,,,10.64917000,-61.49889000,Laventille,21000,America/Port_of_Spain,"{""ar"":""لافينتيل"",""br"":""Laventille"",""de"":""Laventille"",""es"":""Laventille"",""fa"":""لاونتیل"",""fr"":""Laventille"",""hi"":""लैवेंशिल"",""hr"":""Laventille"",""it"":""Laventille"",""ja"":""ラヴァンティル"",""ko"":""라벤틸"",""nl"":""Laventille"",""pl"":""Laventille"",""pt"":""Laventille"",""pt-BR"":""Laventille"",""ru"":""Лавентилль"",""tr"":""Laventilya"",""uk"":""Лавентіль"",""zh-CN"":""拉文蒂尔""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q6502566
108974,Marabella,3359,SFO,223,TT,city,,,10.30618000,-61.44671000,Marabella,26700,America/Port_of_Spain,"{""ar"":""مارابيلا"",""br"":""Marabella"",""de"":""Marabella"",""es"":""Marabella"",""fa"":""مارابلا"",""fr"":""Marabella"",""hi"":""माराबेला"",""hr"":""Marabella"",""it"":""Marabella"",""ja"":""マラベラ"",""ko"":""마라벨라"",""nl"":""Marabella"",""pl"":""Marabella"",""pt"":""Marabella"",""pt-BR"":""Marabella"",""ru"":""Марабелла"",""tr"":""Marabella"",""uk"":""Марабелла"",""zh-CN"":""马拉贝拉""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q3493518
108975,Mon Repos,3359,SFO,223,TT,city,,,10.27979000,-61.44590000,My rest,56380,America/Port_of_Spain,"{""ar"":""مستودعات مون"",""br"":""Lun Repos"",""de"":""Mon Repos"",""es"":""Mis repositorios"",""fa"":""دوشنبه‌ها"",""fr"":""Mon Repos"",""hi"":""सोम रेपोस"",""hr"":""Mon Repos"",""it"":""Mon Repos"",""ja"":""モン・レポ"",""ko"":""몬 레포스"",""nl"":""Mijn Repos"",""pl"":""Moje repozytoria"",""pt"":""Meus Repositórios"",""pt-BR"":""Meus Repositórios"",""ru"":""Монрепо"",""tr"":""Mon Repos"",""uk"":""Мон Репос"",""zh-CN"":""周一回购""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q3493518
108976,Mucurapo,3363,POS,223,TT,city,,,10.66253000,-61.53697000,In Curape,4342,America/Port_of_Spain,"{""ar"":""موكورابو"",""br"":""Mucurapo"",""de"":""Mucurapo"",""es"":""Mucurapo"",""fa"":""موکوراپو"",""fr"":""Mucurapo"",""hi"":""मुकुरापो"",""hr"":""Mucurapo"",""it"":""Mucurapo"",""ja"":""ムクラポ"",""ko"":""무쿠라포"",""nl"":""Mucurapo"",""pl"":""Mucurapo"",""pt"":""Mucurapo"",""pt-BR"":""Mucurapo"",""ru"":""Мукурапо"",""tr"":""Mucurapo"",""uk"":""Мукурапо"",""zh-CN"":""穆库拉波""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q3493518
108977,Paradise,3358,TUP,223,TT,city,,,10.65298000,-61.36298000,Paradise,15067,America/Port_of_Spain,"{""ar"":""جَنَّة"",""br"":""Baradoz"",""de"":""Paradies"",""es"":""Paraíso"",""fa"":""بهشت"",""fr"":""Paradis"",""hi"":""स्वर्ग"",""hr"":""Raj"",""it"":""Paradiso"",""ja"":""パラダイス"",""ko"":""천국"",""nl"":""Paradijs"",""pl"":""Raj"",""pt"":""Paraíso"",""pt-BR"":""Paraíso"",""ru"":""Рай"",""tr"":""Cennet"",""uk"":""Рай"",""zh-CN"":""天堂""}",2019-10-05T23:31:28,2025-12-02T14:39:31,1,Q3493518
