id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
109002,Banqiao,3422,TPE,216,TW,adm2,,,25.01427000,121.46719000,板桥,550256,Asia/Taipei,"{""ar"":""بانكياو"",""br"":""Banqiao"",""de"":""Banqiao"",""es"":""Banqiao"",""fa"":""بانکیائو"",""fr"":""Banchiao"",""hi"":""बन्कियाओ"",""hr"":""Banqiao"",""it"":""Banqiao"",""ja"":""板橋"",""ko"":""반챠오"",""nl"":""Banqiao"",""pl"":""Bankiao"",""pt"":""Banqiao"",""pt-BR"":""Banqiao"",""ru"":""Банкяо"",""tr"":""Banqiao"",""uk"":""Banqiao"",""zh-CN"":""板桥""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q3394651
109003,Changhua,3404,CHA,216,TW,city,,,23.95361000,120.49083000,彰化,221048,Asia/Taipei,"{""ar"":""تشانغهوا"",""br"":""Changhua"",""de"":""Changhua"",""es"":""Changhua"",""fa"":""چانگوا"",""fr"":""Changhua"",""hi"":""शांघुआ"",""hr"":""Changhua"",""it"":""Changhua"",""ja"":""彰化"",""ko"":""장화"",""nl"":""Changhua"",""pl"":""Changhua"",""pt"":""Changhua"",""pt-BR"":""Changhua"",""ru"":""Чанхуа"",""tr"":""Çanghua"",""uk"":""Чанхуа"",""zh-CN"":""彰化""}",2019-10-05T23:31:28,2025-12-02T17:11:50,1,Q133865
109004,Chiayi,3408,CYI,216,TW,adm2,,,23.47722000,120.44527000,嘉义,260749,Asia/Taipei,"{""ar"":""تشيايي"",""br"":""Chiayi"",""de"":""Chiayi"",""es"":""Chiayi"",""fa"":""چیایی"",""fr"":""Chiayi"",""hi"":""चियाई"",""hr"":""Chiayi"",""it"":""Chiayi"",""ja"":""嘉義"",""ko"":""치아이"",""nl"":""Chiayi"",""pl"":""Chiayi"",""pt"":""Chiayi"",""pt-BR"":""Chiayi"",""ru"":""Цзяи"",""tr"":""Chiayi"",""uk"":""Цзяї"",""zh-CN"":""嘉义""}",2019-10-05T23:31:28,2025-12-02T14:38:56,1,Q249995
109005,Chiayi,5704,CYQ,216,TW,county,,,23.46333000,120.58166000,嘉义县,,Asia/Taipei,"{""ar"":""مقاطعة تشيايي"",""br"":""Kontelezh Chiayi"",""de"":""Landkreis Chiayi"",""es"":""Condado de Chiayi"",""fa"":""شهرستان چیایی"",""fr"":""Comté de Chiayi"",""hi"":""चियाई काउंटी"",""hr"":""Okrug Chiayi"",""it"":""Contea di Chiayi"",""ja"":""嘉義県"",""ko"":""치아이 현"",""nl"":""Chiayi County"",""pl"":""Powiat Chiayi"",""pt"":""Condado de Chiayi"",""pt-BR"":""Condado de Chiayi"",""ru"":""Уезд Цзяи"",""tr"":""Chiayi İlçesi"",""uk"":""Округ Цзяї"",""zh-CN"":""嘉义县""}",2019-10-05T23:31:28,2025-12-02T17:29:54,1,Q166977
109006,Daxi,3419,TAO,216,TW,city,,,24.88373000,121.29043000,大溪,94222,Asia/Taipei,"{""ar"":""داكسي"",""br"":""Daxi"",""de"":""Daxi"",""es"":""Daxi"",""fa"":""داکسی"",""fr"":""Daxi"",""hi"":""दाक्सी"",""hr"":""Daxi"",""it"":""Daxi"",""ja"":""大渓"",""ko"":""다시"",""nl"":""Daxi"",""pl"":""Daxi"",""pt"":""Daxi"",""pt-BR"":""Daxi"",""ru"":""Дакси"",""tr"":""Daxi"",""uk"":""Даксі"",""zh-CN"":""大溪""}",2019-10-05T23:31:28,2025-12-02T14:39:31,1,Q166977
109007,Donggang,3405,PIF,216,TW,city,,,22.46515000,120.44927000,东港,47746,Asia/Taipei,"{""ar"":""دونغقانغ"",""br"":""Donggang"",""de"":""Donggang"",""es"":""Donggang"",""fa"":""دونگانگ"",""fr"":""Donggang"",""hi"":""डोंगगांग"",""hr"":""Donggang"",""it"":""Donggang"",""ja"":""東港"",""ko"":""동강"",""nl"":""Donggang"",""pl"":""Donggang"",""pt"":""Donggang"",""pt-BR"":""Donggang"",""ru"":""Дунганг"",""tr"":""Donggang"",""uk"":""Donggang"",""zh-CN"":""东港""}",2019-10-05T23:31:28,2025-12-02T14:39:31,1,Q166977
109008,Douliu,3416,YUN,216,TW,adm2,,,23.70944000,120.54333000,斗六,107924,Asia/Taipei,"{""ar"":""دوليو"",""br"":""Douliu"",""de"":""Douliu"",""es"":""Douliu"",""fa"":""دولیو"",""fr"":""Touliu"",""hi"":""डौलीउ"",""hr"":""Douliu"",""it"":""Douliu"",""ja"":""斗六"",""ko"":""더우류"",""nl"":""Douliu"",""pl"":""Douliu"",""pt"":""Douliu"",""pt-BR"":""Douliu"",""ru"":""Дулиу"",""tr"":""Douliu"",""uk"":""Дулю"",""zh-CN"":""斗六""}",2019-10-05T23:31:29,2025-12-02T14:39:31,1,Q669566
109009,Hengchun,3405,PIF,216,TW,adm3,,,22.00417000,120.74389000,恒春,29702,Asia/Taipei,"{""ar"":""هنغتشون"",""br"":""Hengchun"",""de"":""Hengchun"",""es"":""Hengchun"",""fa"":""هنگچون"",""fr"":""Hengchun"",""hi"":""हेंगचून"",""hr"":""Hengchun"",""it"":""Hengchun"",""ja"":""恒春"",""ko"":""헝춘"",""nl"":""Hengchun"",""pl"":""Hengchun"",""pt"":""Hengchun"",""pt-BR"":""Hengchun"",""ru"":""Хэнчунь"",""tr"":""Hengchun"",""uk"":""Хенгчунь"",""zh-CN"":""恒春""}",2019-10-05T23:31:29,2025-12-02T14:39:31,1,Q669566
109010,Hsinchu,5705,HSQ,216,TW,adm2,,,24.80361000,120.96861000,新竹,455275,Asia/Taipei,"{""ar"":""هسينشو"",""br"":""Hsinchu"",""de"":""Hsinchu"",""es"":""Hsinchu"",""fa"":""هسینچو"",""fr"":""Hsinchu"",""hi"":""सिंचु"",""hr"":""Hsinchu"",""it"":""Hsinchu"",""ja"":""新竹"",""ko"":""신주"",""nl"":""Hsinchu"",""pl"":""Hsinchu"",""pt"":""Hsinchu"",""pt-BR"":""Hsinchu"",""ru"":""Синьчжу"",""tr"":""Hsinçu"",""uk"":""Синьчжу"",""zh-CN"":""新竹""}",2019-10-05T23:31:29,2025-12-02T14:38:56,1,Q249994
109011,Hsinchu,3417,HSZ,216,TW,county,,,24.67416000,121.16111000,新竹县,,Asia/Taipei,"{""ar"":""مقاطعة هسينشو"",""br"":""Kontelezh Hsinchu"",""de"":""Landkreis Hsinchu"",""es"":""Condado de Hsinchu"",""fa"":""شهرستان هسینچو"",""fr"":""Comté de Hsinchu"",""hi"":""सिंचु काउंटी"",""hr"":""Okrug Hsinchu"",""it"":""Contea di Hsinchu"",""ja"":""新竹県"",""ko"":""신주 현"",""nl"":""Hsinchu County"",""pl"":""Hrabstwo Hsinchu"",""pt"":""Condado de Hsinchu"",""pt-BR"":""Condado de Hsinchu"",""ru"":""Округ Синьчжу"",""tr"":""Hsinchu İlçesi"",""uk"":""Округ Сіньчжу"",""zh-CN"":""新竹县""}",2019-10-05T23:31:29,2025-12-02T17:01:58,1,Q74054
