id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
109042,Arusha,1491,01,218,TZ,adm1,,,-3.36667000,36.68333000,Arusha,535362,Africa/Dar_es_Salaam,"{""br"":""Arusha"",""ko"":""아루샤"",""pt-BR"":""Arusha"",""pt"":""Arusha"",""nl"":""Arusha"",""hr"":""Arusha"",""fa"":""آروشا"",""de"":""Arusha"",""es"":""Arusha"",""fr"":""Arusha"",""ja"":""アルーシャ"",""it"":""Arusha"",""zh-CN"":""阿鲁沙"",""tr"":""Arusha"",""ru"":""Аруша"",""uk"":""Аруша"",""pl"":""Arusza"",""hi"":""अरुशा"",""ar"":""أروشا""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q4301
109043,Babati,1484,26,218,TZ,adm1,,,-4.21667000,35.75000000,Babati,67445,Africa/Dar_es_Salaam,"{""br"":""Babati"",""ko"":""바바티"",""pt-BR"":""Babati"",""pt"":""Babati"",""nl"":""Babati"",""hr"":""Babati"",""fa"":""باباتی"",""de"":""Babati"",""es"":""Babatí"",""fr"":""Babati"",""ja"":""ババティ"",""it"":""Babati"",""zh-CN"":""巴巴蒂"",""tr"":""Babati"",""ru"":""Бабати"",""uk"":""Бабаті"",""pl"":""Babati"",""hi"":""बाबाती"",""ar"":""باباتي""}",2019-10-06T10:31:29,2025-12-02T14:39:31,1,Q276746
109044,Bagamoyo,1485,19,218,TZ,city,,,-6.44222000,38.90422000,Bagamoyo,82426,Africa/Dar_es_Salaam,"{""br"":""Bagamoyo"",""ko"":""바가모요"",""pt-BR"":""Bagamoyo"",""pt"":""Bagamoyo"",""nl"":""Bagamoyo"",""hr"":""Bagamoyo"",""fa"":""باگامویو"",""de"":""Bagamoyo"",""es"":""Bagamoyo"",""fr"":""Bagamoyo"",""ja"":""バガモヨ"",""it"":""Bagamoyo"",""zh-CN"":""巴加莫约"",""tr"":""Bagamoyo"",""ru"":""Багамойо"",""uk"":""Багамойо"",""pl"":""Bagamoyo"",""hi"":""बागामोयो"",""ar"":""باجامويو""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q799843
109045,Bariadi,1464,30,218,TZ,adm3,,,-2.80000000,33.98333000,Bariadi,260927,Africa/Dar_es_Salaam,"{""br"":""Bariadi"",""ko"":""바리아디"",""pt-BR"":""Bariadi"",""pt"":""Bariadi"",""nl"":""Bariadi"",""hr"":""Bariadi"",""fa"":""باریادی"",""de"":""Bariadi"",""es"":""Bariadi"",""fr"":""Bariadi"",""ja"":""バリアディ"",""it"":""Bariad"",""zh-CN"":""巴里亚迪"",""tr"":""Bariadi"",""ru"":""Бариади"",""uk"":""Баріаді"",""pl"":""Bariadi"",""hi"":""बरियादी"",""ar"":""باريادي""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q799843
109046,Bashanet,1484,26,218,TZ,city,,,-4.23333000,35.41667000,Bashanet,19087,Africa/Dar_es_Salaam,"{""br"":""Bashanet"",""ko"":""바샤네트"",""pt-BR"":""Bashanet"",""pt"":""Bashanet"",""nl"":""Bashanet"",""hr"":""Bašanet"",""fa"":""باشانت"",""de"":""Baschanet"",""es"":""Bashanet"",""fr"":""Bashanet"",""ja"":""バシャネット"",""it"":""Bashanet"",""zh-CN"":""巴沙内特"",""tr"":""Başanet"",""ru"":""Башанет"",""uk"":""Башанет"",""pl"":""Bashanet"",""hi"":""बशानेट"",""ar"":""بشنت""}",2019-10-06T10:31:29,2025-12-02T14:39:31,1,Q799843
109047,Basotu,1484,26,218,TZ,city,,,-4.36667000,35.08333000,Nguvu,20937,Africa/Dar_es_Salaam,"{""br"":""Basotu"",""ko"":""바소투"",""pt-BR"":""Basotu"",""pt"":""Basotu"",""nl"":""Basotu"",""hr"":""Basotu"",""fa"":""باسوتو"",""de"":""Basotu"",""es"":""Basotu"",""fr"":""Basotu"",""ja"":""バソトゥ"",""it"":""Basotu"",""zh-CN"":""巴索图"",""tr"":""Basotu"",""ru"":""Басоту"",""uk"":""Басоту"",""pl"":""Basotu"",""hi"":""बसोटू"",""ar"":""باسوتو""}",2019-10-06T10:31:29,2025-12-02T14:39:31,1,Q799843
109048,Biharamulo,1465,05,218,TZ,city,,,-2.63194000,31.30889000,Biharamulo,34038,Africa/Dar_es_Salaam,"{""br"":""Biharamulo"",""ko"":""비하라물로"",""pt-BR"":""Biharamulo"",""pt"":""Biharamulo"",""nl"":""Biharamulo"",""hr"":""Biharamulo"",""fa"":""بیهارامولو"",""de"":""Biharamulo"",""es"":""Biharamulo"",""fr"":""Biharamulo"",""ja"":""ビハラムロ"",""it"":""Biharamulo"",""zh-CN"":""比哈拉穆洛"",""tr"":""Biharamulo"",""ru"":""Бихарамуло"",""uk"":""Біхарамуло"",""pl"":""Biharamulo"",""hi"":""बिहारमुलो"",""ar"":""بيهارامولو""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q15941811
109049,Bugarama,1465,05,218,TZ,city,,,-2.87056000,30.52806000,Bugarama,32494,Africa/Dar_es_Salaam,"{""br"":""Bugarama"",""ko"":""부가라마"",""pt-BR"":""Bugarama"",""pt"":""Bugarama"",""nl"":""Bugarama"",""hr"":""Bugarama"",""fa"":""بوگاراما"",""de"":""Bugarama"",""es"":""Bugarama"",""fr"":""Bugarama"",""ja"":""ブガラマ"",""it"":""Bugarama"",""zh-CN"":""布加拉马"",""tr"":""Bugarama"",""ru"":""Бугарама"",""uk"":""Бугарама"",""pl"":""Bugarama"",""hi"":""बुगारामा"",""ar"":""بوغاراما""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q15941811
109050,Bugene,1465,05,218,TZ,city,,,-1.59111000,31.14028000,Bugene,10609,Africa/Dar_es_Salaam,"{""br"":""Bugene"",""ko"":""부게네"",""pt-BR"":""Bugene"",""pt"":""Bugene"",""nl"":""Bugene"",""hr"":""Bugene"",""fa"":""بوگن"",""de"":""Bugene"",""es"":""Bugene"",""fr"":""Bugène"",""ja"":""ブゲネ"",""it"":""Bugene"",""zh-CN"":""布根尼"",""tr"":""Bugene"",""ru"":""Бугене"",""uk"":""Бугене"",""pl"":""Bugene"",""hi"":""बुगेने"",""ar"":""بوغيني""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q15941811
109051,Bukene,1469,24,218,TZ,city,,,-4.23333000,32.88333000,Bukene,7444,Africa/Dar_es_Salaam,"{""br"":""Bukene"",""ko"":""부케네"",""pt-BR"":""Bukene"",""pt"":""Bukene"",""nl"":""Bukene"",""hr"":""Bukene"",""fa"":""بوکن"",""de"":""Bukene"",""es"":""Bukene"",""fr"":""Bukene"",""ja"":""ブケネ"",""it"":""Bukene"",""zh-CN"":""布克内"",""tr"":""Bukene"",""ru"":""Букене"",""uk"":""Букене"",""pl"":""Bukene"",""hi"":""बुकेने"",""ar"":""بوكيني""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q15941811
109052,Bukoba,1465,05,218,TZ,adm1,,,-1.33167000,31.81222000,Bukoba,144938,Africa/Dar_es_Salaam,"{""br"":""Bukoba"",""ko"":""부코바"",""pt-BR"":""Bukoba"",""pt"":""Bukoba"",""nl"":""Bukoba"",""hr"":""Bukoba"",""fa"":""بوکوبا"",""de"":""Bukoba"",""es"":""Bukoba"",""fr"":""Bukoba"",""ja"":""ブコバ"",""it"":""Bukoba"",""zh-CN"":""布科巴"",""tr"":""Bukoba"",""ru"":""Букоба"",""uk"":""Букоба"",""pl"":""Bukoba"",""hi"":""बुकोबा"",""ar"":""بوكوبا""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q654259
109053,Bukonyo,1468,13,218,TZ,city,,,-1.95000000,32.93333000,Jengo lililojengwa,4051,Africa/Dar_es_Salaam,"{""br"":""Bukonyo"",""ko"":""부코뇨"",""pt-BR"":""Bukonyo"",""pt"":""Bukonyo"",""nl"":""Bukonyo"",""hr"":""Bukonyo"",""fa"":""بوکونیو"",""de"":""Bukonyo"",""es"":""Bukonyo"",""fr"":""Bukonyo"",""ja"":""ブコニョ"",""it"":""Bukonyo"",""zh-CN"":""布科尼奥"",""tr"":""Bukonyo"",""ru"":""Буконьо"",""uk"":""Буконьо"",""pl"":""Bukonyo"",""hi"":""बुकोन्यो"",""ar"":""بوكونيو""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q654259
109054,Bungu,1485,19,218,TZ,city,,,-7.63369000,39.05818000,Ngoma,27873,Africa/Dar_es_Salaam,"{""br"":""Bungu"",""ko"":""분구"",""pt-BR"":""Bungu"",""pt"":""Bungu"",""nl"":""Bungu"",""hr"":""Bungu"",""fa"":""بونگو"",""de"":""Bungu"",""es"":""Bungu"",""fr"":""Bungu"",""ja"":""ブング"",""it"":""Bungu"",""zh-CN"":""邦古"",""tr"":""Bungu"",""ru"":""Бунгу"",""uk"":""Бунгу"",""pl"":""Bungu"",""hi"":""बुंगु"",""ar"":""بونغو""}",2019-10-06T10:31:29,2025-12-02T14:38:56,1,Q34784489
