id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
105834,Andreyevka,1912,40,230,UA,adm3,,,44.81663000,33.56313000,Андріївка,1498,Europe/Simferopol,"{""br"":""Andreyevka"",""ko"":""안드레예프카"",""pt-BR"":""Andreyevka"",""pt"":""Andreyevka"",""nl"":""Andrejevka"",""hr"":""Andrejevka"",""fa"":""آندریفکا"",""de"":""Andrejewka"",""es"":""Andreyevka"",""fr"":""Andreïevka"",""ja"":""アンドレーエフカ"",""it"":""Andreyevka"",""zh-CN"":""安德烈耶夫卡"",""tr"":""Andreyevka"",""ru"":""Андреевка"",""uk"":""Андріївка"",""pl"":""Andrejewka"",""hi"":""आंद्रेयेवका"",""ar"":""أندرييفكا""}",2019-10-06T10:20:50,2025-12-02T14:39:55,1,Q103466
105843,Balaklava,1912,40,230,UA,adm3,,,44.51118000,33.59942000,Балаклава,18649,Europe/Simferopol,"{""br"":""Balaklava"",""ko"":""발라클라바"",""pt-BR"":""Balaclava"",""pt"":""Balaclava"",""nl"":""Balaklava"",""hr"":""Balaklava"",""fa"":""بالاکلاوا"",""de"":""Sturmhaube"",""es"":""Balaclava"",""fr"":""Cagoule"",""ja"":""バラクラヴァ"",""it"":""Passamontagna"",""zh-CN"":""巴拉克拉瓦"",""tr"":""Balaklava"",""ru"":""Балаклава"",""uk"":""Балаклава"",""pl"":""Bałakława"",""hi"":""बालाक्लाव"",""ar"":""بالاكلافا""}",2019-10-06T10:20:51,2025-12-02T14:39:55,1,Q748363
105844,Balaklava District,1912,40,230,UA,district,,,44.50581000,33.67035000,Балаклавський район,,Europe/Kyiv,"{""br"":""Distrig Balaklava"",""ko"":""발라클라바 지구"",""pt-BR"":""Distrito de Balaclava"",""pt"":""Distrito de Balaclava"",""nl"":""Balaklava-district"",""hr"":""Okrug Balaklava"",""fa"":""شهرستان بالاکلاوا"",""de"":""Bezirk Balaklawa"",""es"":""Distrito de Balaklava"",""fr"":""District de Balaklava"",""ja"":""バラクラバ地区"",""it"":""Distretto di Balaklava"",""zh-CN"":""巴拉克拉瓦区"",""tr"":""Balaklava Bölgesi"",""ru"":""Балаклавский район"",""uk"":""Балаклавський район"",""pl"":""Rejon Bałakława"",""hi"":""बालाक्लावा जिला"",""ar"":""منطقة بالاكلافا""}",2019-10-06T10:20:51,2025-12-02T17:30:38,1,Q2036976
105862,Frontovoye,1912,40,230,UA,city,,,44.66737000,33.73841000,Фронтове,1006,Europe/Simferopol,"{""br"":""Frontovoye"",""ko"":""프론토보예"",""pt-BR"":""Frontovoye"",""pt"":""Frontovoye"",""nl"":""Frontovoye"",""hr"":""Frontovoje"",""fa"":""فرونتوویه"",""de"":""Frontovoye"",""es"":""Frontovoye"",""fr"":""Frontovoye"",""ja"":""フロントヴォエ"",""it"":""Frontovoye"",""zh-CN"":""弗龙托沃耶"",""tr"":""Frontovoye"",""ru"":""Фронтовое"",""uk"":""Фронтове"",""pl"":""Frontowoje"",""hi"":""फ्रोंटोवॉय"",""ar"":""فرونتوفوي""}",2019-10-06T10:20:55,2025-12-02T14:39:55,1,Q1651989
105865,Haharinskyi,1912,40,230,UA,district,,,44.59217000,33.43925000,Гагаринський район,,Europe/Kyiv,"{""br"":""Distrig Haharinskyi"",""ko"":""하하린스키 지구"",""pt-BR"":""Distrito de Haharinskyi"",""pt"":""Distrito de Haharinskyi"",""nl"":""Haharinskyi District"",""hr"":""Haharinski okrug"",""fa"":""شهرستان هاهارینسکی"",""de"":""Haharinskyi Bezirk"",""es"":""Distrito de Haharinskyi"",""fr"":""District de Haharinskyi"",""ja"":""ハハリンスキー地区"",""it"":""Distretto di Haharinskyi"",""zh-CN"":""哈林斯基区"",""tr"":""Haharinskyi Bölgesi"",""ru"":""Гагаринский район"",""uk"":""Гагаринський район"",""pl"":""Rejon hahariński"",""hi"":""हाहारिन्स्की जिला"",""ar"":""منطقة هاهارينسكي""}",2019-10-06T10:20:56,2025-12-02T17:03:53,1,Q2636420
105868,Inkerman,1912,40,230,UA,adm3,,,44.61391000,33.60980000,Інкерман,10204,Europe/Simferopol,"{""br"":""Inkerman"",""ko"":""인케르만"",""pt-BR"":""Inkerman"",""pt"":""Inkerman"",""nl"":""Inkerman"",""hr"":""Inkerman"",""fa"":""اینکرمن"",""de"":""Inkerman"",""es"":""Inkerman"",""fr"":""Inkerman"",""ja"":""インカーマン"",""it"":""Inkerman"",""zh-CN"":""因克尔曼"",""tr"":""Inkerman"",""ru"":""Инкерман"",""uk"":""Інкерман"",""pl"":""Inkerman"",""hi"":""इंकरमैन"",""ar"":""إنكرمان""}",2019-10-06T10:20:57,2025-12-02T14:39:55,1,Q752183
105871,Kacha,1912,40,230,UA,adm3,,,44.77635000,33.54387000,Кача,4282,Europe/Simferopol,"{""br"":""Kacha"",""ko"":""카차"",""pt-BR"":""Kacha"",""pt"":""Kacha"",""nl"":""Kacha"",""hr"":""Kača"",""fa"":""کاچا"",""de"":""Kacha"",""es"":""Kacha"",""fr"":""Kacha"",""ja"":""カチャ"",""it"":""Kacha"",""zh-CN"":""咔嚓"",""tr"":""Kaça"",""ru"":""Кача"",""uk"":""Кача"",""pl"":""Kacha"",""hi"":""कच्चा"",""ar"":""كاتشا""}",2019-10-06T10:20:57,2025-12-02T14:39:55,1,Q2626746
105892,Lenin,1912,40,230,UA,district,,,44.60000000,33.53333000,Ленінський район,,Europe/Kyiv,"{""br"":""Distrig Lenin"",""ko"":""레닌 지구"",""pt-BR"":""Distrito de Lenin"",""pt"":""Distrito de Lenin"",""nl"":""Lenin-district"",""hr"":""Lenjinov okrug"",""fa"":""ناحیه لنین"",""de"":""Lenin-Bezirk"",""es"":""Distrito de Lenin"",""fr"":""Quartier Lénine"",""ja"":""レーニン地区"",""it"":""Distretto di Lenin"",""zh-CN"":""列宁区"",""tr"":""Lenin Bölgesi"",""ru"":""Ленинский район"",""uk"":""Ленінський район"",""pl"":""Rejon Lenina"",""hi"":""लेनिन जिला"",""ar"":""منطقة لينين""}",2019-10-06T10:21:02,2025-12-02T17:29:56,1,Q35706182
105905,Nakhimovskiy rayon,1912,40,230,UA,city,,,44.69502000,33.58092000,Нахімовський район,,Europe/Kyiv,"{""br"":""Nakhimovskiy rayon"",""ko"":""나키모프스키 레이온"",""pt-BR"":""Rayon Nakhimovskiy"",""pt"":""Rayon Nakhimovskiy"",""nl"":""Nakhimovskiy rayon"",""hr"":""Nahimovski rajon"",""fa"":""شهرستان ناخیموفسکی"",""de"":""Nachimowski-Rayon"",""es"":""Distrito de Nakhimovskiy"",""fr"":""Nakhimovskiy rayon"",""ja"":""ナヒモフスキー・レーヨン"",""it"":""Raion di Nakhimovskiy"",""zh-CN"":""纳希莫夫斯基区"",""tr"":""Nakhimovskiy rayonu"",""ru"":""Нахимовский район"",""uk"":""Нахімовський район"",""pl"":""Rejon Nakhimovskiy"",""hi"":""नखिमोव्स्की रेयान"",""ar"":""رايون ناخيموفسكي""}",2019-10-06T10:21:04,2025-12-02T17:11:50,1,Q2036985
105913,Orlinoye,1912,40,230,UA,adm3,,,44.44685000,33.77588000,Орліное,2106,Europe/Simferopol,"{""br"":""Orlinoye"",""ko"":""올리노예"",""pt-BR"":""Orlinoye"",""pt"":""Orlinoye"",""nl"":""Orlinoye"",""hr"":""Orlinoye"",""fa"":""اورلینوی"",""de"":""Orlinoye"",""es"":""Orlinoye"",""fr"":""Orlinoye"",""ja"":""オルリノエ"",""it"":""Orlinoye"",""zh-CN"":""奥尔利诺耶"",""tr"":""Orlinoye"",""ru"":""Орлиное"",""uk"":""Орліное"",""pl"":""Orlinoje"",""hi"":""ओर्लिनोये"",""ar"":""أورلينوي""}",2019-10-06T10:21:06,2025-12-02T14:39:55,1,Q1654403
