id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
110874,Adjumani,332,N,229,UG,adm2,,,3.37786000,31.79090000,Adjumani,43022,Africa/Kampala,"{""br"":""Adjumani"",""ko"":""아주마니"",""pt-BR"":""Adjumani"",""pt"":""Adjumani"",""nl"":""Adjumani"",""hr"":""Adžumani"",""fa"":""آجومانی"",""de"":""Adjumani"",""es"":""Adjumani"",""fr"":""Adjumani"",""ja"":""アジュマニ"",""it"":""Adjumani"",""zh-CN"":""阿朱马尼"",""tr"":""Adjumani"",""ru"":""Аджумани"",""uk"":""Аджумані"",""pl"":""Adjumani"",""hi"":""ऍद्जुमनि"",""ar"":""أدجوماني""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q3499673
110875,Amudat,332,N,229,UG,adm2,,,1.95000000,34.95000000,Amudat,15000,Africa/Kampala,"{""br"":""Amudat"",""ko"":""아무다트"",""pt-BR"":""Amudat"",""pt"":""Amudat"",""nl"":""Amudat"",""hr"":""Amudat"",""fa"":""آمودات"",""de"":""Amudat"",""es"":""Amudat"",""fr"":""Amudat"",""ja"":""アムダット"",""it"":""Amudat"",""zh-CN"":""阿穆达特"",""tr"":""Amudat"",""ru"":""Амудат"",""uk"":""Амудат"",""pl"":""Amudat"",""hi"":""अमुदत"",""ar"":""عامودات""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q4748920
110876,Apac,332,N,229,UG,adm2,,,1.97556000,32.53861000,Apac,67700,Africa/Kampala,"{""br"":""Apac"",""ko"":""아팩"",""pt-BR"":""Apac"",""pt"":""Apac"",""nl"":""APAC"",""hr"":""Apački otoci"",""fa"":""آپاک"",""de"":""Asien-Pazifik"",""es"":""Asia Pacífico"",""fr"":""Asie-Pacifique"",""ja"":""アパック"",""it"":""Asia-Pacifico"",""zh-CN"":""亚太地区"",""tr"":""Apac"",""ru"":""Азиатско-Тихоокеанский регион"",""uk"":""Азіатський регіон"",""pl"":""Apac"",""hi"":""ऍपक"",""ar"":""أباك""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q2041227
110877,Arua,332,N,229,UG,adm2,,,3.02013000,30.91105000,Arua,72400,Africa/Kampala,"{""br"":""Arua"",""ko"":""아루아"",""pt-BR"":""Arua"",""pt"":""Arua"",""nl"":""Arua"",""hr"":""Arua"",""fa"":""آروا"",""de"":""Arua"",""es"":""Arua"",""fr"":""Arua"",""ja"":""アルア"",""it"":""Arua"",""zh-CN"":""阿鲁阿"",""tr"":""Arua"",""ru"":""Аруа"",""uk"":""Аруа"",""pl"":""Arua"",""hi"":""ऍरुअ"",""ar"":""أروا""}",2019-10-06T10:31:43,2025-12-02T14:39:31,1,Q500111
110878,Bugembe,372,E,229,UG,city,,,0.48213000,33.24065000,Knack,45600,Africa/Kampala,"{""br"":""Bugembe"",""ko"":""부겜베"",""pt-BR"":""Bugembe"",""pt"":""Bugembe"",""nl"":""Bugembe"",""hr"":""Bugembe"",""fa"":""بوگمبه"",""de"":""Bugembe"",""es"":""Bugembe"",""fr"":""Bugembe"",""ja"":""ブゲンベ"",""it"":""Bugembe"",""zh-CN"":""布根贝"",""tr"":""Böcek"",""ru"":""Бугембе"",""uk"":""Бугембе"",""pl"":""Bugembe"",""hi"":""बुगेम्बे"",""ar"":""بوجيمبي""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q4986157
110879,Bugiri,372,E,229,UG,adm2,,,0.57139000,33.74167000,Bugiri,36000,Africa/Kampala,"{""br"":""Bugiri"",""ko"":""부기리"",""pt-BR"":""Bugiri"",""pt"":""Bugiri"",""nl"":""Bugiri"",""hr"":""Bugiri"",""fa"":""بوگیری"",""de"":""Bugiri"",""es"":""Bugiri"",""fr"":""Bugiri"",""ja"":""ブギリ"",""it"":""Bugiri"",""zh-CN"":""布吉里"",""tr"":""Bugiri"",""ru"":""Бугири"",""uk"":""Бугірі"",""pl"":""Bugiri"",""hi"":""बुगिरि"",""ar"":""بوجيري""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q4363229
110880,Bukomansimbi,396,C,229,UG,district,,,-0.12855000,31.62527000,Brack District,0,Africa/Kampala,"{""br"":""Distrig Bukomansimbi"",""ko"":""부코만심비 지구"",""pt-BR"":""Distrito de Bukomansimbi"",""pt"":""Distrito de Bukomansimbi"",""nl"":""Bukomansimbi-district"",""hr"":""Okrug Bukomansimbi"",""fa"":""ناحیه بوکومانسیمبی"",""de"":""Bukomansimbi District"",""es"":""Distrito de Bukomansimbi"",""fr"":""District de Bukomansimbi"",""ja"":""ブコマンシンビ地区"",""it"":""Distretto di Bukomansimbi"",""zh-CN"":""布科曼辛比区"",""tr"":""Bukomansimbi Bölgesi"",""ru"":""Район Букомансимби"",""uk"":""Район Букомансімбі"",""pl"":""Dystrykt Bukomansimbi"",""hi"":""बुकोमानसिम्बी जिला"",""ar"":""منطقة بوكومانسيمبي""}",2019-10-06T10:31:43,2025-12-02T17:29:56,1,Q4363229
110881,Bukwa,372,E,229,UG,district,,,1.27115000,34.66778000,Is a district,,Africa/Kampala,"{""br"":""Distrig Bukwa"",""ko"":""북와 지구"",""pt-BR"":""Distrito de Bukwa"",""pt"":""Distrito de Bukwa"",""nl"":""Bukwa-district"",""hr"":""Okrug Bukwa"",""fa"":""شهرستان بوکوا"",""de"":""Bukwa-Distrikt"",""es"":""Distrito de Bukwa"",""fr"":""District de Bukwa"",""ja"":""ブクワ地区"",""it"":""Distretto di Bukwa"",""zh-CN"":""布克瓦区"",""tr"":""Bukwa Bölgesi"",""ru"":""Район Буква"",""uk"":""Район Буква"",""pl"":""Dzielnica Bukwa"",""hi"":""बुकवा जिला"",""ar"":""منطقة بوكوا""}",2019-10-06T10:31:43,2025-12-02T17:29:56,1,Q1375868
110882,Bulambuli,372,E,229,UG,district,,,1.32055000,34.28062000,BULAMBULUI DISTRICT,0,Africa/Kampala,"{""br"":""Distrig Bulambuli"",""ko"":""불람불리 지구"",""pt-BR"":""Distrito de Bulambuli"",""pt"":""Distrito de Bulambuli"",""nl"":""Bulambuli-district"",""hr"":""Okrug Bulambuli"",""fa"":""شهرستان بولامبولی"",""de"":""Distrikt Bulambuli"",""es"":""Distrito de Bulambuli"",""fr"":""District de Bulambuli"",""ja"":""ブランブリ地区"",""it"":""Distretto di Bulambuli"",""zh-CN"":""布拉姆布里区"",""tr"":""Bulambuli Bölgesi"",""ru"":""Буламбулинский район"",""uk"":""Район Буламбулі"",""pl"":""Dystrykt Bulambuli"",""hi"":""बुलाम्बुली जिला"",""ar"":""منطقة بولامبولي""}",2019-10-06T10:31:43,2025-12-02T17:29:56,1,Q1114868
110883,Bundibugyo,370,W,229,UG,adm2,,,0.71117000,30.06469000,Bundibugyo,22300,Africa/Kampala,"{""br"":""Bundibugyo"",""ko"":""분디부교"",""pt-BR"":""Bundibugyo"",""pt"":""Bundibugyo"",""nl"":""Bundibugyo"",""hr"":""Bundibugyo"",""fa"":""بوندی بوگیو"",""de"":""Bundibugyo"",""es"":""Bundibugyo"",""fr"":""Bundibugyo"",""ja"":""ブンディ奉行"",""it"":""Bundibugyo"",""zh-CN"":""本迪布焦"",""tr"":""Bundibugyo"",""ru"":""Бундибугио"",""uk"":""Bundibugyo"",""pl"":""Bundibugyo"",""hi"":""बुन्दिबुग्यो"",""ar"":""بونديبوغيو""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q2597300
