id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
110965,Abbeville,1455,GA,233,US,city,,,31.99212000,-83.30682000,Abbeville,2358,America/New_York,"{""br"":""Abbeville"",""ko"":""애비빌"",""pt-BR"":""Abbeville"",""pt"":""Abbeville"",""nl"":""Abbeville"",""hr"":""Abbeville"",""fa"":""ابیویل"",""de"":""Abbeville"",""es"":""Abbeville"",""fr"":""Abbeville"",""ja"":""アビーヴィル"",""it"":""Abbeville"",""zh-CN"":""阿布维尔"",""tr"":""Abbeville"",""ru"":""Абвиль"",""uk"":""Аббевіль"",""pl"":""Abbeville"",""hi"":""एब्बेविल"",""ar"":""أبفيل""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q306318
110966,Abbeville,1457,LA,233,US,city,,,29.97465000,-92.13429000,Abbeville,12434,America/Chicago,"{""br"":""Abbeville"",""ko"":""애비빌"",""pt-BR"":""Abbeville"",""pt"":""Abbeville"",""nl"":""Abbeville"",""hr"":""Abbeville"",""fa"":""ابیویل"",""de"":""Abbeville"",""es"":""Abbeville"",""fr"":""Abbeville"",""ja"":""アビーヴィル"",""it"":""Abbeville"",""zh-CN"":""阿布维尔"",""tr"":""Abbeville"",""ru"":""Абвиль"",""uk"":""Аббевіль"",""pl"":""Abbeville"",""hi"":""एब्बेविल"",""ar"":""أبفيل""}",2019-10-06T10:31:43,2025-12-02T14:39:31,1,Q306328
110967,Abbeville,1443,SC,233,US,city,,,34.17817000,-82.37901000,Abbeville,5191,America/New_York,"{""br"":""Abbeville"",""ko"":""애비빌"",""pt-BR"":""Abbeville"",""pt"":""Abbeville"",""nl"":""Abbeville"",""hr"":""Abbeville"",""fa"":""ابیویل"",""de"":""Abbeville"",""es"":""Abbeville"",""fr"":""Abbeville"",""ja"":""アビーヴィル"",""it"":""Abbeville"",""zh-CN"":""阿布维尔"",""tr"":""Abbeville"",""ru"":""Абвиль"",""uk"":""Аббевіль"",""pl"":""Abbeville"",""hi"":""एब्बेविल"",""ar"":""أبفيل""}",2019-10-06T10:31:43,2025-12-02T14:39:31,1,Q1989375
110968,Abbeville,1456,AL,233,US,city,,,31.57184000,-85.25049000,Abbeville,2358,America/Chicago,"{""br"":""Abbeville"",""ko"":""애비빌"",""pt-BR"":""Abbeville"",""pt"":""Abbeville"",""nl"":""Abbeville"",""hr"":""Abbeville"",""fa"":""ابیویل"",""de"":""Abbeville"",""es"":""Abbeville"",""fr"":""Abbeville"",""ja"":""アビーヴィル"",""it"":""Abbeville"",""zh-CN"":""阿布维尔"",""tr"":""Abbeville"",""ru"":""Абвиль"",""uk"":""Аббевіль"",""pl"":""Abbeville"",""hi"":""एब्बेविल"",""ar"":""أبفيل""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q79806
110969,Abbeville,1443,SC,233,US,city,,,34.22257000,-82.45871000,Abbeville County,2358,America/New_York,"{""br"":""Kontelezh Abbeville"",""ko"":""애비빌 카운티"",""pt-BR"":""Condado de Abbeville"",""pt"":""Condado de Abbeville"",""nl"":""Abbeville County"",""hr"":""Okrug Abbeville"",""fa"":""شهرستان ابویل"",""de"":""Grafschaft Abbeville"",""es"":""Condado de Abbeville"",""fr"":""Comté d'Abbeville"",""ja"":""アビービル郡"",""it"":""Contea di Abbeville"",""zh-CN"":""阿布维尔县"",""tr"":""Abbeville İlçesi"",""ru"":""Округ Аббевилль"",""uk"":""Округ Аббевіль"",""pl"":""Hrabstwo Abbeville"",""hi"":""एब्बेविल काउंटी"",""ar"":""مقاطعة أبفيل""}",2019-10-06T10:31:43,2025-12-02T17:11:50,1,Q306343
110970,Abbotsford,1441,WI,233,US,city,,,44.94636000,-90.31597000,Abbotsford,2275,America/Chicago,"{""br"":""Abbotsford"",""ko"":""애벗스포드"",""pt-BR"":""Abbotsford"",""pt"":""Abbotsford"",""nl"":""Abbotsford"",""hr"":""Abbotsford"",""fa"":""ابوتسفورد"",""de"":""Abbotsford"",""es"":""Abbotsford"",""fr"":""Abbotsford"",""ja"":""アボッツフォード"",""it"":""Abbotsford"",""zh-CN"":""阿伯茨福德"",""tr"":""Abbotsford"",""ru"":""Абботсфорд"",""uk"":""Абботсфорд"",""pl"":""Abbotsford"",""hi"":""एबॉट्सफ़ोर्ड"",""ar"":""أبوتسفورد""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q1570511
110971,Abbottstown,1422,PA,233,US,city,,,39.88649000,-76.98470000,Abbottstown,1020,America/New_York,"{""br"":""Abbottstown"",""ko"":""애벗스타운"",""pt-BR"":""Abbottstown"",""pt"":""Abbottstown"",""nl"":""Abbottstown"",""hr"":""Abbottstown"",""fa"":""ابوتستاون"",""de"":""Abbottstown"",""es"":""Abbottstown"",""fr"":""Abbottstown"",""ja"":""アボッツタウン"",""it"":""Abbottstown"",""zh-CN"":""阿伯茨敦"",""tr"":""Abbottstown"",""ru"":""Эбботстаун"",""uk"":""Абботстаун"",""pl"":""Abbottstown"",""hi"":""एबॉटस्टाउन"",""ar"":""أبوتستاون""}",2019-10-06T10:31:43,2025-12-02T14:39:31,1,Q1133516
110972,Aberdeen,1436,FL,233,US,city,,,26.55063000,-80.14866000,Aberdeen,2672,America/New_York,"{""br"":""Aberdeen"",""ko"":""애버딘"",""pt-BR"":""Aberdeen"",""pt"":""Aberdeen"",""nl"":""Aberdeen"",""hr"":""Aberdeen"",""fa"":""آبردین"",""de"":""Aberdeen"",""es"":""Aberdeen"",""fr"":""Aberdeen"",""ja"":""アバディーン"",""it"":""Aberdeen"",""zh-CN"":""阿伯丁"",""tr"":""Aberdeen"",""ru"":""Абердин"",""uk"":""Абердин"",""pl"":""Aberdeen"",""hi"":""एबरडीन"",""ar"":""أبردين""}",2019-10-06T10:31:43,2025-12-02T14:39:31,1,Q4666865
110973,Aberdeen,1401,MD,233,US,city,,,39.50956000,-76.16412000,Aberdeen,17013,America/New_York,"{""br"":""Aberdeen"",""ko"":""애버딘"",""pt-BR"":""Aberdeen"",""pt"":""Aberdeen"",""nl"":""Aberdeen"",""hr"":""Aberdeen"",""fa"":""آبردین"",""de"":""Aberdeen"",""es"":""Aberdeen"",""fr"":""Aberdeen"",""ja"":""アバディーン"",""it"":""Aberdeen"",""zh-CN"":""阿伯丁"",""tr"":""Aberdeen"",""ru"":""Абердин"",""uk"":""Абердин"",""pl"":""Aberdeen"",""hi"":""एबरडीन"",""ar"":""أبردين""}",2019-10-06T10:31:43,2025-12-02T14:38:56,1,Q319395
110974,Aberdeen,1430,MS,233,US,city,,,33.82511000,-88.54366000,Aberdeen,5397,America/Chicago,"{""br"":""Aberdeen"",""ko"":""애버딘"",""pt-BR"":""Aberdeen"",""pt"":""Aberdeen"",""nl"":""Aberdeen"",""hr"":""Aberdeen"",""fa"":""آبردین"",""de"":""Aberdeen"",""es"":""Aberdeen"",""fr"":""Aberdeen"",""ja"":""アバディーン"",""it"":""Aberdeen"",""zh-CN"":""阿伯丁"",""tr"":""Aberdeen"",""ru"":""Абердин"",""uk"":""Абердин"",""pl"":""Aberdeen"",""hi"":""एबरडीन"",""ar"":""أبردين""}",2019-10-06T10:31:43,2025-12-02T14:39:31,1,Q1065452
