id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
129771,25 de Agosto,3217,FD,235,UY,city,,,-34.41167000,-56.40222000,25 de agosto,1849,America/Montevideo,"{""br"":""25 de Agosto"",""ko"":""8월 25일"",""pt-BR"":""25 de agosto"",""pt"":""25 de agosto"",""nl"":""25 augustus"",""hr"":""25. kolovoza"",""fa"":""۲۵ آگوست"",""de"":""25. August"",""es"":""25 de agosto"",""fr"":""25 août"",""ja"":""8月25日"",""it"":""25 agosto"",""zh-CN"":""8月25日"",""tr"":""25 Ağustos"",""ru"":""25 августа"",""uk"":""25 серпня"",""pl"":""25 sierpnia"",""hi"":""25 अगस्त"",""ar"":""25 أغسطس""}",2019-10-06T10:37:12,2025-12-02T14:39:31,1,Q218465
129772,25 de Mayo,3217,FD,235,UY,city,,,-34.18917000,-56.33944000,25 de Mayo,1852,America/Montevideo,"{""br"":""25 a viz Mae"",""ko"":""5월 25일"",""pt-BR"":""25 de maio"",""pt"":""25 de maio"",""nl"":""25 mei"",""hr"":""25. svibnja"",""fa"":""۲۵ دی مایو"",""de"":""25. Mai"",""es"":""25 de mayo"",""fr"":""25 mai"",""ja"":""5月25日"",""it"":""25 maggio"",""zh-CN"":""5月25日"",""tr"":""25 Mayıs"",""ru"":""25 мая"",""uk"":""25 травня"",""pl"":""25 maja"",""hi"":""25 डे मेयो"",""ar"":""25 مايو""}",2019-10-06T10:37:12,2025-12-02T14:39:31,1,Q218472
129773,Aceguá,3211,CL,235,UY,city,,,-31.87178000,-54.16351000,Dolor,1511,America/Montevideo,"{""br"":""Aceguá"",""ko"":""아세구아"",""pt-BR"":""Aceguá"",""pt"":""Aceguá"",""nl"":""Aceguá"",""hr"":""Aceguá"",""fa"":""آسگوا"",""de"":""Aceguá"",""es"":""Aceguá"",""fr"":""Acegua"",""ja"":""アセグア"",""it"":""Aceguá"",""zh-CN"":""阿塞瓜"",""tr"":""Aceguá"",""ru"":""Асегуа"",""uk"":""Асегуа"",""pl"":""Aceguá"",""hi"":""असेगुआ"",""ar"":""أسيجوا""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q2093378
129774,Aguas Corrientes,3213,CA,235,UY,city,,,-34.52194000,-56.39361000,Aguas Corrientes,1047,America/Montevideo,"{""br"":""Aguas Corrientes"",""ko"":""아과스 코리엔테스"",""pt-BR"":""Águas Correntes"",""pt"":""Águas Correntes"",""nl"":""Aguas Corrientes"",""hr"":""Aguas Corrientes"",""fa"":""آگواس کورینتس"",""de"":""Aguas Corrientes"",""es"":""Aguas Corrientes"",""fr"":""Aguas Corrientes"",""ja"":""アグアス・コリエンテス"",""it"":""Aguas Corrientes"",""zh-CN"":""阿瓜斯科连特斯"",""tr"":""Aguas Corrientes"",""ru"":""Агуас Корриентес"",""uk"":""Агуас-Коррієнтес"",""pl"":""Aguas Corrientes"",""hi"":""अगुआस कोरिएंटेस"",""ar"":""أغواس كورينتس""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q397975
129775,Aiguá,3206,MA,235,UY,city,,,-34.20498000,-54.75665000,Aiguá,2465,America/Montevideo,"{""br"":""Aiguá"",""ko"":""아이구아"",""pt-BR"":""Aiguá"",""pt"":""Aiguá"",""nl"":""Aiguá"",""hr"":""Aiguá"",""fa"":""آیگوا"",""de"":""Aiguá"",""es"":""Aiguá"",""fr"":""Aiguá"",""ja"":""アイグア"",""it"":""Aiguá"",""zh-CN"":""艾瓜"",""tr"":""Aiguá"",""ru"":""Айгуа"",""uk"":""Айгуа"",""pl"":""Aiguá"",""hi"":""Aigua"",""ar"":""أيجوا""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q404803
129776,Alejandro Gallinal,3217,FD,235,UY,city,,,-33.86252000,-55.54264000,Alejandro Gallinal,1357,America/Montevideo,"{""br"":""Alejandro Gallinal"",""ko"":""알레한드로 갈리날"",""pt-BR"":""Alexandre Gallinal"",""pt"":""Alexandre Gallinal"",""nl"":""Alejandro Gallinal"",""hr"":""Alejandro Gallinal"",""fa"":""آلخاندرو گالینال"",""de"":""Alejandro Gallinal"",""es"":""Alejandro Gallinal"",""fr"":""Alexandre Gallinal"",""ja"":""アレハンドロ・ガリナル"",""it"":""Alejandro Gallinal"",""zh-CN"":""亚历杭德罗·加利纳尔"",""tr"":""Alejandro Gallinal"",""ru"":""Алехандро Галлинал"",""uk"":""Алехандро Галлінал"",""pl"":""Alejandro Gallinal"",""hi"":""एलेजांद्रो गैलिनल"",""ar"":""أليخاندرو غالينال""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q31892887
129777,Artigas,3205,AR,235,UY,adm1,,,-30.40000000,-56.46667000,Artigas,40658,America/Montevideo,"{""br"":""Artigas"",""ko"":""아르티가스"",""pt-BR"":""Artigas"",""pt"":""Artigas"",""nl"":""Artigas"",""hr"":""Artigas"",""fa"":""آرتیگاس"",""de"":""Artigas"",""es"":""Artigas"",""fr"":""Artigas"",""ja"":""アルティガス"",""it"":""Artigas"",""zh-CN"":""阿蒂加斯"",""tr"":""Artigas"",""ru"":""Артигас"",""uk"":""Артігас"",""pl"":""Artigas"",""hi"":""ऍर्तिगास"",""ar"":""أرتيغاس""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q712567
129778,Atlántida,3213,CA,235,UY,city,,,-34.77190000,-55.75840000,Atlántida,5562,America/Montevideo,"{""br"":""Atlantida"",""ko"":""아틀란티다"",""pt-BR"":""Atlântida"",""pt"":""Atlântida"",""nl"":""Atlantis"",""hr"":""Atlantida"",""fa"":""آتلانتیدا"",""de"":""Atlantida"",""es"":""Atlántida"",""fr"":""Atlantida"",""ja"":""アトランティダ"",""it"":""Atlantide"",""zh-CN"":""亚特兰蒂斯达"",""tr"":""Atlántida"",""ru"":""Атлантида"",""uk"":""Атлантида"",""pl"":""Atlantyda"",""hi"":""अटलांटिडा"",""ar"":""أتلانتيدا""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q1549798
129779,Baltasar Brum,3205,AR,235,UY,city,,,-30.71905000,-57.32596000,Baltasar Brot,2728,America/Montevideo,"{""br"":""Baltasar Brum"",""ko"":""발타사르 브룸"",""pt-BR"":""Baltasar Brum"",""pt"":""Baltasar Brum"",""nl"":""Baltasar Brum"",""hr"":""Baltazar Brum"",""fa"":""بالتازار بروم"",""de"":""Baltasar Brum"",""es"":""Baltasar Brum"",""fr"":""Baltasar Brum"",""ja"":""バルタザール・ブルム"",""it"":""Baltasar Brum"",""zh-CN"":""巴尔塔萨·布鲁姆"",""tr"":""Baltasar Brum"",""ru"":""Бальтасар Брум"",""uk"":""Балтазар Брум"",""pl"":""Baltasar Brum"",""hi"":""बाल्टासर ब्रूम"",""ar"":""بالتازار بروم""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q805555
129780,Barra de Carrasco,3213,CA,235,UY,city,,,-34.87722000,-56.02972000,Barra de Carrasco,5410,America/Montevideo,"{""br"":""Barra de Carrasco"",""ko"":""바라 데 카라스코"",""pt-BR"":""Barra de Carrasco"",""pt"":""Barra de Carrasco"",""nl"":""Barra de Carrasco"",""hr"":""Barra de Carrasco"",""fa"":""بارا د کاراسکو"",""de"":""Barra de Carrasco"",""es"":""Barra de Carrasco"",""fr"":""Barra de Carrasco"",""ja"":""バラ・デ・カラスコ"",""it"":""Barra de Carrasco"",""zh-CN"":""巴拉德卡拉斯科"",""tr"":""Carrasco Barrası"",""ru"":""Барра-де-Карраско"",""uk"":""Барра-де-Карраско"",""pl"":""Barra de Carrasco"",""hi"":""बारा डे कैरास्को"",""ar"":""بارا دي كاراسكو""}",2019-10-06T10:37:12,2025-12-02T14:38:56,1,Q808781
