id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
129894,Andijon,2540,AN,236,UZ,adm1,,,40.78206000,72.34424000,Andijon,,Asia/Samarkand,"{""br"":""Andijon"",""ko"":""안디잔"",""pt-BR"":""Andijon"",""pt"":""Andijon"",""nl"":""Andijon"",""hr"":""Andijon"",""fa"":""اندیجان"",""de"":""Andijon"",""es"":""Andijón"",""fr"":""Andijan"",""ja"":""アンディジョン"",""it"":""Andijon"",""zh-CN"":""安集延"",""tr"":""Andican"",""ru"":""Андижан"",""uk"":""Андижон"",""pl"":""Andiżan"",""hi"":""ऍन्दिजोन"",""ar"":""أنديجون""}",2019-10-06T10:37:13,2025-12-02T17:11:50,1,Q487656
129895,Andijon Tumani,2540,AN,236,UZ,city,,,40.80000000,72.41667000,Andijon Tumani,,Asia/Samarkand,"{""br"":""Andijon Tumani"",""ko"":""안디존 투마니"",""pt-BR"":""Andijon Tumani"",""pt"":""Andijon Tumani"",""nl"":""Andijon Tumani"",""hr"":""Andijon Tumani"",""fa"":""اندیجون تومانی"",""de"":""Andijon Tumani"",""es"":""Andijón Tumani"",""fr"":""Andijan Tumani"",""ja"":""アンディジョン・トゥマニ"",""it"":""Andijon Tumani"",""zh-CN"":""安集延图马尼"",""tr"":""Andijon Tumani"",""ru"":""Андижан Тумани"",""uk"":""Андижон Тумані"",""pl"":""Andijon Tumani"",""hi"":""अंदिजोन तुमानी"",""ar"":""أنديجون توماني""}",2019-10-06T10:37:13,2025-12-02T16:59:27,1,Q2399866
129896,Angren,2549,TO,236,UZ,city,,,41.01667000,70.14361000,Angren,191300,Asia/Tashkent,"{""br"":""Angren"",""ko"":""앙그렌"",""pt-BR"":""Angren"",""pt"":""Angren"",""nl"":""Angren"",""hr"":""Angren"",""fa"":""آنگرن"",""de"":""Angren"",""es"":""Angren"",""fr"":""Angren"",""ja"":""アングレン"",""it"":""Angren"",""zh-CN"":""安格伦"",""tr"":""Angren"",""ru"":""Ангрен"",""uk"":""Ангрен"",""pl"":""Angren"",""hi"":""ताशकन्द"",""ar"":""أنغرين""}",2019-10-06T10:37:13,2025-12-02T14:39:55,1,Q542966
129897,Asaka,2540,AN,236,UZ,adm2,,,40.64153000,72.23868000,Asaka,62200,Asia/Tashkent,"{""br"":""Asaka"",""ko"":""아사카"",""pt-BR"":""Asaka"",""pt"":""Asaka"",""nl"":""Asaka"",""hr"":""Asaka"",""fa"":""آساکا"",""de"":""Asaka"",""es"":""Asaka"",""fr"":""Asaka"",""ja"":""朝霞"",""it"":""Asaka"",""zh-CN"":""朝香"",""tr"":""Asaka"",""ru"":""Асака"",""uk"":""Асака"",""pl"":""Asaka"",""hi"":""असाका"",""ar"":""أساكا""}",2019-10-06T10:37:13,2025-12-02T14:39:55,1,Q378393
129898,Asaka Tumani,2540,AN,236,UZ,adm2,,,40.66667000,72.25000000,Asaka Tumani,,Asia/Samarkand,"{""br"":""Asaka Tumani"",""ko"":""아사카 투마니"",""pt-BR"":""Asaka Tumani"",""pt"":""Asaka Tumani"",""nl"":""Asaka Tumani"",""hr"":""Asaka Tumani"",""fa"":""آساکا تومانی"",""de"":""Asaka Tumani"",""es"":""Asaka Tumani"",""fr"":""Asaka Tumani"",""ja"":""アサカ・トゥマニ"",""it"":""Asaka Tumani"",""zh-CN"":""阿萨卡·图马尼"",""tr"":""Asaka Tumani"",""ru"":""Асака Тумани"",""uk"":""Асака Тумані"",""pl"":""Asaka Tumani"",""hi"":""असाका तुमानी"",""ar"":""أساكا توماني""}",2019-10-06T10:37:13,2025-12-02T17:11:50,1,Q578148
129899,Baliqchi Tumani,2540,AN,236,UZ,city,,,40.86667000,72.00000000,Baliqchi Tumani,,Asia/Samarkand,"{""br"":""Baliqchi Tumani"",""ko"":""발릭치 투마니"",""pt-BR"":""Baliqchi Tumani"",""pt"":""Baliqchi Tumani"",""nl"":""Baliqchi Tumani"",""hr"":""Baliqchi Tumani"",""fa"":""بالیقچی تومانی"",""de"":""Baliqchi Tumani"",""es"":""Baliqchi Tumani"",""fr"":""Baliqchi Tumani"",""ja"":""バリクチ・トゥマニ"",""it"":""Baliqchi Tumani"",""zh-CN"":""巴利格奇·图马尼"",""tr"":""Baliqchi Tumani"",""ru"":""Баликчи Тумани"",""uk"":""Балікчі Тумані"",""pl"":""Baliqchi Tumani"",""hi"":""बालीक्ची तुमानी"",""ar"":""باليقتشي توماني""}",2019-10-06T10:37:13,2025-12-02T16:59:27,1,Q1646692
129900,Bekobod,2549,TO,236,UZ,city,,,40.22083000,69.26972000,Bekobod,82082,Asia/Tashkent,"{""br"":""Bekobod"",""ko"":""베코보드"",""pt-BR"":""Bekobod"",""pt"":""Bekobod"",""nl"":""Bekobod"",""hr"":""Bekobod"",""fa"":""بکوبد"",""de"":""Bekobod"",""es"":""Bekobod"",""fr"":""Bekobod"",""ja"":""ベコボド"",""it"":""Bekobod"",""zh-CN"":""贝科博德"",""tr"":""Bekobod"",""ru"":""Бекобод"",""uk"":""Бекобод"",""pl"":""Bekobod"",""hi"":""ताशकन्द"",""ar"":""بيكوبود""}",2019-10-06T10:37:13,2025-12-02T14:39:55,1,Q815053
129901,Bektemir,2536,TK,236,UZ,city,,,41.20972000,69.33417000,Bektemir,27500,Asia/Tashkent,"{""br"":""Bektemir"",""ko"":""베크테미르"",""pt-BR"":""Bektemir"",""pt"":""Bektemir"",""nl"":""Bektemir"",""hr"":""Bektemir"",""fa"":""بکتمیر"",""de"":""Bektemir"",""es"":""Bektemir"",""fr"":""Bektemir"",""ja"":""ベクテミル"",""it"":""Bektemir"",""zh-CN"":""贝克特米尔"",""tr"":""Bektemir"",""ru"":""Бектемир"",""uk"":""Бектемір"",""pl"":""Bektemir"",""hi"":""बेक्तेमिर"",""ar"":""بكتيمير""}",2019-10-06T10:37:13,2025-12-02T14:39:55,1,Q815053
129902,Beruniy,2548,QR,236,UZ,city,,,41.69111000,60.75250000,Beruniy,66019,Asia/Samarkand,"{""br"":""Beruniy"",""ko"":""베루니"",""pt-BR"":""Beruniy"",""pt"":""Beruniy"",""nl"":""Beruniy"",""hr"":""Beruniy"",""fa"":""بیرونی"",""de"":""Beruniy"",""es"":""Beruniy"",""fr"":""Beruniy"",""ja"":""ベルーニ"",""it"":""Beruniy"",""zh-CN"":""贝鲁尼"",""tr"":""Beruniy"",""ru"":""Беруний"",""uk"":""Беруній"",""pl"":""Beruniy"",""hi"":""बेरुनी"",""ar"":""بيروني""}",2019-10-06T10:37:13,2025-12-02T14:38:56,1,Q18242285
129903,Beshariq,2538,FA,236,UZ,adm2,,,40.43583000,70.61028000,Beshariq,96900,Asia/Tashkent,"{""br"":""Beshariq"",""ko"":""베샤리크"",""pt-BR"":""Beshariq"",""pt"":""Beshariq"",""nl"":""Beshariq"",""hr"":""Bešarik"",""fa"":""بشریق"",""de"":""Beshariq"",""es"":""Beshariq"",""fr"":""Bechariq"",""ja"":""ベシャリク"",""it"":""Beshariq"",""zh-CN"":""贝沙里克"",""tr"":""Beşşarik"",""ru"":""Бешарик"",""uk"":""Бешарик"",""pl"":""Beshariq"",""hi"":""बेशारिक"",""ar"":""بشارق""}",2019-10-06T10:37:13,2025-12-02T14:39:55,1,Q891824
