id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
130038,Acarigua,2036,P,239,VE,adm2,,,9.55451000,-69.19564000,Acarigua,195637,America/Caracas,"{""br"":""Acarigua"",""ko"":""아카리과"",""pt-BR"":""Acarigua"",""pt"":""Acarigua"",""nl"":""Acarigua"",""hr"":""Acarigua"",""fa"":""آکاریگوا"",""de"":""Acarigua"",""es"":""Acarigua"",""fr"":""Acarigua"",""ja"":""アカリグア"",""it"":""Acarigua"",""zh-CN"":""阿卡里瓜"",""tr"":""Akarigua"",""ru"":""Акаригуа"",""uk"":""Акарігуа"",""pl"":""Acarigua"",""hi"":""अकारिगुआ"",""ar"":""أكاريجوا""}",2019-10-06T10:37:14,2025-12-02T14:38:56,1,Q338059
130039,Altagracia de Orituco,2045,J,239,VE,adm2,,,9.86005000,-66.38139000,Altagracia de Orituco,68207,America/Caracas,"{""br"":""Altagracia de Orituco"",""ko"":""알타그라시아 데 오리투코"",""pt-BR"":""Altagracia de Orituco"",""pt"":""Altagracia de Orituco"",""nl"":""Altagracia de Orituco"",""hr"":""Altagracia de Orituco"",""fa"":""آلتاگراسیا اوریتوکو"",""de"":""Altagracia de Orituco"",""es"":""Altagracia de Orituco"",""fr"":""Altagracia de Orituco"",""ja"":""アルタグラシア・デ・オリトゥコ"",""it"":""Altagracia de Orituco"",""zh-CN"":""奥里图科的阿尔塔格拉西亚"",""tr"":""Altagracia de Orituco"",""ru"":""Альтаграсия де Оритуко"",""uk"":""Альтаграсія-де-Орітуко"",""pl"":""Altagracia de Orituco"",""hi"":""अल्टाग्रासिया डे ओरिटुको"",""ar"":""Altagracia de Orituco""}",2019-10-06T10:37:14,2025-12-02T14:38:56,1,Q433758
130040,Alto Barinas,2049,E,239,VE,city,,,8.59310000,-70.22610000,Alto Barinas,284289,America/Caracas,"{""br"":""Alto Barinas"",""ko"":""알토 바리나스"",""pt-BR"":""Alto Barinas"",""pt"":""Alto Barinas"",""nl"":""Alto Barinas"",""hr"":""Alto Barinas"",""fa"":""آلتو باریناس"",""de"":""Alto Barinas"",""es"":""Alto Barinas"",""fr"":""Haut Barinas"",""ja"":""アルト・バリナス"",""it"":""Alto Barinas"",""zh-CN"":""阿尔托巴里纳斯"",""tr"":""Alto Barinas"",""ru"":""Альто-Баринас"",""uk"":""Альто-Барінас"",""pl"":""Alto Barinas"",""hi"":""ऑल्टो बारिनास"",""ar"":""ألتو باريناس""}",2019-10-06T10:37:14,2025-12-02T14:39:31,1,Q433758
130041,Anaco,2050,B,239,VE,adm2,,,9.42958000,-64.46428000,Pedazo,162704,America/Caracas,"{""br"":""Anaco"",""ko"":""아나코"",""pt-BR"":""Anaco"",""pt"":""Anaco"",""nl"":""Anaco"",""hr"":""Anaco"",""fa"":""آناکو"",""de"":""Anaco"",""es"":""Anaco"",""fr"":""Anaco"",""ja"":""アナコ"",""it"":""Anaco"",""zh-CN"":""阿纳科"",""tr"":""Anaco"",""ru"":""Анако"",""uk"":""Анако"",""pl"":""Anaco"",""hi"":""अनाको"",""ar"":""أناكو""}",2019-10-06T10:37:14,2025-12-02T14:38:56,1,Q1897488
130042,Aragua de Barcelona,2050,B,239,VE,adm2,,,9.45588000,-64.82928000,Aragua de Barcelona,33464,America/Caracas,"{""br"":""Aragua de Barcelona"",""ko"":""아라과 데 바르셀로나"",""pt-BR"":""Aragua de Barcelona"",""pt"":""Aragua de Barcelona"",""nl"":""Aragua de Barcelona"",""hr"":""Aragua de Barcelona"",""fa"":""آراگوا د بارسلونا"",""de"":""Aragua de Barcelona"",""es"":""Aragua de Barcelona"",""fr"":""Aragua de Barcelone"",""ja"":""バルセロナのアラグア"",""it"":""Aragua de Barcelona"",""zh-CN"":""巴塞罗那阿拉瓜"",""tr"":""Barselona Aragua'sı"",""ru"":""Арагуа-де-Барселона"",""uk"":""Арагуа-де-Барселона"",""pl"":""Aragua de Barcelona"",""hi"":""अरागुआ डे बार्सिलोना"",""ar"":""أراغوا دي برشلونة""}",2019-10-06T10:37:14,2025-12-02T14:38:56,1,Q2859442
130043,Araure,2036,P,239,VE,adm2,,,9.58144000,-69.23851000,Región,188800,America/Caracas,"{""br"":""Araure"",""ko"":""아라우레"",""pt-BR"":""Araure"",""pt"":""Araure"",""nl"":""Araure"",""hr"":""Araure"",""fa"":""آراور"",""de"":""Araure"",""es"":""Araure"",""fr"":""Araure"",""ja"":""アラウレ"",""it"":""Araure"",""zh-CN"":""阿劳雷"",""tr"":""Araure"",""ru"":""Арауре"",""uk"":""Арауре"",""pl"":""Araure"",""hi"":""अराउरे"",""ar"":""أراوري""}",2019-10-06T10:37:14,2025-12-02T14:38:56,1,Q626670
130044,Barcelona,2050,B,239,VE,adm1,,,10.13625000,-64.68618000,Barcelona,815141,America/Caracas,"{""br"":""Barcelona"",""ko"":""바르셀로나"",""pt-BR"":""Barcelona"",""pt"":""Barcelona"",""nl"":""Barcelona"",""hr"":""Barcelona"",""fa"":""بارسلونا"",""de"":""Barcelona"",""es"":""Barcelona"",""fr"":""Barcelone"",""ja"":""バルセロナ"",""it"":""Barcellona"",""zh-CN"":""巴塞罗那"",""tr"":""Barselona"",""ru"":""Барселона"",""uk"":""Барселона"",""pl"":""Barcelona"",""hi"":""बार्सिलोना"",""ar"":""برشلونة""}",2019-10-06T10:37:14,2025-12-02T14:39:31,1,Q391221
130045,Barinas,2049,E,239,VE,adm1,,,8.62261000,-70.20749000,Barinas,873962,America/Caracas,"{""br"":""Barinas"",""ko"":""바리나스"",""pt-BR"":""Barinas"",""pt"":""Barinas"",""nl"":""Barinas"",""hr"":""Barinas"",""fa"":""باریناس"",""de"":""Barinas"",""es"":""Barinas"",""fr"":""Barinas"",""ja"":""バリナス"",""it"":""Barinas"",""zh-CN"":""巴里纳斯"",""tr"":""Barinalar"",""ru"":""Баринас"",""uk"":""Барінас"",""pl"":""Barinas"",""hi"":""बारिनास"",""ar"":""باريناس""}",2019-10-06T10:37:14,2025-12-02T17:11:50,1,Q695623
130046,Barinitas,2049,E,239,VE,adm2,,,8.76171000,-70.41199000,Barinita,51556,America/Caracas,"{""br"":""Barinitas"",""ko"":""바리니타스"",""pt-BR"":""Barinitas"",""pt"":""Barinitas"",""nl"":""Barinitas"",""hr"":""Barinitas"",""fa"":""بارینیتاس"",""de"":""Barinitas"",""es"":""Barinitas"",""fr"":""Barinitas"",""ja"":""バリニタス"",""it"":""Barinitas"",""zh-CN"":""巴里尼塔斯"",""tr"":""Barinitas"",""ru"":""Баринитас"",""uk"":""Барінітас"",""pl"":""Barinitas"",""hi"":""बारिनिटास"",""ar"":""بارينيتاز""}",2019-10-06T10:37:14,2025-12-02T14:38:56,1,Q2884528
130047,Barquisimeto,2038,K,239,VE,adm1,,,10.06470000,-69.35703000,Barquisimeto,1059092,America/Caracas,"{""br"":""Barkizimeto"",""ko"":""바르키시메토"",""pt-BR"":""Barquisimeto"",""pt"":""Barquisimeto"",""nl"":""Barquisimeto"",""hr"":""Barquisimeto"",""fa"":""بارکیسیمتو"",""de"":""Barquisimeto"",""es"":""Barquisimeto"",""fr"":""Barquisimeto"",""ja"":""バルキシメト"",""it"":""Barquisimeto"",""zh-CN"":""巴基西梅托"",""tr"":""Barquisimeto"",""ru"":""Баркисимето"",""uk"":""Баркісімето"",""pl"":""Barquisimeto"",""hi"":""बार्क्विसिमेटो"",""ar"":""باركيسيميتو""}",2019-10-06T10:37:14,2025-12-02T14:38:56,1,Q4709
