id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
149561,Charlotte Amalie,5072,ST,242,VI,capital,,,18.34127610,-64.94838690,Charlotte Amalie,,America/St_Thomas,"{""br"":""Charlotte Amalie"",""ko"":""샬롯 아말리에"",""pt-BR"":""Charlotte Amália"",""pt"":""Charlotte Amália"",""nl"":""Charlotte Amalie"",""hr"":""Šarlota Amalija"",""fa"":""شارلوت آمالی"",""de"":""Charlotte Amalie"",""es"":""Carlota Amalia"",""fr"":""Charlotte Amalie"",""ja"":""シャーロット・アマリー"",""it"":""Carlotta Amalia"",""zh-CN"":""夏洛特阿马利亚"",""tr"":""Charlotte Amalie"",""ru"":""Шарлотта Амалия"",""uk"":""Шарлотта Амалія"",""pl"":""Charlotte Amalie"",""hi"":""चार्लोट अमली"",""ar"":""شارلوت أمالي""}",2022-05-09T03:37:40,2025-12-02T17:11:50,1,Q51681
149562,East End,5072,ST,242,VI,city,,,18.32901620,-64.87047310,East End,,America/St_Thomas,"{""br"":""Penn ar Reter"",""ko"":""이스트 엔드"",""pt-BR"":""Extremidade Leste"",""pt"":""Extremidade Leste"",""nl"":""East End"",""hr"":""Istočni kraj"",""fa"":""ایست اند"",""de"":""Ostende"",""es"":""Extremo este"",""fr"":""East End"",""ja"":""東端"",""it"":""East End"",""zh-CN"":""东区"",""tr"":""Doğu Yakası"",""ru"":""Ист-Энд"",""uk"":""Іст-Енд"",""pl"":""East End"",""hi"":""ईस्ट एन्ड"",""ar"":""الطرف الشرقي""}",2022-05-09T03:37:40,2025-12-02T16:59:27,1,Q20828420
149563,Northside,5072,ST,242,VI,city,,,18.37380810,-64.95589090,Northside,,America/St_Thomas,"{""br"":""Tu an Norzh"",""ko"":""노스사이드"",""pt-BR"":""Lado norte"",""pt"":""Lado norte"",""nl"":""Noordkant"",""hr"":""Sjeverna strana"",""fa"":""شمال غربی"",""de"":""Nordseite"",""es"":""Lado norte"",""fr"":""Côté nord"",""ja"":""ノースサイド"",""it"":""Lato nord"",""zh-CN"":""北边"",""tr"":""Kuzey tarafı"",""ru"":""Нортсайд"",""uk"":""Нортсайд"",""pl"":""Północna strona"",""hi"":""उत्तरी भाग"",""ar"":""نورثسايد""}",2022-05-09T03:37:40,2025-12-02T16:59:27,1,Q20828411
149564,Southside,5072,ST,242,VI,city,,,18.30529120,-64.91724450,Southside,,America/St_Thomas,"{""br"":""Su"",""ko"":""사우스사이드"",""pt-BR"":""Lado sul"",""pt"":""Lado sul"",""nl"":""Zuidkant"",""hr"":""Južna strana"",""fa"":""جنوب غربی"",""de"":""Südseite"",""es"":""Lado sur"",""fr"":""Côté sud"",""ja"":""サウスサイド"",""it"":""Lato sud"",""zh-CN"":""南区"",""tr"":""Güney tarafı"",""ru"":""Саутсайд"",""uk"":""Саутсайд"",""pl"":""Południe"",""hi"":""दक्षिण की ओर"",""ar"":""ساوثسايد""}",2022-05-09T03:37:40,2025-12-02T16:59:27,1,Q32023170
149565,Tutu,5072,ST,242,VI,city,,,18.33884270,-64.89530720,Tutu,,America/St_Thomas,"{""br"":""Tutu"",""ko"":""투투"",""pt-BR"":""Tutu"",""pt"":""Tutu"",""nl"":""Tutu"",""hr"":""Suknjica"",""fa"":""توتو"",""de"":""Tutu"",""es"":""Tutú"",""fr"":""Tutu"",""ja"":""ツツ"",""it"":""Tutù"",""zh-CN"":""芭蕾舞裙"",""tr"":""Tutu"",""ru"":""Туту"",""uk"":""Туту"",""pl"":""Tutu"",""hi"":""टूटू"",""ar"":""توتو""}",2022-05-09T03:37:40,2025-12-02T17:11:50,1,Q7857046
149566,Water Island,5072,ST,242,VI,city,,,18.32086530,-64.96932630,Water Island,,America/St_Thomas,"{""br"":""Enez an Dour"",""ko"":""워터 아일랜드"",""pt-BR"":""Ilha da Água"",""pt"":""Ilha da Água"",""nl"":""Watereiland"",""hr"":""Vodeni otok"",""fa"":""جزیره آب"",""de"":""Wasserinsel"",""es"":""Isla del Agua"",""fr"":""Île d'eau"",""ja"":""ウォーターアイランド"",""it"":""Isola d'acqua"",""zh-CN"":""水岛"",""tr"":""Su Adası"",""ru"":""Водный остров"",""uk"":""Водний острів"",""pl"":""Wyspa Wodna"",""hi"":""जल द्वीप"",""ar"":""جزيرة المياه""}",2022-05-09T03:37:40,2025-12-02T16:59:27,1,Q679803
149567,West End,5072,ST,242,VI,city,,,18.37243670,-65.06490130,West End,,America/St_Thomas,"{""br"":""West End"",""ko"":""웨스트엔드"",""pt-BR"":""Extremo Oeste"",""pt"":""Extremo Oeste"",""nl"":""West End"",""hr"":""Zapadni kraj"",""fa"":""وست اند"",""de"":""West End"",""es"":""West End"",""fr"":""West End"",""ja"":""ウエストエンド"",""it"":""West End"",""zh-CN"":""西区"",""tr"":""Batı Yakası"",""ru"":""Вест-Энд"",""uk"":""Вест-Енд"",""pl"":""West End"",""hi"":""वेस्ट एंड"",""ar"":""ويست إند""}",2022-05-09T03:37:40,2025-12-02T16:59:27,1,Q20828416
149568,Central,5073,SJ,242,VI,adm1,,,18.33568380,-64.79470780,Central,2743,America/St_Thomas,"{""br"":""Kreiz"",""ko"":""본부"",""pt-BR"":""Central"",""pt"":""Central"",""nl"":""Centraal"",""hr"":""Središnji"",""fa"":""مرکزی"",""de"":""Zentral"",""es"":""Central"",""fr"":""Central"",""ja"":""中央"",""it"":""Centrale"",""zh-CN"":""中央"",""tr"":""Merkez"",""ru"":""Центральный"",""uk"":""Центральний"",""pl"":""Centralny"",""hi"":""केंद्रीय"",""ar"":""مركزي""}",2022-05-09T03:37:40,2025-12-02T14:39:31,1,Q65041148
149569,Coral Bay,5073,SJ,242,VI,city,,,18.34800890,-64.72196820,Coral Bay,,America/St_Thomas,"{""br"":""Bae ar C'horal"",""ko"":""코럴 베이"",""pt-BR"":""Baía de Coral"",""pt"":""Baía de Coral"",""nl"":""Koraalbaai"",""hr"":""Koraljni zaljev"",""fa"":""خلیج مرجانی"",""de"":""Korallenbucht"",""es"":""Bahía de Coral"",""fr"":""Baie de Corail"",""ja"":""コーラルベイ"",""it"":""Baia dei Coralli"",""zh-CN"":""珊瑚湾"",""tr"":""Mercan Koyu"",""ru"":""Коралловый залив"",""uk"":""Коралова затока"",""pl"":""Zatoka Koralowa"",""hi"":""कोरल बे"",""ar"":""خليج المرجان""}",2022-05-09T03:37:40,2025-12-02T17:11:50,1,Q31908423
149570,Cruz Bay,5073,SJ,242,VI,adm1,,,18.31820370,-64.80242110,Cruz Bay,,America/St_Thomas,"{""br"":""Bae Cruz"",""ko"":""크루즈 베이"",""pt-BR"":""Cruz Bay"",""pt"":""Cruz Bay"",""nl"":""Cruz Bay"",""hr"":""Cruz Bay"",""fa"":""خلیج کروز"",""de"":""Cruz Bay"",""es"":""Cruz Bay"",""fr"":""Cruz Bay"",""ja"":""クルーズベイ"",""it"":""Baia di Cruz"",""zh-CN"":""克鲁兹湾"",""tr"":""Cruz Körfezi"",""ru"":""Крус-Бэй"",""uk"":""Крус-Бей"",""pl"":""Zatoka Cruz"",""hi"":""क्रूज़ बे"",""ar"":""خليج كروز""}",2022-05-09T03:37:40,2025-12-02T17:11:50,1,Q31908720
