id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
130643,Afega,4770,TU,191,WS,adm1,,,-13.79726000,-171.85308000,Afega,1998,Pacific/Apia,"{""br"":""Afega"",""ko"":""아페가"",""pt-BR"":""Afega"",""pt"":""Afega"",""nl"":""Afega"",""hr"":""Afega"",""fa"":""آفگا"",""de"":""Afega"",""es"":""Afega"",""fr"":""Afega"",""ja"":""アフェガ"",""it"":""Afega"",""zh-CN"":""阿菲加"",""tr"":""Afega"",""ru"":""Афега"",""uk"":""Афега"",""pl"":""Afega"",""hi"":""अफेगा"",""ar"":""أفيج""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q2038921
130644,Apia,4770,TU,191,WS,capital,,,-13.83333000,-171.76666000,Apia,37708,Pacific/Apia,"{""br"":""Apia"",""ko"":""아피아"",""pt-BR"":""Apia"",""pt"":""Apia"",""nl"":""Apia"",""hr"":""Apia"",""fa"":""آپیا"",""de"":""Apia"",""es"":""Apia"",""fr"":""Apia"",""ja"":""アピア"",""it"":""Apia"",""zh-CN"":""阿皮亚"",""tr"":""Apia"",""ru"":""Апиа"",""uk"":""Апіа"",""pl"":""Apia"",""hi"":""एपिया"",""ar"":""أبيا""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q36260
130645,Asau,4766,VS,191,WS,adm1,,,-13.51963000,-172.63784000,Lima,6643,Pacific/Apia,"{""br"":""Asau"",""ko"":""아사우"",""pt-BR"":""Asau"",""pt"":""Asau"",""nl"":""Asau"",""hr"":""Asau"",""fa"":""آساو"",""de"":""Asau"",""es"":""Asau"",""fr"":""Asau"",""ja"":""アサウ"",""it"":""Asau"",""zh-CN"":""阿萨乌"",""tr"":""Asau"",""ru"":""Асау"",""uk"":""Асау"",""pl"":""Asau"",""hi"":""असौ"",""ar"":""أساو""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q4803660
130646,Falefa,4765,AT,191,WS,city,,,-13.88695000,-171.58805000,Falefa,1346,Pacific/Apia,"{""br"":""Falefa"",""ko"":""팔레파"",""pt-BR"":""Falefa"",""pt"":""Falefa"",""nl"":""Falefa"",""hr"":""Falefa"",""fa"":""فالفا"",""de"":""Falefa"",""es"":""Falefa"",""fr"":""Falefa"",""ja"":""ファレファ"",""it"":""Falefa"",""zh-CN"":""法莱法"",""tr"":""Falefa"",""ru"":""Фалефа"",""uk"":""Фалефа"",""pl"":""Falefa"",""hi"":""फलेफा"",""ar"":""فاليفا""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q5431847
130647,Fasito‘outa,4763,AA,191,WS,city,,,-13.81163000,-171.94063000,Fasito‘outa,2098,Pacific/Apia,"{""br"":""Fasito‘outa"",""ko"":""파시토우타"",""pt-BR"":""Fasito'outa"",""pt"":""Fasito'outa"",""nl"":""Fasito‘outa"",""hr"":""Fasito'outa"",""fa"":""فاسیتو’اوتا"",""de"":""Fasito‘outa"",""es"":""Fasito'outa"",""fr"":""Fasito'outa"",""ja"":""ファシトウタ"",""it"":""Fasito‘outa"",""zh-CN"":""法西托乌塔"",""tr"":""Fasito‘outa"",""ru"":""Фаситоута"",""uk"":""Фасітоута"",""pl"":""Fasito‘outa"",""hi"":""फ़ासिटो‘उता"",""ar"":""فاسيتو‘وتا""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q31915201
130648,Gataivai,4767,PA,191,WS,city,,,-13.77360000,-172.38802000,Gataivai,1141,Pacific/Apia,"{""br"":""Gataivai"",""ko"":""가타이바이"",""pt-BR"":""Gataivai"",""pt"":""Gataivai"",""nl"":""Gataivai"",""hr"":""Gataivai"",""fa"":""گاتایوای"",""de"":""Gataivai"",""es"":""Gataivai"",""fr"":""Gataivai"",""ja"":""ガタイヴァイ"",""it"":""Gataivai"",""zh-CN"":""加泰伊瓦伊"",""tr"":""Gataivai"",""ru"":""Гатайвай"",""uk"":""Гатайвай"",""pl"":""Gataivai"",""hi"":""गताइवै"",""ar"":""جاتايفاي""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q5526936
130649,Leulumoega,4763,AA,191,WS,adm1,,,-13.82297000,-171.96127000,Leulumoega,1184,Pacific/Apia,"{""br"":""Leulumoega"",""ko"":""류루모에가"",""pt-BR"":""Leulumoega"",""pt"":""Leulumoega"",""nl"":""Leulumoega"",""hr"":""Leulumoega"",""fa"":""لئولوموگا"",""de"":""Leulumoega"",""es"":""Leulumoega"",""fr"":""Leulumoega"",""ja"":""レウルモエガ"",""it"":""Leulumoega"",""zh-CN"":""莱鲁莫埃加"",""tr"":""Leulumoega"",""ru"":""Леулумоега"",""uk"":""Леулумоега"",""pl"":""Leulumoega"",""hi"":""ल्यूलुमोएगा"",""ar"":""ليولومويغا""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q1944685
130650,Lotofagā,4765,AT,191,WS,city,,,-13.97643000,-171.85781000,Lotofagā,1126,Pacific/Apia,"{""br"":""Lotofagā"",""ko"":""로토파가"",""pt-BR"":""Lotofaga"",""pt"":""Lotofaga"",""nl"":""Lotofagā"",""hr"":""Lotofaga"",""fa"":""لوتوفاگا"",""de"":""Lotofagā"",""es"":""Lotofagā"",""fr"":""Lotofaga"",""ja"":""ロトファガ"",""it"":""Lotofagā"",""zh-CN"":""洛托法加"",""tr"":""Lotofagā"",""ru"":""Лотофага"",""uk"":""Лотофага"",""pl"":""Lotofagā"",""hi"":""लोटोफागा"",""ar"":""لوتوفاجا""}",2019-10-06T10:37:21,2025-12-02T14:39:31,1,Q31943898
130651,Lufilufi,4765,AT,191,WS,adm1,,,-13.87449000,-171.59857000,Lufilufi,1074,Pacific/Apia,"{""br"":""Lufilufi"",""ko"":""루필루피"",""pt-BR"":""Lufilufi"",""pt"":""Lufilufi"",""nl"":""Lufilufi"",""hr"":""Lufilufi"",""fa"":""لوفیلوفی"",""de"":""Lufilufi"",""es"":""Lufilufi"",""fr"":""Lufilufi"",""ja"":""ルフィルフィ"",""it"":""Lufilufi"",""zh-CN"":""鲁菲鲁菲"",""tr"":""Lufilufi"",""ru"":""Луфилуфи"",""uk"":""Луфілуфі"",""pl"":""Lufilufi"",""hi"":""लुफिलुफी"",""ar"":""لوفيلوفي""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q741740
130652,Malie,4770,TU,191,WS,city,,,-13.80044000,-171.84690000,Malie,2189,Pacific/Apia,"{""br"":""Malie"",""ko"":""말리에"",""pt-BR"":""Malie"",""pt"":""Malie"",""nl"":""Malie"",""hr"":""Malie"",""fa"":""مالی"",""de"":""Malie"",""es"":""Malie"",""fr"":""Malie"",""ja"":""マリー"",""it"":""Malie"",""zh-CN"":""马利埃"",""tr"":""Malie"",""ru"":""Мали"",""uk"":""Малі"",""pl"":""Malie"",""hi"":""माली"",""ar"":""مالي""}",2019-10-06T10:37:21,2025-12-02T14:38:56,1,Q6743481
