id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
160139,Hani i Elezit,4874,XUF,248,XK,adm2,,,42.15000000,21.29667000,,9389,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160140,Kačanik,4874,XUF,248,XK,adm2,,,42.23194000,21.25944000,,9800,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160141,Shtime,4874,XUF,248,XK,adm2,,,42.43306000,21.03972000,,35000,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160142,Štrpce,4874,XUF,248,XK,adm2,,,42.23944000,21.02722000,,6913,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160143,Ferizaj,4874,XUF,248,XK,adm1,,,42.37056000,21.15528000,,59504,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160144,Lloqan,4876,XDG,248,XK,city,,,42.52444000,20.28083000,,1050,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160145,Papraqan,4876,XDG,248,XK,city,,,42.55278000,20.33111000,,1288,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160146,Gjakovë,4876,XDG,248,XK,adm1,,,42.38028000,20.43083000,,94158,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160147,Deçan,4876,XDG,248,XK,adm2,,,42.54018000,20.28793000,,50500,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160148,Strellc i Ulët,4876,XDG,248,XK,city,,,42.58063000,20.31619000,,2850,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160149,Dranoc,4876,XDG,248,XK,locality,,,42.51556000,20.29222000,,2000,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160150,Gllogjan,4876,XDG,248,XK,city,,,42.50722000,20.36278000,,2000,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160151,Lluka e Eperme,4876,XDG,248,XK,city,,,42.54500000,20.30778000,,1500,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160152,Strellc i Epërm,4876,XDG,248,XK,city,,,42.57843000,20.29398000,,6100,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160153,Isniq,4876,XDG,248,XK,city,,,42.55750000,20.30278000,,5500,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160154,Lëbushë,4876,XDG,248,XK,city,,,42.56306000,20.29083000,,1250,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160155,Lumbardhi,4876,XDG,248,XK,city,,,42.54667000,20.34667000,,1500,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160156,Orahovac,4876,XDG,248,XK,adm2,,,42.39944000,20.65472000,,22049,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160157,Prilep,4876,XDG,248,XK,city,,,42.50750000,20.31778000,,2500,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160158,Irzniq,4876,XDG,248,XK,city,,,42.52000000,20.34722000,,2200,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160159,Gjilan,4877,XGJ,248,XK,adm1,,,42.46045000,21.46986000,,51912,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160160,Klokot,4877,XGJ,248,XK,adm2,,,42.37139000,21.37444000,,2551,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160161,Kamenica,4877,XGJ,248,XK,adm2,,,42.57806000,21.58028000,,9312,Europe/Belgrade,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
