id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
160282,Labattoir,5402,01,141,YT,city,,,-12.77698000,45.28234000,,17739,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160283,Dzaoudzi,5402,01,141,YT,adm1,,,-12.78339000,45.25693000,,15339,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160284,Pamandzi,5403,02,141,YT,adm1,,,-12.79674000,45.27938000,,11442,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160285,Vahibé,5404,03,141,YT,city,,,-12.79024000,45.17707000,,6067,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160286,Tsoundzou 2,5404,03,141,YT,city,,,-12.81845000,45.19720000,,2559,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160287,Tsoundzou 1,5404,03,141,YT,city,,,-12.80615000,45.20230000,,5570,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160288,Mtsapéré,5404,03,141,YT,section,,,-12.78636000,45.21732000,,15880,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160289,Kavani,5404,03,141,YT,section,,,-12.78447000,45.22299000,,9740,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160290,Kaouéni,5404,03,141,YT,city,,,-12.77121000,45.22419000,,17060,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160291,Majikavo Lamir,5404,03,141,YT,city,,,-12.75572000,45.22968000,,2081,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160292,Combani,5404,03,141,YT,city,,,-12.80000000,45.16667000,,6665,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160293,Mamoudzou,5404,03,141,YT,capital,,,-12.78234000,45.22878000,,54831,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160294,Passamainty,5404,03,141,YT,city,,,-12.80201000,45.20818000,,8430,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160295,Hajangoua,5405,04,141,YT,city,,,-12.86607000,45.19857000,,2130,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160296,Iloni,5405,04,141,YT,city,,,-12.84553000,45.19037000,,2970,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160297,Ongojou,5405,04,141,YT,city,,,-12.83883000,45.16012000,,2111,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160298,Tsararano,5405,04,141,YT,city,,,-12.83528000,45.17355000,,4838,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160299,Dembeni,5405,04,141,YT,adm1,,,-12.84360000,45.18436000,,10141,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160300,Mtsamoudou,5406,05,141,YT,city,,,-12.96232000,45.17449000,,1923,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160301,Nyambadao,5406,05,141,YT,city,,,-12.89346000,45.20214000,,1692,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160302,Bandrele,5406,05,141,YT,adm1,,,-12.91276000,45.19256000,,6350,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160303,Hamouro,5406,05,141,YT,city,,,-12.88130000,45.21494000,,1050,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160304,Kani-Kéli,5407,06,141,YT,adm1,,,-12.95361000,45.10333000,,4854,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160305,Bouéni,5408,07,141,YT,adm1,,,-12.90250000,45.07611000,,5334,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160306,Mouanatrindri,5408,07,141,YT,city,,,-12.89960000,45.09792000,,1054,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160307,Mzouazia,5408,07,141,YT,city,,,-12.92717000,45.10336000,,1159,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160308,Tsimkoura,5409,08,141,YT,city,,,-12.93934000,45.13739000,,1406,Indian/Mayotte,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
