id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
131015,Adelaide,938,EC,204,ZA,adm3,,,-32.70747000,26.29564000,Adelaide,14606,Africa/Johannesburg,"{""br"":""Adelaide"",""ko"":""애들레이드"",""pt-BR"":""Adelaide"",""pt"":""Adelaide"",""nl"":""Adelaide"",""hr"":""Adelaide"",""fa"":""آدلاید"",""de"":""Adelaide"",""es"":""Adelaida"",""fr"":""Adélaïde"",""ja"":""アデレード"",""it"":""Adelaide"",""zh-CN"":""阿德莱德"",""tr"":""Adelaide"",""ru"":""Аделаида"",""uk"":""Аделаїда"",""pl"":""Adelaida"",""hi"":""एडीलेड"",""ar"":""أديلايد""}",2019-10-06T10:37:23,2025-12-02T14:38:56,1,Q353952
131016,Albertina,939,WC,204,ZA,city,,,-34.20544000,21.58001000,Albertine,7634,Africa/Johannesburg,"{""br"":""Albertina"",""ko"":""알베르티나"",""pt-BR"":""Albertina"",""pt"":""Albertina"",""nl"":""Albertina"",""hr"":""Albertina"",""fa"":""آلبرتینا"",""de"":""Albertina"",""es"":""Albertina"",""fr"":""Albertine"",""ja"":""アルベルティーナ"",""it"":""Albertina"",""zh-CN"":""阿尔贝蒂娜"",""tr"":""Albertina"",""ru"":""Альбертина"",""uk"":""Альбертіна"",""pl"":""Albertina"",""hi"":""अल्बर्टीना"",""ar"":""ألبرتينا""}",2019-10-06T10:37:23,2025-12-02T14:39:31,1,Q2549949
131017,Alberton,936,GP,204,ZA,city,,,-26.26786000,28.12225000,Alberton,121536,Africa/Johannesburg,"{""br"":""Alberton"",""ko"":""알버튼"",""pt-BR"":""Alberto"",""pt"":""Alberto"",""nl"":""Alberton"",""hr"":""Alberton"",""fa"":""آلبرتون"",""de"":""Alberton"",""es"":""Alberton"",""fr"":""Alberton"",""ja"":""アルバートン"",""it"":""Alberton"",""zh-CN"":""阿尔伯顿"",""tr"":""Alberton"",""ru"":""Альбертон"",""uk"":""Альбертон"",""pl"":""Alberton"",""hi"":""अल्बर्टन"",""ar"":""ألبرتون""}",2019-10-06T10:37:23,2025-12-02T14:38:56,1,Q1637702
131018,Alfred Nzo,938,EC,204,ZA,municipality,,,-30.66803000,29.15490000,Alfred Nzo District Municipality,867864,Africa/Johannesburg,"{""br"":""Kumuniezh-kumunioù Alfred Nzo"",""ko"":""알프레드 은조 지구 자치단체"",""pt-BR"":""Município do Distrito de Alfred Nzo"",""pt"":""Município do Distrito de Alfred Nzo"",""nl"":""Gemeente Alfred Nzo District"",""hr"":""Općina Alfred Nzo"",""fa"":""شهرداری ناحیه آلفرد نزو"",""de"":""Alfred Nzo District Municipality"",""es"":""Municipalidad del distrito de Alfred Nzo"",""fr"":""Municipalité du district d'Alfred Nzo"",""ja"":""アルフレッド・ンゾ地区自治体"",""it"":""Comune distrettuale di Alfred Nzo"",""zh-CN"":""阿尔弗雷德·恩佐区市政厅"",""tr"":""Alfred Nzo İlçe Belediyesi"",""ru"":""Муниципалитет округа Альфред-Нзо"",""uk"":""Муніципалітет району Альфреда Нзо"",""pl"":""Gmina dystryktowa Alfred Nzo"",""hi"":""अल्फ्रेड न्ज़ो जिला नगर पालिका"",""ar"":""بلدية منطقة ألفريد نزو""}",2019-10-06T10:37:23,2025-12-02T17:16:15,1,Q1664120
131019,Alice,938,EC,204,ZA,city,,,-32.78749000,26.83440000,Alice,18141,Africa/Johannesburg,"{""br"":""Alice"",""ko"":""앨리스"",""pt-BR"":""Alice"",""pt"":""Alice"",""nl"":""Alice"",""hr"":""Alisa"",""fa"":""آلیس"",""de"":""Alice"",""es"":""Alicia"",""fr"":""Alice"",""ja"":""アリス"",""it"":""Alice"",""zh-CN"":""爱丽丝"",""tr"":""Alice"",""ru"":""Алиса"",""uk"":""Аліса"",""pl"":""Alicja"",""hi"":""ऐलिस"",""ar"":""أليس""}",2019-10-06T10:37:23,2025-12-02T14:38:56,1,Q2003910
131020,Aliwal North,938,EC,204,ZA,adm3,,,-30.69366000,26.71141000,Aliwal North,44436,Africa/Johannesburg,"{""br"":""Alial Norzh"",""ko"":""알리왈 노스"",""pt-BR"":""Aliwal Norte"",""pt"":""Aliwal Norte"",""nl"":""Aliwal Noord"",""hr"":""Aliwal Sjever"",""fa"":""علیوال شمالی"",""de"":""Aliwal Nord"",""es"":""Aliwal Norte"",""fr"":""Aliwal Nord"",""ja"":""アリワル・ノース"",""it"":""Aliwal Nord"",""zh-CN"":""北阿里瓦尔"",""tr"":""Aliwal Kuzey"",""ru"":""Аливал Норт"",""uk"":""Алівал Норт"",""pl"":""Aliwal Północ"",""hi"":""अलीवाल उत्तर"",""ar"":""عليوال نورث""}",2019-10-06T10:37:23,2025-12-02T14:38:56,1,Q2143142
131021,Allanridge,932,FS,204,ZA,city,,,-27.75431000,26.64382000,Allanridge,31700,Africa/Johannesburg,"{""br"":""Allanridge"",""ko"":""앨런리지"",""pt-BR"":""Allanridge"",""pt"":""Allanridge"",""nl"":""Allanridge"",""hr"":""Allanridge"",""fa"":""آلانریج"",""de"":""Allanridge"",""es"":""Allanridge"",""fr"":""Allanridge"",""ja"":""アランリッジ"",""it"":""Allanridge"",""zh-CN"":""阿兰里奇"",""tr"":""Allanridge"",""ru"":""Алланридж"",""uk"":""Алланрідж"",""pl"":""Allanridge"",""hi"":""एलनरिज"",""ar"":""ألانريدج""}",2019-10-06T10:37:23,2025-12-02T14:38:56,1,Q2331526
131022,Amajuba,935,KZN,204,ZA,municipality,,,-27.73558000,30.13537000,Amajuba District Municipality,531327,Africa/Johannesburg,"{""br"":""Kumuniezh-kumunioù distrig Amajuba"",""ko"":""아마주바 지구 자치체"",""pt-BR"":""Município do Distrito de Amajuba"",""pt"":""Município do Distrito de Amajuba"",""nl"":""Gemeente Amajuba District"",""hr"":""Općina Amajuba"",""fa"":""شهرداری ناحیه آماجوبا"",""de"":""Gemeindebezirk Amajuba"",""es"":""Municipio del distrito de Amajuba"",""fr"":""Municipalité du district d'Amajuba"",""ja"":""アマジュバ地区自治体"",""it"":""Comune distrettuale di Amajuba"",""zh-CN"":""阿马朱巴区自治市"",""tr"":""Amajuba İlçe Belediyesi"",""ru"":""Муниципалитет района Амаджуба"",""uk"":""Муніципалітет району Амаджуба"",""pl"":""Gmina dystryktowa Amajuba"",""hi"":""अमाजुबा जिला नगर पालिका"",""ar"":""بلدية منطقة أماجوبا""}",2019-10-06T10:37:23,2025-12-02T17:30:09,1,Q452565
131023,Amathole,938,EC,204,ZA,municipality,,,-32.55895000,27.45919000,Amathole District Municipality,880790,Africa/Johannesburg,"{""br"":""Kumuniezh-kumunioù distrig Amathole"",""ko"":""아마톨레 지방 자치 단체"",""pt-BR"":""Município do Distrito de Amathole"",""pt"":""Município do Distrito de Amathole"",""nl"":""Gemeente Amathole District"",""hr"":""Općina Amathole"",""fa"":""شهرداری ناحیه آماتول"",""de"":""Gemeinde Amathole"",""es"":""Municipio del distrito de Amathole"",""fr"":""Municipalité du district d'Amathole"",""ja"":""アマトール地区自治体"",""it"":""Comune distrettuale di Amathole"",""zh-CN"":""阿马托勒区自治市"",""tr"":""Amathole İlçe Belediyesi"",""ru"":""Муниципалитет округа Аматоле"",""uk"":""Муніципалітет району Аматхоле"",""pl"":""Gmina dystryktowa Amathole"",""hi"":""अमाथोले जिला नगर पालिका"",""ar"":""بلدية منطقة أماثول""}",2019-10-06T10:37:23,2025-12-02T17:30:09,1,Q455705
131024,Arniston,939,WC,204,ZA,city,,,-34.66739000,20.23086000,Arniston,1518,Africa/Johannesburg,"{""br"":""Arniston"",""ko"":""아르니스톤"",""pt-BR"":""Arniston"",""pt"":""Arniston"",""nl"":""Arniston"",""hr"":""Arniston"",""fa"":""آرنیستون"",""de"":""Arniston"",""es"":""Arnistón"",""fr"":""Arniston"",""ja"":""アーニストン"",""it"":""Arniston"",""zh-CN"":""阿尼斯顿"",""tr"":""Arniston"",""ru"":""Арнистон"",""uk"":""Арністон"",""pl"":""Arniston"",""hi"":""अर्निस्टन"",""ar"":""أرنيستون""}",2019-10-06T10:37:23,2025-12-02T14:38:56,1,Q694016
