id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
131329,Chadiza,1991,03,246,ZM,city,,,-14.06779000,32.43917000,Chadiza,3690,Africa/Lusaka,"{""br"":""Chadiza"",""ko"":""차디자"",""pt-BR"":""Chadiza"",""pt"":""Chadiza"",""nl"":""Chadiza"",""hr"":""Čadiza"",""fa"":""چادیزا"",""de"":""Chadiza"",""es"":""Chadiza"",""fr"":""Chadiza"",""ja"":""チャディザ"",""it"":""Chadiza"",""zh-CN"":""查迪扎"",""tr"":""Çadiza"",""ru"":""Чадиза"",""uk"":""Чадіза"",""pl"":""Chadiza"",""hi"":""चादिज़ा"",""ar"":""تشاديزا""}",2019-10-06T10:37:24,2025-12-02T14:39:31,1,Q1058666
131330,Chama,1989,10,246,ZM,city,,,-11.21303000,33.15210000,Party,12923,Africa/Lusaka,"{""br"":""Chama"",""ko"":""차마"",""pt-BR"":""Chama"",""pt"":""Chama"",""nl"":""Chama"",""hr"":""Čama"",""fa"":""چاما"",""de"":""Chama"",""es"":""Chama"",""fr"":""Chama"",""ja"":""チャマ"",""it"":""Chama"",""zh-CN"":""查马"",""tr"":""Chama"",""ru"":""Чама"",""uk"":""Чама"",""pl"":""Czama"",""hi"":""चामा"",""ar"":""تشاما""}",2019-10-06T10:37:24,2025-12-02T14:39:31,1,Q1060403
131331,Chambishi,1984,08,246,ZM,city,,,-12.63247000,28.05367000,Spectacular,34888,Africa/Lusaka,"{""br"":""Chambishi"",""ko"":""참비시"",""pt-BR"":""Chambishi"",""pt"":""Chambishi"",""nl"":""Chambishi"",""hr"":""Čambiši"",""fa"":""چامبیشی"",""de"":""Chambishi"",""es"":""Chambishi"",""fr"":""Chambishi"",""ja"":""チャンビシ"",""it"":""Chambishi"",""zh-CN"":""谦比希"",""tr"":""Chambishi"",""ru"":""Чамбиши"",""uk"":""Чамбіші"",""pl"":""Chambishi"",""hi"":""चंबिशी"",""ar"":""تشامبيشي""}",2019-10-06T10:37:24,2025-12-02T14:39:31,1,Q1060403
131332,Chibombo,1986,02,246,ZM,city,,,-14.65685000,28.07057000,B lamb,4310,Africa/Lusaka,"{""br"":""Chibombo"",""ko"":""치봄보"",""pt-BR"":""Chibombo"",""pt"":""Chibombo"",""nl"":""Chibombo"",""hr"":""Čibombo"",""fa"":""چیبومبو"",""de"":""Chibombo"",""es"":""Chibombo"",""fr"":""Chibombo"",""ja"":""チボンボ"",""it"":""Chibombo"",""zh-CN"":""奇邦博"",""tr"":""Chibombo"",""ru"":""Чибомбо"",""uk"":""Чібомбо"",""pl"":""Chibombo"",""hi"":""चिबोम्बो"",""ar"":""تشيبومبو""}",2019-10-06T10:37:24,2025-12-02T14:38:56,1,Q1071771
131333,Chibombo District,1986,02,246,ZM,district,,,-14.65808000,28.07376000,Chibombo District,4477,Africa/Lusaka,"{""br"":""Distrig Chibombo"",""ko"":""치봄보 지구"",""pt-BR"":""Distrito de Chibombo"",""pt"":""Distrito de Chibombo"",""nl"":""Chibombo-district"",""hr"":""Okrug Čibombo"",""fa"":""ناحیه چیبومبو"",""de"":""Bezirk Chibombo"",""es"":""Distrito de Chibombo"",""fr"":""District de Chibombo"",""ja"":""チボンボ地区"",""it"":""Distretto di Chibombo"",""zh-CN"":""奇邦博区"",""tr"":""Chibombo Bölgesi"",""ru"":""Район Чибомбо"",""uk"":""Район Чібомбо"",""pl"":""Dystrykt Chibombo"",""hi"":""चिबोम्बो जिला"",""ar"":""منطقة تشيبومبو""}",2019-10-06T10:37:24,2025-12-02T17:30:38,1,Q595913
131334,Chililabombwe,1984,08,246,ZM,city,,,-12.36475000,27.82286000,Chisabomwe,141899,Africa/Lusaka,"{""br"":""Chililabombwe"",""ko"":""칠릴라봄브웨"",""pt-BR"":""Chililabombwe"",""pt"":""Chililabombwe"",""nl"":""Chililabombwe"",""hr"":""Čililabombve"",""fa"":""چیلیلابومبوه"",""de"":""Chililabombwe"",""es"":""Chililabombwe"",""fr"":""Chililabombwe"",""ja"":""チリラボンブウェ"",""it"":""Chililabombwe"",""zh-CN"":""奇利拉邦布韦"",""tr"":""Chililabombwe"",""ru"":""Чилилабомбве"",""uk"":""Чілілабомбе"",""pl"":""Chililabombwe"",""hi"":""चिलीलाबोम्ब्वे"",""ar"":""تشيليلابومبوي""}",2019-10-06T10:37:24,2025-12-02T14:38:56,1,Q993200
131335,Chingola,1984,08,246,ZM,adm2,,,-12.52897000,27.88382000,Broke,255000,Africa/Lusaka,"{""br"":""Chingola"",""ko"":""칭골라"",""pt-BR"":""Chingola"",""pt"":""Chingola"",""nl"":""Chingola"",""hr"":""Čingola"",""fa"":""چینگولا"",""de"":""Chingola"",""es"":""Chingola"",""fr"":""Chingola"",""ja"":""チンゴラ"",""it"":""Chingola"",""zh-CN"":""钦戈拉"",""tr"":""Çingola"",""ru"":""Чингола"",""uk"":""Чінгола"",""pl"":""Chingola"",""hi"":""चिंगोला"",""ar"":""تشينغولا""}",2019-10-06T10:37:24,2025-12-02T14:38:56,1,Q431533
131336,Chingola District,1984,08,246,ZM,district,,,-12.48478000,27.66313000,Chingola District,299936,Africa/Lusaka,"{""br"":""Distrig Chingola"",""ko"":""칭골라 지구"",""pt-BR"":""Distrito de Chingola"",""pt"":""Distrito de Chingola"",""nl"":""Chingola-district"",""hr"":""Okrug Čingola"",""fa"":""ناحیه چینگولا"",""de"":""Chingola-Distrikt"",""es"":""Distrito de Chingola"",""fr"":""District de Chingola"",""ja"":""チンゴラ地区"",""it"":""Distretto di Chingola"",""zh-CN"":""钦戈拉区"",""tr"":""Chingola Bölgesi"",""ru"":""Район Чингола"",""uk"":""Район Чінгола"",""pl"":""Dzielnica Chingola"",""hi"":""चिंगोला जिला"",""ar"":""منطقة تشينغولا""}",2019-10-06T10:37:24,2025-12-02T17:30:38,1,Q3031128
131337,Chinsali,1989,10,246,ZM,adm1,,,-10.54142000,32.08162000,Chin,38805,Africa/Lusaka,"{""br"":""Chinsali"",""ko"":""친살리"",""pt-BR"":""Chinsali"",""pt"":""Chinsali"",""nl"":""Chinsali"",""hr"":""Činsali"",""fa"":""چینسالی"",""de"":""Chinsali"",""es"":""Chinsali"",""fr"":""Chinsali"",""ja"":""チンサリ"",""it"":""Chinsali"",""zh-CN"":""钦萨利"",""tr"":""Çinsali"",""ru"":""Чинсали"",""uk"":""Чинсалі"",""pl"":""Chinsali"",""hi"":""चिनसाली"",""ar"":""تشينسالي""}",2019-10-06T10:37:24,2025-12-02T14:39:31,1,Q1074444
131338,Chipata,1991,03,246,ZM,adm1,,,-13.63333000,32.65000000,Gate,327059,Africa/Lusaka,"{""br"":""Chipata"",""ko"":""치파타"",""pt-BR"":""Chipata"",""pt"":""Chipata"",""nl"":""Chipata"",""hr"":""Čipata"",""fa"":""چیپاتا"",""de"":""Chipata"",""es"":""Chipata"",""fr"":""Chipata"",""ja"":""チパタ"",""it"":""Chipata"",""zh-CN"":""奇帕塔"",""tr"":""Çipata"",""ru"":""Чипата"",""uk"":""Чіпата"",""pl"":""Chipata"",""hi"":""चिपाटा"",""ar"":""شيباتا""}",2019-10-06T10:37:24,2025-12-02T14:38:56,1,Q856151
