id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
131400,Banket,1953,MW,247,ZW,city,,,-17.38333000,30.40000000,Knocked,9845,Africa/Harare,"{""br"":""Bank"",""ko"":""방켓"",""pt-BR"":""Banco"",""pt"":""Banco"",""nl"":""Banket"",""hr"":""Banket"",""fa"":""بانکت"",""de"":""Bankett"",""es"":""Banco"",""fr"":""Banque"",""ja"":""バンケット"",""it"":""Banket"",""zh-CN"":""班克特"",""tr"":""Banket"",""ru"":""Банкет"",""uk"":""Банкет"",""pl"":""Banket"",""hi"":""बैंकेट"",""ar"":""بانكيت""}",2019-10-06T10:37:25,2025-12-02T14:38:56,1,Q4856279
131401,Beatrice,1951,ME,247,ZW,city,,,-18.25283000,30.84730000,Beatrice,1647,Africa/Harare,"{""br"":""Beatrice"",""ko"":""베아트리스"",""pt-BR"":""Beatriz"",""pt"":""Beatriz"",""nl"":""Beatrice"",""hr"":""Beatrice"",""fa"":""بئاتریس"",""de"":""Beatrice"",""es"":""Beatriz"",""fr"":""Béatrice"",""ja"":""ベアトリス"",""it"":""Beatrice"",""zh-CN"":""比阿特丽斯"",""tr"":""Beatrice"",""ru"":""Беатрис"",""uk"":""Беатріс"",""pl"":""Beatrycze"",""hi"":""बीट्राइस"",""ar"":""بياتريس""}",2019-10-06T10:37:25,2025-12-02T14:38:56,1,Q31879111
131402,Beitbridge,1952,MS,247,ZW,city,,,-22.21667000,30.00000000,Beitbridge,58574,Africa/Harare,"{""br"":""Beitbridge"",""ko"":""베이트브리지"",""pt-BR"":""Beitbridge"",""pt"":""Beitbridge"",""nl"":""Beitbridge"",""hr"":""Beitbridge"",""fa"":""بیت‌بریج"",""de"":""Beitbridge"",""es"":""Beitbridge"",""fr"":""Beitbridge"",""ja"":""ベイトブリッジ"",""it"":""Beitbridge"",""zh-CN"":""贝特布里奇"",""tr"":""Beyt Köprüsü"",""ru"":""Бейтбридж"",""uk"":""Бейтбрідж"",""pl"":""Beitbridge"",""hi"":""बीटब्रिज"",""ar"":""بيتبريدج""}",2019-10-06T10:37:25,2025-12-02T14:39:31,1,Q814922
131403,Beitbridge District,1952,MS,247,ZW,district,,,-21.89829000,30.07409000,Beitbridge District,111283,Africa/Harare,"{""br"":""Distrig Beitbridge"",""ko"":""베이트브리지 지구"",""pt-BR"":""Distrito de Beitbridge"",""pt"":""Distrito de Beitbridge"",""nl"":""Beitbridge District"",""hr"":""Okrug Beitbridge"",""fa"":""ناحیه بیت‌بریج"",""de"":""Bezirk Beitbridge"",""es"":""Distrito de Beitbridge"",""fr"":""District de Beitbridge"",""ja"":""ベイトブリッジ地区"",""it"":""Distretto di Beitbridge"",""zh-CN"":""贝特布里奇区"",""tr"":""Beitbridge Bölgesi"",""ru"":""Район Бейтбридж"",""uk"":""Район Бейтбрідж"",""pl"":""Dzielnica Beitbridge"",""hi"":""बीटब्रिज जिला"",""ar"":""منطقة بيتبريدج""}",2019-10-06T10:37:25,2025-12-02T17:30:38,1,Q4881482
131404,Bikita,1960,MV,247,ZW,district,,,-20.13752000,31.93156000,Bikita District,157084,Africa/Harare,"{""br"":""Distrig Bikita"",""ko"":""비키타 지구"",""pt-BR"":""Distrito de Bikita"",""pt"":""Distrito de Bikita"",""nl"":""Bikita-district"",""hr"":""Okrug Bikita"",""fa"":""ناحیه بیکیتا"",""de"":""Distrikt Bikita"",""es"":""Distrito de Bikita"",""fr"":""District de Bikita"",""ja"":""ビキタ地区"",""it"":""Distretto di Bikita"",""zh-CN"":""比基塔区"",""tr"":""Bikita Bölgesi"",""ru"":""Район Бикита"",""uk"":""Район Бікіта"",""pl"":""Dzielnica Bikita"",""hi"":""बिकिता जिला"",""ar"":""منطقة بيكيتا""}",2019-10-06T10:37:25,2025-12-02T17:03:53,1,Q4907418
131405,Bindura,1955,MC,247,ZW,adm1,,,-17.30192000,31.33056000,Change,46275,Africa/Harare,"{""br"":""Bindura"",""ko"":""빈두라"",""pt-BR"":""Bindura"",""pt"":""Bindura"",""nl"":""Bindura"",""hr"":""Bindura"",""fa"":""بیندورا"",""de"":""Bindura"",""es"":""Bindura"",""fr"":""Bindura"",""ja"":""ビンデュラ"",""it"":""Bindura"",""zh-CN"":""宾杜拉"",""tr"":""Bindura"",""ru"":""Биндура"",""uk"":""Біндура"",""pl"":""Bindura"",""hi"":""बिंदुरा"",""ar"":""بيندورا""}",2019-10-06T10:37:25,2025-12-02T14:38:56,1,Q863727
131406,Bindura District,1955,MC,247,ZW,district,,,-17.21230000,31.30300000,Bindura District,156842,Africa/Harare,"{""br"":""Distrig Bindura"",""ko"":""빈두라 지구"",""pt-BR"":""Distrito de Bindura"",""pt"":""Distrito de Bindura"",""nl"":""Bindura-district"",""hr"":""Okrug Bindura"",""fa"":""ناحیه بیندورا"",""de"":""Bezirk Bindura"",""es"":""Distrito de Bindura"",""fr"":""District de Bindura"",""ja"":""ビンデュラ地区"",""it"":""Distretto di Bindura"",""zh-CN"":""宾杜拉区"",""tr"":""Bindura Bölgesi"",""ru"":""Район Биндура"",""uk"":""Район Біндура"",""pl"":""Dystrykt Bindura"",""hi"":""बिंदुरा जिला"",""ar"":""منطقة بيندورا""}",2019-10-06T10:37:25,2025-12-02T17:30:38,1,Q863727
131407,Binga,1954,MN,247,ZW,city,,,-17.62027000,27.34139000,Binder,4327,Africa/Harare,"{""br"":""Binga"",""ko"":""빙가"",""pt-BR"":""Binga"",""pt"":""Binga"",""nl"":""Binga"",""hr"":""Binga"",""fa"":""بینگا"",""de"":""Binga"",""es"":""Binga"",""fr"":""Binga"",""ja"":""ビンガ"",""it"":""Binga"",""zh-CN"":""宾加"",""tr"":""Binga"",""ru"":""Бинга"",""uk"":""Бінга"",""pl"":""Binga"",""hi"":""बिंगा"",""ar"":""بينغا""}",2019-10-06T10:37:25,2025-12-02T14:38:56,1,Q31880578
131408,Binga District,1954,MN,247,ZW,district,,,-17.80460000,27.70088000,Binga district,129421,Africa/Harare,"{""br"":""Distrig Binga"",""ko"":""빙가 지구"",""pt-BR"":""Distrito de Binga"",""pt"":""Distrito de Binga"",""nl"":""Binga-district"",""hr"":""Okrug Binga"",""fa"":""ناحیه بینگا"",""de"":""Bezirk Binga"",""es"":""Distrito de Binga"",""fr"":""District de Binga"",""ja"":""ビンガ地区"",""it"":""Distretto di Binga"",""zh-CN"":""宾加区"",""tr"":""Binga Bölgesi"",""ru"":""Район Бинга"",""uk"":""Район Бінга"",""pl"":""Dzielnica Binga"",""hi"":""बिंगा जिला"",""ar"":""منطقة بينغا""}",2019-10-06T10:37:25,2025-12-02T17:30:38,1,Q863750
131409,Bubi,1954,MN,247,ZW,district,,,-19.52508000,28.67998000,Bubi District,51504,Africa/Harare,"{""br"":""Distrig Bubi"",""ko"":""부비 지구"",""pt-BR"":""Distrito de Bubi"",""pt"":""Distrito de Bubi"",""nl"":""Bubi-district"",""hr"":""Okrug Bubi"",""fa"":""ناحیه بوبی"",""de"":""Bezirk Bubi"",""es"":""Distrito de Bubi"",""fr"":""District de Bubi"",""ja"":""ブビ地区"",""it"":""Distretto di Bubi"",""zh-CN"":""布比区"",""tr"":""Bubi İlçesi"",""ru"":""Район Буби"",""uk"":""Район Бубі"",""pl"":""Dystrykt Bubi"",""hi"":""बुबी जिला"",""ar"":""منطقة بوبي""}",2019-10-06T10:37:25,2025-12-02T17:03:53,1,Q4982301
