name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,wikiDataId
Acadia,1457,LA,233,US,parish,,,30.29053000,-92.41198000,Acadia Parish,57576,America/Chicago,"{""br"":""Parrez Akadia"",""ko"":""아카디아 교구"",""pt-BR"":""Paróquia de Acadia"",""pt"":""Paróquia de Acadia"",""nl"":""Acadia Parochie"",""hr"":""Župa Acadia"",""fa"":""پریش آکادیا"",""de"":""Acadia Parish"",""es"":""Parroquia de Acadia"",""fr"":""Paroisse d'Acadie"",""ja"":""アカディア教区"",""it"":""Parrocchia di Acadia"",""zh-CN"":""阿卡迪亚教区"",""tr"":""Acadia Mahallesi"",""ru"":""Приход Акадия"",""uk"":""Парафія Акадія"",""pl"":""Parafia Acadia"",""hi"":""अकाडिया पैरिश"",""ar"":""أبرشية أكاديا""}",Q337402
Accomack,1427,VA,233,US,county,,,37.76494000,-75.75656000,Accomack County,33413,America/New_York,"{""br"":""Kontelezh Accomack"",""ko"":""아코맥 카운티"",""pt-BR"":""Condado de Accomack"",""pt"":""Condado de Accomack"",""nl"":""Accomack County"",""hr"":""Okrug Accomack"",""fa"":""شهرستان آکوماک"",""de"":""Accomack County"",""es"":""Condado de Accomack"",""fr"":""Comté d'Accomack"",""ja"":""アコマック郡"",""it"":""Contea di Accomack"",""zh-CN"":""阿可麦克县"",""tr"":""Accomack İlçesi"",""ru"":""Округ Аккомак"",""uk"":""Округ Аккомак"",""pl"":""Hrabstwo Accomack"",""hi"":""एकोमैक काउंटी"",""ar"":""مقاطعة أكوماك""}",Q49289
Ada,1460,ID,233,US,county,,,43.45112000,-116.24109000,There is a county,494967,America/Denver,"{""br"":""Kontelezh Ada"",""ko"":""에이다 카운티"",""pt-BR"":""Condado de Ada"",""pt"":""Condado de Ada"",""nl"":""Ada County"",""hr"":""Okrug Ada"",""fa"":""شهرستان آدا"",""de"":""Landkreis Ada"",""es"":""Condado de Ada"",""fr"":""Comté d'Ada"",""ja"":""エイダ郡"",""it"":""Contea di Ada"",""zh-CN"":""艾达县"",""tr"":""Ada İlçesi"",""ru"":""Округ Ада"",""uk"":""Округ Ада"",""pl"":""Hrabstwo Ada"",""hi"":""एडा काउंटी"",""ar"":""مقاطعة آدا""}",Q109820
Adair,1419,KY,233,US,county,,,37.10416000,-85.28065000,Adair County,25314,America/Chicago,"{""br"":""Kontelezh Adair"",""ko"":""에이다 카운티"",""pt-BR"":""Condado de Adair"",""pt"":""Condado de Adair"",""nl"":""Adair County"",""hr"":""Okrug Adair"",""fa"":""شهرستان آدیر"",""de"":""Adair County"",""es"":""Condado de Adair"",""fr"":""Comté d'Adair"",""ja"":""アデア郡"",""it"":""Contea di Adair"",""zh-CN"":""阿代尔县"",""tr"":""Adair İlçesi"",""ru"":""Округ Адэр"",""uk"":""Округ Адайр"",""pl"":""Hrabstwo Adair"",""hi"":""अडायर काउंटी"",""ar"":""مقاطعة أداير""}",Q181967
Adair,1421,OK,233,US,county,,,35.88393000,-94.65868000,Adair County,25314,America/Chicago,"{""br"":""Kontelezh Adair"",""ko"":""에이다 카운티"",""pt-BR"":""Condado de Adair"",""pt"":""Condado de Adair"",""nl"":""Adair County"",""hr"":""Okrug Adair"",""fa"":""شهرستان آدیر"",""de"":""Adair County"",""es"":""Condado de Adair"",""fr"":""Comté d'Adair"",""ja"":""アデア郡"",""it"":""Contea di Adair"",""zh-CN"":""阿代尔县"",""tr"":""Adair İlçesi"",""ru"":""Округ Адэр"",""uk"":""Округ Адайр"",""pl"":""Hrabstwo Adair"",""hi"":""अडायर काउंटी"",""ar"":""مقاطعة أداير""}",Q346959
Adair,1459,IA,233,US,county,,,41.33075000,-94.47094000,Adair County,25314,America/Chicago,"{""br"":""Kontelezh Adair"",""ko"":""에이다 카운티"",""pt-BR"":""Condado de Adair"",""pt"":""Condado de Adair"",""nl"":""Adair County"",""hr"":""Okrug Adair"",""fa"":""شهرستان آدیر"",""de"":""Adair County"",""es"":""Condado de Adair"",""fr"":""Comté d'Adair"",""ja"":""アデア郡"",""it"":""Contea di Adair"",""zh-CN"":""阿代尔县"",""tr"":""Adair İlçesi"",""ru"":""Округ Адэр"",""uk"":""Округ Адайр"",""pl"":""Hrabstwo Adair"",""hi"":""अडायर काउंटी"",""ar"":""مقاطعة أداير""}",Q115316
Adair,1451,MO,233,US,county,,,40.19056000,-92.60072000,Adair County,25314,America/Chicago,"{""br"":""Kontelezh Adair"",""ko"":""에이다 카운티"",""pt-BR"":""Condado de Adair"",""pt"":""Condado de Adair"",""nl"":""Adair County"",""hr"":""Okrug Adair"",""fa"":""شهرستان آدیر"",""de"":""Adair County"",""es"":""Condado de Adair"",""fr"":""Comté d'Adair"",""ja"":""アデア郡"",""it"":""Contea di Adair"",""zh-CN"":""阿代尔县"",""tr"":""Adair İlçesi"",""ru"":""Округ Адэр"",""uk"":""Округ Адайр"",""pl"":""Hrabstwo Adair"",""hi"":""अडायर काउंटी"",""ar"":""مقاطعة أداير""}",Q346925
Adams County,1425,IL,233,US,county,,,39.98789000,-91.18849000,Adams County,20613,America/Chicago,"{""br"":""Kontelezh Adams"",""ko"":""애덤스 카운티"",""pt-BR"":""Condado de Adams"",""pt"":""Condado de Adams"",""nl"":""Adams County"",""hr"":""Okrug Adams"",""fa"":""شهرستان آدامز"",""de"":""Adams County"",""es"":""Condado de Adams"",""fr"":""Comté d'Adams"",""ja"":""アダムズ郡"",""it"":""Contea di Adams"",""zh-CN"":""亚当斯县"",""tr"":""Adams İlçesi"",""ru"":""округ Адамс"",""uk"":""Округ Адамс"",""pl"":""Hrabstwo Adams"",""hi"":""एडम्स काउंटी"",""ar"":""مقاطعة آدامز""}",Q108798
Adams County,1430,MS,233,US,county,,,31.48294000,-91.35350000,Adams County,20613,America/Chicago,"{""br"":""Kontelezh Adams"",""ko"":""애덤스 카운티"",""pt-BR"":""Condado de Adams"",""pt"":""Condado de Adams"",""nl"":""Adams County"",""hr"":""Okrug Adams"",""fa"":""شهرستان آدامز"",""de"":""Adams County"",""es"":""Condado de Adams"",""fr"":""Comté d'Adams"",""ja"":""アダムズ郡"",""it"":""Contea di Adams"",""zh-CN"":""亚当斯县"",""tr"":""Adams İlçesi"",""ru"":""округ Адамс"",""uk"":""Округ Адамс"",""pl"":""Hrabstwo Adams"",""hi"":""एडम्स काउंटी"",""ar"":""مقاطعة آدامز""}",Q108788
Adams County,1422,PA,233,US,county,,,39.87145000,-77.21789000,Adams County,20613,America/New_York,"{""br"":""Kontelezh Adams"",""ko"":""애덤스 카운티"",""pt-BR"":""Condado de Adams"",""pt"":""Condado de Adams"",""nl"":""Adams County"",""hr"":""Okrug Adams"",""fa"":""شهرستان آدامز"",""de"":""Adams County"",""es"":""Condado de Adams"",""fr"":""Comté d'Adams"",""ja"":""アダムズ郡"",""it"":""Contea di Adams"",""zh-CN"":""亚当斯县"",""tr"":""Adams İlçesi"",""ru"":""округ Адамс"",""uk"":""Округ Адамс"",""pl"":""Hrabstwo Adams"",""hi"":""एडम्स काउंटी"",""ar"":""مقاطعة آدامز""}",Q351865
