id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
41915,0200,14,AU,3907,ACT,,ANU,full,-35.27770000,149.11900000,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41916,0800,14,AU,3910,NT,,DARWIN,full,-12.45868400,130.83668000,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41917,0801,14,AU,3910,NT,,DARWIN,full,-12.45868400,130.83668000,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41918,0803,14,AU,3910,NT,,WAGAIT BEACH,full,-12.43399126,130.74590830,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41919,0804,14,AU,3910,NT,,PARAP,full,-12.42801700,130.87331500,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41920,0810,14,AU,3910,NT,,ALAWA,full,-12.38180600,130.86624200,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41921,0811,14,AU,3910,NT,,CASUARINA,full,-12.38180600,130.86624200,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41922,0812,14,AU,3910,NT,,ANULA,full,-12.39124885,130.89047000,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41923,0813,14,AU,3910,NT,,KARAMA,full,-12.40477800,130.91609800,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41924,0814,14,AU,3910,NT,,NIGHTCLIFF,full,-12.38180600,130.86624200,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41925,0815,14,AU,3910,NT,,CHARLES DARWIN UNIVERSITY,full,-12.37180000,130.86900000,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41926,0820,14,AU,3910,NT,,BAGOT,full,-12.42801700,130.87331500,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41927,0821,14,AU,3910,NT,,WINNELLIE,full,-13.64328300,136.94705100,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41928,0822,14,AU,3910,NT,,ACACIA HILLS,full,-11.75841975,130.62542990,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41929,0828,14,AU,3910,NT,,BERRIMAH,full,-12.43202400,130.93206800,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41930,0829,14,AU,3910,NT,,HOLTZE,full,-12.45763297,130.95976710,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41931,0830,14,AU,3910,NT,,ARCHER,full,-12.52139649,130.95807650,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41932,0831,14,AU,3910,NT,,PALMERSTON,full,-12.47507100,130.97487900,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41933,0832,14,AU,3910,NT,,BAKEWELL,full,-12.49684676,130.99365510,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41934,0834,14,AU,3910,NT,,VIRGINIA,full,-12.54686461,131.02348750,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41935,0835,14,AU,3910,NT,,Coolalinga,full,-12.52310000,131.04150000,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41936,0836,14,AU,3910,NT,,GIRRAWEEN,full,-12.52550000,131.09620000,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41937,0837,14,AU,3910,NT,,MANTON,full,-12.70476700,131.01664700,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41938,0838,14,AU,3910,NT,,BERRY SPRINGS,full,-12.71878122,131.00673480,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41939,0839,14,AU,3910,NT,,COOLALINGA,full,-12.52001124,131.04020170,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41940,0840,14,AU,3910,NT,,DUNDEE BEACH,full,-12.72451307,130.35293860,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41941,0841,14,AU,3910,NT,,DARWIN RIVER,full,-12.81922863,130.96986200,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41942,0845,14,AU,3910,NT,,BATCHELOR,full,-13.04511800,131.03847500,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41943,0846,14,AU,3910,NT,,ADELAIDE RIVER,full,-13.21029900,131.09500200,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41944,0847,14,AU,3910,NT,,PINE CREEK,full,-14.01212200,131.75915400,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41945,0850,14,AU,3910,NT,,COSSACK,full,-14.46369137,132.17210410,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41946,0851,14,AU,3910,NT,,KATHERINE,full,-15.71142400,137.05071900,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41947,0852,14,AU,3910,NT,,ARNOLD,full,-16.45258880,130.84186610,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
41948,0853,14,AU,3910,NT,,TINDAL,full,-14.53113365,132.37912170,australia-post,,2026-04-28T06:48:57,2026-04-28T06:48:57,1
