id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
660383,22100,2,AX,5287,01,,MARIEHAMN,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660384,22101,2,AX,5287,01,,MARIEHAMN,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660385,22110,2,AX,5287,01,,MARIEHAMN,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660386,22111,2,AX,5287,01,,MARIEHAMN,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660387,22120,2,AX,5287,01,,MARIEHAMN,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660388,22130,2,AX,5288,02,,"GOTTBY, Jomala",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660389,22140,2,AX,5288,02,,"MARIEHAMN, Jomala",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660390,22150,2,AX,5288,02,,JOMALA,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660391,22151,2,AX,5288,02,,JOMALA,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660392,22160,2,AX,5287,01,,MARIEHAMN,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660393,22220,2,AX,5289,03,,"EMKARBY, Finström",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660394,22240,2,AX,5292,06,,HAMMARLAND,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660395,22270,2,AX,5294,08,,ECKERÖ,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660396,22310,2,AX,5289,03,,"PÅLSBÖLE, Finström",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660397,22320,2,AX,5291,05,,"ÖDKARBY, Saltvik",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660398,22330,2,AX,5289,03,,"TJUDÖ, Finström",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660399,22340,2,AX,5296,10,,GETA,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660400,22410,2,AX,5289,03,,"GODBY, Finström",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660401,22411,2,AX,5289,03,,"GODBY, Finström",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660402,22430,2,AX,5291,05,,SALTVIK,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660403,22520,2,AX,5293,07,,"KASTELHOLM, Sund",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660404,22530,2,AX,5293,07,,SUND,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660405,22550,2,AX,5297,11,,VÅRDÖ,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660406,22610,2,AX,5290,04,,LEMLAND,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660407,22630,2,AX,5299,13,,LUMPARLAND,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660408,22710,2,AX,5295,09,,FÖGLÖ,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660409,22720,2,AX,5302,16,,SOTTUNGA,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660410,22730,2,AX,5301,15,,KÖKAR,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660411,22810,2,AX,5300,14,,"SEGLINGE, Kumlinge",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660412,22820,2,AX,5300,14,,KUMLINGE,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660413,22830,2,AX,5300,14,,"ENKLINGE, Kumlinge",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660414,22840,2,AX,5298,12,,"LAPPO, Brändö",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660415,22910,2,AX,5298,12,,"TORSHOLMA, Brändö",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660416,22920,2,AX,5298,12,,BRÄNDÖ,full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660417,22930,2,AX,5298,12,,"FISKÖ, Brändö",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660418,22940,2,AX,5298,12,,"ÅVA, Brändö",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660419,22950,2,AX,5298,12,,"JURMO, Brändö",full,,,posti-fi-pcf,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
