id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
48136,01000-000,31,BR,2021,SP,,São Paulo,full,-23.56738650,-46.57038318,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48137,06000-000,31,BR,2021,SP,,Osasco,full,-23.53361200,-46.78881014,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48138,06300-000,31,BR,2021,SP,,Carapicuíba,full,-23.53524950,-46.84144543,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48139,06400-000,31,BR,2021,SP,,Barueri,full,-23.50890200,-46.87465289,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48140,06500-000,31,BR,2021,SP,,Santana de Parnaíba,full,-23.44945300,-46.92209251,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48141,06550-000,31,BR,2021,SP,,Pirapora do Bom Jesus,full,-23.39752331,-47.00096757,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48142,06600-000,31,BR,2021,SP,,Jandira,full,-23.52993900,-46.90522114,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48143,06650-000,31,BR,2021,SP,,Itapevi,full,-23.54693400,-46.93337286,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48144,06700-000,31,BR,2021,SP,,Cotia,full,-23.60351400,-46.93184633,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48145,06730-000,31,BR,2021,SP,,Vargem Grande Paulista,full,-23.61530250,-47.01964778,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48146,06750-000,31,BR,2021,SP,,Taboão da Serra,full,-23.62332850,-46.78578003,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48147,06800-000,31,BR,2021,SP,,Embu das Artes,full,,,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48148,06850-000,31,BR,2021,SP,,Itapecerica da Serra,full,-23.71535700,-46.85055197,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48149,06890-000,31,BR,2021,SP,,São Lourenço da Serra,full,-23.84908572,-46.94174972,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48150,06900-000,31,BR,2021,SP,,Embu-Guaçu,full,-23.83182910,-46.81710887,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48151,06950-000,31,BR,2021,SP,,Juquitiba,full,-23.93568920,-47.08159407,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48152,07000-000,31,BR,2021,SP,,Guarulhos,full,-23.46850600,-46.53108409,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48153,07400-000,31,BR,2021,SP,,Arujá,full,-23.39582674,-46.32048960,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48154,07500-000,31,BR,2021,SP,,Santa Isabel,full,-23.31808850,-46.22701284,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48155,07600-000,31,BR,2021,SP,,Mairiporã,full,-23.32245938,-46.59019587,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48156,07700-000,31,BR,2021,SP,,Caieiras,full,-23.36211605,-46.74410142,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48157,07750-000,31,BR,2021,SP,,Cajamar,full,-23.36097138,-46.88292015,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48158,07800-000,31,BR,2021,SP,,Franco da Rocha,full,-23.32030250,-46.72787467,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48159,07900-000,31,BR,2021,SP,,Francisco Morato,full,-23.27582550,-46.73252670,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48160,08000-000,31,BR,2021,SP,,São Paulo,full,-23.56738650,-46.57038318,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48161,08500-000,31,BR,2021,SP,,Ferraz de Vasconcelos,full,-23.54154450,-46.36655267,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48162,08550-000,31,BR,2021,SP,,Poá,full,-23.52862657,-46.34622039,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48163,08570-000,31,BR,2021,SP,,Itaquaquecetuba,full,-23.47689750,-46.35160314,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48164,08600-000,31,BR,2021,SP,,Suzano,full,-23.53682750,-46.30781047,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48165,08700-000,31,BR,2021,SP,,Mogi das Cruzes,full,-23.52270650,-46.19676008,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48166,08900-000,31,BR,2021,SP,,Guararema,full,-23.41523302,-46.04105346,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48167,08940-000,31,BR,2021,SP,,Biritiba Mirim,full,,,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48168,08970-000,31,BR,2021,SP,,Salesópolis,full,-23.53179299,-45.84717693,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48169,09000-000,31,BR,2021,SP,,Santo André,full,-23.65751000,-46.53087426,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48170,09300-000,31,BR,2021,SP,,Mauá,full,-23.66933450,-46.45826201,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48171,09400-000,31,BR,2021,SP,,Ribeirão Pires,full,-23.70742300,-46.41534437,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48172,09450-000,31,BR,2021,SP,,Rio Grande da Serra,full,-23.74451500,-46.39369267,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48173,09500-000,31,BR,2021,SP,,São Caetano do Sul,full,-23.61470500,-46.57151461,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48174,09600-000,31,BR,2021,SP,,São Bernardo do Campo,full,-23.71030450,-46.55025725,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48175,09900-000,31,BR,2021,SP,,Diadema,full,-23.68929500,-46.62338139,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
48176,11000-000,31,BR,2021,SP,,Santos,full,-23.93373750,-46.33137085,correios,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
