id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
660450,A0A,39,CA,877,NL,,Southeastern Avalon Peninsula (Ferryland),fsa,47.00730000,-52.95890000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660451,A0B,39,CA,877,NL,,Western Avalon Peninsula (Argentia),fsa,47.76090000,-53.98340000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660452,A0C,39,CA,877,NL,,Bonavista Peninsula (Bonavista),fsa,48.34640000,-53.96460000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660453,A0E,39,CA,877,NL,,Burin Peninsula (Marystown),fsa,47.35970000,-54.89840000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660454,A0G,39,CA,877,NL,,Northeast Newfoundland (Lewisporte),fsa,49.45360000,-54.10450000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660455,A0H,39,CA,877,NL,,Central Newfoundland (Bishops Falls),fsa,49.13010000,-56.08450000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660456,A0J,39,CA,877,NL,,Northern Newfoundland (Springdale),fsa,49.59590000,-55.67390000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660457,A0K,39,CA,877,NL,,Northwest Newfoundland/Eastern Labrador (Mary's Harbour),fsa,51.23270000,-56.79690000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660458,A0L,39,CA,877,NL,,Western Newfoundland (Lark Harbour),fsa,48.99340000,-58.10090000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660459,A0M,39,CA,877,NL,,Southwestern Newfoundland (Channel-Port aux Basques),fsa,48.18160000,-58.85800000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660460,A0N,39,CA,877,NL,,Port au Port Peninsula region (St. George's),fsa,48.61130000,-58.87360000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660461,A0P,39,CA,877,NL,,Central Labrador (Happy Valley-Goose Bay),fsa,55.88890000,-60.88050000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660462,A0R,39,CA,877,NL,,North/Western Labrador (Churchill Falls),fsa,53.53290000,-64.01450000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
660463,A1A,39,CA,877,NL,,St. John's North,fsa,47.57100000,-52.69610000,statscan-fsa-via-inkjet,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
