id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
57887,010000,45,CN,2269,NM,,内蒙古自治区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57888,010010,45,CN,2269,NM,,新城区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57889,010011,45,CN,2269,NM,,赛罕区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57890,010020,45,CN,2269,NM,,新城区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57891,010030,45,CN,2269,NM,,回民区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57892,010050,45,CN,2269,NM,,回民区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57893,010051,45,CN,2269,NM,,新城区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57894,010070,45,CN,2269,NM,,新城区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57895,010074,45,CN,2269,NM,,赛罕区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57896,010076,45,CN,2269,NM,,赛罕区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57897,010080,45,CN,2269,NM,,回民区,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57898,010100,45,CN,2269,NM,,呼和浩特市,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57899,010107,45,CN,2269,NM,,土默特左旗,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
57900,010109,45,CN,2269,NM,,土默特左旗,full,,,china-post-via-mumuy,,2026-04-28T06:48:58,2026-04-28T06:48:58,1
