id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
98340,1050,59,DK,1530,84,,København K,full,55.68065246,12.58600133,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98341,1051,59,DK,1530,84,,København K,full,55.67983770,12.59022696,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98342,1052,59,DK,1530,84,,København K,full,55.67906706,12.58954953,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98343,1053,59,DK,1530,84,,København K,full,55.67798554,12.59073024,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98344,1054,59,DK,1530,84,,København K,full,55.67763459,12.58906639,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98345,1055,59,DK,1530,84,,København K,full,55.67723256,12.58807383,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98346,1056,59,DK,1530,84,,København K,full,55.67946993,12.58793902,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98347,1057,59,DK,1530,84,,København K,full,55.67833309,12.58959143,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98348,1058,59,DK,1530,84,,København K,full,55.67595336,12.58792693,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98349,1059,59,DK,1530,84,,København K,full,55.67675239,12.58672365,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98350,1060,59,DK,1530,84,,København K,full,55.67651434,12.58379840,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98351,1061,59,DK,1530,84,,København K,full,55.67749602,12.58108710,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98352,1062,59,DK,1530,84,,København K,full,55.67745504,12.58206840,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98353,1063,59,DK,1530,84,,København K,full,55.67812648,12.58481601,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98354,1064,59,DK,1530,84,,København K,full,55.67855701,12.58421619,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98355,1065,59,DK,1530,84,,København K,full,55.67792419,12.58120927,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98356,1066,59,DK,1530,84,,København K,full,55.67738024,12.58283658,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98357,1067,59,DK,1530,84,,København K,full,55.67872776,12.58180816,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98358,1068,59,DK,1530,84,,København K,full,55.67746813,12.58355191,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98359,1069,59,DK,1530,84,,København K,full,55.67777633,12.58417532,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
98360,1070,59,DK,1530,84,,København K,full,55.67881568,12.58352498,dawa,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
