id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
99429,05751,62,DO,4092,18,,Barrio Padre Granjero,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99430,05751,62,DO,4092,18,,Urb. Atlantica,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99431,09205,62,DO,4111,29,,Reparadero,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99432,10100,62,DO,4095,01,,Distrito Nacional,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99433,10101,62,DO,4093,32,,Centro de Los Heroes,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99434,10102,62,DO,4093,32,,Mata Hambre,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99435,10103,62,DO,4093,32,,Zona Universitaria,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99436,10104,62,DO,4093,32,,San Geronimo,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99437,10105,62,DO,4093,32,,Ciudad Universitaria,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99438,10106,62,DO,4093,32,,Los Robles,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99439,10107,62,DO,4093,32,,El Vergel,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99440,10107,62,DO,4093,32,,Esperilla,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99441,10108,62,DO,4093,32,,El Manguito,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99442,10108,62,DO,4093,32,,Esperilla,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99443,10110,62,DO,4093,32,,El Embajador,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99444,10111,62,DO,4093,32,,Bella Vista,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99445,10112,62,DO,4093,32,,Bella Vista,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99446,10113,62,DO,4093,32,,Sarasota,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99447,10114,62,DO,4093,32,,Mirador Norte,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99448,10115,62,DO,4093,32,,Atala,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99449,10115,62,DO,4093,32,,El Portal,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99450,10115,62,DO,4093,32,,Rocamar,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99451,10116,62,DO,4093,32,,30 de Mayo,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99452,10116,62,DO,4093,32,,Ciudad Ganadera,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99453,10117,62,DO,4093,32,,Ens. La Paz,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99454,10117,62,DO,4093,32,,Honduras,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99455,10118,62,DO,4093,32,,Antillas,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99456,10118,62,DO,4093,32,,Costa Brava,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99457,10118,62,DO,4093,32,,El Cacique,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99458,10118,62,DO,4093,32,,Los Arrecifes,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99459,10119,62,DO,4093,32,,Naco,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99460,10120,62,DO,4093,32,,La Yuca,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99461,10121,62,DO,4093,32,,Arboleda,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99462,10122,62,DO,4093,32,,Centro Olimpico,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99463,10122,62,DO,4093,32,,Naco,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99464,10123,62,DO,4093,32,,Naco,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99465,10124,62,DO,4093,32,,Naco,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99466,10125,62,DO,4093,32,,Lope de Vega,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99467,10126,62,DO,4093,32,,Paraiso,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99468,10127,62,DO,4093,32,,Piantini,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99469,10128,62,DO,4093,32,,Carmelita,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99470,10129,62,DO,4093,32,,Urb. Fernandez,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99471,10130,62,DO,4093,32,,Julieta Morales,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
99472,10130,62,DO,4093,32,,Los Praditos,full,,,inposdom-via-manuelpgs,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
