id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
103290,010101,64,EC,2923,A,,Azuay,full,-2.89645500,-79.00287900,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103291,010102,64,EC,2923,A,,Azuay,full,-2.88667700,-78.99431300,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103292,010103,64,EC,2923,A,,Azuay,full,-2.89048200,-78.98178500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103293,010104,64,EC,2923,A,,Azuay,full,-2.90159800,-78.99032600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103294,010105,64,EC,2923,A,,Azuay,full,-2.88095900,-79.01172100,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103295,010106,64,EC,2923,A,,Azuay,full,-2.85228200,-79.01579000,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103296,010107,64,EC,2923,A,,Azuay,full,-2.86285800,-78.98404200,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103297,010108,64,EC,2923,A,,Azuay,full,-2.84835300,-78.94333400,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103298,010109,64,EC,2923,A,,Azuay,full,-2.86651500,-78.93342800,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103299,010110,64,EC,2923,A,,Azuay,full,-2.86388400,-78.89021700,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103300,010111,64,EC,2923,A,,Azuay,full,-2.89862300,-78.92933600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103301,010112,64,EC,2923,A,,Azuay,full,-2.80097400,-79.17025500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103302,010113,64,EC,2923,A,,Azuay,full,-2.76908900,-79.05672000,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103303,010114,64,EC,2923,A,,Azuay,full,-2.73429400,-79.02543900,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103304,010115,64,EC,2923,A,,Azuay,full,-2.79323400,-78.96973100,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103305,010116,64,EC,2923,A,,Azuay,full,-2.89819400,-79.18811500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103306,010201,64,EC,2923,A,,Azuay,full,-2.91151600,-79.02375600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103307,010202,64,EC,2923,A,,Azuay,full,-2.89988800,-79.02221300,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103308,010203,64,EC,2923,A,,Azuay,full,-2.90602500,-79.01403500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103309,010204,64,EC,2923,A,,Azuay,full,-2.91556600,-78.99873700,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103310,010205,64,EC,2923,A,,Azuay,full,-2.91846800,-79.02750500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103311,010206,64,EC,2923,A,,Azuay,full,-2.91928900,-79.04556700,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103312,010207,64,EC,2923,A,,Azuay,full,-2.89292500,-79.04350500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103313,010208,64,EC,2923,A,,Azuay,full,-2.89208200,-79.01607800,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103314,010209,64,EC,2923,A,,Azuay,full,-2.89593600,-78.97469500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103315,010210,64,EC,2923,A,,Azuay,full,-2.90570100,-78.97318500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103316,010211,64,EC,2923,A,,Azuay,full,-2.92574500,-78.96115500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103317,010212,64,EC,2923,A,,Azuay,full,-2.95661000,-78.96993400,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103318,010213,64,EC,2923,A,,Azuay,full,-2.94608200,-79.02099400,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103319,010214,64,EC,2923,A,,Azuay,full,-2.98310200,-79.22537400,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103320,010215,64,EC,2923,A,,Azuay,full,-2.88346200,-79.03046200,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103321,010216,64,EC,2923,A,,Azuay,full,-2.96590400,-78.91288600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103322,010217,64,EC,2923,A,,Azuay,full,-3.05528100,-78.94153100,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103323,010218,64,EC,2923,A,,Azuay,full,-3.00329200,-79.04388600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103324,010219,64,EC,2923,A,,Azuay,full,-2.86868800,-79.04607200,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103325,010220,64,EC,2923,A,,Azuay,full,-3.09810300,-79.01799000,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103326,010301,64,EC,2923,A,,Azuay,full,-3.20238600,-79.36359000,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103327,010302,64,EC,2923,A,,Azuay,full,-3.13256200,-79.26810400,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103328,010303,64,EC,2923,A,,Azuay,full,-3.17938100,-79.15927200,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103329,010304,64,EC,2923,A,,Azuay,full,-3.16167100,-79.48327600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103330,010305,64,EC,2923,A,,Azuay,full,-3.27214500,-79.54011500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103331,010306,64,EC,2923,A,,Azuay,full,-3.20616500,-79.57688900,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103332,010401,64,EC,2923,A,,Azuay,full,-2.91520000,-78.80774400,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103333,010402,64,EC,2923,A,,Azuay,full,-2.87875700,-78.79282500,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103334,010403,64,EC,2923,A,,Azuay,full,-2.91204600,-78.70780600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103335,010404,64,EC,2923,A,,Azuay,full,-2.98672100,-78.73398000,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103336,010405,64,EC,2923,A,,Azuay,full,-2.96503300,-78.81502400,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103337,010406,64,EC,2923,A,,Azuay,full,-2.94563400,-78.88112600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103338,010407,64,EC,2923,A,,Azuay,full,-2.89462800,-78.85132700,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103339,010501,64,EC,2923,A,,Azuay,full,-3.48916400,-79.13061000,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103340,010502,64,EC,2923,A,,Azuay,full,-3.34360400,-79.20461100,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103341,010503,64,EC,2923,A,,Azuay,full,-3.28442600,-79.04212600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103342,010601,64,EC,2923,A,,Azuay,full,-2.77331300,-78.70163700,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103343,010602,64,EC,2923,A,,Azuay,full,-2.70860600,-78.70667600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103344,010603,64,EC,2923,A,,Azuay,full,-2.64770700,-78.54705300,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103345,010604,64,EC,2923,A,,Azuay,full,-2.79637100,-78.62324000,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103346,010605,64,EC,2923,A,,Azuay,full,-2.85773100,-78.65468700,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103347,010606,64,EC,2923,A,,Azuay,full,-2.81063800,-78.78677600,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
103348,010701,64,EC,2923,A,,Azuay,full,-2.98666800,-79.68358100,correos-del-ecuador-via-danielparsdq,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
