id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
112623,01000,75,FR,4967,01,,BOURG EN BRESSE,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112624,01090,75,FR,4967,01,,FRANCHELEINS,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112625,01100,75,FR,4967,01,,APREMONT,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112626,01110,75,FR,4967,01,,ARANC,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112627,01120,75,FR,4967,01,,DAGNEUX,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112628,01130,75,FR,4967,01,,BELLEYDOUX,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112629,01140,75,FR,4967,01,,GARNERANS,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112630,01150,75,FR,4967,01,,BLYES,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112631,01160,75,FR,4967,01,,DRUILLAT,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112632,01170,75,FR,4967,01,,CESSY,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112633,01190,75,FR,4967,01,,ARBIGNY,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112634,01200,75,FR,4967,01,,BILLIAT,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112635,01210,75,FR,4967,01,,FERNEY VOLTAIRE,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112636,01220,75,FR,4967,01,,DIVONNE LES BAINS,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112637,01230,75,FR,4967,01,,ARANDAS,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112638,01240,75,FR,4967,01,,CERTINES,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112639,01250,75,FR,4967,01,,BOHAS MEYRIAT RIGNAT,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112640,01260,75,FR,4967,01,,ARVIERE EN VALROMEY,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112641,01270,75,FR,4967,01,,BEAUPONT,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112642,01280,75,FR,4967,01,,PREVESSIN MOENS,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112643,01290,75,FR,4967,01,,BEY,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112644,01300,75,FR,4967,01,,AMBLEON,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112645,01310,75,FR,4967,01,,BUELLAS,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112646,01320,75,FR,4967,01,,CHALAMONT,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
112647,01330,75,FR,4967,01,,AMBERIEUX EN DOMBES,full,,,laposte,,2026-04-28T06:49:00,2026-04-28T06:49:00,1
