id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
668800,10000,55,HR,736,01,,Zagreb,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668801,10010,55,HR,736,01,,Zagreb-Sloboština,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668802,10020,55,HR,736,01,,Zagreb-Novi Zagreb,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668803,10040,55,HR,736,01,,Zagreb-Dubrava,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668804,10090,55,HR,736,01,,Zagreb-Susedgrad,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668805,10110,55,HR,736,01,,Zagreb-Trešnjevka,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668806,10250,55,HR,736,01,,Lučko,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668807,10251,55,HR,736,01,,Hrvatski Leskovac,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668808,10253,55,HR,736,01,,Donji Dragonožec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668809,10255,55,HR,736,01,,Gornji Stupnik,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668810,10257,55,HR,736,01,,Brezovica,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668811,10290,55,HR,736,01,,Zaprešić,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668812,10291,55,HR,736,01,,Prigorje Brdovečko,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668813,10292,55,HR,736,01,,Šenkovec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668814,10293,55,HR,736,01,,Dubravica,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668815,10294,55,HR,736,01,,Donja Pušća,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668816,10295,55,HR,736,01,,Kupljenovo,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668817,10296,55,HR,736,01,,Luka,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668818,10297,55,HR,736,01,,Jakovlje,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668819,10298,55,HR,736,01,,Donja Bistra,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668820,10299,55,HR,736,01,,Marija Gorica,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668821,10310,55,HR,736,01,,Ivanić-Grad,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668822,10311,55,HR,736,01,,Posavski Bregi,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668823,10312,55,HR,736,01,,Kloštar Ivanić,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668824,10313,55,HR,736,01,,Graberje Ivaničko,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668825,10314,55,HR,736,01,,Križ,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668826,10315,55,HR,736,01,,Novoselec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668827,10316,55,HR,736,01,,Lijevi Dubrovčak,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668828,10340,55,HR,736,01,,Vrbovec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668829,10341,55,HR,736,01,,Lonjica,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668830,10342,55,HR,736,01,,Dubrava,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668831,10343,55,HR,736,01,,Nova Kapela,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668832,10344,55,HR,736,01,,Farkaševac,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668833,10345,55,HR,736,01,,Gradec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668834,10346,55,HR,736,01,,Preseka,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668835,10347,55,HR,736,01,,Rakovec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668836,10360,55,HR,736,01,,Sesvete,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668837,10361,55,HR,736,01,,Sesvete-Kraljevec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668838,10362,55,HR,736,01,,Kašina,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668839,10363,55,HR,736,01,,Belovar,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668840,10370,55,HR,736,01,,Dugo Selo,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668841,10372,55,HR,736,01,,Oborovo,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668842,10373,55,HR,736,01,,Ivanja Reka,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668843,10380,55,HR,736,01,,Sveti Ivan Zelina,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668844,10381,55,HR,736,01,,Bedenica,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668845,10382,55,HR,736,01,,Donja Zelina,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668846,10383,55,HR,736,01,,Komin,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668847,10408,55,HR,736,01,,Velika Mlaka,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668848,10410,55,HR,736,01,,Velika Gorica,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668849,10411,55,HR,736,01,,Orle,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668850,10412,55,HR,736,01,,Donja Lomnica,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668851,10413,55,HR,736,01,,Kravarsko,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668852,10414,55,HR,736,01,,Pokupsko,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668853,10415,55,HR,736,01,,Novo Čiče,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668854,10417,55,HR,736,01,,Buševec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668855,10418,55,HR,736,01,,Dubranec,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668856,10419,55,HR,736,01,,Vukovina,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668857,10430,55,HR,736,01,,Samobor,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668858,10431,55,HR,736,01,,Sveta Nedjelja,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668859,10432,55,HR,736,01,,Bregana,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668860,10434,55,HR,736,01,,Strmec Samoborski,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
668861,10435,55,HR,736,01,,Sveti Martin pod Okićem,full,,,hrvatska-posta-via-mislavcimpersak,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
