id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
123511,10110,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123512,10120,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123513,10130,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123514,10140,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123515,10150,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123516,10160,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123517,10210,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123518,10220,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123519,10230,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123520,10240,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123521,10250,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123522,10260,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123523,10270,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123524,10310,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123525,10320,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123526,10330,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123527,10340,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123528,10350,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123529,10410,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123530,10420,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123531,10430,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123532,10440,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123533,10450,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123534,10460,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123535,10510,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123536,10520,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123537,10530,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123538,10540,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123539,10550,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123540,10560,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123541,10570,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123542,10610,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123543,10620,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123544,10630,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123545,10640,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123546,10650,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123547,10710,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123548,10720,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123549,10730,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123550,10740,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123551,10750,102,ID,1805,JK,,Jakarta Pusat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123552,11110,102,ID,1805,JK,,Jakarta Barat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
123553,11120,102,ID,1805,JK,,Jakarta Barat,full,,,pos-indonesia-via-pentagonal,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
