id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
131878,110001,101,IN,4021,DL,,Sansad Marg,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131879,110002,101,IN,4021,DL,,Indraprastha,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131880,110003,101,IN,4021,DL,,Lodi Road,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131881,110004,101,IN,4021,DL,,Rashtrapati Bhawan,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131882,110005,101,IN,4021,DL,,Anand Parbat Indl. Area,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131883,110006,101,IN,4021,DL,,Delhi G.P.O.,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131884,110007,101,IN,4021,DL,,C.C.I.,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131885,110008,101,IN,4021,DL,,Dada Ghosh Bhawan,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131886,110009,101,IN,4021,DL,,Dr.Mukerjee Nagar,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131887,110010,101,IN,4021,DL,,505 A B Workshop,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131888,110011,101,IN,4021,DL,,Nirman Bhawan,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131889,110012,101,IN,4021,DL,,I.A.R.I.,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131890,110013,101,IN,4021,DL,,Dargah Sharif,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131891,110014,101,IN,4021,DL,,Hari Nagar Ashram,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131892,110015,101,IN,4021,DL,,Ramesh Nagar,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131893,110016,101,IN,4021,DL,,Green Park Market,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131894,110017,101,IN,4021,DL,,"Distt. Court Complex, Saket",full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131895,110018,101,IN,4021,DL,,Ashok Nagar S.O (West Delhi),full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131896,110019,101,IN,4021,DL,,Kalkaji,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131897,110020,101,IN,4021,DL,,C R R I S.O (South Delhi),full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131898,110021,101,IN,4021,DL,,Anand Niketan,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131899,110022,101,IN,4021,DL,,R K Puram Sect-1,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131900,110023,101,IN,4021,DL,,Sarojini Nagar,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131901,110024,101,IN,4021,DL,,Amar Colony,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131902,110025,101,IN,4021,DL,,Abul Fazal Enclave-I,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131903,110026,101,IN,4021,DL,,Ashoka Park Extn.,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131904,110027,101,IN,4021,DL,,Janta Market,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131905,110028,101,IN,4021,DL,,Naraina Industrial Estate,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131906,110029,101,IN,4021,DL,,Ansari Nagar,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131907,110030,101,IN,4021,DL,,Mehrauli,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
131908,110031,101,IN,4021,DL,,Gandhi Nagar Bazar,full,,,india-post,,2026-04-28T06:49:01,2026-04-28T06:49:01,1
