id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
669719,11111,103,IR,3945,23,,تهران منطقه 11,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669720,13111,103,IR,3945,23,,تهران منطقه 13,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669721,14111,103,IR,3945,23,,تهران منطقه 14,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669722,15111,103,IR,3945,23,,تهران منطقه 15,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669723,16111,103,IR,3945,23,,تهران منطقه 16,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669724,17111,103,IR,3945,23,,تهران منطقه 17,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669725,18111,103,IR,3945,23,,تهران منطقه 18,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669726,19111,103,IR,3945,23,,تهران منطقه 19,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669727,34131,103,IR,3941,26,,قزوين,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669728,34151,103,IR,3941,26,,البرز,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669729,34411,103,IR,3941,26,,آبيك,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
669730,34491,103,IR,3941,26,,بوئين زهرا,area,,,iran-post-via-saeidi-dev,,2026-05-24T12:02:05,2026-05-24T12:02:05,1
