id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
155851,001-0000,109,JP,832,01,,札幌市北区,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155852,001-0010,109,JP,832,01,,札幌市北区北十条西（１〜４丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155853,001-0011,109,JP,832,01,,札幌市北区北十一条西（１〜４丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155854,001-0012,109,JP,832,01,,札幌市北区北十二条西（１〜４丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155855,001-0013,109,JP,832,01,,札幌市北区北十三条西（１〜４丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155856,001-0014,109,JP,832,01,,札幌市北区北十四条西（１〜４丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155857,001-0015,109,JP,832,01,,札幌市北区北十五条西（１〜５丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155858,001-0016,109,JP,832,01,,札幌市北区北十六条西（１〜６丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155859,001-0017,109,JP,832,01,,札幌市北区北十七条西（１〜６丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155860,001-0018,109,JP,832,01,,札幌市北区北十八条西（１〜７丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155861,001-0019,109,JP,832,01,,札幌市北区北十九条西（２〜７丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155862,001-0020,109,JP,832,01,,札幌市北区北二十条西（２〜１０丁目）,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155863,001-0021,109,JP,832,01,,札幌市北区北二十一条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155864,001-0022,109,JP,832,01,,札幌市北区北二十二条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155865,001-0023,109,JP,832,01,,札幌市北区北二十三条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155866,001-0024,109,JP,832,01,,札幌市北区北二十四条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155867,001-0025,109,JP,832,01,,札幌市北区北二十五条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155868,001-0026,109,JP,832,01,,札幌市北区北二十六条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155869,001-0027,109,JP,832,01,,札幌市北区北二十七条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155870,001-0028,109,JP,832,01,,札幌市北区北二十八条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155871,001-0029,109,JP,832,01,,札幌市北区北二十九条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155872,001-0030,109,JP,832,01,,札幌市北区北三十条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155873,001-0031,109,JP,832,01,,札幌市北区北三十一条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155874,001-0032,109,JP,832,01,,札幌市北区北三十二条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155875,001-0033,109,JP,832,01,,札幌市北区北三十三条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155876,001-0034,109,JP,832,01,,札幌市北区北三十四条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155877,001-0035,109,JP,832,01,,札幌市北区北三十五条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155878,001-0036,109,JP,832,01,,札幌市北区北三十六条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155879,001-0037,109,JP,832,01,,札幌市北区北三十七条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155880,001-0038,109,JP,832,01,,札幌市北区北三十八条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155881,001-0039,109,JP,832,01,,札幌市北区北三十九条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155882,001-0040,109,JP,832,01,,札幌市北区北四十条西,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155883,001-0045,109,JP,832,01,,札幌市北区麻生町,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155884,001-0901,109,JP,832,01,,札幌市北区新琴似一条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155885,001-0902,109,JP,832,01,,札幌市北区新琴似二条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155886,001-0903,109,JP,832,01,,札幌市北区新琴似三条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155887,001-0904,109,JP,832,01,,札幌市北区新琴似四条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155888,001-0905,109,JP,832,01,,札幌市北区新琴似五条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155889,001-0906,109,JP,832,01,,札幌市北区新琴似六条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155890,001-0907,109,JP,832,01,,札幌市北区新琴似七条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155891,001-0908,109,JP,832,01,,札幌市北区新琴似八条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155892,001-0909,109,JP,832,01,,札幌市北区新琴似九条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155893,001-0910,109,JP,832,01,,札幌市北区新琴似十条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155894,001-0911,109,JP,832,01,,札幌市北区新琴似十一条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155895,001-0912,109,JP,832,01,,札幌市北区新琴似十二条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155896,001-0915,109,JP,832,01,,札幌市北区新琴似町,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155897,001-0921,109,JP,832,01,,札幌市北区新川一条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155898,001-0922,109,JP,832,01,,札幌市北区新川二条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155899,001-0923,109,JP,832,01,,札幌市北区新川三条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155900,001-0924,109,JP,832,01,,札幌市北区新川四条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155901,001-0925,109,JP,832,01,,札幌市北区新川五条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155902,001-0926,109,JP,832,01,,札幌市北区新川六条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155903,001-0927,109,JP,832,01,,札幌市北区新川七条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155904,001-0928,109,JP,832,01,,札幌市北区新川八条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155905,001-0930,109,JP,832,01,,札幌市北区新川,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155906,001-0931,109,JP,832,01,,札幌市北区新川西一条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155907,001-0932,109,JP,832,01,,札幌市北区新川西二条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
155908,001-0933,109,JP,832,01,,札幌市北区新川西三条,full,,,japan-post,,2026-04-28T06:49:02,2026-04-28T06:49:02,1
