id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId,created_at,updated_at,flag
276528,00100,113,KE,,,,G.P.O Nairobi,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276529,00101,113,KE,,,,Jamia,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276530,00200,113,KE,,,,City Square,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276531,00202,113,KE,,,,Kenyatta N.Hospital,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276532,00204,113,KE,,,,Athi River,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276533,00205,113,KE,,,,Magadi,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276534,00206,113,KE,,,,Kiserian,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276535,00207,113,KE,,,,Namanga,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276536,00208,113,KE,,,,Ngong Hills,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276537,00209,113,KE,,,,Loitokitok,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276538,00216,113,KE,,,,Githunguri,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276539,00217,113,KE,,,,Limuru,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276540,00218,113,KE,,,,Ngecha,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276541,00219,113,KE,,,,Karuri,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276542,00220,113,KE,,,,Kijabe,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276543,00221,113,KE,,,,Matathia,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276544,00222,113,KE,,,,Uplands,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276545,00223,113,KE,,,,Kagwe,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276546,00227,113,KE,,,,Kinari,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
276547,00229,113,KE,,,,Nderu,full,,,posta-kenya-via-njoguamos,,2026-04-28T06:49:07,2026-04-28T06:49:07,1
